Variable:,pr
,"Northern Mariana Islands","Administrative unit not available"
1901,6706.00,6706.00
1902,6706.00,6706.00
1903,6706.00,6706.00
1904,6706.00,6706.00
1905,7020.10,7020.10
1906,5040.80,5040.80
1907,6087.20,6087.20
1908,5923.00,5923.00
1909,6861.50,6861.50
1910,6002.40,6002.40
1911,7595.80,7595.80
1912,6304.00,6304.00
1913,6335.10,6335.10
1914,6464.10,6464.10
1915,6448.10,6448.10
1916,8182.70,8182.70
1917,7150.90,7150.90
1918,6156.90,6156.90
1919,6418.20,6418.20
1920,6980.10,6980.10
1921,6372.50,6372.50
1922,6473.20,6473.20
1923,6750.70,6750.70
1924,6708.20,6708.20
1925,6639.70,6639.70
1926,5081.60,5081.60
1927,6615.90,6615.90
1928,7672.20,7672.20
1929,6700.70,6700.70
1930,6178.20,6178.20
1931,6550.70,6550.70
1932,5246.70,5246.70
1933,7014.80,7014.80
1934,7252.60,7252.60
1935,7686.00,7686.00
1936,5038.90,5038.90
1937,5443.50,5443.50
1938,7401.70,7401.70
1939,6331.10,6331.10
1940,5628.20,5628.20
1941,6706.00,6706.00
1942,6706.00,6706.00
1943,6706.00,6706.00
1944,6706.00,6706.00
1945,6439.80,6439.80
1946,6544.30,6544.30
1947,6500.50,6500.50
1948,6428.30,6428.30
1949,5001.20,5001.20
1950,6731.40,6731.40
1951,5986.00,5986.00
1952,5782.90,5782.90
1953,7189.80,7189.80
1954,5790.30,5790.30
1955,5669.20,5669.20
1956,5503.60,5503.60
1957,5669.30,5669.30
1958,5791.80,5791.80
1959,5271.50,5271.50
1960,5743.30,5743.30
1961,6598.10,6598.10
1962,7993.30,7993.30
1963,8596.90,8596.90
1964,6882.90,6882.90
1965,5385.20,5385.20
1966,5344.10,5344.10
1967,7965.20,7965.20
1968,6464.20,6464.20
1969,5865.30,5865.30
1970,5553.80,5553.80
1971,7706.70,7706.70
1972,6475.50,6475.50
1973,5073.20,5073.20
1974,7822.40,7822.40
1975,6205.20,6205.20
1976,8322.80,8322.80
1977,5675.60,5675.60
1978,6418.60,6418.60
1979,6344.80,6344.80
1980,7650.30,7650.30
1981,7272.50,7272.50
1982,7011.70,7011.70
1983,4778.10,4778.10
1984,6576.10,6576.10
1985,7681.90,7681.90
1986,7977.20,7977.20
1987,5620.20,5620.20
1988,5624.30,5624.30
1989,7043.50,7043.50
1990,7491.90,7491.90
1991,6756.20,6756.20
1992,6797.40,6797.40
1993,5145.00,5145.00
1994,5960.30,5960.30
1995,6067.30,6067.30
1996,7108.10,7108.10
1997,7593.60,7593.60
1998,4377.10,4377.10
1999,5682.60,5682.60
2000,5782.40,5782.40
2001,6895.20,6895.20
2002,6327.30,6327.30
2003,7478.60,7478.60
2004,6219.60,6219.60
2005,6561.80,6561.80
2006,6706.00,6706.00
2007,6407.70,6407.70
2008,5544.30,5544.30
2009,6714.50,6714.50
2010,5938.40,5938.40
2011,7960.10,7960.10
2012,7154.20,7154.20
2013,6702.50,6702.50
2014,7454.10,7454.10
2015,7384.20,7384.20
2016,6945.70,6945.70
2017,7007.00,7007.00
2018,7683.10,7683.10
2019,6796.30,6796.30
2020,6630.50,6630.50
