Variable:,pr
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1901,439.65,559.04,720.78,289.93,751.30,281.18,519.49,1061.86,698.10,786.95,287.90,261.56,222.59,257.63,1544.73,516.22,212.38,408.73,134.51,364.03,199.74,661.55,573.11,497.42,539.02
1902,495.48,636.39,835.88,347.44,844.39,301.92,621.66,1122.09,734.19,903.95,388.88,295.93,290.10,298.44,1679.64,459.86,250.22,537.11,169.95,445.98,191.18,723.94,653.38,441.28,695.68
1903,540.98,713.85,948.77,322.15,944.12,220.65,744.33,1289.96,980.83,1010.24,571.73,371.82,297.67,268.49,1779.17,291.42,198.77,694.69,159.08,539.23,199.13,903.04,658.96,500.71,661.52
1904,557.03,702.86,793.31,358.01,969.57,274.86,716.68,1381.33,999.02,955.74,350.19,458.44,296.70,372.03,1559.15,493.95,266.05,509.68,206.65,497.24,208.10,928.89,707.79,562.87,697.60
1905,538.47,686.05,856.99,321.71,1018.15,251.40,670.04,1510.84,904.25,1065.47,308.46,369.26,264.77,349.34,2202.99,497.82,252.19,433.95,191.87,469.87,189.03,861.58,629.60,496.88,631.61
1906,433.01,616.29,747.57,327.10,638.62,177.31,528.79,811.36,602.07,613.29,421.66,336.87,306.54,308.82,1060.71,389.88,159.41,587.42,192.64,441.78,196.73,592.04,621.03,578.26,669.88
1907,483.98,616.48,736.10,275.01,917.34,223.84,579.55,1224.83,855.32,964.25,388.90,323.53,239.08,317.84,1732.51,366.65,182.72,519.86,190.69,419.38,202.44,809.10,567.57,339.68,546.08
1908,472.93,655.73,796.40,294.06,887.01,142.40,594.91,1288.79,850.40,966.84,356.33,239.11,285.36,267.87,1871.78,255.48,125.85,502.03,197.98,387.98,201.44,813.99,611.67,323.07,619.37
1909,412.13,568.24,730.89,233.94,741.70,154.38,564.82,940.10,734.91,759.65,327.59,293.35,192.59,224.50,1196.23,284.34,141.98,451.80,118.40,406.99,200.64,722.75,525.99,332.76,465.89
1910,453.98,486.25,601.09,387.59,868.05,230.71,509.86,1109.52,614.87,835.74,519.60,211.00,257.00,262.22,1449.69,335.21,159.00,706.11,136.11,375.55,193.51,677.25,745.18,199.92,885.48
1911,531.86,762.66,1034.34,345.08,934.73,232.32,721.65,1335.56,980.67,954.27,407.59,367.71,229.77,248.10,2004.17,343.14,199.12,539.00,115.93,434.34,208.99,915.63,652.89,416.76,695.90
1912,527.71,844.37,1188.17,283.50,852.04,186.07,709.43,1275.66,1219.03,836.24,398.46,381.79,202.15,273.21,1472.34,336.69,172.58,513.34,156.35,466.16,211.80,1012.65,578.98,553.58,558.74
1913,514.89,716.46,1033.88,311.27,860.07,253.68,652.11,1279.09,1006.31,848.69,402.32,312.30,249.92,252.33,1573.05,452.33,213.45,545.01,147.49,463.35,216.12,885.98,619.48,578.28,634.68
1914,661.23,1089.27,1463.72,323.11,1116.25,267.17,889.68,1662.38,1255.15,1107.07,344.15,541.98,278.71,452.19,2141.48,537.51,275.42,496.60,218.08,636.62,224.28,1106.09,673.74,616.37,634.23
1915,535.61,755.21,913.00,288.58,938.93,292.54,668.32,1362.38,989.11,903.26,372.80,387.14,203.70,292.54,1585.61,477.65,238.56,521.89,161.23,473.87,206.10,951.08,600.95,523.60,589.02
1916,390.96,491.30,502.64,209.98,772.25,206.37,414.70,1016.26,533.49,829.99,318.23,240.07,150.83,264.10,1536.33,395.49,154.50,427.46,99.08,266.92,209.78,613.51,452.32,498.39,423.21
1917,426.01,626.85,716.58,239.34,641.68,192.51,574.66,869.95,706.94,669.59,374.24,395.19,212.09,255.66,1227.97,357.22,175.08,452.92,140.68,439.18,204.01,702.88,468.15,488.23,442.29
1918,604.58,792.10,801.72,385.60,1072.01,270.80,682.26,1468.66,1083.22,1083.80,552.73,500.20,295.20,333.97,1814.02,494.92,283.28,739.20,157.65,507.90,215.27,1006.00,732.46,652.18,826.88
1919,652.51,1072.91,1209.60,333.53,933.38,293.81,884.36,1454.94,1252.14,1031.43,505.07,603.94,282.04,429.54,2048.49,527.06,323.55,651.27,189.53,629.30,192.29,1047.65,632.64,438.92,674.67
1920,551.03,723.94,851.53,329.06,981.41,274.53,722.62,1427.08,1026.34,941.81,447.32,434.44,251.79,275.68,1849.61,419.70,207.84,552.27,153.60,500.64,201.94,1005.30,638.91,505.68,661.07
