Variable:,pr
,Senegal,Kaolack,Kedougou,Kolda,Sedhiou,Tambacounda,Kaffrine,Dakar,Thies,Ziguinchor,Diourbel,Fatick,Louga,Matam,"Saint louis"
1901,877.16,1031.77,1316.13,1286.27,1524.08,954.58,914.57,711.75,689.46,1605.64,712.55,947.48,553.67,596.83,385.26
1902,621.21,660.52,972.65,979.80,1012.75,711.82,613.07,471.68,450.67,1072.24,462.04,610.88,359.78,437.99,255.17
1903,731.54,785.93,1165.17,1104.84,1141.71,855.92,720.63,553.97,532.50,1189.85,552.13,729.81,425.03,533.39,292.27
1904,769.61,813.40,1325.81,1190.05,1249.44,888.53,734.86,593.15,564.90,1289.49,571.99,751.97,442.91,503.68,307.92
1905,997.69,988.68,1638.23,1396.38,1432.26,1195.29,928.24,771.55,721.74,1488.33,720.19,931.91,595.04,783.19,455.53
1906,1139.99,1293.22,1666.50,1619.20,1811.87,1275.43,1136.92,1015.69,949.46,1938.64,925.51,1218.40,723.53,851.53,527.57
1907,656.56,693.10,1134.02,984.37,1046.73,770.96,617.22,513.95,491.99,1114.82,493.41,648.75,370.47,438.00,252.51
1908,756.61,844.18,1130.61,1221.04,1360.63,857.93,749.18,591.22,565.23,1443.20,574.38,774.73,426.08,509.22,279.10
1909,855.43,1017.77,1331.79,1272.89,1480.68,915.59,868.94,815.57,749.95,1592.83,717.71,970.00,535.20,554.66,358.02
1910,799.00,842.89,1171.90,1189.05,1248.23,924.89,791.99,588.42,579.91,1280.61,607.56,772.50,491.52,613.81,371.59
1911,677.92,696.10,1229.99,1016.65,1049.01,804.20,624.22,517.55,488.52,1112.53,487.55,648.77,367.93,458.25,260.02
1912,682.41,749.67,1023.99,1024.96,1076.41,744.91,686.00,576.96,556.78,1109.94,558.57,700.43,445.14,494.68,332.73
1913,591.42,572.52,1049.38,856.13,854.95,731.74,553.70,393.29,383.03,895.26,408.23,525.04,323.34,436.59,230.34
1914,861.24,985.21,1239.92,1352.97,1475.11,967.56,896.41,721.14,689.59,1530.43,701.43,911.64,543.41,567.92,350.06
1915,841.63,1048.83,1121.65,1267.93,1490.13,871.10,906.75,816.42,765.56,1625.53,744.62,992.49,572.03,550.13,392.81
1916,824.08,937.62,1128.45,1245.15,1332.19,898.29,870.31,678.03,663.93,1362.34,682.72,863.19,552.81,596.42,418.05
1917,789.44,906.10,1119.46,1191.95,1306.60,863.31,812.03,703.55,669.98,1377.38,661.54,847.43,517.25,541.10,375.11
1918,998.51,1091.77,1405.28,1513.38,1616.07,1047.90,1009.17,893.23,856.36,1695.39,858.89,1054.95,712.27,723.37,495.44
1919,766.69,814.29,1245.22,1150.13,1221.95,868.67,730.23,573.02,569.59,1314.41,587.88,751.99,476.63,528.39,339.46
1920,786.29,845.40,1266.09,1240.66,1314.35,917.12,780.57,567.49,573.86,1361.34,589.87,761.04,471.29,495.41,306.54
1921,692.76,785.17,974.78,1132.76,1265.10,708.91,714.73,587.83,586.78,1340.16,582.71,697.24,477.23,448.32,309.53
1922,794.48,893.03,1169.66,1206.01,1403.76,847.39,760.36,602.29,589.78,1526.83,610.41,821.85,502.71,577.41,362.92
1923,782.38,874.73,1204.26,1138.06,1223.65,891.91,751.47,730.18,659.60,1373.13,663.02,850.28,466.68,572.81,304.60
1924,839.96,1172.47,1174.72,1208.80,1538.14,846.19,957.10,814.73,774.36,1790.50,811.39,1102.16,530.11,527.71,323.31
1925,794.16,925.30,1166.51,1229.34,1384.96,867.51,816.07,613.32,591.37,1459.04,657.38,869.29,478.35,532.17,367.21
1926,711.23,754.80,1070.22,1150.69,1217.36,768.32,715.65,576.13,536.33,1254.18,543.45,690.01,458.22,483.39,328.53
1927,1022.80,1322.36,1310.23,1454.60,1744.01,1004.50,1117.13,1012.76,943.17,1965.76,950.52,1270.02,760.97,713.47,527.20
1928,929.26,1133.71,1329.01,1356.14,1535.59,986.67,999.32,891.17,846.32,1631.44,836.53,1092.90,612.17,639.47,417.55
1929,892.23,1039.76,1337.12,1370.31,1499.31,946.71,938.00,803.33,743.96,1572.31,766.28,990.41,586.49,579.59,415.53
1930,789.81,907.12,1235.85,1185.48,1271.58,880.20,798.19,806.03,708.87,1349.67,660.25,893.07,482.09,527.20,318.32
1931,672.48,750.24,1113.45,963.22,1130.98,742.08,655.10,522.27,490.54,1239.80,518.29,707.33,392.71,468.86,298.20
1932,828.59,873.55,1213.30,1285.33,1467.72,912.07,770.54,641.15,597.84,1599.35,597.89,803.71,483.52,623.34,377.11
1933,997.63,1048.02,1415.25,1538.22,1609.04,1131.21,1004.53,824.63,808.52,1645.45,790.30,979.72,662.50,706.96,456.46
1934,761.71,800.20,1201.15,1171.10,1221.04,930.21,713.99,589.14,539.61,1294.99,555.11,744.89,401.16,552.27,276.92
1935,980.75,1121.41,1357.95,1515.27,1546.17,1072.65,1019.46,1024.25,949.86,1666.78,909.33,1094.39,636.02,701.48,395.48
1936,1038.99,1244.34,1346.34,1496.41,1707.26,1144.64,1134.37,856.89,834.42,1870.61,924.17,1185.05,667.55,817.13,413.23
1937,823.67,842.53,1275.46,1231.36,1259.59,973.63,794.32,614.99,598.39,1332.56,606.06,779.79,496.23,621.12,341.82
1938,881.63,1011.80,1349.76,1235.28,1416.46,953.70,853.32,752.66,730.47,1536.13,732.87,940.54,603.84,617.37,431.75
1939,823.77,891.02,1194.40,1204.63,1340.99,895.04,801.34,743.23,675.57,1394.26,655.18,837.71,545.69,622.52,411.52
1940,882.27,907.03,1372.78,1300.32,1345.54,1054.26,820.08,715.10,648.63,1424.70,636.07,834.10,535.12,630.72,417.33
1941,660.13,566.79,1206.52,1098.60,928.72,874.63,574.25,387.45,404.17,877.81,433.34,539.71,328.99,437.09,237.27
1942,731.02,790.62,1102.00,1215.72,1319.68,884.90,714.89,534.39,482.79,1410.31,493.02,689.08,370.07,489.40,228.39
1943,910.89,1064.88,1341.46,1340.48,1525.59,987.19,904.39,842.42,774.01,1618.76,742.11,1011.79,573.39,639.67,437.99
1944,722.44,877.08,1018.53,1039.90,1200.03,723.52,714.25,666.81,702.44,1263.70,639.81,838.41,541.03,488.82,401.01
1945,811.22,818.65,1311.92,1218.28,1265.27,985.98,777.84,565.78,546.34,1281.31,500.40,720.04,452.59,620.13,322.90
1946,824.83,906.03,1254.94,1350.43,1395.75,969.23,844.28,621.11,600.78,1363.09,586.40,795.84,455.94,584.62,291.19
1947,773.24,882.18,1090.78,1152.93,1414.32,838.07,764.81,557.99,546.64,1438.28,561.23,752.46,484.55,567.38,391.80
1948,760.75,906.53,1139.44,1115.08,1241.50,849.17,799.84,638.19,611.50,1286.31,661.68,852.14,471.16,551.61,286.54
1949,718.51,882.68,1013.62,1043.96,1249.05,752.47,783.93,554.38,541.75,1270.48,627.07,803.88,491.98,497.48,355.63
1950,1076.46,1343.72,1422.85,1557.00,1729.70,1168.82,1102.04,1169.90,1136.22,1937.81,1058.61,1288.43,690.11,778.58,439.98
1951,992.33,1052.20,1566.11,1571.92,1520.79,1143.86,988.67,876.24,815.38,1586.33,744.92,1022.75,591.13,704.63,379.71
1952,983.52,1191.65,1301.27,1510.82,1452.80,1101.54,1075.20,717.80,791.43,1566.12,847.33,1105.40,672.05,701.38,463.21
1953,877.44,1003.18,1190.51,1355.29,1469.38,966.45,913.33,691.59,722.84,1470.88,691.30,952.78,581.76,632.91,401.61
1954,869.80,966.09,1384.83,1358.21,1515.80,937.89,882.12,927.41,797.04,1628.00,744.23,924.68,518.88,557.15,325.74
1955,975.95,1131.15,1463.62,1407.49,1628.34,1015.60,1033.57,876.91,804.25,1744.61,769.55,1057.41,633.97,698.05,500.25
1956,833.34,951.87,1251.77,1272.52,1514.51,948.58,802.56,578.22,576.16,1728.23,618.41,874.45,402.30,604.54,333.88
1957,936.54,1058.37,1387.79,1477.88,1405.13,1051.82,959.58,784.42,750.42,1495.88,725.17,996.22,595.15,668.08,419.24
1958,958.04,1038.33,1378.45,1556.95,1592.30,1026.84,1019.49,914.98,808.34,1698.03,772.89,1007.20,587.43,693.72,396.67
1959,772.25,796.89,1161.05,1195.17,1167.70,957.27,759.76,413.53,446.23,1202.26,492.60,697.48,434.29,623.74,284.52
1960,817.63,896.02,1184.76,1192.14,1364.48,872.76,821.70,744.43,706.55,1400.47,699.69,836.82,536.17,608.02,401.45
1961,868.74,817.84,1332.36,1426.06,1408.22,1022.24,766.16,703.00,643.02,1429.45,652.58,773.65,527.55,605.87,384.17
1962,770.40,778.28,1344.70,1169.31,1284.56,893.49,665.74,770.67,692.44,1350.15,636.36,817.22,403.19,513.68,272.65
1963,813.93,840.65,1232.73,1204.80,1335.61,953.38,760.49,649.53,642.64,1288.84,615.06,806.61,511.63,586.72,362.50
1964,888.22,984.92,1354.14,1447.76,1282.21,1072.34,854.95,720.61,733.89,1400.70,697.13,951.72,510.41,582.09,366.48
1965,888.09,828.79,1397.29,1330.47,1523.11,1024.94,798.94,581.23,614.58,1608.73,613.05,815.97,488.46,688.16,393.03
1966,881.48,1053.87,1360.07,1200.65,1357.77,996.66,934.88,687.87,632.53,1550.62,655.48,965.71,525.61,661.83,396.23
1967,879.18,1101.50,1192.08,1272.33,1568.74,894.88,895.93,949.06,835.75,1775.58,845.48,1092.61,573.60,611.50,386.24
1968,550.56,546.68,936.73,879.65,819.05,680.92,485.59,322.39,330.21,831.04,345.94,498.79,295.91,390.63,244.39
1969,910.03,1071.74,1195.08,1251.33,1537.14,911.90,976.72,911.36,829.66,1528.65,779.92,1036.23,697.34,679.79,511.11
1970,617.43,604.97,1026.52,980.44,1090.97,694.43,496.58,387.29,431.27,1179.03,446.48,572.78,334.17,438.11,277.00
1971,707.60,912.23,1126.57,1152.29,1087.03,838.66,702.43,556.57,550.36,1113.44,565.94,850.77,357.06,467.65,256.21
1972,533.89,502.08,931.37,890.43,816.25,715.59,545.09,217.98,267.92,740.85,383.44,440.40,268.51,352.90,124.47
1973,575.35,558.18,1002.76,959.48,1070.45,660.81,497.73,378.87,360.56,1106.31,333.59,498.56,298.20,375.41,223.73
1974,706.62,663.10,1204.37,998.61,1124.30,820.61,666.19,535.74,520.58,1192.55,546.75,615.49,425.37,511.43,299.79
1975,819.97,862.08,1175.40,1332.03,1432.25,918.95,819.94,760.45,600.14,1472.86,582.88,769.92,478.84,604.58,353.59
1976,669.24,687.19,1095.54,1074.64,1239.47,742.54,618.10,459.58,417.57,1380.38,446.27,641.08,354.81,444.87,291.69
1977,543.73,561.06,951.09,865.17,857.06,677.14,526.09,288.04,326.06,827.23,357.98,466.29,289.90,374.49,174.95
1978,774.02,809.07,1209.05,1290.23,1292.28,911.90,739.53,585.91,581.98,1447.46,579.68,763.10,429.22,471.05,310.08
1979,653.10,762.47,1012.26,995.76,1066.35,759.80,731.84,531.82,492.33,1209.97,501.70,678.80,368.47,399.18,265.40
1980,549.01,574.82,851.40,813.48,775.58,617.06,579.75,423.58,386.70,793.59,394.73,487.97,372.44,421.53,278.84
1981,676.51,703.53,1083.51,1078.71,1148.75,778.65,671.36,498.24,486.86,1084.01,497.96,595.65,405.46,468.24,271.28
1982,590.68,667.04,977.17,936.03,958.98,646.34,598.38,510.18,445.11,988.56,457.66,590.28,357.77,420.95,212.82
