Variable:,pr
,Japan,Aiti,Akita,Aomori,Ehime,Hukui,Hukuoka,Hukusima,Gifu,Gunma,Hirosima,Hokkaidoo,Hyoogo,Ibaraki,Isikawa,Iwate,Kagawa,Kagosima,Kanagawa,Kooti,Kumamoto,Kyooto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Ooita,Okayama,Okinawa,Oosaka,Saga,Saitama,Siga,Simane,Sizuoka,Totigi,Tokusima,Tookyoo,Tottori,Toyama,Tiba,Wakayama,Yamagata,Yamaguti,Yamanasi
1901,1669.42,1643.09,1629.10,1379.71,1939.42,2139.59,2227.08,1468.25,1780.65,1423.94,1735.10,1190.05,1535.75,1417.06,1967.27,1422.05,1260.49,2499.74,1704.81,2159.97,2745.52,1579.60,1930.20,1399.84,2818.90,1525.66,2385.20,1994.53,1844.11,2415.38,1486.06,2166.89,1457.67,2356.89,1325.58,1709.17,1880.53,1861.95,1456.87,1801.21,1495.53,1756.53,2120.47,1661.93,2095.28,1635.94,2059.47,1627.98
1902,1774.96,1950.06,1614.43,1339.53,2258.37,2284.35,2206.86,1603.32,2010.48,1662.15,1942.96,1020.27,1841.02,1575.24,2064.71,1386.20,1549.20,2662.29,1943.26,2601.26,2756.80,1846.30,2345.20,1425.09,3088.14,1749.72,2374.92,2472.76,1914.84,2579.43,1750.96,1927.97,1765.00,2300.87,1552.11,1927.33,2082.94,2199.72,1677.13,2241.01,1719.66,2053.95,2198.40,1816.75,2614.16,1682.36,2165.50,1929.90
1903,1853.88,2178.82,1922.77,1600.04,1963.98,2708.01,1909.24,1747.86,2318.46,1711.45,1806.06,1145.45,1919.82,1708.99,2420.49,1714.67,1464.45,2335.03,2125.70,2294.57,2406.45,2039.55,2522.42,1661.44,2613.56,1910.86,2031.59,2589.26,2196.42,2215.79,1751.50,2355.47,1894.52,2020.90,1611.43,2247.41,1927.83,2362.51,1731.58,2088.42,1814.65,2061.93,2581.36,2084.07,2633.12,1942.93,1900.25,2016.47
1904,1593.58,1797.41,1796.36,1496.76,1541.83,2149.68,1617.41,1477.44,1902.36,1459.02,1462.47,1221.76,1542.22,1406.65,1988.19,1592.14,1236.14,1768.67,1730.03,1808.07,1933.61,1626.32,2071.98,1470.31,2002.22,1598.07,1698.78,2112.19,1812.67,1736.47,1433.92,1343.36,1534.92,1678.62,1356.83,1786.86,1526.38,1955.77,1473.86,1717.45,1517.94,1650.87,2094.45,1618.09,2136.95,1689.93,1544.79,1693.66
1905,1949.15,2072.44,1847.10,1475.28,2557.07,2521.11,2749.47,1701.93,2206.11,1769.25,2212.90,977.12,2023.59,1586.72,2275.80,1662.19,1669.89,3226.95,1956.97,2904.49,3444.68,2059.94,2534.65,1591.72,3719.07,1892.88,2994.18,2692.22,2018.68,3096.97,1933.17,2389.56,1943.23,2891.14,1599.79,2140.04,2364.54,2256.48,1754.27,2435.05,1733.98,2266.50,2386.35,1757.11,2793.93,1841.74,2557.27,2016.09
1906,1625.96,1747.57,1464.17,1209.01,1997.08,2197.92,2092.70,1461.41,1879.13,1506.68,1746.90,941.92,1648.24,1448.79,1988.10,1250.75,1374.17,2599.87,1786.14,2263.71,2668.45,1691.18,2050.98,1308.10,2884.92,1610.52,2245.97,2099.67,1795.85,2393.89,1583.07,2034.66,1550.14,2227.82,1411.48,1803.69,1871.22,1949.97,1506.50,1921.43,1569.95,1847.60,2129.73,1711.71,2197.24,1540.98,1961.96,1732.72
1907,1675.26,1877.32,1559.78,1348.46,1918.86,2139.99,1921.17,1452.62,1935.31,1544.11,1732.13,1183.41,1710.15,1446.37,1935.84,1374.81,1440.28,2268.18,1820.35,2252.30,2412.78,1735.42,2270.77,1333.82,2579.56,1669.06,1976.44,2351.83,1707.62,2195.92,1625.86,1792.07,1663.00,2028.02,1450.14,1834.46,1823.48,2074.11,1531.13,2049.26,1614.09,1892.28,2050.56,1675.44,2430.85,1530.90,1839.57,1827.24
1908,1620.74,1793.39,1395.62,1167.60,1992.84,2095.77,2113.19,1499.98,1866.27,1573.79,1733.44,942.15,1607.95,1534.15,1896.17,1226.53,1340.97,2446.20,1892.03,2271.69,2614.90,1640.39,2078.59,1290.94,2790.89,1650.57,2243.21,2168.49,1728.09,2367.48,1534.12,2197.21,1551.41,2212.58,1497.24,1758.37,1847.19,2076.99,1597.49,1923.90,1668.91,1793.39,2034.21,1787.68,2251.94,1481.95,2006.81,1843.69
1909,1686.01,1760.63,1502.48,1314.71,2079.82,2157.45,2208.06,1411.19,1871.21,1442.18,1804.65,1179.75,1679.89,1410.09,1940.94,1347.68,1441.64,2620.38,1749.21,2357.08,2730.50,1698.25,2058.73,1309.65,2954.85,1569.99,2312.17,2139.87,1696.13,2488.93,1632.78,2315.26,1582.36,2302.82,1357.55,1797.34,1925.13,1935.01,1456.02,1990.14,1523.08,1883.57,2065.57,1652.49,2253.56,1474.87,2071.25,1674.41
1910,1717.88,1891.03,1710.87,1392.41,1835.47,2292.04,2003.93,1750.06,2019.16,1810.38,1682.24,1024.28,1682.34,1699.79,2146.24,1541.37,1380.03,2286.75,2051.88,2109.71,2357.89,1747.30,2193.26,1548.73,2476.53,1815.01,2153.72,2227.25,2020.77,2128.11,1569.63,2093.23,1597.08,2090.77,1680.15,1862.60,1834.44,2197.64,1827.77,1904.77,1837.09,1846.00,2311.54,1939.67,2297.80,1783.32,1917.24,2016.06
