Variable:,pr
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
1901,1571.26,2019.92,1911.85,1580.15,1351.68,1885.72,1677.00,1744.14,1102.11,816.14,1461.46,1368.85,1533.90
1902,1379.98,1651.00,1638.54,1460.49,1173.20,1674.48,1484.36,1485.74,1026.16,820.09,1250.42,1244.49,1294.96
1903,1592.55,2001.99,1960.33,1633.97,1327.71,1920.23,1706.80,1723.24,1146.47,917.26,1427.92,1392.97,1485.09
1904,1491.14,1859.03,1775.18,1428.62,1415.98,1657.56,1489.10,1623.19,1160.98,946.55,1440.53,1288.37,1510.76
1905,1598.63,1892.51,1921.31,1730.69,1292.04,2018.56,1785.99,1693.69,1185.56,951.83,1400.65,1446.13,1429.26
1906,1532.59,1881.31,1847.13,1556.78,1339.85,1808.62,1615.08,1649.77,1154.82,937.47,1409.76,1355.37,1462.34
1907,1396.08,1727.67,1716.42,1385.16,1251.42,1706.75,1531.54,1532.87,993.13,795.10,1289.15,1163.11,1359.41
1908,1078.59,1290.07,1245.43,1159.93,944.17,1181.94,1067.22,1146.36,848.16,670.91,1030.78,1033.59,1055.67
1909,1464.27,1883.60,1816.16,1466.38,1240.17,1808.69,1600.32,1612.11,1023.09,772.33,1317.00,1248.97,1379.74
1910,1781.18,2210.53,2181.91,1826.29,1489.83,2205.36,1936.90,1932.69,1303.35,991.82,1603.46,1542.22,1654.45
1911,1279.90,1678.15,1676.05,1208.74,1090.69,1600.21,1440.59,1394.23,872.17,694.11,1130.09,1042.00,1193.99
1912,1516.43,1842.68,1790.33,1569.77,1292.83,1822.13,1620.41,1634.59,1149.17,889.16,1407.77,1368.86,1445.84
1913,1403.87,1751.69,1713.02,1441.78,1208.64,1679.66,1483.08,1518.10,1025.81,845.25,1262.59,1218.69,1316.76
1914,1520.12,1962.60,1943.38,1446.77,1303.77,1880.05,1652.40,1656.94,1064.04,863.23,1380.76,1257.95,1450.38
1915,1795.28,2135.23,2058.72,1948.91,1466.10,2210.17,1943.00,1957.39,1322.99,1044.16,1654.46,1673.78,1705.79
1916,1788.54,2288.98,2277.37,1758.91,1516.96,2230.71,1993.14,1957.28,1237.07,972.61,1599.17,1482.38,1681.42
1917,1501.40,1838.93,1800.84,1605.02,1245.84,1802.01,1589.06,1617.80,1117.60,811.72,1367.54,1364.40,1400.00
1918,1412.01,1747.67,1760.54,1347.45,1274.12,1690.85,1522.50,1493.68,1091.67,905.34,1282.32,1176.72,1324.56
1919,1697.63,2002.84,2020.56,1848.79,1397.74,2108.76,1886.53,1841.98,1213.38,914.12,1543.60,1566.34,1599.37
1920,1205.90,1509.99,1515.23,1160.87,1110.28,1394.83,1239.47,1282.70,928.58,725.28,1116.70,1016.92,1155.94
1921,929.88,1085.49,1054.73,984.09,849.66,1054.28,894.90,991.93,751.19,600.10,898.50,868.71,921.70
1922,1467.21,1785.77,1746.48,1554.28,1248.06,1748.44,1540.71,1590.17,1082.18,842.96,1347.60,1328.01,1395.28
1923,1560.35,1908.10,1843.50,1568.01,1433.27,1789.32,1593.80,1689.00,1210.85,954.14,1476.01,1369.94,1531.81
1924,1324.19,1678.02,1637.41,1340.86,1116.74,1604.88,1461.93,1458.43,912.78,691.70,1224.46,1154.37,1286.39
1925,1644.04,2045.24,1973.02,1714.02,1404.01,1943.83,1721.32,1784.05,1200.09,917.76,1518.60,1492.24,1575.02
1926,1740.11,2092.67,2056.87,1824.59,1504.10,2084.16,1833.11,1886.95,1297.76,997.99,1628.12,1570.89,1684.53
1927,1454.07,1864.25,1825.35,1378.66,1324.91,1725.99,1545.29,1586.40,1071.03,864.71,1317.19,1178.85,1383.97
1928,1398.63,1702.85,1731.55,1428.09,1184.22,1730.05,1558.45,1498.72,1022.51,804.74,1258.31,1214.08,1300.57
1929,1245.32,1542.30,1484.19,1240.19,1120.27,1423.57,1267.73,1341.75,965.07,781.04,1169.94,1097.54,1211.25
1930,1557.77,1802.56,1789.31,1688.80,1301.66,1956.77,1734.08,1668.40,1193.47,962.33,1399.38,1417.40,1429.15
1931,1395.93,1763.18,1776.20,1416.45,1174.15,1691.47,1513.91,1511.05,982.33,780.60,1242.56,1177.20,1298.17
1932,1246.64,1549.40,1555.26,1360.69,953.71,1663.22,1473.79,1352.78,838.82,628.03,1036.45,1070.94,1069.35
1933,1756.99,2167.87,2103.33,1818.38,1500.46,2141.58,1890.40,1917.46,1279.59,991.78,1602.86,1560.02,1667.41
1934,1676.48,2173.89,2108.19,1714.07,1383.29,2110.68,1836.16,1875.57,1104.57,825.57,1494.15,1386.40,1579.75
1935,1412.95,1841.33,1834.13,1348.65,1212.10,1670.87,1522.68,1519.70,1015.62,811.93,1265.40,1180.96,1323.06
1936,1507.38,1863.40,1825.62,1510.30,1300.32,1839.14,1638.47,1632.24,1118.18,882.82,1374.27,1309.44,1425.02
1937,2032.10,2473.18,2392.12,2102.98,1741.45,2447.26,2193.76,2198.66,1504.25,1173.97,1901.94,1861.48,1969.33
1938,1188.00,1446.31,1403.24,1163.13,1115.97,1376.39,1234.94,1277.00,932.47,754.91,1122.33,1043.25,1164.17
1939,1316.84,1618.94,1617.86,1359.92,1101.06,1572.98,1418.47,1407.22,984.66,777.39,1181.88,1167.73,1216.42
1940,1516.54,1772.55,1775.30,1640.61,1247.29,1862.02,1630.96,1600.12,1176.99,979.87,1345.84,1385.94,1363.62
1941,1476.12,1762.68,1731.77,1579.26,1230.41,1848.08,1629.79,1611.99,1066.57,841.17,1344.65,1326.37,1396.45
1942,1090.40,1332.51,1344.56,1116.72,915.39,1348.82,1223.31,1165.34,794.27,640.87,973.70,957.56,1009.61
1943,1274.44,1528.09,1448.11,1338.89,1126.73,1525.18,1328.09,1398.75,963.86,759.38,1204.60,1156.32,1251.84
1944,1418.66,1721.09,1639.80,1420.84,1318.26,1581.66,1371.29,1528.14,1138.58,920.72,1375.85,1279.73,1420.22
1945,1077.06,1357.73,1307.31,1078.04,946.27,1177.05,1046.36,1163.11,815.47,637.34,1044.43,983.43,1084.84
1946,1109.54,1398.27,1412.00,1080.93,973.00,1358.77,1226.25,1186.39,813.09,655.71,982.79,917.45,1019.61
1947,1252.80,1588.88,1588.44,1277.10,1018.69,1596.05,1436.79,1373.35,848.94,645.09,1094.72,1054.57,1145.88
1948,1616.72,1963.39,1969.39,1731.67,1314.78,2106.74,1846.97,1787.47,1090.17,840.17,1416.35,1399.82,1484.62
1949,1135.09,1484.26,1471.72,1076.23,985.16,1357.04,1211.55,1224.81,821.03,641.81,1018.40,928.89,1062.94
1950,1417.82,1719.59,1749.32,1493.49,1179.62,1764.85,1551.79,1518.75,1031.87,813.27,1250.28,1238.63,1291.17
1951,1593.12,1965.23,1974.20,1638.89,1294.65,2026.30,1839.74,1714.07,1143.90,892.69,1384.65,1380.84,1429.60
1952,1476.22,1820.32,1830.63,1571.62,1163.17,1948.48,1724.61,1622.21,982.72,741.07,1278.06,1273.84,1335.65
1953,1205.46,1505.43,1499.05,1211.29,1014.10,1467.70,1332.28,1290.45,879.73,686.78,1087.94,1061.35,1125.78
1954,1449.26,1754.42,1707.45,1491.90,1301.52,1647.34,1439.76,1529.30,1143.23,887.47,1383.24,1352.43,1418.04
1955,1487.73,1753.47,1740.92,1628.91,1197.55,1895.38,1701.49,1607.56,1086.88,816.23,1322.34,1364.61,1357.60
1956,1355.31,1729.40,1696.67,1329.09,1206.65,1586.09,1415.98,1459.16,997.04,794.99,1240.89,1140.59,1292.57
1957,1267.20,1599.56,1558.41,1294.17,1091.07,1457.00,1299.89,1367.99,940.68,749.51,1156.04,1119.49,1201.39
1958,1488.35,1945.16,1918.32,1409.07,1328.68,1749.48,1561.35,1617.04,1068.62,823.04,1364.88,1222.45,1432.85
1959,1447.28,1789.15,1757.82,1496.11,1209.26,1793.74,1601.50,1564.78,1052.45,811.26,1294.16,1284.63,1339.08
1960,1732.31,2161.80,2198.97,1870.74,1322.22,2319.66,2075.40,1890.11,1111.64,838.12,1457.66,1484.54,1522.83
1961,1367.36,1648.15,1653.43,1485.76,1109.61,1752.95,1517.67,1482.64,951.16,735.00,1215.79,1215.40,1261.34
1962,1559.74,1892.42,1779.19,1600.97,1408.27,1730.19,1499.32,1683.58,1247.36,924.73,1541.17,1461.59,1585.40
1963,1432.19,1769.23,1714.68,1490.26,1227.25,1689.71,1517.27,1533.82,1058.36,834.54,1329.18,1300.87,1374.66
1964,1454.64,1740.14,1707.84,1528.73,1266.66,1712.30,1518.98,1549.10,1109.47,882.15,1365.54,1351.81,1404.44
1965,1742.83,2222.08,2159.65,1729.80,1497.20,2117.35,1873.76,1880.49,1255.35,1040.09,1564.14,1492.14,1626.48
1966,1472.54,1730.01,1785.78,1545.60,1227.01,1761.23,1593.94,1539.29,1144.68,972.35,1317.02,1342.71,1342.26
1967,1226.77,1488.50,1485.52,1275.49,1056.11,1398.29,1272.36,1287.18,946.83,703.20,1158.45,1152.95,1186.33
1968,1323.46,1649.78,1699.79,1363.52,1083.95,1630.33,1511.27,1407.11,924.02,701.28,1165.73,1149.93,1210.95
1969,1418.84,1695.02,1632.17,1489.75,1278.82,1638.66,1456.95,1540.76,1093.61,857.65,1341.99,1295.01,1389.28
1970,1387.25,1681.45,1661.09,1444.77,1203.76,1630.35,1446.84,1485.71,1055.29,812.78,1281.49,1260.82,1323.37
1971,1052.79,1332.60,1337.97,1060.33,868.89,1326.38,1218.40,1148.92,730.27,561.02,916.78,875.30,960.10
1972,1529.00,1832.45,1762.21,1505.85,1443.55,1672.33,1495.75,1631.79,1270.22,1004.51,1500.27,1381.99,1541.76
1973,1195.80,1556.98,1462.79,1115.79,1129.97,1340.91,1201.76,1326.75,894.03,739.20,1126.85,975.84,1190.34
1974,1385.63,1582.84,1547.84,1549.27,1144.59,1674.06,1464.37,1483.60,1063.31,840.27,1298.19,1348.64,1327.17
1975,1368.29,1734.52,1756.57,1350.33,1182.19,1664.14,1497.01,1479.78,973.91,804.16,1197.18,1115.67,1254.47
1976,1341.07,1650.23,1645.71,1438.71,1063.12,1741.91,1537.09,1465.46,916.08,700.92,1168.57,1179.54,1215.99
1977,1293.56,1671.99,1674.96,1361.77,992.31,1647.43,1474.34,1402.11,843.07,628.47,1105.75,1125.75,1152.82
1978,1347.53,1785.79,1802.45,1348.66,1063.12,1739.25,1571.07,1480.79,846.33,657.88,1132.21,1088.63,1197.32
1979,1557.56,1971.95,1954.15,1502.24,1366.66,1890.71,1690.09,1690.91,1144.75,940.01,1396.33,1285.76,1457.40
1980,1429.62,1786.14,1718.13,1511.22,1199.62,1742.36,1510.93,1570.61,1010.83,779.70,1295.99,1273.54,1350.80
1981,1299.45,1537.44,1563.74,1442.66,1011.21,1702.91,1494.46,1405.43,905.27,680.94,1135.14,1189.46,1171.40
1982,1363.82,1678.56,1676.40,1361.41,1183.29,1647.27,1482.54,1460.90,1021.82,836.50,1230.16,1175.54,1273.30
1983,1072.17,1330.83,1316.00,1085.01,918.04,1305.93,1149.41,1160.97,778.14,605.50,980.11,938.42,1019.65
1984,1388.98,1679.73,1736.55,1480.43,1087.31,1786.99,1639.03,1495.33,962.07,752.01,1197.13,1228.28,1238.41
