Variable:,pr
,Azerbaijan,Absheron,Aran,"Daghlig Shirvan",Ganja-Gazakh,Guba-Khachmaz,Kalbajar-Lachin,Lankaran,Nakhchivan,Shaki-Zaqatala,"Yukhari Garabakh","Administrative unit not available"
1901,422.40,312.10,334.22,463.18,563.99,469.77,665.40,322.82,454.25,619.43,518.42,259.25
1902,426.88,373.72,343.85,523.78,495.35,519.00,596.70,351.72,386.80,616.18,477.99,313.33
1903,391.05,334.58,303.77,457.55,480.52,464.01,559.62,302.43,361.28,605.49,433.62,279.56
1904,490.04,400.70,378.20,558.78,597.67,560.55,762.58,392.87,505.54,714.77,592.65,334.11
1905,444.95,364.47,336.85,522.04,540.80,545.24,664.38,325.49,397.93,698.12,535.21,310.31
1906,430.66,363.17,330.09,495.83,537.36,518.55,617.00,317.26,374.86,673.34,483.62,315.65
1907,377.06,322.76,303.49,426.64,459.93,424.78,542.07,302.13,363.44,540.80,425.84,279.93
1908,430.29,385.81,347.44,506.45,491.49,502.04,607.26,357.20,417.63,614.59,472.02,326.52
1909,364.08,263.61,274.53,370.21,532.79,345.60,622.49,274.58,407.13,530.71,440.32,227.23
1910,354.29,279.70,269.56,399.60,472.03,402.95,527.82,272.52,354.22,559.85,402.66,231.19
1911,439.59,392.07,343.22,534.62,476.28,565.31,612.45,370.68,400.31,643.01,499.48,336.84
1912,356.81,258.01,253.64,367.86,509.36,412.11,587.04,248.67,409.62,541.78,427.95,223.77
1913,337.69,290.81,273.32,373.50,395.18,375.37,483.23,279.64,335.92,481.90,374.47,261.58
1914,488.04,409.64,380.63,573.83,592.84,596.97,694.28,378.12,460.43,743.81,551.95,345.17
1915,427.60,286.52,285.90,439.71,616.96,525.37,696.37,272.05,473.84,724.18,517.80,261.15
1916,364.25,270.28,264.33,397.19,480.19,447.39,568.17,268.35,360.79,583.42,431.81,240.50
1917,281.10,208.93,204.57,313.93,393.85,341.94,433.85,169.66,291.61,469.39,310.87,176.73
1918,441.75,355.45,347.36,526.49,540.50,548.33,639.92,341.59,399.88,683.14,513.40,298.10
1919,438.86,347.46,343.18,509.38,564.07,505.06,657.95,331.16,446.27,665.61,511.92,286.62
1920,538.84,382.66,411.54,587.58,716.08,577.93,911.94,378.62,617.20,801.18,709.92,318.04
1921,423.92,340.66,334.98,507.50,524.40,514.26,616.35,321.00,408.67,659.07,482.09,280.32
1922,447.15,351.35,340.45,487.51,635.76,489.28,676.23,308.96,440.29,707.47,505.62,288.15
1923,418.70,334.82,320.82,495.75,520.61,510.46,630.49,307.88,396.49,639.28,508.73,279.46
1924,443.21,436.49,375.61,581.09,458.51,564.71,529.67,365.43,348.90,645.48,435.61,368.01
1925,277.06,197.15,198.16,291.88,395.87,319.69,442.20,171.99,300.52,484.14,317.19,164.10
1926,382.26,282.56,287.29,416.07,519.84,427.16,578.07,278.04,368.92,631.12,446.41,249.87
1927,420.66,349.28,329.17,481.16,514.40,505.38,624.61,325.97,415.57,628.41,487.41,290.02
1928,416.54,360.84,322.81,494.12,511.76,516.11,581.47,324.60,393.68,615.49,446.08,308.20
1929,386.62,325.96,306.58,445.98,483.24,454.92,563.89,294.28,389.62,579.99,425.69,265.87
1930,402.08,332.37,329.92,463.69,502.67,462.29,568.15,305.86,382.96,609.80,445.08,277.64
1931,476.08,364.88,371.79,512.08,631.00,499.36,771.14,381.12,512.67,685.29,586.68,303.63
1932,403.54,346.82,317.03,458.06,448.42,514.62,569.23,359.18,406.50,590.47,445.67,302.63
1933,397.97,333.52,319.78,480.85,462.27,503.00,535.04,318.62,372.05,616.87,446.23,278.51
1934,337.94,274.93,277.77,372.35,397.68,373.79,512.56,314.46,346.45,459.34,406.62,237.59
1935,402.20,320.19,315.86,470.43,505.98,487.29,596.46,297.92,387.39,611.52,464.35,268.86
1936,434.74,280.98,298.17,427.05,685.57,450.41,782.50,273.74,524.29,677.11,565.77,232.47
1937,425.15,316.05,333.23,456.28,588.65,460.34,644.78,331.78,411.14,648.39,504.43,273.99
1938,371.53,325.23,286.82,438.01,479.28,450.13,506.96,278.19,329.42,574.70,374.14,276.68
1939,419.02,321.06,313.72,442.54,568.01,455.51,672.05,312.35,461.63,630.92,498.28,273.62
