Variable:,pr
,Gabon,Estuaire,Haut-Ogooue,Moyen-Ogooue,Ngounie,Nyanga,Ogooue-Ivindo,Ogooue-lolo,Ogooue-Maritime,Woleu-Ntem
1901,1726.51,2307.67,1751.86,1921.46,1643.00,1254.29,1668.07,1636.04,1765.20,1814.59
1902,1723.96,2238.70,1687.88,1859.81,1753.30,1428.56,1602.52,1564.52,1859.19,1771.78
1903,1844.59,2165.33,1817.02,1897.80,1987.03,1797.19,1661.76,1791.32,2007.12,1721.70
1904,1694.18,2052.63,1697.86,1780.91,1738.80,1449.01,1608.68,1636.19,1794.89,1657.32
1905,1747.91,2304.10,1707.74,1889.29,1774.90,1488.17,1609.10,1618.63,1888.81,1747.65
1906,1538.43,1720.68,1708.12,1478.28,1515.04,1330.39,1496.17,1489.16,1560.99,1546.87
1907,1695.17,2188.68,1731.38,1787.77,1663.32,1334.72,1649.65,1628.02,1745.10,1698.32
1908,1811.99,2272.78,1772.21,1937.28,1891.13,1597.31,1661.60,1737.82,1938.13,1765.28
1909,1988.07,2395.55,1838.97,2077.59,2251.11,2071.29,1718.16,1814.67,2245.64,1846.88
1910,1633.28,2235.86,1672.22,1805.32,1523.60,1259.32,1595.82,1441.19,1670.68,1734.81
1911,1663.23,1830.90,1796.33,1574.88,1681.79,1573.89,1617.46,1719.20,1627.74,1562.77
1912,1867.31,2300.26,1844.05,2016.50,2011.44,1789.60,1650.87,1760.50,2096.53,1699.51
1913,1489.07,1622.76,1762.30,1460.26,1356.78,992.50,1587.11,1667.10,1319.87,1477.34
1914,1637.70,2021.85,1743.69,1744.32,1586.65,1188.63,1625.09,1662.18,1675.22,1598.06
1915,1793.87,2252.76,1768.57,1982.16,1857.25,1438.68,1676.78,1756.32,1957.44,1715.24
1916,1864.43,2252.76,1883.05,1982.16,1972.83,1831.49,1676.78,1795.22,1971.80,1715.24
1917,1784.79,2252.76,1720.79,1982.16,1849.21,1418.34,1676.78,1755.46,1955.98,1715.24
1918,1766.84,2252.76,1722.45,1982.16,1809.53,1300.11,1676.78,1740.29,1950.76,1715.24
1919,1772.17,2252.76,1711.29,1982.16,1821.42,1353.12,1676.78,1741.69,1953.97,1715.24
1920,1819.62,2252.76,1809.53,1982.16,1893.72,1597.45,1676.78,1768.20,1961.47,1715.24
1921,1821.18,2252.76,1823.89,1982.16,1907.45,1558.57,1676.78,1775.87,1963.69,1715.24
1922,1830.14,2292.12,1823.38,1982.69,1907.29,1557.25,1677.82,1775.94,1963.69,1759.44
1923,1837.60,2240.12,1831.44,1974.97,1925.78,1766.29,1667.74,1775.55,1967.05,1698.15
