Variable:,pr
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
1901,534.66,530.34,471.30,470.43,540.56,514.33,572.85,595.19,478.96,536.40,552.05,537.90,632.96,654.41,476.50,502.48,500.95,515.33,524.86,489.52,515.37,638.88,550.33,572.89,469.03,471.03,568.32
1902,668.59,667.97,680.85,690.02,613.25,703.86,694.60,633.18,672.11,677.54,608.06,706.36,678.39,671.42,655.99,713.49,683.03,656.87,690.76,688.43,633.04,676.77,624.65,634.31,675.11,674.87,629.14
1903,721.74,719.15,687.00,681.58,701.84,742.82,755.57,737.07,680.65,718.80,721.75,732.46,777.31,783.73,702.66,709.33,701.72,724.27,710.43,685.15,715.50,785.96,709.17,724.01,700.46,712.09,711.14
1904,649.05,665.81,615.38,599.66,626.84,672.14,665.40,654.05,617.47,670.88,636.07,623.41,700.23,701.52,641.60,603.68,648.44,658.52,635.58,603.37,644.78,699.66,639.78,648.79,648.71,647.06,657.22
1905,641.67,634.06,592.88,601.53,609.63,632.33,673.07,656.24,588.68,648.00,627.04,655.83,710.06,738.33,618.15,635.55,626.95,630.70,641.15,619.64,624.16,714.58,640.48,652.45,592.76,611.57,652.93
1906,682.75,697.42,669.55,657.66,650.47,713.50,731.45,669.47,673.08,708.68,654.04,703.88,702.46,709.59,678.74,676.56,685.43,685.20,688.67,665.01,665.78,712.93,642.58,661.61,674.37,678.25,648.73
1907,575.39,568.49,504.54,497.14,558.48,589.91,574.67,625.59,512.31,559.41,598.63,539.30,667.89,689.31,568.05,517.93,535.78,576.03,537.25,508.22,578.38,671.93,609.04,622.71,533.22,554.37,628.38
1908,623.25,624.17,598.33,589.75,579.70,649.27,643.89,629.84,603.07,627.25,593.98,635.57,666.71,688.54,606.21,631.41,611.19,623.82,607.02,598.49,603.65,677.61,601.22,620.68,614.94,617.07,610.65
1909,548.28,504.15,491.01,477.15,516.44,557.68,522.71,589.81,495.89,495.81,559.62,529.36,656.05,664.37,553.81,513.71,490.68,518.97,488.49,485.16,552.19,643.64,603.54,600.21,532.70,561.39,623.50
1910,619.98,609.66,575.09,563.37,601.32,621.02,638.31,633.33,575.90,612.60,623.01,618.01,689.95,725.27,600.56,591.02,591.51,610.30,597.38,573.51,610.99,683.65,637.15,629.28,589.95,604.03,675.40
1911,579.69,551.15,573.95,542.09,530.06,626.20,516.04,610.17,575.95,536.05,579.88,510.40,654.04,658.69,608.55,540.38,544.80,578.19,510.08,510.17,587.66,661.11,597.87,612.53,602.91,621.87,597.20
1912,679.48,673.09,614.18,593.71,654.61,698.46,681.35,713.78,620.57,664.61,687.04,650.60,775.40,807.92,680.13,615.98,641.47,678.76,634.00,607.40,678.59,771.08,702.16,703.26,650.53,676.85,743.68
1913,649.76,627.41,585.36,573.75,637.31,651.15,637.68,716.54,588.13,627.40,683.17,602.02,767.55,792.55,636.84,591.41,598.68,624.48,596.10,569.34,654.08,778.68,682.26,709.25,608.13,623.89,694.31
1914,568.51,547.79,503.72,482.11,558.67,570.17,544.57,633.38,509.82,542.19,595.70,506.74,692.04,713.32,568.87,485.69,510.29,543.80,504.58,479.71,571.93,703.28,624.33,635.03,535.10,559.92,626.13
1915,617.55,596.98,592.72,577.15,574.69,629.98,619.53,626.16,587.81,597.92,590.57,608.72,689.78,704.37,633.79,597.07,582.89,589.39,580.74,570.56,602.27,683.90,641.34,635.68,608.66,635.65,651.00
1916,708.12,683.80,652.86,642.10,665.07,707.98,731.90,744.36,652.40,691.87,690.81,703.68,809.90,816.99,698.67,675.51,662.83,672.11,684.03,660.07,685.42,803.72,747.17,745.10,678.52,693.16,766.50
1917,628.98,632.41,609.18,613.04,593.84,644.46,674.08,620.68,608.97,645.64,600.24,650.37,655.23,657.77,616.28,637.06,628.04,621.51,638.33,622.53,611.71,660.31,604.83,618.76,609.96,619.91,612.94
1918,538.69,519.53,535.69,527.73,479.60,565.33,549.32,510.45,530.55,532.02,488.80,554.43,570.18,565.45,561.16,550.84,531.56,515.23,532.09,528.81,518.12,554.05,535.63,520.95,548.11,567.59,563.55
1919,572.93,555.90,518.74,514.21,555.18,565.75,570.31,610.83,518.39,557.03,579.42,554.32,664.95,688.03,565.39,542.38,534.54,550.97,540.45,525.00,562.65,658.33,603.69,607.69,534.81,556.91,625.03
1920,508.04,503.50,479.73,471.01,479.76,517.79,526.75,517.44,482.99,511.90,491.14,508.02,558.63,565.79,502.49,489.97,496.02,492.90,497.22,480.64,491.24,556.86,510.99,518.86,496.05,499.03,525.18
1921,596.82,593.66,603.03,601.86,566.06,604.66,621.63,597.91,593.45,609.09,571.67,609.92,619.93,629.88,577.02,618.71,595.12,574.48,593.13,585.41,572.49,635.23,569.34,594.15,591.14,584.56,569.88
1922,630.84,644.88,611.75,611.76,602.61,642.81,698.81,626.14,609.54,656.78,599.35,690.75,640.08,651.91,606.66,651.42,634.38,632.45,643.97,628.16,603.18,646.26,594.92,612.14,607.90,613.37,606.28
1923,731.32,710.34,695.23,677.02,688.09,765.19,717.74,751.43,696.65,709.00,708.58,697.26,818.26,833.94,749.76,701.36,698.62,718.39,685.00,670.49,723.04,809.64,741.90,747.86,729.60,752.16,762.18
1924,626.76,617.17,617.79,602.76,588.70,651.58,648.53,628.11,616.00,630.27,599.33,630.31,667.21,675.94,634.06,619.84,616.76,609.14,638.33,607.83,598.49,668.53,599.98,613.45,628.61,641.68,613.17
1925,738.87,739.08,726.47,708.10,691.97,785.43,726.76,737.00,726.62,742.80,712.34,718.86,764.87,788.10,762.11,723.53,742.08,735.94,719.59,703.84,730.41,776.99,705.99,725.12,762.99,780.06,717.64
1926,681.52,671.30,609.05,597.59,671.24,674.35,676.29,766.07,617.04,669.69,718.27,644.52,809.80,830.93,628.45,625.06,638.17,668.57,647.69,616.78,683.91,827.61,696.79,744.33,613.64,617.15,724.79
1927,701.87,676.20,670.26,651.09,649.60,720.59,679.60,727.01,660.86,674.75,682.29,684.39,801.96,833.13,712.18,675.63,671.03,668.40,639.99,638.71,686.72,792.63,731.26,728.17,669.27,695.89,762.67
1928,759.97,740.98,738.37,706.49,727.97,800.19,721.33,779.37,728.07,735.90,759.20,706.05,829.31,827.30,792.80,709.77,736.09,748.43,706.93,698.81,762.07,829.78,776.79,786.53,783.21,801.81,786.66
1929,604.71,596.45,587.69,570.40,572.83,636.72,595.47,609.20,588.22,595.33,587.33,571.98,659.14,662.54,616.51,573.70,592.45,597.13,567.40,559.08,600.29,659.38,612.72,616.19,601.49,618.07,629.53
1930,721.16,713.55,674.23,668.36,704.75,745.22,737.56,750.88,680.61,719.65,722.77,720.46,781.02,792.53,715.26,701.10,697.79,693.91,693.80,681.10,719.14,804.85,711.87,745.88,694.66,715.45,726.35
1931,642.03,607.86,603.86,581.59,592.88,660.89,630.31,671.44,606.47,613.20,633.84,604.67,736.34,755.46,663.41,591.80,616.19,591.22,593.74,576.45,627.15,734.65,669.62,676.50,637.76,668.39,694.64
1932,636.79,648.05,638.93,628.45,608.27,657.35,684.32,607.46,640.66,674.49,588.88,647.13,647.58,657.26,627.44,640.50,652.75,616.13,659.09,628.67,606.51,651.05,592.07,603.11,652.54,641.63,606.73
1933,593.62,612.33,543.12,557.28,589.54,586.13,671.67,614.85,555.73,642.81,584.44,651.04,632.55,645.15,532.59,607.86,591.08,567.11,627.27,590.37,568.01,661.05,545.43,592.69,539.07,536.70,557.33
1934,607.22,595.23,583.40,574.72,570.99,629.86,602.30,610.38,583.53,600.15,586.03,585.90,672.65,673.43,611.82,585.13,596.28,583.66,574.80,568.63,594.55,659.16,626.12,619.39,597.21,605.49,643.01
1935,718.09,686.11,712.37,702.41,662.71,742.47,701.53,718.47,695.02,695.34,694.72,705.59,779.42,787.53,737.56,719.06,698.34,670.44,682.31,685.18,701.41,771.37,729.67,728.05,723.18,742.01,741.83
1936,646.41,622.59,597.34,575.40,602.30,646.27,635.02,681.53,593.18,628.55,640.55,590.92,767.02,779.75,660.45,578.22,606.14,611.69,599.32,564.98,637.82,749.08,700.16,692.47,621.69,644.21,721.39
1937,655.17,639.55,643.79,614.03,605.01,682.51,648.93,668.55,643.91,649.73,635.41,617.16,719.85,722.03,655.47,610.38,660.41,627.10,628.83,611.29,638.85,717.65,664.61,667.53,655.20,663.62,691.72
1938,585.28,557.82,568.59,555.57,532.93,615.19,565.14,602.66,572.48,570.96,565.14,538.58,659.84,677.34,604.03,553.45,589.07,537.06,543.09,539.49,557.74,657.24,588.59,593.52,590.16,608.36,613.76
1939,524.41,523.18,474.20,471.19,508.80,529.44,561.20,556.16,479.88,539.76,520.97,525.23,589.57,606.26,499.97,493.31,509.27,496.04,521.19,493.60,506.53,600.65,518.55,539.23,494.17,504.51,534.22
1940,647.74,649.74,596.16,582.56,620.69,658.64,681.69,676.52,615.95,673.96,643.05,626.12,725.70,749.43,622.75,600.74,642.75,612.91,644.77,600.76,624.16,725.69,645.50,659.06,620.98,619.34,664.87
1941,521.80,495.31,473.10,464.50,499.28,518.01,519.17,562.43,486.13,507.98,524.00,496.81,625.56,654.66,484.77,482.09,494.12,478.13,504.27,477.58,500.14,614.51,545.25,552.77,485.13,495.69,585.41
1942,564.28,543.42,567.71,557.01,514.08,594.32,538.54,557.26,560.30,547.70,536.94,538.45,594.94,613.61,597.19,551.70,564.29,548.68,536.34,537.33,556.89,587.05,560.20,562.11,586.05,602.73,565.84
1943,644.76,640.01,642.50,625.73,615.24,667.91,685.27,631.95,639.12,662.94,612.49,653.31,664.63,667.09,657.73,633.55,636.61,620.26,641.64,619.44,623.21,662.52,627.10,630.05,662.91,672.02,631.69
1944,605.92,582.15,574.94,567.81,542.28,618.42,616.11,592.50,578.29,601.38,562.99,601.34,697.70,701.56,603.36,587.54,591.02,564.34,586.51,573.43,570.58,661.44,628.56,602.23,596.65,611.41,669.06
1945,710.45,723.66,671.27,669.64,688.16,713.16,761.75,713.37,681.75,747.53,686.09,718.90,766.50,798.84,668.53,688.86,698.11,694.89,730.67,689.08,681.97,770.78,692.96,704.69,665.10,676.19,711.82
1946,587.11,590.94,555.81,541.15,572.15,594.50,597.49,614.98,552.20,596.52,593.52,545.49,650.40,656.32,572.81,530.44,569.24,584.61,584.22,534.50,592.14,652.40,595.18,614.29,561.27,568.38,608.84
1947,554.98,573.66,513.20,518.19,542.05,566.49,609.24,552.26,528.46,589.94,526.75,592.49,584.56,608.19,536.80,564.38,549.15,538.23,575.35,543.91,530.62,586.18,523.94,534.47,523.49,532.53,537.24
1948,659.09,663.55,645.60,619.44,637.43,704.83,658.12,669.14,639.17,655.25,642.36,613.03,706.09,708.73,683.72,609.90,644.20,666.22,631.56,601.37,655.11,705.58,654.60,661.60,669.60,691.62,662.04
1949,658.35,643.83,630.10,597.26,622.11,686.87,644.60,682.36,637.41,650.20,649.63,581.97,741.74,739.33,686.66,579.21,639.05,632.40,619.89,582.31,644.01,735.86,690.20,686.92,668.13,692.24,709.97
1950,756.15,774.39,669.08,656.63,759.15,759.89,795.75,805.70,681.39,780.30,774.55,716.64,859.27,873.75,732.98,671.34,726.37,749.47,744.68,682.93,747.98,862.37,763.04,792.31,717.42,731.72,786.58
1951,512.60,491.19,529.99,515.49,455.03,543.23,520.97,491.58,529.50,511.40,473.82,482.73,548.67,541.60,525.35,504.96,523.98,468.86,496.57,493.81,483.78,534.23,510.48,500.12,535.13,537.33,520.80
1952,748.81,722.00,726.50,707.32,698.28,796.42,741.28,754.50,730.22,729.25,714.26,704.16,832.76,828.79,773.35,703.19,727.41,715.98,700.32,692.20,732.00,815.02,769.51,763.87,756.73,777.52,791.48
1953,545.57,513.90,556.22,542.34,489.49,561.03,530.52,536.08,547.62,526.42,511.17,540.28,590.44,588.55,542.50,549.65,535.78,513.47,521.60,529.99,523.41,579.11,574.18,554.96,550.59,547.37,585.84
1954,682.75,684.81,646.86,629.22,672.19,703.96,696.23,708.34,651.09,682.96,687.78,624.89,740.98,765.78,698.57,618.26,663.93,683.45,651.38,620.83,686.02,751.26,673.01,699.00,683.31,702.63,686.33
