Variable:,pr
,"Puerto Rico",Aguadilla,Arecibo,Bayamon,Guayama,Humacao,Mayaguez,Ponce,"San Juan"
1901,2633.09,2641.39,2627.11,2569.15,2564.15,2961.92,2552.62,2600.59,2419.53
1902,2306.53,2290.32,2303.47,2261.95,2257.77,2639.49,2221.13,2283.21,2118.51
1903,2088.71,2112.88,2088.14,2020.13,2019.52,2326.43,2042.92,2064.47,1904.02
1904,2196.14,2187.31,2209.34,2152.94,2156.87,2427.54,2113.37,2188.56,2051.12
1905,2133.47,2142.30,2143.21,2072.99,2070.49,2383.73,2064.55,2117.26,1953.97
1906,1941.76,1985.71,1919.61,1867.69,1858.42,2195.91,1916.41,1896.32,1740.45
1907,1893.41,1885.04,1882.87,1861.58,1861.04,2138.33,1828.75,1869.73,1757.33
1908,2014.48,1999.59,2016.96,1985.26,1988.43,2239.87,1935.99,2001.97,1891.73
1909,2112.14,2120.45,2098.63,2061.86,2050.06,2409.40,2045.01,2075.80,1926.72
1910,2106.25,2064.50,2104.80,2096.68,2099.07,2380.70,2004.68,2094.04,1992.89
1911,2239.70,2195.50,2241.15,2225.08,2227.82,2536.73,2132.82,2228.55,2109.76
1912,1879.96,1942.73,1896.15,1775.12,1780.86,2036.00,1869.79,1865.52,1676.92
1913,1924.67,1941.39,1928.86,1864.94,1865.41,2141.17,1874.33,1906.73,1761.09
1914,2159.69,2179.63,2170.90,2089.24,2094.26,2376.09,2107.44,2146.83,1981.43
1915,1990.66,1982.29,1982.15,1957.17,1950.79,2261.40,1916.05,1964.22,1841.58
1916,2224.97,2255.54,2217.84,2149.00,2134.69,2524.31,2169.10,2186.46,2000.81
1917,1859.90,1886.97,1858.55,1792.34,1788.30,2084.41,1820.07,1834.47,1678.99
1918,1882.31,1898.78,1888.17,1825.28,1831.91,2065.02,1835.97,1869.59,1737.18
1919,1955.30,1957.91,1941.02,1911.22,1900.65,2244.96,1891.34,1921.05,1781.56
1920,1895.75,1879.41,1893.96,1871.85,1876.94,2108.04,1821.29,1882.48,1785.80
1921,2000.60,2007.06,1995.45,1954.00,1953.88,2234.77,1937.79,1976.85,1847.88
1922,1998.29,1980.49,2001.32,1969.67,1980.01,2211.75,1921.82,1989.82,1883.05
1923,1751.56,1785.02,1761.03,1678.71,1685.30,1913.25,1721.96,1738.80,1591.32
1924,2004.73,1992.68,2008.45,1971.80,1970.72,2242.69,1927.31,1990.61,1871.22
1925,1839.53,1895.69,1846.24,1748.40,1753.24,1993.52,1823.88,1819.86,1655.57
1926,1941.71,2001.51,1948.42,1849.54,1855.00,2090.05,1926.60,1921.26,1760.74
1927,2137.52,2172.48,2128.41,2061.54,2053.20,2408.77,2090.11,2100.18,1926.69
1928,2639.87,2687.57,2657.39,2528.42,2528.86,2916.13,2590.64,2618.98,2379.93
1929,1861.75,1882.94,1861.81,1800.20,1796.77,2083.01,1816.76,1839.07,1691.22
1930,1698.11,1674.45,1694.37,1678.81,1680.30,1928.80,1623.72,1683.60,1584.96
