Variable:,pr
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
1901,1059.35,1994.49,1566.68,640.06,1011.22,1039.14,210.64,225.38,1126.68,576.91
1902,1108.48,1980.45,1658.70,645.73,1155.20,1239.42,230.44,232.65,1114.55,654.35
1903,1202.56,1785.11,1790.84,855.75,1401.07,1497.42,277.25,326.87,1121.99,980.87
1904,1077.59,2077.45,1615.49,586.94,1092.06,1126.28,209.58,208.28,1107.83,577.80
1905,1104.72,1673.59,1684.22,600.69,1284.04,1303.47,244.19,219.92,1119.02,546.05
1906,1088.58,1669.89,1652.03,640.99,1208.57,1221.34,218.49,224.34,1113.34,688.90
1907,1091.78,1335.71,1651.26,619.69,1294.59,1374.14,262.53,222.25,1114.45,650.55
1908,1068.41,1271.64,1659.92,520.46,1284.71,1295.02,225.46,199.91,1119.57,536.43
1909,1055.48,1254.30,1636.86,553.38,1248.24,1235.38,231.45,202.77,1114.70,569.75
1910,1061.27,1139.89,1625.10,689.09,1234.56,1213.86,217.10,249.85,1113.16,793.36
1911,1126.54,1357.31,1716.20,613.09,1390.24,1474.18,309.88,246.12,1116.96,608.65
1912,1120.68,1873.78,1668.62,600.91,1209.75,1274.64,246.85,230.00,1151.95,604.48
1913,1101.50,1606.02,1701.07,562.77,1185.45,1357.66,257.04,222.04,1102.36,626.08
1914,1099.33,1847.98,1690.63,516.91,1221.34,1302.41,248.70,195.02,1101.79,514.53
1915,1116.82,1778.28,1710.84,558.83,1277.94,1380.67,268.82,210.63,1098.96,559.73
1916,1041.77,1671.75,1596.75,530.86,1091.61,1159.77,223.60,191.72,1088.34,521.79
1917,1027.60,1197.43,1589.07,553.28,1153.29,1226.00,242.37,223.45,1082.34,538.52
1918,1181.84,2043.15,1737.82,676.19,1374.54,1386.09,285.60,263.31,1156.88,751.46
1919,1208.77,2363.72,1758.40,662.35,1264.28,1431.21,260.72,253.01,1176.48,772.96
1920,1144.46,1726.78,1731.68,516.36,1351.95,1459.43,299.06,232.09,1132.84,554.71
1921,1071.30,1376.96,1567.80,766.36,1135.77,1187.31,267.26,277.18,1123.70,871.06
1922,1119.04,1555.23,1673.56,576.61,1278.86,1400.74,285.26,222.95,1141.90,625.88
1923,1038.39,1248.65,1604.51,540.68,1181.62,1247.64,229.11,225.51,1088.38,530.11
1924,1004.01,1867.46,1558.28,413.77,997.82,1037.93,196.71,183.11,1061.49,367.64
1925,1067.43,1778.46,1609.57,538.83,1104.53,1222.34,228.75,222.50,1102.48,517.32
1926,1048.29,1481.47,1582.32,559.89,1126.49,1128.59,246.64,209.75,1132.42,605.15
1927,1092.78,1215.20,1643.64,678.25,1278.71,1311.08,279.76,268.23,1134.28,726.60
1928,1134.88,1812.82,1669.06,656.77,1229.61,1317.22,270.75,247.88,1156.62,722.78
1929,1157.58,1785.83,1738.44,593.56,1349.51,1437.90,288.93,237.58,1146.70,630.22
1930,1185.69,2124.22,1770.02,675.74,1296.63,1474.75,247.44,222.49,1134.34,760.29
1931,1087.74,1828.47,1657.47,591.04,1134.07,1248.75,213.41,217.68,1086.21,745.26
1932,1142.37,1647.33,1737.45,647.46,1340.40,1429.07,241.78,224.20,1124.17,737.39
1933,1037.32,1587.31,1595.30,550.61,1090.86,1139.94,196.91,196.55,1085.49,639.16
1934,1085.04,1816.94,1676.03,445.01,1152.90,1381.09,293.87,186.76,1067.24,465.24
1935,997.00,1381.51,1558.66,405.42,1064.36,1117.74,225.06,165.16,1087.70,382.09
1936,1067.64,2067.56,1639.26,509.31,1105.02,1217.96,225.36,195.26,1065.63,377.20
1937,1077.45,2032.24,1602.95,550.17,1132.48,1183.72,263.76,205.20,1107.16,448.05
