Variable:,pr
,Turkmenistan,Chardzhou,"Administrative unit not available",Mary,Tashauz,Balkan,Ahal
1901,115.32,92.48,95.59,98.16,117.57,126.25,141.78
1902,155.03,146.83,127.03,179.66,131.88,143.90,177.00
1903,139.37,135.10,135.85,168.10,94.76,140.59,150.33
1904,141.82,125.12,120.80,171.83,97.60,135.09,176.63
1905,130.98,109.55,140.10,109.68,124.11,157.22,142.55
1906,167.91,152.43,165.58,163.91,130.75,183.34,195.31
1907,163.23,176.53,134.19,186.23,111.85,154.60,183.48
1908,138.36,130.63,157.99,147.20,84.12,163.06,144.54
1909,120.40,111.92,129.33,137.46,70.46,136.45,129.39
1910,107.54,100.94,88.64,144.83,59.46,102.02,126.95
1911,161.79,153.09,185.97,177.14,91.54,191.72,167.94
1912,121.15,118.46,106.76,146.94,71.77,120.32,140.99
1913,163.71,162.01,153.60,200.71,93.73,170.79,177.81
1914,159.15,167.95,141.63,198.73,109.16,149.38,167.32
1915,166.48,121.61,179.01,147.85,140.71,206.27,195.54
1916,141.42,131.08,126.71,170.88,110.35,145.44,146.82
1917,81.33,46.07,95.39,57.30,69.31,117.68,99.50
1918,155.14,160.96,116.35,191.76,117.78,137.35,173.51
1919,128.91,120.56,133.06,110.03,116.30,146.62,140.69
1920,153.91,136.97,147.98,162.28,117.09,162.37,181.12
1921,131.75,126.41,115.43,142.94,99.22,137.09,147.85
1922,155.24,152.57,129.39,201.10,114.16,139.72,171.48
1923,164.49,180.10,122.70,229.26,100.81,137.08,180.11
1924,192.68,196.76,169.47,233.41,131.11,184.56,211.97
1925,105.38,101.70,77.84,104.45,86.33,107.97,126.07
1926,170.53,160.11,147.44,181.59,139.90,179.53,187.33
1927,118.54,103.18,123.54,118.83,84.92,138.09,133.53
1928,149.03,110.92,162.84,128.83,114.24,199.23,166.95
1929,107.31,115.55,86.99,136.61,66.40,96.01,120.81
1930,140.35,128.02,119.86,155.06,107.74,140.38,167.47
1931,198.96,202.46,151.57,246.25,132.58,188.34,224.73
1932,157.51,148.55,131.59,174.78,124.83,158.03,179.59
1933,172.26,195.18,123.67,203.45,134.66,149.50,186.62
1934,141.80,147.75,116.05,159.88,114.43,127.72,161.69
1935,123.97,122.21,121.66,128.78,94.02,133.61,132.20
1936,117.39,113.67,81.40,135.43,96.93,103.10,144.25
1937,114.23,120.70,86.69,143.77,74.68,98.44,135.11
1938,139.90,150.88,125.62,169.35,101.93,133.06,141.94
1939,176.94,191.29,121.80,230.54,127.83,142.85,203.39
1940,150.28,160.30,120.31,153.28,150.67,143.89,150.93
1941,165.47,175.79,121.71,196.60,113.51,158.24,183.47
1942,131.88,132.64,134.77,150.21,85.77,142.24,135.78
1943,169.55,168.69,146.09,216.24,94.83,168.08,190.63
1944,98.38,92.67,101.98,116.09,69.44,102.76,103.66
1945,157.55,171.60,126.45,204.82,109.79,138.46,166.16
1946,123.63,106.20,146.23,136.33,82.05,139.03,136.98
1947,112.01,102.17,98.85,109.63,92.92,121.65,128.82
1948,128.85,129.36,99.90,140.92,93.36,128.65,149.70
1949,149.16,178.08,114.84,200.18,101.12,118.60,154.11
1950,114.41,113.15,88.52,132.45,76.79,111.68,135.57
1951,139.96,129.03,155.04,151.79,103.36,152.90,148.29
1952,177.08,187.91,141.67,210.87,131.72,164.31,192.23
1953,193.51,213.00,146.79,267.12,115.04,160.66,215.82
1954,151.27,148.44,118.73,190.67,97.07,144.74,173.70
1955,127.94,108.39,138.50,138.78,81.56,146.81,147.02
1956,163.58,161.54,143.04,218.45,90.93,158.26,181.28
1957,156.67,142.22,144.27,186.02,93.37,174.71,172.73
1958,141.51,164.57,101.14,171.63,124.24,111.17,149.03
1959,171.52,165.43,157.54,214.38,107.08,182.90,176.51
1960,128.35,135.10,118.48,153.49,81.36,129.23,135.22
1961,121.98,123.38,110.29,168.86,65.43,109.26,138.63
1962,151.53,145.21,138.85,165.02,111.72,148.93,180.35
1963,166.11,151.61,171.40,183.68,129.88,174.61,180.23
1964,165.70,170.22,136.41,191.89,125.67,161.21,178.93
1965,149.11,121.38,157.15,169.50,102.60,168.84,167.39
1966,142.92,119.82,150.04,124.62,143.12,153.60,166.78
1967,167.25,176.84,147.53,203.42,128.64,152.22,176.03
1968,176.08,152.70,155.77,209.56,110.82,193.27,201.43
1969,254.88,256.94,236.72,245.51,225.60,268.39,269.63
1970,131.55,126.04,135.14,141.09,85.46,150.88,138.53
1971,113.75,102.01,92.10,140.16,78.81,107.83,139.03
1972,173.45,169.75,145.06,211.89,89.37,179.81,203.00
1973,168.73,178.18,154.91,189.80,146.67,164.52,164.78
1974,156.39,151.90,115.71,241.45,79.72,133.91,177.34
1975,115.58,118.56,90.71,163.16,60.75,105.19,128.50
1976,182.36,173.36,155.25,244.48,108.06,168.73,213.13
1977,144.45,138.22,114.44,165.35,100.30,142.92,172.26
1978,202.19,206.01,148.20,218.71,176.54,193.08,224.09
1979,175.39,156.33,170.26,207.38,124.89,185.59,192.00
1980,176.17,180.51,166.99,221.18,119.20,173.60,179.03
1981,226.50,216.27,206.64,233.22,205.74,221.88,254.83
1982,179.70,191.05,154.99,268.82,98.07,152.73,187.23
1983,132.35,142.55,107.13,148.61,118.04,114.59,144.60
1984,149.95,141.22,166.84,151.62,110.07,169.65,159.13
1985,130.94,140.24,109.44,151.12,104.02,121.70,139.01
1986,134.21,118.85,133.44,151.42,94.68,139.35,157.09
1987,171.28,166.82,173.12,159.41,146.47,196.31,174.06
1988,176.19,179.96,193.80,193.34,118.95,189.74,179.50
1989,133.06,134.74,110.96,149.02,116.78,127.21,140.84
1990,147.82,152.28,146.60,179.24,116.31,145.29,142.29
1991,171.24,170.35,178.47,202.14,116.87,179.70,173.26
1992,200.05,199.84,165.48,229.84,162.70,188.24,222.27
1993,174.95,187.09,158.19,208.12,122.48,166.45,185.75
1994,153.30,163.65,157.91,162.83,143.51,152.47,141.78
1995,112.31,112.63,117.60,136.69,81.06,111.68,113.00
1996,110.39,106.23,122.93,127.16,65.05,119.30,119.76
1997,140.48,167.21,134.37,171.62,86.03,132.17,137.88
1998,162.48,195.22,109.67,211.83,109.31,131.43,173.75
1999,131.08,142.19,122.40,152.96,95.97,124.98,135.56
2000,118.65,120.80,130.65,116.08,98.18,132.74,114.33
2001,125.48,141.05,95.73,148.04,112.28,109.35,124.95
2002,177.31,198.23,164.22,212.05,129.46,171.86,170.40
2003,194.42,207.82,185.57,231.31,151.88,175.97,203.28
2004,177.77,177.85,162.42,217.37,132.43,168.15,190.49
2005,164.98,167.14,183.24,181.64,125.47,173.57,163.08
2006,151.16,157.47,155.45,164.75,128.56,151.72,147.78
2007,156.92,165.87,122.48,192.03,118.25,143.52,168.56
2008,93.53,110.80,100.77,94.23,82.06,93.84,82.23
2009,179.97,204.38,134.36,234.22,117.26,155.94,192.17
2010,127.90,119.36,117.66,135.13,90.41,137.39,148.07
2011,157.16,133.28,164.48,149.23,122.53,183.87,179.46
2012,159.63,172.28,150.98,203.20,94.18,160.10,158.38
2013,140.84,159.65,87.84,145.60,135.41,123.90,152.98
2014,136.68,163.64,80.07,157.95,130.00,105.99,144.40
2015,178.84,186.82,129.32,217.20,144.74,160.69,194.26
2016,173.69,177.68,136.01,171.80,170.85,163.95,192.62
2017,145.42,155.44,103.01,179.14,119.63,124.40,158.50
2018,135.30,129.17,102.78,150.26,107.52,127.67,164.06
2019,191.65,201.93,124.30,242.88,125.17,163.84,232.10
2020,167.36,175.99,111.03,222.77,104.24,141.23,199.11
