Variable:,pr
,"St. Kitts and Nevis","Christ Church Nichola Town","Saint Anne Sandy Point","Saint George Basseterre","Saint George Gingerland","Saint James Windward","Saint John Capisterre","Saint John Figtree","Saint Mary Cayon","Saint Paul Capisterre","Saint Paul Charlestown","Saint Peter Basseterre","Saint Thomas Lowland","Saint Thomas Middle Island","Trinity Palmetto Point"
1901,2336.80,2336.80,2336.80,2336.80,2336.80,2336.80,2336.80,2336.80,2336.80,2336.80,2336.80,2336.80,2336.80,2336.80,2336.80
1902,2215.10,2215.10,2215.10,2215.10,2215.10,2215.10,2215.10,2215.10,2215.10,2215.10,2215.10,2215.10,2215.10,2215.10,2215.10
1903,2152.00,2152.00,2152.00,2152.00,2152.00,2152.00,2152.00,2152.00,2152.00,2152.00,2152.00,2152.00,2152.00,2152.00,2152.00
1904,2135.00,2135.00,2135.00,2135.00,2135.00,2135.00,2135.00,2135.00,2135.00,2135.00,2135.00,2135.00,2135.00,2135.00,2135.00
1905,2159.60,2159.60,2159.60,2159.60,2159.60,2159.60,2159.60,2159.60,2159.60,2159.60,2159.60,2159.60,2159.60,2159.60,2159.60
1906,2137.00,2137.00,2137.00,2137.00,2137.00,2137.00,2137.00,2137.00,2137.00,2137.00,2137.00,2137.00,2137.00,2137.00,2137.00
1907,2057.50,2057.50,2057.50,2057.50,2057.50,2057.50,2057.50,2057.50,2057.50,2057.50,2057.50,2057.50,2057.50,2057.50,2057.50
1908,2068.10,2068.10,2068.10,2068.10,2068.10,2068.10,2068.10,2068.10,2068.10,2068.10,2068.10,2068.10,2068.10,2068.10,2068.10
1909,2263.30,2263.30,2263.30,2263.30,2263.30,2263.30,2263.30,2263.30,2263.30,2263.30,2263.30,2263.30,2263.30,2263.30,2263.30
1910,2168.40,2168.40,2168.40,2168.40,2168.40,2168.40,2168.40,2168.40,2168.40,2168.40,2168.40,2168.40,2168.40,2168.40,2168.40
1911,2216.10,2216.10,2216.10,2216.10,2216.10,2216.10,2216.10,2216.10,2216.10,2216.10,2216.10,2216.10,2216.10,2216.10,2216.10
1912,2058.60,2058.60,2058.60,2058.60,2058.60,2058.60,2058.60,2058.60,2058.60,2058.60,2058.60,2058.60,2058.60,2058.60,2058.60
1913,2126.70,2126.70,2126.70,2126.70,2126.70,2126.70,2126.70,2126.70,2126.70,2126.70,2126.70,2126.70,2126.70,2126.70,2126.70
1914,2142.70,2142.70,2142.70,2142.70,2142.70,2142.70,2142.70,2142.70,2142.70,2142.70,2142.70,2142.70,2142.70,2142.70,2142.70
1915,2198.10,2198.10,2198.10,2198.10,2198.10,2198.10,2198.10,2198.10,2198.10,2198.10,2198.10,2198.10,2198.10,2198.10,2198.10
1916,2261.00,2261.00,2261.00,2261.00,2261.00,2261.00,2261.00,2261.00,2261.00,2261.00,2261.00,2261.00,2261.00,2261.00,2261.00
1917,2070.90,2070.90,2070.90,2070.90,2070.90,2070.90,2070.90,2070.90,2070.90,2070.90,2070.90,2070.90,2070.90,2070.90,2070.90
1918,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00
1919,2193.90,2193.90,2193.90,2193.90,2193.90,2193.90,2193.90,2193.90,2193.90,2193.90,2193.90,2193.90,2193.90,2193.90,2193.90
1920,2087.90,2087.90,2087.90,2087.90,2087.90,2087.90,2087.90,2087.90,2087.90,2087.90,2087.90,2087.90,2087.90,2087.90,2087.90
1921,2145.80,2145.80,2145.80,2145.80,2145.80,2145.80,2145.80,2145.80,2145.80,2145.80,2145.80,2145.80,2145.80,2145.80,2145.80
1922,2119.30,2119.30,2119.30,2119.30,2119.30,2119.30,2119.30,2119.30,2119.30,2119.30,2119.30,2119.30,2119.30,2119.30,2119.30
1923,2012.20,2012.20,2012.20,2012.20,2012.20,2012.20,2012.20,2012.20,2012.20,2012.20,2012.20,2012.20,2012.20,2012.20,2012.20
1924,2158.90,2158.90,2158.90,2158.90,2158.90,2158.90,2158.90,2158.90,2158.90,2158.90,2158.90,2158.90,2158.90,2158.90,2158.90
1925,2037.90,2037.90,2037.90,2037.90,2037.90,2037.90,2037.90,2037.90,2037.90,2037.90,2037.90,2037.90,2037.90,2037.90,2037.90
1926,2073.30,2073.30,2073.30,2073.30,2073.30,2073.30,2073.30,2073.30,2073.30,2073.30,2073.30,2073.30,2073.30,2073.30,2073.30
1927,2228.10,2228.10,2228.10,2228.10,2228.10,2228.10,2228.10,2228.10,2228.10,2228.10,2228.10,2228.10,2228.10,2228.10,2228.10
1928,2291.60,2291.60,2291.60,2291.60,2291.60,2291.60,2291.60,2291.60,2291.60,2291.60,2291.60,2291.60,2291.60,2291.60,2291.60
1929,2085.40,2085.40,2085.40,2085.40,2085.40,2085.40,2085.40,2085.40,2085.40,2085.40,2085.40,2085.40,2085.40,2085.40,2085.40
1930,2044.80,2044.80,2044.80,2044.80,2044.80,2044.80,2044.80,2044.80,2044.80,2044.80,2044.80,2044.80,2044.80,2044.80,2044.80
1931,2475.30,2475.30,2475.30,2475.30,2475.30,2475.30,2475.30,2475.30,2475.30,2475.30,2475.30,2475.30,2475.30,2475.30,2475.30
1932,2248.80,2248.80,2248.80,2248.80,2248.80,2248.80,2248.80,2248.80,2248.80,2248.80,2248.80,2248.80,2248.80,2248.80,2248.80
1933,2249.70,2249.70,2249.70,2249.70,2249.70,2249.70,2249.70,2249.70,2249.70,2249.70,2249.70,2249.70,2249.70,2249.70,2249.70
1934,2046.00,2046.00,2046.00,2046.00,2046.00,2046.00,2046.00,2046.00,2046.00,2046.00,2046.00,2046.00,2046.00,2046.00,2046.00
1935,2096.00,2096.00,2096.00,2096.00,2096.00,2096.00,2096.00,2096.00,2096.00,2096.00,2096.00,2096.00,2096.00,2096.00,2096.00
1936,2276.40,2276.40,2276.40,2276.40,2276.40,2276.40,2276.40,2276.40,2276.40,2276.40,2276.40,2276.40,2276.40,2276.40,2276.40
1937,1985.20,1985.20,1985.20,1985.20,1985.20,1985.20,1985.20,1985.20,1985.20,1985.20,1985.20,1985.20,1985.20,1985.20,1985.20
1938,2193.00,2193.00,2193.00,2193.00,2193.00,2193.00,2193.00,2193.00,2193.00,2193.00,2193.00,2193.00,2193.00,2193.00,2193.00
1939,2022.20,2022.20,2022.20,2022.20,2022.20,2022.20,2022.20,2022.20,2022.20,2022.20,2022.20,2022.20,2022.20,2022.20,2022.20
1940,2091.70,2091.70,2091.70,2091.70,2091.70,2091.70,2091.70,2091.70,2091.70,2091.70,2091.70,2091.70,2091.70,2091.70,2091.70
1941,2074.10,2074.10,2074.10,2074.10,2074.10,2074.10,2074.10,2074.10,2074.10,2074.10,2074.10,2074.10,2074.10,2074.10,2074.10
1942,2224.10,2224.10,2224.10,2224.10,2224.10,2224.10,2224.10,2224.10,2224.10,2224.10,2224.10,2224.10,2224.10,2224.10,2224.10
1943,2052.60,2052.60,2052.60,2052.60,2052.60,2052.60,2052.60,2052.60,2052.60,2052.60,2052.60,2052.60,2052.60,2052.60,2052.60
1944,2190.50,2190.50,2190.50,2190.50,2190.50,2190.50,2190.50,2190.50,2190.50,2190.50,2190.50,2190.50,2190.50,2190.50,2190.50
1945,1898.50,1898.50,1898.50,1898.50,1898.50,1898.50,1898.50,1898.50,1898.50,1898.50,1898.50,1898.50,1898.50,1898.50,1898.50
1946,2017.60,2017.60,2017.60,2017.60,2017.60,2017.60,2017.60,2017.60,2017.60,2017.60,2017.60,2017.60,2017.60,2017.60,2017.60
1947,1834.80,1834.80,1834.80,1834.80,1834.80,1834.80,1834.80,1834.80,1834.80,1834.80,1834.80,1834.80,1834.80,1834.80,1834.80
1948,2207.80,2207.80,2207.80,2207.80,2207.80,2207.80,2207.80,2207.80,2207.80,2207.80,2207.80,2207.80,2207.80,2207.80,2207.80
1949,2193.40,2193.40,2193.40,2193.40,2193.40,2193.40,2193.40,2193.40,2193.40,2193.40,2193.40,2193.40,2193.40,2193.40,2193.40
1950,2247.30,2247.30,2247.30,2247.30,2247.30,2247.30,2247.30,2247.30,2247.30,2247.30,2247.30,2247.30,2247.30,2247.30,2247.30
1951,2119.10,2119.10,2119.10,2119.10,2119.10,2119.10,2119.10,2119.10,2119.10,2119.10,2119.10,2119.10,2119.10,2119.10,2119.10
1952,2595.70,2595.70,2595.70,2595.70,2595.70,2595.70,2595.70,2595.70,2595.70,2595.70,2595.70,2595.70,2595.70,2595.70,2595.70
1953,2125.50,2125.50,2125.50,2125.50,2125.50,2125.50,2125.50,2125.50,2125.50,2125.50,2125.50,2125.50,2125.50,2125.50,2125.50
1954,2433.40,2433.40,2433.40,2433.40,2433.40,2433.40,2433.40,2433.40,2433.40,2433.40,2433.40,2433.40,2433.40,2433.40,2433.40
1955,2320.30,2320.30,2320.30,2320.30,2320.30,2320.30,2320.30,2320.30,2320.30,2320.30,2320.30,2320.30,2320.30,2320.30,2320.30
1956,2341.90,2341.90,2341.90,2341.90,2341.90,2341.90,2341.90,2341.90,2341.90,2341.90,2341.90,2341.90,2341.90,2341.90,2341.90
1957,1901.70,1901.70,1901.70,1901.70,1901.70,1901.70,1901.70,1901.70,1901.70,1901.70,1901.70,1901.70,1901.70,1901.70,1901.70
1958,2655.90,2655.90,2655.90,2655.90,2655.90,2655.90,2655.90,2655.90,2655.90,2655.90,2655.90,2655.90,2655.90,2655.90,2655.90
1959,1974.00,1974.00,1974.00,1974.00,1974.00,1974.00,1974.00,1974.00,1974.00,1974.00,1974.00,1974.00,1974.00,1974.00,1974.00
1960,2552.50,2552.50,2552.50,2552.50,2552.50,2552.50,2552.50,2552.50,2552.50,2552.50,2552.50,2552.50,2552.50,2552.50,2552.50
1961,1997.60,1997.60,1997.60,1997.60,1997.60,1997.60,1997.60,1997.60,1997.60,1997.60,1997.60,1997.60,1997.60,1997.60,1997.60
1962,2138.70,2138.70,2138.70,2138.70,2138.70,2138.70,2138.70,2138.70,2138.70,2138.70,2138.70,2138.70,2138.70,2138.70,2138.70
1963,2068.40,2068.40,2068.40,2068.40,2068.40,2068.40,2068.40,2068.40,2068.40,2068.40,2068.40,2068.40,2068.40,2068.40,2068.40
1964,1787.10,1787.10,1787.10,1787.10,1787.10,1787.10,1787.10,1787.10,1787.10,1787.10,1787.10,1787.10,1787.10,1787.10,1787.10
1965,2141.60,2141.60,2141.60,2141.60,2141.60,2141.60,2141.60,2141.60,2141.60,2141.60,2141.60,2141.60,2141.60,2141.60,2141.60
1966,2159.90,2159.90,2159.90,2159.90,2159.90,2159.90,2159.90,2159.90,2159.90,2159.90,2159.90,2159.90,2159.90,2159.90,2159.90
1967,1809.70,1809.70,1809.70,1809.70,1809.70,1809.70,1809.70,1809.70,1809.70,1809.70,1809.70,1809.70,1809.70,1809.70,1809.70
1968,1832.00,1832.00,1832.00,1832.00,1832.00,1832.00,1832.00,1832.00,1832.00,1832.00,1832.00,1832.00,1832.00,1832.00,1832.00
1969,2544.20,2544.20,2544.20,2544.20,2544.20,2544.20,2544.20,2544.20,2544.20,2544.20,2544.20,2544.20,2544.20,2544.20,2544.20
1970,2529.50,2529.50,2529.50,2529.50,2529.50,2529.50,2529.50,2529.50,2529.50,2529.50,2529.50,2529.50,2529.50,2529.50,2529.50
1971,2062.00,2062.00,2062.00,2062.00,2062.00,2062.00,2062.00,2062.00,2062.00,2062.00,2062.00,2062.00,2062.00,2062.00,2062.00
1972,1970.20,1970.20,1970.20,1970.20,1970.20,1970.20,1970.20,1970.20,1970.20,1970.20,1970.20,1970.20,1970.20,1970.20,1970.20
1973,1583.00,1583.00,1583.00,1583.00,1583.00,1583.00,1583.00,1583.00,1583.00,1583.00,1583.00,1583.00,1583.00,1583.00,1583.00
1974,2033.70,2033.70,2033.70,2033.70,2033.70,2033.70,2033.70,2033.70,2033.70,2033.70,2033.70,2033.70,2033.70,2033.70,2033.70
1975,2105.80,2105.80,2105.80,2105.80,2105.80,2105.80,2105.80,2105.80,2105.80,2105.80,2105.80,2105.80,2105.80,2105.80,2105.80
1976,1797.10,1797.10,1797.10,1797.10,1797.10,1797.10,1797.10,1797.10,1797.10,1797.10,1797.10,1797.10,1797.10,1797.10,1797.10
1977,2055.10,2055.10,2055.10,2055.10,2055.10,2055.10,2055.10,2055.10,2055.10,2055.10,2055.10,2055.10,2055.10,2055.10,2055.10
1978,1931.80,1931.80,1931.80,1931.80,1931.80,1931.80,1931.80,1931.80,1931.80,1931.80,1931.80,1931.80,1931.80,1931.80,1931.80
1979,2929.90,2929.90,2929.90,2929.90,2929.90,2929.90,2929.90,2929.90,2929.90,2929.90,2929.90,2929.90,2929.90,2929.90,2929.90
1980,1856.10,1856.10,1856.10,1856.10,1856.10,1856.10,1856.10,1856.10,1856.10,1856.10,1856.10,1856.10,1856.10,1856.10,1856.10
1981,2367.60,2367.60,2367.60,2367.60,2367.60,2367.60,2367.60,2367.60,2367.60,2367.60,2367.60,2367.60,2367.60,2367.60,2367.60
1982,2123.60,2123.60,2123.60,2123.60,2123.60,2123.60,2123.60,2123.60,2123.60,2123.60,2123.60,2123.60,2123.60,2123.60,2123.60
1983,2096.30,2096.30,2096.30,2096.30,2096.30,2096.30,2096.30,2096.30,2096.30,2096.30,2096.30,2096.30,2096.30,2096.30,2096.30
1984,2296.30,2296.30,2296.30,2296.30,2296.30,2296.30,2296.30,2296.30,2296.30,2296.30,2296.30,2296.30,2296.30,2296.30,2296.30
1985,2009.00,2009.00,2009.00,2009.00,2009.00,2009.00,2009.00,2009.00,2009.00,2009.00,2009.00,2009.00,2009.00,2009.00,2009.00
1986,2207.20,2207.20,2207.20,2207.20,2207.20,2207.20,2207.20,2207.20,2207.20,2207.20,2207.20,2207.20,2207.20,2207.20,2207.20
1987,2640.40,2640.40,2640.40,2640.40,2640.40,2640.40,2640.40,2640.40,2640.40,2640.40,2640.40,2640.40,2640.40,2640.40,2640.40
1988,2398.90,2398.90,2398.90,2398.90,2398.90,2398.90,2398.90,2398.90,2398.90,2398.90,2398.90,2398.90,2398.90,2398.90,2398.90
1989,2406.20,2406.20,2406.20,2406.20,2406.20,2406.20,2406.20,2406.20,2406.20,2406.20,2406.20,2406.20,2406.20,2406.20,2406.20
1990,2170.50,2170.50,2170.50,2170.50,2170.50,2170.50,2170.50,2170.50,2170.50,2170.50,2170.50,2170.50,2170.50,2170.50,2170.50
1991,1894.00,1894.00,1894.00,1894.00,1894.00,1894.00,1894.00,1894.00,1894.00,1894.00,1894.00,1894.00,1894.00,1894.00,1894.00
1992,2568.90,2568.90,2568.90,2568.90,2568.90,2568.90,2568.90,2568.90,2568.90,2568.90,2568.90,2568.90,2568.90,2568.90,2568.90
1993,1901.40,1901.40,1901.40,1901.40,1901.40,1901.40,1901.40,1901.40,1901.40,1901.40,1901.40,1901.40,1901.40,1901.40,1901.40
1994,1678.60,1678.60,1678.60,1678.60,1678.60,1678.60,1678.60,1678.60,1678.60,1678.60,1678.60,1678.60,1678.60,1678.60,1678.60
1995,1958.70,1958.70,1958.70,1958.70,1958.70,1958.70,1958.70,1958.70,1958.70,1958.70,1958.70,1958.70,1958.70,1958.70,1958.70
1996,2257.40,2257.40,2257.40,2257.40,2257.40,2257.40,2257.40,2257.40,2257.40,2257.40,2257.40,2257.40,2257.40,2257.40,2257.40
1997,1995.40,1995.40,1995.40,1995.40,1995.40,1995.40,1995.40,1995.40,1995.40,1995.40,1995.40,1995.40,1995.40,1995.40,1995.40
1998,2649.10,2649.10,2649.10,2649.10,2649.10,2649.10,2649.10,2649.10,2649.10,2649.10,2649.10,2649.10,2649.10,2649.10,2649.10
1999,2298.10,2298.10,2298.10,2298.10,2298.10,2298.10,2298.10,2298.10,2298.10,2298.10,2298.10,2298.10,2298.10,2298.10,2298.10
2000,1667.00,1667.00,1667.00,1667.00,1667.00,1667.00,1667.00,1667.00,1667.00,1667.00,1667.00,1667.00,1667.00,1667.00,1667.00
2001,2217.60,2217.60,2217.60,2217.60,2217.60,2217.60,2217.60,2217.60,2217.60,2217.60,2217.60,2217.60,2217.60,2217.60,2217.60
2002,2197.30,2197.30,2197.30,2197.30,2197.30,2197.30,2197.30,2197.30,2197.30,2197.30,2197.30,2197.30,2197.30,2197.30,2197.30
2003,2267.10,2267.10,2267.10,2267.10,2267.10,2267.10,2267.10,2267.10,2267.10,2267.10,2267.10,2267.10,2267.10,2267.10,2267.10
2004,2649.60,2649.60,2649.60,2649.60,2649.60,2649.60,2649.60,2649.60,2649.60,2649.60,2649.60,2649.60,2649.60,2649.60,2649.60
2005,2836.90,2836.90,2836.90,2836.90,2836.90,2836.90,2836.90,2836.90,2836.90,2836.90,2836.90,2836.90,2836.90,2836.90,2836.90
2006,2824.30,2824.30,2824.30,2824.30,2824.30,2824.30,2824.30,2824.30,2824.30,2824.30,2824.30,2824.30,2824.30,2824.30,2824.30
2007,2132.00,2132.00,2132.00,2132.00,2132.00,2132.00,2132.00,2132.00,2132.00,2132.00,2132.00,2132.00,2132.00,2132.00,2132.00
2008,2780.00,2780.00,2780.00,2780.00,2780.00,2780.00,2780.00,2780.00,2780.00,2780.00,2780.00,2780.00,2780.00,2780.00,2780.00
2009,1878.50,1878.50,1878.50,1878.50,1878.50,1878.50,1878.50,1878.50,1878.50,1878.50,1878.50,1878.50,1878.50,1878.50,1878.50
2010,2575.00,2575.00,2575.00,2575.00,2575.00,2575.00,2575.00,2575.00,2575.00,2575.00,2575.00,2575.00,2575.00,2575.00,2575.00
2011,2334.00,2334.00,2334.00,2334.00,2334.00,2334.00,2334.00,2334.00,2334.00,2334.00,2334.00,2334.00,2334.00,2334.00,2334.00
2012,1852.80,1852.80,1852.80,1852.80,1852.80,1852.80,1852.80,1852.80,1852.80,1852.80,1852.80,1852.80,1852.80,1852.80,1852.80
2013,2202.80,2202.80,2202.80,2202.80,2202.80,2202.80,2202.80,2202.80,2202.80,2202.80,2202.80,2202.80,2202.80,2202.80,2202.80
2014,2237.70,2237.70,2237.70,2237.70,2237.70,2237.70,2237.70,2237.70,2237.70,2237.70,2237.70,2237.70,2237.70,2237.70,2237.70
2015,1286.10,1286.10,1286.10,1286.10,1286.10,1286.10,1286.10,1286.10,1286.10,1286.10,1286.10,1286.10,1286.10,1286.10,1286.10
2016,2196.80,2196.80,2196.80,2196.80,2196.80,2196.80,2196.80,2196.80,2196.80,2196.80,2196.80,2196.80,2196.80,2196.80,2196.80
2017,2399.80,2399.80,2399.80,2399.80,2399.80,2399.80,2399.80,2399.80,2399.80,2399.80,2399.80,2399.80,2399.80,2399.80,2399.80
2018,2041.20,2041.20,2041.20,2041.20,2041.20,2041.20,2041.20,2041.20,2041.20,2041.20,2041.20,2041.20,2041.20,2041.20,2041.20
2019,2107.10,2107.10,2107.10,2107.10,2107.10,2107.10,2107.10,2107.10,2107.10,2107.10,2107.10,2107.10,2107.10,2107.10,2107.10
2020,2053.70,2053.70,2053.70,2053.70,2053.70,2053.70,2053.70,2053.70,2053.70,2053.70,2053.70,2053.70,2053.70,2053.70,2053.70
