Variable:,pr
,Nepal,Central,Eastern,"Far Western","Mid Western",Western
1901,1289.27,1404.13,1437.32,1179.85,1134.92,1351.78
1902,1464.07,1875.41,1907.26,1046.38,1065.96,1531.16
1903,1165.01,1312.13,1425.46,867.49,967.26,1283.05
1904,1563.94,1992.16,1900.48,1301.69,1189.19,1575.02
1905,1611.68,2355.38,2265.75,896.22,1002.08,1677.21
1906,1452.80,1818.86,1769.28,1219.64,1101.49,1491.97
1907,1339.92,1671.72,1669.28,963.12,1023.19,1442.76
1908,1137.15,1237.03,1329.20,979.23,943.65,1263.42
1909,1670.47,2054.38,1911.76,1516.61,1339.82,1675.71
1910,1583.53,2002.14,1958.79,1321.55,1209.38,1565.79
1911,1541.53,2013.03,2034.14,1077.68,1106.08,1591.26
1912,1301.63,1418.36,1497.23,1219.18,1116.72,1342.49
1913,1709.16,2449.21,2367.84,1043.97,1097.75,1740.57
1914,1708.23,2057.89,1996.29,1637.03,1385.55,1634.80
1915,1748.30,2317.33,2235.55,1308.88,1268.70,1760.32
1916,1625.11,1970.96,1969.27,1431.71,1299.78,1587.42
1917,1689.70,1889.90,1884.87,1783.79,1458.98,1595.15
1918,1519.96,2281.10,2125.31,722.63,925.04,1647.21
1919,1322.06,1511.15,1537.42,1147.11,1112.14,1373.36
1920,1226.74,1271.67,1409.88,1127.65,1084.61,1294.20
1921,1377.19,1624.88,1656.42,1186.32,1111.89,1407.74
1922,1680.14,2139.37,2117.81,1416.14,1262.21,1631.98
1923,1296.63,1464.68,1480.49,1144.34,1101.06,1362.91
1924,1547.81,1835.00,1878.51,1429.02,1241.56,1501.14
1925,1640.22,1934.02,2011.31,1436.28,1325.86,1619.37
1926,1410.33,1696.88,1703.56,1187.68,1117.70,1449.64
1927,1353.17,1379.37,1449.35,1373.05,1256.75,1376.13
1928,1309.23,1570.05,1694.63,975.45,1010.86,1367.39
1929,1474.07,1831.76,1823.99,1078.59,1161.19,1539.66
1930,1250.65,1324.68,1391.65,1160.39,1102.71,1336.11
1931,1406.74,1594.04,1676.67,1260.30,1182.11,1410.83
1932,1185.44,1305.57,1386.59,1002.49,1007.01,1277.37
1933,1692.59,2009.61,1976.37,1691.99,1364.96,1612.81
1934,1298.61,1469.40,1562.15,1136.14,1069.07,1347.03
1935,1237.04,1406.48,1457.24,1004.56,1024.66,1345.94
1936,1774.22,2128.14,2053.71,1746.75,1461.91,1657.11
1937,1535.28,1897.10,1949.61,1222.22,1180.46,1540.38
1938,1663.80,2231.69,2128.00,1160.64,1204.88,1712.58
1939,1368.26,1731.15,1751.82,907.92,1024.82,1483.71
1940,1465.10,1903.82,1833.46,1010.24,1085.85,1575.94
1941,1333.47,1752.65,1791.58,799.48,953.90,1429.91
1942,1614.99,1978.22,1951.03,1401.79,1241.99,1652.05
1943,1489.85,1805.78,1864.97,1132.93,1153.85,1578.56
1944,1497.92,1936.33,1888.50,993.31,1073.38,1686.27
1945,1609.03,1998.28,2002.25,1307.52,1217.47,1655.61
1946,1623.86,2102.24,2027.27,1105.16,1191.33,1782.29
1947,1410.08,1682.48,1779.69,1158.03,1102.32,1434.85
1948,1505.43,1795.54,1783.29,1225.26,1212.71,1597.85
1949,1655.77,2108.59,1909.76,1358.24,1258.23,1779.66
1950,1498.36,1782.55,1681.40,1287.83,1227.05,1605.36
1951,1285.29,1511.65,1532.79,1027.05,1066.18,1341.86
1952,1388.46,1708.36,1648.37,1097.28,1096.32,1474.39
1953,1392.35,1713.56,1702.81,1056.22,1090.91,1474.56
1954,1428.87,1738.05,1719.28,1143.23,1135.00,1497.11
1955,1432.04,1711.61,1676.51,1302.17,1151.29,1448.11
1956,1500.08,1852.94,1671.86,1257.44,1207.53,1606.79
1957,1148.36,1329.87,1351.88,1074.75,935.46,1152.05
1958,1220.05,1423.50,1541.99,1097.59,956.52,1198.60
1959,1287.57,1499.37,1485.80,1151.95,1057.70,1341.64
1960,1226.58,1504.18,1552.32,1022.38,941.18,1220.67
1961,1482.68,1638.43,1643.03,1264.20,1243.41,1691.55
1962,1643.62,1864.74,1830.37,1429.44,1367.24,1812.71
1963,1507.31,1640.59,1813.53,1377.47,1264.54,1540.82
1964,1336.74,1450.21,1641.69,1238.36,1130.88,1316.04
1965,1316.55,1817.68,1645.99,956.71,933.58,1341.98
1966,1200.03,1650.97,1632.65,894.86,793.59,1174.36
1967,1238.00,1440.78,1390.53,1155.50,1052.64,1238.21
1968,1405.92,1781.14,1727.35,1156.45,1089.98,1391.66
1969,1231.69,1484.35,1515.63,1135.20,964.33,1188.19
1970,1419.03,1711.62,1644.03,1135.34,1138.56,1543.03
1971,1672.33,1997.21,2041.51,1534.31,1332.19,1617.69
1972,1246.72,1543.42,1486.00,1040.60,929.51,1352.34
1973,1606.60,1915.99,1887.17,1361.42,1304.04,1676.35
1974,1421.18,1795.57,1957.25,1000.96,997.40,1472.38
1975,1545.49,1765.89,1935.59,1337.54,1255.62,1544.11
1976,1316.80,1578.40,1678.51,1127.45,1004.14,1323.26
1977,1255.30,1491.19,1554.68,1037.38,974.25,1321.11
1978,1510.95,1927.63,1764.41,1184.27,1183.86,1591.24
1979,1321.42,1555.45,1655.00,988.89,1051.92,1413.27
1980,1378.78,1425.54,1612.40,1387.39,1210.67,1365.96
1981,1404.30,1644.55,1643.89,1155.33,1170.92,1465.84
1982,1252.20,1395.46,1370.33,1178.78,1104.44,1278.20
1983,1532.56,1724.93,1668.24,1434.80,1327.87,1593.82
1984,1433.17,1804.73,1991.57,1002.07,997.76,1496.73
1985,1588.14,1982.51,1804.69,1364.01,1305.68,1586.59
1986,1386.99,1706.08,1391.16,1256.93,1173.30,1493.13
1987,1459.04,1834.09,1934.55,1036.76,1064.54,1523.25
1988,1467.66,1762.43,1731.05,1196.82,1175.60,1563.35
1989,1326.77,1438.64,1662.96,1173.87,1107.74,1337.29
1990,1491.55,1676.47,1586.87,1421.03,1306.28,1558.98
1991,1217.04,1394.47,1611.68,920.09,982.70,1234.10
1992,1107.85,1187.97,1370.61,957.79,970.55,1095.32
1993,1185.84,1237.78,1431.22,1129.31,1045.99,1158.70
1994,1225.17,1353.42,1321.02,1118.04,1078.56,1309.00
1995,1278.82,1381.73,1480.60,1155.70,1114.40,1321.30
1996,1310.15,1450.47,1515.22,1136.61,1113.65,1400.93
1997,1512.30,1925.76,1831.34,1116.38,1137.18,1646.87
1998,1519.44,1869.37,1903.69,1132.52,1158.96,1629.50
