Variable:,pr
,Nepal,Central,Eastern,"Far Western","Mid Western",Western
1999,1570.36,2153.33,2131.47,988.58,1026.40,1692.67
2000,1486.92,1943.04,1910.96,1150.08,1047.87,1536.59
2001,1426.25,1927.91,1915.73,826.18,967.33,1579.26
2002,1451.19,1859.89,1781.98,991.28,1056.33,1646.69
2003,1433.20,1843.80,1851.93,945.38,1033.09,1576.77
2004,1390.49,1954.83,1844.09,631.19,915.85,1646.59
2005,1147.31,1363.12,1454.75,850.58,912.45,1205.80
2006,1265.07,1582.68,1622.79,900.95,945.76,1349.07
2007,1290.62,1623.08,1694.97,866.42,964.90,1368.06
2008,1439.46,1967.78,1904.30,823.17,965.27,1624.62
2009,1153.01,1406.24,1472.40,844.24,903.21,1192.36
2010,1363.92,1927.55,1973.57,778.68,852.03,1410.26
2011,1746.63,2243.22,2096.00,1389.67,1286.31,1873.14
2012,1390.59,1717.76,1599.41,1030.08,1106.23,1552.79
2013,1412.36,1711.95,1645.24,1153.52,1109.47,1538.99
2014,792.44,549.06,1032.14,1009.25,861.33,554.45
2015,1390.39,1573.38,1638.13,1295.28,1167.04,1381.57
2016,1396.79,1711.77,1748.83,1064.34,1098.00,1438.95
2017,1377.75,1516.58,1597.93,1374.88,1156.13,1373.89
2018,1374.04,1719.04,1440.22,1162.71,1119.48,1510.16
2019,1295.87,1400.93,1571.94,1245.34,1117.55,1238.08
2020,1374.54,1700.13,1813.86,963.07,1024.89,1453.28
