Variable:,pr
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
1901,1651.00,1531.37,1817.26,1610.96,674.48,2527.17,1172.90,1891.92,2013.59,2046.17,2433.20
1902,1704.12,1532.09,1864.34,1573.29,674.48,2900.18,1172.90,2069.60,2230.42,2077.42,2846.93
1903,1651.43,1531.79,1754.98,1567.29,674.48,2676.13,1172.90,2046.53,2120.27,1919.16,2753.03
1904,1625.96,1532.54,1758.16,1566.75,573.07,2616.07,1148.45,2026.23,2121.07,1857.10,2653.66
1905,1703.11,1535.66,1850.60,1565.31,675.87,2825.70,1177.52,2167.50,2267.21,2019.91,2962.98
1906,1695.20,1548.42,1901.35,1554.27,726.96,2787.38,1139.56,2182.05,2265.79,1939.00,2895.02
1907,1456.73,1263.79,1608.47,1517.68,640.81,2246.08,877.45,1701.58,1788.93,1805.33,2252.81
1908,1659.27,1524.07,1789.31,1473.18,726.17,2675.17,1259.19,2087.52,2133.48,2018.03,2710.45
1909,1747.19,1665.19,1797.21,1609.29,929.35,2665.50,1387.95,2064.57,2105.12,2039.48,2755.15
1910,1579.37,1495.88,1743.18,1540.83,680.35,2349.51,1139.07,1841.44,1967.18,1910.20,2246.88
1911,1572.54,1564.58,1637.18,1435.92,773.99,2314.56,1241.27,2031.30,2043.13,1726.04,2494.38
1912,1570.44,1441.61,1662.88,1557.29,561.58,2510.30,1121.62,1865.86,1949.90,1889.29,2472.13
1913,1581.19,1431.75,1749.57,1530.53,415.19,2781.08,999.04,2093.52,2233.70,1731.52,2862.61
1914,1571.28,1568.92,1752.39,1573.96,505.24,2456.31,1012.72,1934.94,2037.14,1780.15,2362.69
1915,1634.66,1326.76,1809.93,1562.84,609.32,2980.42,963.15,2126.12,2319.23,1950.92,3002.38
1916,1721.46,1718.52,1792.87,1568.30,778.64,2714.42,1371.36,2108.61,2150.70,1929.87,2687.11
1917,1586.91,1426.37,1735.16,1570.33,665.19,2457.47,1060.29,1976.94,2042.59,1878.98,2520.09
1918,1699.29,1836.05,1740.03,1570.30,780.93,2455.67,1442.15,1928.47,1973.48,1858.81,2490.77
1919,1613.10,1647.15,1720.97,1568.01,642.39,2234.96,1276.31,1920.80,1964.48,1849.27,2270.98
1920,1651.34,1497.06,1746.93,1563.07,801.75,2607.36,1165.87,2109.74,2142.07,1869.81,2822.19
1921,1599.37,1486.17,1722.79,1565.47,760.89,2384.24,1193.17,1839.67,1934.52,1882.26,2379.81
1922,1673.62,1716.15,1823.32,1575.71,624.48,2489.15,1252.38,1934.51,2033.40,2028.44,2401.30
1923,1726.30,1725.05,1959.48,1574.43,655.93,2753.95,1243.07,2205.36,2306.54,1910.19,2637.54
1924,1634.71,1556.61,1734.51,1539.29,810.87,2475.07,1239.97,1902.19,1954.91,1957.03,2476.32
1925,1686.03,1740.26,1805.86,1572.44,649.76,2568.95,1307.42,2117.04,2123.37,1810.99,2617.20
1926,1603.64,1434.59,1738.80,1496.07,668.33,2549.84,1169.34,1965.89,2052.00,2015.48,2497.09
1927,1680.39,1640.07,1755.08,1580.31,812.45,2596.09,1308.39,1897.01,2026.32,1989.52,2497.39
1928,1745.30,1768.04,1819.82,1627.91,740.03,2639.81,1381.83,1949.87,2063.39,2083.71,2626.55
1929,1685.90,1590.20,1851.35,1537.77,669.50,2752.13,1179.44,2038.84,2190.77,2085.85,2688.11
1930,1611.74,1449.45,1767.16,1484.16,686.34,2586.81,1060.49,2198.38,2184.55,1957.63,2697.86
1931,1605.73,1576.62,1667.97,1460.47,773.87,2408.88,1308.30,1883.58,1916.45,1878.15,2521.08
1932,1519.18,1449.63,1635.45,1440.16,740.40,2221.98,1195.35,1806.89,1881.22,1747.65,2229.86
1933,1731.74,1628.42,1789.86,1675.16,825.65,2604.46,1358.41,2070.54,2133.12,1954.24,2703.05
1934,1616.01,1586.44,1749.51,1496.23,735.48,2452.38,1268.93,1886.66,2001.71,1875.45,2383.30
