Variable:,pr
,India,"Andaman and Nicobar","Andhra Pradesh",Assam,Delhi,Goa,Gujarat,Haryana,"Himachal Pradesh",Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,"Tamil Nadu",Tripura,"West Bengal","Arunachal Pradesh",Bihar,Chandigarh,Chhattisgarh,"Dadra and Nagar Haveli","Daman and Diu",Jharkhand,"Madhya Pradesh",Puducherry,"Uttar Pradesh",Uttarakhand,"Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available"
1901,952.79,3498.39,750.30,2395.29,653.96,2225.70,372.20,528.30,737.89,994.55,2194.88,1601.10,938.10,2157.92,3641.92,2982.51,2001.84,1098.29,584.48,319.41,1540.86,1092.89,2825.79,1526.31,1655.02,1039.08,840.40,1137.49,1122.77,375.73,1048.14,958.08,1679.21,878.87,1011.54,223.34,326.47,472.98,570.70,569.35,541.46,645.82,792.14,782.63,668.70
1902,999.69,3426.30,818.72,2383.24,631.62,2761.60,687.99,506.39,605.63,1056.61,2577.70,1978.10,898.78,1973.96,3371.35,2777.91,2048.14,1263.13,486.89,367.48,1691.76,1262.47,2512.48,1685.51,1966.31,1359.58,710.30,985.70,1720.90,844.42,1228.58,845.89,2106.54,976.94,882.46,222.92,315.72,410.81,499.48,492.61,476.19,530.82,648.62,661.45,541.23
1903,1121.12,3133.18,1273.42,2454.20,575.69,2539.02,743.44,494.03,716.18,1335.26,2732.82,1666.80,1161.72,2111.95,3729.00,2873.10,2028.05,1373.19,597.39,473.31,1585.52,1350.34,2707.70,1500.13,1704.00,997.20,720.50,1306.29,1591.28,857.55,988.09,1087.59,2210.79,786.51,784.90,243.46,366.72,532.62,623.44,614.70,605.33,683.67,954.12,934.29,742.56
1904,934.47,3240.51,627.19,2292.81,783.10,2162.38,314.29,610.26,746.54,934.47,1962.94,1164.60,713.47,2056.25,3589.30,2980.20,1833.16,1184.05,563.14,365.93,1646.64,690.60,2611.36,1677.81,1493.70,1491.44,826.20,1098.48,822.85,344.01,1378.98,839.66,1204.05,1138.71,1115.74,273.53,417.78,641.20,685.31,689.91,622.20,755.97,827.59,820.73,782.59
1905,915.86,2672.37,699.43,2534.76,430.39,1408.39,431.08,369.75,661.02,762.94,1921.98,1436.10,753.93,2215.74,4104.49,3174.51,1964.07,1174.10,521.21,226.90,1856.34,882.78,3110.06,1805.80,1372.73,1605.17,706.40,1207.71,1021.42,391.74,1375.39,834.98,1324.60,792.52,787.97,236.72,340.93,493.79,567.86,566.50,534.28,627.92,756.34,764.21,654.93
1906,1064.22,2661.60,866.68,2218.42,664.39,2359.54,743.57,568.31,788.13,1113.37,2229.55,1700.10,1004.19,1988.25,3256.94,2676.75,1870.14,1272.49,644.30,458.23,1658.45,1059.36,2442.83,1506.49,1550.24,1337.99,893.60,1344.36,1343.96,880.85,1271.66,1146.07,1996.29,979.94,1077.76,273.64,409.01,583.21,671.90,668.53,630.25,730.93,860.21,868.97,745.54
1907,962.00,3226.91,688.60,2042.73,586.70,2700.54,686.55,511.24,721.72,1063.35,2365.55,1561.50,970.60,1789.81,2940.48,2516.48,1723.97,1186.02,564.85,393.43,1602.94,984.68,2177.96,1482.12,1546.13,1260.95,713.60,1284.08,1720.93,735.11,1345.93,852.45,1720.26,823.11,848.55,261.26,400.39,557.55,671.67,666.57,638.94,738.56,862.87,857.63,746.76
1908,1066.40,3701.89,791.92,2453.43,905.34,2829.42,714.62,801.37,836.84,930.24,2317.10,1784.60,963.73,2046.14,3599.52,2944.95,2066.62,1305.48,822.00,686.88,1460.93,880.78,2780.56,1677.92,1887.47,1016.76,1016.30,1242.30,1319.14,875.69,1145.78,1073.94,1663.45,986.63,984.14,290.30,479.87,790.44,867.80,872.91,759.46,962.63,1118.36,1049.14,1001.73
1909,1095.83,3835.90,725.63,2265.90,900.07,2243.24,751.07,800.98,1029.66,1044.42,2241.42,1476.20,998.38,1977.89,3412.77,2731.76,1883.02,1240.19,920.57,587.40,1632.86,1044.89,2559.25,1775.66,1682.26,1469.17,1210.20,1250.34,1692.31,961.70,1397.44,1008.13,1649.97,1185.62,1325.91,262.36,432.15,654.21,813.99,804.71,760.80,901.35,1186.46,1146.74,928.87
1910,1166.19,2877.19,989.60,2659.36,798.06,2110.94,837.90,648.87,858.18,1160.04,2390.31,1730.50,1160.49,2324.93,4049.98,3209.89,2211.19,1510.55,684.32,465.83,1666.80,1158.21,2925.38,1713.30,1927.24,1463.19,1026.70,1378.47,1454.51,1053.70,1353.69,1105.11,1653.10,1033.79,1219.74,279.80,407.95,627.58,687.39,693.31,624.74,771.06,899.78,872.02,819.22
1911,975.16,2815.45,675.51,3053.71,578.36,2063.54,255.60,471.33,698.19,895.86,2250.29,1636.20,767.54,2557.48,4814.55,3532.43,2400.02,1203.48,511.42,259.37,1796.69,941.39,3409.60,1759.99,1899.52,1510.48,739.50,1257.25,865.31,312.66,1400.62,849.37,1534.23,964.20,958.88,244.36,379.50,532.34,627.67,628.00,590.82,698.24,754.24,776.08,697.49
