Variable:,pr
,Mali,Gao,Kayes,Kidal,Koulikoro,Mopti,Segou,Sikasso,Tombouctou,Bamako
1901,325.18,194.56,899.51,83.36,710.13,446.48,591.60,1070.66,73.47,893.57
1902,299.70,193.45,667.67,83.33,691.58,441.36,592.37,1071.96,70.85,882.64
1903,326.14,200.63,817.98,83.60,705.42,483.91,596.87,1073.56,87.53,889.60
1904,322.70,198.43,820.38,83.51,700.34,469.46,597.39,1072.93,82.29,886.97
1905,373.43,199.79,1199.16,83.78,733.04,522.39,603.32,1109.72,95.56,904.09
1906,388.78,212.17,1203.76,84.00,744.15,553.12,613.36,1222.34,104.26,905.64
1907,314.61,193.86,792.37,83.34,746.52,424.88,607.46,1059.21,69.98,944.38
1908,340.50,207.18,775.48,84.06,731.63,553.45,661.17,1103.26,103.49,896.22
1909,394.74,226.92,961.20,83.61,863.68,605.08,791.75,1395.06,96.79,1089.47
1910,308.32,181.00,816.92,83.08,691.60,384.59,577.71,1137.80,61.76,864.72
1911,317.14,202.25,865.00,83.39,678.47,395.62,539.44,1131.08,70.75,844.17
1912,290.84,179.60,698.19,83.08,685.15,384.37,563.65,1054.72,62.41,867.75
1913,309.47,175.25,737.62,83.33,690.38,388.17,584.81,1252.08,68.59,869.98
1914,317.27,178.68,832.50,83.36,747.85,420.76,628.09,1052.56,70.96,974.34
1915,350.47,192.56,770.09,84.24,747.88,549.40,663.32,1214.53,116.51,957.31
1916,344.09,207.40,760.59,84.15,743.51,522.29,643.61,1180.53,109.99,955.15
1917,337.13,187.78,762.55,84.01,743.28,524.69,655.27,1149.24,101.75,955.85
1918,369.93,225.90,856.03,84.51,749.25,613.04,670.76,1202.14,122.68,956.93
1919,320.05,206.33,849.97,84.21,731.00,373.47,583.34,1163.65,63.87,933.75
1920,351.10,226.22,875.42,95.85,741.63,545.34,648.64,1039.67,105.19,915.53
1921,305.26,263.49,648.50,102.72,582.62,437.11,531.88,996.77,97.48,727.14
1922,362.95,241.22,820.14,93.60,803.61,540.43,716.02,1305.63,87.02,1021.71
1923,334.53,238.71,769.63,108.61,713.67,485.66,666.97,1147.94,78.24,892.04
1924,383.12,285.95,926.48,93.48,846.10,495.74,676.01,1287.66,102.60,1016.06
1925,328.24,221.56,739.87,74.00,637.26,518.90,630.45,1175.07,95.53,781.05
1926,303.55,173.81,766.12,74.54,717.62,413.70,552.45,1070.79,70.83,892.02
1927,388.07,227.34,924.94,94.87,888.10,562.68,788.75,1356.51,93.66,1116.47
1928,372.41,233.77,934.87,95.88,885.86,474.54,690.82,1318.34,81.40,1141.19
1929,355.02,210.42,851.15,94.08,781.05,522.16,642.43,1284.41,89.58,1006.00
1930,348.18,273.00,829.08,135.83,738.09,500.93,683.24,1109.64,74.01,926.93
1931,349.83,150.87,849.93,69.24,853.44,494.36,705.78,1342.36,80.66,1143.26
1932,370.77,214.32,887.68,82.72,948.32,524.21,752.57,1270.09,79.63,1244.13
1933,389.32,239.05,953.48,83.29,878.14,572.49,770.74,1311.02,97.97,1122.75
1934,344.42,197.25,898.57,100.39,801.63,473.43,664.98,1107.01,80.72,993.26
1935,385.21,234.94,952.23,108.00,945.67,487.05,735.28,1307.45,88.39,1219.46
1936,417.79,280.62,1014.93,112.46,946.31,636.70,801.36,1258.53,111.87,1106.96
1937,312.42,227.10,763.82,86.71,656.13,432.82,587.24,1032.06,80.24,757.55
1938,341.96,192.83,932.41,68.02,814.19,427.02,629.42,1172.84,77.57,1054.30
1939,362.86,262.61,815.57,102.67,794.97,569.43,701.49,1248.46,84.50,968.70
1940,314.99,165.29,824.79,58.94,754.97,476.26,644.35,1035.81,69.39,936.00
1941,305.95,224.39,706.86,89.52,650.42,409.59,548.09,1082.32,80.57,789.48
1942,318.87,205.40,727.55,87.86,754.62,467.69,621.11,1134.21,70.42,1006.56
1943,396.38,281.13,960.65,114.84,892.48,585.81,775.72,1207.46,98.93,1118.89
1944,311.54,190.08,792.78,81.15,686.85,445.33,579.16,1031.13,79.38,834.26
1945,385.59,246.89,1014.92,80.95,856.55,566.07,783.10,1199.43,90.81,1048.00
1946,368.41,261.07,948.30,90.09,855.91,518.93,671.10,1149.66,84.90,1101.41
1947,306.14,211.46,773.82,80.78,733.43,354.91,558.48,1022.34,72.72,947.68
1948,333.26,197.22,849.46,72.37,808.48,443.01,555.88,1164.39,82.08,1041.58
1949,305.78,162.78,785.81,64.63,677.71,407.87,575.21,1168.88,69.83,789.20
1950,442.30,293.36,1025.80,129.91,999.77,647.09,847.84,1377.32,126.87,1192.86
1951,383.69,228.50,987.45,68.79,860.48,506.99,732.05,1350.73,96.51,963.67
1952,401.17,312.47,911.71,111.98,910.09,651.04,746.32,1218.25,101.13,1207.69
1953,388.20,302.55,854.79,110.63,856.62,582.40,663.74,1331.85,101.31,1088.26
1954,411.79,308.98,979.95,112.42,923.98,529.10,775.33,1375.21,102.95,1183.22
1955,383.30,238.37,997.85,94.37,842.65,534.68,730.91,1281.20,90.59,976.57
1956,365.59,255.42,885.92,90.67,836.30,589.11,709.47,1123.24,86.53,986.74
1957,402.98,261.78,980.58,147.08,899.37,571.15,702.72,1352.27,97.38,1101.97
1958,400.35,302.55,962.20,145.99,914.45,519.97,722.87,1261.57,96.94,1098.85
1959,356.66,288.54,828.79,106.33,753.92,523.71,677.41,1127.63,90.45,879.19
1960,345.13,218.80,790.94,108.62,777.41,480.88,625.28,1234.56,88.76,921.93
1961,353.71,231.04,873.46,99.32,779.74,482.56,704.65,1184.63,84.85,972.97
1962,366.24,242.78,933.38,93.13,824.62,518.89,650.03,1196.54,90.39,1003.52
1963,345.72,231.69,869.89,84.63,730.28,504.25,663.21,1120.47,89.77,859.78
1964,390.31,280.29,920.65,95.94,848.08,540.02,744.62,1385.30,93.45,1008.76
1965,364.55,239.79,952.81,94.27,789.14,588.89,740.54,1070.60,84.05,794.64
1966,347.64,213.13,966.97,84.90,835.80,459.94,615.84,1183.91,61.94,1105.23
1967,363.19,225.20,887.23,110.34,881.31,497.11,730.60,1223.47,74.44,1181.81
1968,309.22,215.98,678.34,93.99,647.83,431.20,602.79,1109.36,83.93,831.73
1969,339.31,203.74,886.24,66.88,788.72,459.36,625.14,1199.96,74.95,974.93
1970,305.94,189.69,747.03,88.43,661.84,436.62,583.13,1100.68,70.10,819.14
1971,312.13,183.33,770.48,76.29,711.34,438.25,585.51,1055.65,82.54,893.89
1972,260.67,152.25,619.37,62.45,599.89,361.99,511.19,1002.17,55.17,693.90
1973,258.57,156.37,695.24,60.42,590.41,378.15,459.28,838.32,59.41,765.71
1974,330.73,200.04,848.99,100.46,771.09,437.19,589.97,1144.02,72.80,1089.14
1975,328.61,210.63,773.44,66.42,756.58,440.31,638.42,1210.49,79.19,919.74
1976,326.98,193.15,789.12,93.64,769.65,446.53,671.66,1175.38,66.87,979.00
1977,285.65,180.86,662.96,71.81,641.82,459.24,594.42,938.07,69.72,883.43
1978,326.28,205.18,799.97,64.33,774.18,458.48,685.97,1095.58,73.59,1005.73
1979,299.56,196.13,672.37,80.57,688.09,429.55,608.67,1077.67,68.85,896.10
1980,298.80,245.69,604.53,118.03,609.91,444.72,538.06,1008.43,85.29,826.00
1981,299.59,195.91,697.78,81.73,673.41,408.08,525.61,1105.66,74.97,795.18
1982,266.79,184.90,662.48,55.14,616.60,345.79,458.66,1017.54,54.35,841.59
1983,229.05,140.34,538.79,43.44,494.02,365.76,454.27,846.22,53.60,637.95
1984,238.14,117.06,634.11,64.60,552.15,281.91,424.71,895.40,54.37,742.46
1985,271.25,156.15,706.87,70.00,648.40,354.17,502.99,933.35,59.66,863.74
1986,281.55,159.11,733.31,85.66,635.75,373.73,566.55,1044.58,48.82,802.23
1987,239.06,115.05,623.11,47.43,587.62,309.11,448.09,890.20,52.23,816.15
1988,330.76,197.83,779.43,118.85,807.43,448.36,668.60,1063.25,78.56,1120.83
1989,304.29,171.11,790.24,87.87,703.11,416.16,582.98,1014.52,70.06,847.32
1990,260.00,153.41,630.05,45.85,623.12,335.25,506.40,1038.74,50.85,843.60
1991,306.99,225.57,717.86,104.38,658.85,444.31,582.37,1041.21,70.24,915.87
1992,286.31,200.95,614.99,66.86,698.63,390.66,542.98,1018.02,73.01,903.07
1993,282.54,182.07,689.88,74.94,606.57,398.43,522.75,969.65,74.62,700.95
1994,373.99,247.00,867.53,108.17,813.04,587.09,740.66,1302.79,84.69,1078.47
1995,300.86,186.85,798.86,80.66,679.42,378.86,519.37,1075.56,65.52,833.42
1996,288.42,170.30,705.94,73.69,636.54,439.18,556.44,1014.48,67.35,788.46
1997,291.17,151.44,763.55,85.74,702.49,366.71,587.59,1072.91,50.60,892.71
1998,323.75,246.11,754.15,118.93,687.81,470.00,593.67,1122.49,69.19,885.67
1999,383.85,292.96,913.45,132.93,852.33,522.80,747.06,1213.10,89.64,1075.91
2000,291.62,207.70,661.57,78.33,623.73,427.79,523.37,1006.87,80.92,770.24
2001,296.78,210.98,690.58,78.92,688.80,429.30,594.59,1005.19,64.65,881.69
2002,256.87,165.05,625.04,112.69,585.57,340.48,459.56,857.20,57.82,737.06
2003,368.13,265.99,889.70,120.33,776.32,534.65,680.58,1184.56,93.66,972.17
2004,315.06,171.92,789.49,107.02,726.59,415.98,594.84,1084.64,75.64,899.40
2005,319.15,230.11,795.39,95.50,712.70,452.08,592.35,1011.10,74.62,874.18
2006,314.99,200.12,718.22,98.90,720.48,432.83,609.19,1153.28,72.19,954.80
2007,305.43,209.76,689.86,79.52,653.87,503.36,595.44,1042.17,75.98,783.98
2008,343.71,200.05,949.09,77.75,812.62,448.29,625.74,1158.92,71.71,1017.85
2009,326.40,195.04,802.58,111.24,707.36,483.35,627.01,1090.34,79.27,895.71
2010,390.60,220.75,857.92,173.08,864.86,590.31,817.33,1373.18,89.28,1099.37
2011,287.66,186.84,715.45,78.92,620.07,411.53,518.54,973.83,73.57,801.66
2012,359.19,234.48,878.56,83.47,762.94,581.50,716.88,1219.94,81.66,952.25
2013,330.36,205.03,863.16,83.39,756.59,474.46,619.03,1072.72,75.06,981.86
2014,322.29,208.77,717.82,83.40,726.63,477.73,655.28,1170.05,75.70,909.80
2015,327.77,209.44,822.00,83.52,739.68,517.38,650.95,1010.67,78.14,924.28
2016,330.12,219.66,757.23,83.45,717.80,528.27,649.96,1142.27,79.93,915.09
2017,300.61,206.47,750.55,83.42,640.37,472.45,588.16,913.82,75.52,805.71
2018,346.59,211.74,810.29,83.38,781.93,525.51,681.73,1254.34,79.91,984.80
2019,343.20,191.53,816.84,83.33,791.26,511.78,705.80,1239.38,76.63,992.17
2020,362.43,252.90,920.12,83.61,817.06,529.34,695.18,1185.78,78.99,997.16
