Variable:,pr
,Algeria,Adrar,Ain-Defla,Ain-Temouchent,Alger,Annaba,Batna,Bechar,Bejaia,Biskra,Blida,"Bordj Bou Arrer",Bouira,Boumerdes,Chlef,Constantine,Djelfa,"El Bayadh","El Oued",El-Tarf,Ghardaia,Guelma,Illizi,Jijel,Khenchela,Laghouat,Mascara,Medea,Mila,Mostaganem,M'Sila,Naama,Oran,Ouargla,"Oum El Bouaghi",Relizane,Saida,Setif,"Sidi Bel Abbes",Skikda,Souk-Ahras,Tamanrasset,Tebessa,Tindouf,Tiaret,Tipaza,Tissemsilt,"Tizi Ouzou",Tlemcen
1901,102.86,12.30,668.50,591.23,645.00,641.82,470.02,110.82,652.96,284.55,682.94,606.00,659.46,653.61,568.85,584.63,406.49,298.97,128.22,640.58,83.95,617.56,15.17,651.76,379.75,376.75,527.62,679.17,584.49,499.71,490.41,455.07,514.38,40.46,538.40,514.81,573.62,582.76,605.64,643.17,608.76,19.53,409.34,44.04,559.52,689.67,643.20,670.63,628.94
1902,91.50,11.95,478.88,410.80,556.51,685.34,463.85,101.72,653.46,279.53,567.04,605.53,632.98,619.02,403.50,618.36,361.06,250.01,126.98,668.98,77.42,647.42,15.17,643.29,360.88,320.47,366.74,567.48,584.88,331.06,475.64,357.51,334.12,39.44,534.75,355.19,426.06,585.19,441.59,684.84,600.52,19.53,361.33,43.11,424.59,500.48,471.01,657.70,460.70
1903,73.28,11.33,376.73,298.35,437.14,666.85,387.70,94.80,499.88,225.89,419.68,447.08,447.50,466.05,346.39,571.82,242.99,143.42,129.85,676.31,54.35,644.82,15.17,547.12,364.46,182.23,276.44,394.66,499.67,301.52,334.91,210.33,286.71,38.15,525.97,297.45,267.22,455.81,265.31,616.85,653.90,19.53,408.73,43.70,301.10,422.48,362.79,490.82,292.93
1904,105.60,16.16,621.15,606.88,579.71,662.62,427.31,198.06,600.18,243.84,612.25,543.43,581.23,584.19,529.25,592.78,346.75,296.94,118.62,657.20,75.31,640.54,15.18,626.77,360.67,331.34,513.09,606.83,561.03,469.37,428.35,481.48,501.07,38.45,537.50,484.65,563.50,534.17,609.63,651.17,628.47,19.53,409.14,49.21,524.29,635.84,595.04,601.75,649.79
1905,87.81,11.08,558.74,416.98,568.81,672.30,392.74,127.19,614.87,219.63,581.46,548.20,582.58,591.33,484.97,588.92,319.94,229.11,100.32,665.25,60.74,624.79,15.09,667.18,315.87,275.55,407.14,566.51,590.88,409.69,413.14,347.09,378.15,30.74,491.08,411.96,434.93,552.93,439.29,678.95,601.25,17.25,368.52,44.37,447.81,593.46,531.27,611.68,446.50
1906,90.32,8.73,528.62,467.71,589.13,773.95,464.82,85.40,624.92,268.10,580.67,564.48,584.71,611.09,460.69,648.56,325.90,234.96,136.85,776.61,70.81,711.58,15.18,669.85,396.51,293.51,420.48,547.54,603.48,400.20,432.37,355.98,405.22,42.88,576.66,414.34,467.11,559.95,497.87,740.74,692.83,18.83,427.83,42.19,444.39,557.86,511.84,631.90,509.80
1907,81.00,9.09,542.90,386.31,562.95,659.91,346.43,102.38,551.63,193.19,567.26,489.80,530.30,563.13,449.61,515.33,291.29,211.63,77.09,665.98,63.81,611.65,15.12,563.45,271.95,258.41,384.55,536.93,485.82,366.05,374.42,318.96,343.64,28.87,440.69,396.10,414.38,474.67,417.81,600.36,621.87,18.95,319.51,45.59,429.60,550.48,518.05,569.02,422.83
1908,96.25,7.98,663.03,427.16,778.36,705.47,473.79,103.99,816.30,278.59,783.82,733.02,807.54,825.13,540.39,641.25,435.86,233.30,98.87,682.30,77.56,654.43,15.12,786.35,321.79,342.40,448.58,760.03,685.39,454.09,572.04,346.80,402.10,33.97,509.12,474.15,472.87,693.55,458.06,753.84,596.14,18.80,322.59,41.74,523.36,706.90,630.62,845.20,453.86
1909,73.37,11.24,371.27,358.82,453.42,611.30,378.45,63.65,510.20,206.03,435.95,457.13,463.42,484.10,325.68,546.95,263.57,172.51,105.96,608.39,74.21,599.45,15.14,576.14,332.87,232.61,297.08,408.00,517.02,286.26,346.28,218.71,297.44,36.89,492.00,284.30,318.91,468.72,339.77,608.57,593.26,18.63,367.86,46.13,315.72,400.50,359.47,506.20,379.83
1910,70.19,7.42,430.37,301.47,524.38,647.18,393.40,67.61,585.65,192.12,519.04,527.07,558.80,559.60,362.91,596.23,276.54,132.67,84.36,636.66,44.61,627.09,15.05,651.27,322.97,193.96,293.65,503.16,589.25,305.94,388.05,206.71,274.13,27.27,511.18,321.11,296.85,534.34,284.81,667.58,593.16,17.60,345.72,39.12,344.60,458.95,428.20,586.12,320.29
