Variable:,pr
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
1901,1725.14,1188.59,1327.61,1310.41,1177.82,1140.70,1575.46,1404.71,986.29,1893.77,2317.31,1205.05,1372.63,1246.53,2023.34,2015.30,1413.61,987.21,1528.83,1190.96,930.78,2086.18,2305.91,2181.08,1367.32,1228.56,1162.99
1902,1591.32,1139.58,1271.08,1257.64,1085.89,1029.70,1508.95,1357.29,959.98,1765.43,2036.14,1097.36,1336.46,1173.01,1999.83,2007.80,1344.91,961.06,1445.30,1099.63,922.99,1849.69,2163.54,1944.45,1302.71,1184.09,1121.07
1903,1525.05,1058.58,1230.97,1219.95,1023.62,985.20,1392.92,1235.36,851.08,1714.60,2020.42,1020.41,1231.61,1078.68,1880.28,1882.30,1301.66,896.28,1372.52,1029.00,864.00,1868.62,2083.83,1885.66,1187.00,1101.31,1046.09
1904,1434.71,1017.62,1239.71,1224.91,955.27,911.00,1298.69,1130.38,754.91,1669.63,2002.53,952.67,1178.37,974.21,1776.34,1775.00,1300.91,894.92,1343.07,964.58,879.10,1732.73,1985.71,1633.29,1061.11,1086.74,1038.67
1905,1740.01,1300.12,1427.46,1412.41,1254.04,1199.60,1650.42,1405.78,898.04,1928.42,2205.57,1205.62,1499.07,1194.71,2179.78,2187.00,1497.29,1070.57,1598.57,1254.47,1012.37,2093.16,2355.16,2134.56,1299.45,1328.72,1253.59
1906,1358.29,1015.73,1269.79,1254.22,962.70,942.90,1212.38,1023.15,669.28,1622.30,1914.15,928.90,1137.34,899.87,1623.16,1612.90,1315.39,905.84,1307.94,958.38,908.49,1574.64,1859.58,1515.51,957.30,1079.59,1036.96
1907,1465.05,1012.49,1231.42,1217.74,961.25,910.60,1333.60,1192.79,863.15,1655.51,1911.12,947.59,1173.13,1018.09,1748.54,1744.40,1289.85,879.28,1350.26,966.92,837.10,1734.53,1972.89,1868.84,1162.41,1093.76,1041.86
1908,1433.98,1101.60,1254.62,1239.82,1089.89,1063.10,1351.26,1192.00,766.47,1638.43,1876.77,1085.26,1228.54,1062.83,1701.72,1693.90,1306.94,943.97,1363.27,1093.81,894.31,1637.48,1922.80,1628.54,1089.29,1137.92,1087.70
1909,1537.24,1164.17,1298.30,1284.91,1126.76,1090.40,1449.47,1282.07,905.31,1735.28,1996.96,1139.26,1320.16,1154.61,1887.34,1890.30,1362.70,1013.23,1435.58,1136.54,962.52,1735.48,2056.02,1793.74,1216.73,1202.20,1150.48
1910,1981.77,1491.88,1739.51,1721.41,1402.94,1361.80,1862.39,1662.87,1261.14,2268.61,2572.96,1440.65,1695.86,1513.20,2449.10,2454.70,1813.33,1337.10,1876.40,1418.57,1269.39,2155.33,2657.61,2296.48,1630.09,1572.83,1512.32
1911,1349.20,902.14,1006.84,994.44,909.79,883.90,1191.11,1051.70,749.17,1512.53,1870.95,907.28,1038.18,924.49,1562.04,1547.90,1088.47,756.96,1196.74,913.21,706.28,1739.72,1847.68,1688.82,1016.90,934.38,888.32
1912,1679.69,1234.06,1498.23,1479.50,1148.48,1106.80,1536.11,1332.39,922.29,1954.72,2257.04,1138.73,1412.56,1149.73,2077.70,2080.20,1561.28,1102.99,1599.26,1156.09,1071.08,1978.51,2278.32,1938.51,1256.23,1326.45,1271.74
1913,1530.69,1141.59,1413.18,1393.86,1075.22,1051.70,1356.29,1210.11,950.02,1823.00,2132.19,1077.88,1267.09,1109.11,1790.88,1774.50,1468.50,1046.11,1493.50,1078.48,1008.67,1750.14,2084.84,1687.32,1180.29,1233.60,1191.91
1914,1813.83,1334.59,1461.10,1443.73,1274.52,1282.00,1725.32,1536.42,1065.86,1953.25,2266.17,1276.01,1515.63,1328.32,2242.26,2260.50,1531.85,1146.54,1611.54,1271.45,1071.29,2076.78,2351.52,2322.58,1480.43,1347.01,1289.21
