Variable:,pr
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
1901,1523.11,1509.08,546.80,365.32,139.74,368.26,582.91,304.21,1061.80,602.76,1265.01,76.38,1270.93,448.88,134.40,369.22,2539.07,2863.53,144.57,1720.61,214.06,942.11,1260.56,106.42,305.58,2229.68
1902,1549.61,1488.69,546.80,499.55,281.99,407.27,582.91,516.34,1195.06,602.83,1265.01,77.15,1270.93,448.88,134.40,369.22,2518.10,2869.77,244.43,1720.61,214.06,1174.20,1260.56,158.14,305.49,2229.34
1903,1543.36,1485.79,546.80,444.28,204.11,380.22,582.91,637.67,1167.34,602.78,1265.01,76.47,1270.93,448.88,134.40,369.22,2515.77,2823.23,221.49,1720.61,214.06,1271.86,1260.56,153.81,305.13,2224.74
1904,1522.94,1491.21,546.80,377.93,141.59,369.16,582.91,340.87,1085.24,602.76,1265.01,76.34,1270.93,448.88,134.40,369.22,2520.25,2886.17,139.49,1720.61,214.06,991.44,1260.56,96.37,305.74,2230.84
1905,1503.30,1484.37,546.80,291.73,73.22,346.85,582.91,397.65,1000.29,602.72,1265.01,75.87,1270.93,448.88,134.40,369.22,2514.77,2776.01,124.47,1720.61,214.06,998.10,1260.56,98.14,304.93,2223.56
1906,1523.03,1487.93,546.80,372.17,132.15,360.46,582.91,417.10,1112.44,602.74,1265.01,76.14,1270.93,448.88,134.40,369.22,2518.01,2808.50,146.55,1720.61,214.06,1093.59,1260.56,99.10,305.15,2224.24
1907,1593.97,1493.35,546.80,765.21,500.77,472.88,582.91,689.61,1459.99,602.97,1265.01,78.12,1270.93,448.88,134.40,369.22,2522.55,2724.66,378.31,1720.61,214.06,1516.95,1260.56,215.54,305.75,2216.34
1908,1539.65,1501.79,546.80,507.16,266.15,409.56,582.91,482.11,1188.65,602.84,1265.01,77.13,1270.93,448.88,134.40,369.22,2530.63,2677.65,218.99,1720.61,214.06,1198.77,1260.56,133.83,305.66,2215.31
1909,1514.19,1498.11,546.80,378.50,131.94,364.83,582.91,438.05,1092.20,602.76,1265.01,76.18,1270.93,448.88,134.40,369.22,2527.26,2659.50,156.56,1720.61,214.06,1083.01,1260.56,108.83,305.94,2214.21
1910,1516.47,1489.86,546.80,415.94,180.13,378.85,582.91,478.23,1118.95,602.78,1265.01,76.51,1270.93,448.88,134.40,369.22,2519.68,2640.24,169.37,1720.61,214.06,1100.26,1260.56,108.94,305.36,2212.90
1911,1543.69,1486.15,546.80,451.92,224.19,373.93,582.91,650.52,1218.50,602.77,1265.01,76.31,1270.93,448.88,134.40,369.22,2516.31,2718.74,254.02,1720.61,214.06,1330.87,1260.56,171.89,305.17,2216.89
1912,1530.72,1489.21,546.80,404.05,184.79,376.74,582.91,494.74,1107.82,602.77,1265.01,76.41,1270.93,448.88,134.40,369.22,2519.28,2836.56,197.84,1720.61,214.06,1105.79,1260.56,137.48,304.98,2226.88
1913,1527.28,1500.44,546.80,388.72,171.74,373.56,582.91,504.68,1088.92,602.77,1265.01,76.42,1270.93,448.88,134.40,369.22,2529.64,2746.41,202.97,1720.61,214.06,1133.62,1260.56,146.64,305.60,2220.61
