Variable:,pr
,"Saudi Arabia",Asir,Baha,"Eastern Province",Hail,Jawf,Jizan,Madinah,Makkah,Najran,"Northern Frontier",Quassim,Riyad,Tabuk
1901,77.98,205.23,161.99,63.22,68.35,35.18,151.91,63.92,100.00,127.99,60.73,70.76,84.23,51.41
1902,76.14,205.30,163.08,57.11,68.35,33.41,152.74,63.92,102.39,127.99,60.62,70.76,83.68,50.88
1903,77.61,205.33,165.47,61.38,68.35,31.58,152.35,63.92,108.04,127.99,59.84,70.76,83.96,49.42
1904,77.57,205.30,161.78,62.08,68.35,34.02,152.91,63.92,99.95,127.99,60.78,70.76,84.20,51.21
1905,76.90,205.31,161.49,59.88,68.35,34.56,153.61,63.92,99.65,127.99,60.94,70.76,83.78,51.82
1906,78.79,205.24,161.45,65.44,68.35,38.32,152.29,63.86,98.79,127.99,62.18,70.76,84.18,51.28
1907,76.73,205.52,162.37,61.27,68.34,28.75,155.70,63.70,102.57,127.99,60.24,70.76,83.86,43.91
1908,75.92,205.89,162.63,56.23,68.35,33.90,161.98,63.87,101.96,127.99,60.60,70.76,83.61,50.14
1909,80.69,205.99,161.30,63.73,68.42,53.72,163.39,64.67,98.38,127.99,62.72,70.76,83.99,77.03
1910,77.04,205.74,160.54,61.41,68.35,33.67,158.94,63.92,96.29,127.99,60.39,70.76,83.92,50.80
1911,81.03,205.42,162.63,72.30,68.35,36.20,155.74,63.92,102.21,127.99,62.82,70.76,84.63,50.81
1912,81.53,205.60,164.46,72.49,68.35,36.27,157.52,63.92,107.27,127.99,61.12,70.76,84.95,52.43
1913,78.36,205.68,163.25,63.95,68.35,34.46,156.45,63.92,103.04,127.99,61.67,70.76,83.95,50.27
1914,78.84,205.43,162.59,65.90,68.35,34.98,153.66,63.92,101.34,127.99,61.11,70.76,84.23,50.74
1915,78.85,205.62,162.04,67.22,68.35,32.09,155.39,63.92,100.12,127.99,59.95,70.76,84.23,49.93
1916,78.43,205.60,162.34,64.57,68.35,33.72,157.25,63.92,101.66,127.99,60.55,70.76,84.23,51.24
1917,78.20,205.58,162.82,63.43,68.35,32.63,157.02,63.92,104.30,127.99,59.80,70.76,84.23,51.79
1918,78.98,205.59,162.22,64.90,68.35,38.43,157.00,63.92,101.30,127.99,61.67,70.76,84.23,53.78
1919,78.34,205.60,161.03,65.10,68.35,33.89,156.96,63.92,98.84,127.99,60.87,70.76,84.23,50.06
1920,78.97,205.63,163.55,65.29,68.35,34.38,157.22,63.92,104.83,127.99,60.48,70.76,84.23,52.52
1921,77.99,205.42,160.77,63.19,68.35,33.60,156.79,63.92,101.72,127.99,60.44,70.76,84.23,50.98
1922,77.19,205.55,161.15,61.49,68.35,31.49,157.05,63.92,100.71,127.99,60.04,70.76,84.23,49.04
1923,79.12,205.23,160.86,67.37,68.35,32.76,156.62,63.92,102.46,127.99,60.62,70.76,84.23,49.62
1924,78.34,206.09,165.01,64.45,68.35,33.43,157.63,63.92,101.16,127.99,61.35,70.76,84.23,49.54
1925,78.15,205.49,160.74,63.40,68.35,35.87,156.98,63.92,100.03,127.99,60.97,70.76,84.23,51.75
1926,77.95,205.20,159.59,64.47,68.35,31.69,155.86,63.92,99.76,127.99,59.78,70.76,84.23,49.26
1927,77.27,204.79,158.68,63.22,68.35,33.78,150.09,62.80,98.52,127.99,61.52,70.76,84.23,43.06
1928,75.29,205.13,158.95,57.96,68.35,29.85,155.80,62.86,99.07,127.99,58.81,70.76,83.69,42.36
1929,78.09,206.39,171.30,62.70,68.35,33.53,161.35,63.28,108.13,127.99,61.02,70.76,83.89,46.17
1930,75.68,205.15,159.40,60.20,68.34,29.48,152.57,62.87,95.98,127.99,59.02,70.76,83.90,41.40
1931,78.52,205.72,162.08,67.48,68.35,31.67,155.33,62.80,100.45,127.99,59.53,70.76,84.36,43.50
1932,79.13,205.69,161.29,70.41,68.35,29.83,158.51,62.80,99.12,127.99,58.43,70.76,84.85,42.10
1933,76.53,205.23,164.08,60.63,68.35,30.81,152.09,62.80,103.42,127.99,58.50,70.76,84.02,43.42
1934,79.57,205.69,161.29,71.40,68.35,29.62,163.83,62.89,101.44,127.99,58.79,70.76,84.69,41.41
1935,78.44,206.09,164.83,66.77,68.34,30.31,160.33,63.18,102.96,127.99,60.78,70.76,84.21,41.30
1936,77.07,205.45,164.20,63.30,68.35,28.51,153.96,62.96,102.72,127.99,60.36,70.76,83.99,39.78
1937,78.06,205.31,160.01,63.50,68.35,33.77,155.67,64.46,100.43,127.99,61.59,70.76,84.15,50.68
1938,77.05,205.97,159.96,60.76,68.35,35.18,165.28,63.13,100.40,127.99,63.18,70.76,83.77,44.39
1939,83.47,205.59,163.63,81.54,68.39,35.36,153.58,63.22,100.29,127.99,62.96,70.76,85.66,46.91
1940,75.35,205.55,162.35,56.90,68.35,31.53,156.52,63.08,100.21,127.99,60.59,70.76,83.60,42.84
1941,76.43,205.62,163.30,61.42,68.34,30.13,155.82,64.47,99.97,127.99,60.07,70.39,81.25,48.28
1942,74.56,205.76,161.38,60.08,68.29,32.50,158.38,63.05,99.19,127.99,60.96,68.61,74.79,43.97
1943,75.28,205.41,160.05,61.59,68.34,35.27,155.50,63.06,99.58,127.99,62.41,68.12,74.95,44.47
1944,72.41,205.58,163.44,60.04,68.16,41.01,156.72,66.07,100.57,127.99,67.12,62.12,53.28,64.43
1945,76.98,205.45,159.38,59.82,68.34,36.61,160.51,63.57,100.83,127.99,67.15,70.45,82.56,46.30
1946,74.85,205.41,163.81,54.83,68.35,29.80,152.91,62.80,105.99,127.99,60.90,70.76,83.32,40.56
1947,79.17,205.24,159.89,70.31,68.34,29.62,154.85,62.80,101.42,127.99,58.41,70.76,84.85,41.58
1948,79.43,205.39,162.34,69.36,68.35,30.98,155.49,63.80,102.04,127.99,60.60,70.76,84.67,45.43
1949,79.18,205.35,159.06,69.39,68.29,31.79,161.51,63.58,99.84,127.99,61.54,70.76,84.50,42.00
1950,75.88,205.47,159.90,55.14,68.35,37.28,158.93,64.25,99.06,127.99,60.97,70.76,83.64,55.47
1951,74.57,205.93,163.73,62.05,68.30,25.90,158.38,63.28,99.65,127.99,59.11,68.70,76.33,36.20
1952,68.27,204.55,149.43,55.20,68.14,26.29,152.61,60.47,89.04,127.99,59.19,63.57,60.14,38.54
1953,74.49,204.33,143.16,60.26,68.30,31.72,160.06,57.25,82.28,127.99,62.11,69.93,83.33,42.84
1954,73.34,204.27,141.98,68.92,68.18,34.45,157.37,55.65,79.29,127.99,62.49,65.14,64.27,50.87
1955,84.26,203.92,141.94,80.19,68.46,25.17,153.09,60.06,85.22,127.99,58.21,76.71,105.78,36.71
1956,64.58,205.52,155.11,51.17,55.52,24.91,160.67,33.24,85.87,127.99,56.52,58.84,66.39,30.48
1957,83.54,204.53,147.05,71.56,67.29,39.47,154.84,59.72,89.27,127.99,62.98,77.60,104.68,47.18
1958,66.02,204.16,143.89,61.01,56.85,21.68,153.22,32.78,77.03,127.99,55.81,58.99,64.21,30.77
1959,70.19,203.90,142.29,59.76,56.78,25.70,151.03,41.85,84.69,127.99,57.80,64.56,77.85,33.33
1960,70.16,203.72,139.58,48.12,83.32,22.57,151.94,89.96,93.92,127.99,50.52,77.82,64.40,39.71
1961,76.81,205.27,152.34,72.59,68.23,33.37,167.29,60.91,94.16,128.06,68.71,66.66,67.78,45.03
1962,64.68,204.18,144.74,51.25,50.62,22.74,156.03,23.93,81.66,127.96,51.39,59.46,76.66,29.71
1963,85.09,250.54,155.44,62.12,68.07,38.06,344.81,71.62,100.64,221.63,65.72,71.79,78.75,48.31
1964,77.45,220.72,144.17,69.67,53.50,27.00,225.28,25.35,80.80,153.90,54.92,64.94,98.21,29.15
1965,70.30,215.82,153.81,59.21,52.82,27.38,195.75,29.52,86.00,148.83,57.59,60.22,75.64,33.11
1966,64.22,198.00,146.25,50.22,63.55,31.35,131.02,52.54,91.33,118.63,56.83,59.41,51.79,49.85
1967,82.19,217.33,145.29,64.61,51.69,37.31,192.75,21.11,73.55,151.75,65.39,72.84,124.61,46.92
1968,86.69,223.98,187.50,67.46,65.44,44.41,217.59,72.13,123.02,164.12,63.44,71.10,89.22,63.64
1969,75.56,204.03,142.75,76.98,55.12,35.90,161.61,32.37,77.32,130.99,64.97,58.80,76.17,50.95
1970,54.37,193.40,141.84,44.28,51.01,22.72,110.49,22.56,73.52,104.87,51.35,50.96,48.78,28.58
1971,84.59,197.60,143.49,60.44,94.18,43.49,148.30,103.39,98.90,117.21,69.71,94.06,91.80,63.16
1972,87.58,190.79,145.08,84.11,63.77,34.97,110.56,51.94,84.66,101.19,70.45,78.88,121.04,51.37
1973,59.84,202.36,159.32,45.62,48.31,24.08,144.92,15.07,79.73,126.56,50.01,52.58,63.49,42.61
1974,78.76,199.36,157.76,64.14,77.70,31.55,123.24,86.21,106.85,122.11,63.76,78.04,76.83,47.39
1975,81.79,215.08,205.87,67.19,58.27,28.05,169.48,43.30,118.77,133.96,62.66,69.36,102.20,37.88
1976,98.93,200.33,144.64,110.68,63.08,33.31,142.86,47.91,86.32,125.44,68.48,78.91,136.99,36.57
1977,72.20,209.61,157.51,61.26,67.29,36.45,165.17,52.86,87.12,135.37,62.59,59.31,65.80,47.17
1978,61.01,200.96,159.71,52.14,55.64,23.75,145.00,31.10,87.79,116.38,51.27,55.53,53.41,31.17
1979,80.48,198.25,168.07,60.31,95.72,33.22,130.16,124.31,120.86,116.19,59.37,76.03,63.75,63.77
1980,65.98,187.59,157.46,63.95,49.21,28.29,91.25,18.94,81.46,94.98,59.74,55.20,75.58,32.62
1981,81.06,184.96,146.15,59.29,77.58,29.52,84.84,86.78,98.60,95.47,55.05,83.73,108.68,60.52
1982,102.92,193.13,154.24,86.48,122.76,54.04,110.78,162.09,121.57,104.46,72.72,111.38,94.83,102.57
1983,76.94,221.60,216.77,68.77,54.62,24.28,200.30,44.55,127.24,154.82,57.40,58.87,71.97,28.20
1984,69.92,197.93,149.72,57.29,65.72,22.85,135.84,65.70,93.67,111.54,57.83,67.08,71.76,29.41
1985,77.85,190.46,160.82,54.23,86.31,40.97,98.53,120.78,124.30,100.42,57.72,81.86,67.92,57.85
1986,83.75,202.33,141.73,71.14,71.81,47.60,142.00,63.72,89.06,118.64,65.09,77.75,99.38,62.94
1987,73.15,204.70,174.27,56.56,67.13,38.42,147.79,63.07,103.85,118.96,58.27,64.43,64.50,78.20
1988,82.59,201.98,144.25,72.17,53.21,41.29,145.98,22.20,71.97,118.19,67.30,70.98,126.15,47.59
1989,82.48,198.52,216.51,63.09,90.23,26.43,123.58,114.32,147.32,121.06,52.07,86.77,70.00,50.41
1990,76.08,204.49,157.62,59.08,76.72,34.14,151.07,80.65,102.53,120.28,56.82,74.13,74.04,50.96
1991,75.05,206.64,175.49,64.18,65.78,32.19,156.57,64.20,107.83,127.99,60.82,65.78,68.76,43.29
1992,79.84,204.86,150.23,64.01,73.95,34.90,157.09,84.81,103.23,127.99,67.82,73.55,81.16,43.97
1993,103.36,204.50,152.61,78.59,110.66,35.43,155.09,143.46,121.08,127.01,66.96,112.07,128.28,64.21
1994,70.08,201.97,145.07,58.64,57.27,32.51,147.50,41.32,85.85,124.08,63.09,61.73,73.34,45.30
1995,89.65,203.79,152.72,80.44,69.87,26.77,155.86,62.65,98.62,126.66,58.78,82.58,124.95,36.85
1996,86.98,205.23,143.78,79.83,65.54,25.34,166.98,50.93,82.26,127.99,60.18,80.09,123.75,36.38
1997,83.29,211.18,146.11,74.10,73.23,31.97,187.52,82.69,102.84,138.44,62.54,76.40,81.86,46.39
1998,81.02,204.58,150.13,61.11,88.59,30.55,152.12,99.62,101.12,127.99,55.98,84.24,81.22,61.58
1999,77.82,205.81,172.90,62.20,86.17,21.68,151.16,117.24,129.60,127.99,53.29,72.15,56.35,42.90
2000,67.72,204.45,145.27,53.13,64.08,22.43,157.05,65.22,96.95,127.99,53.58,63.36,62.09,30.73
