Variable:,pr
,Malawi,"Central Region","Northern Region","Southern Region","Area under National Administration"
1901,1119.79,999.36,1118.78,1132.50,1303.78
1902,1161.83,1010.69,1303.71,1015.51,1455.37
1903,1020.44,894.69,1149.51,872.82,1291.73
1904,1403.64,1175.29,1460.21,1415.32,1688.64
1905,1134.69,1060.81,1163.18,1086.19,1296.45
1906,1074.03,972.66,1140.24,1001.14,1269.90
1907,1182.39,1116.70,1042.96,1286.26,1316.58
1908,1176.80,1095.66,1129.21,1202.01,1336.96
1909,905.03,859.26,866.23,893.02,1053.25
1910,1085.76,1051.51,1021.82,1090.90,1221.27
1911,983.84,927.42,856.14,1113.45,1046.68
1912,902.04,831.08,919.71,903.93,993.89
1913,1095.58,1011.28,1069.84,1071.91,1309.36
1914,976.76,892.59,911.35,1052.90,1085.50
1915,957.87,914.59,962.41,899.32,1116.39
1916,1146.30,1081.82,1097.49,1167.93,1286.76
1917,1057.12,994.17,1054.23,1036.63,1200.04
1918,920.43,856.32,842.64,1014.93,984.35
1919,974.15,897.41,997.69,979.48,1063.13
1920,1121.82,1024.74,1022.96,1249.15,1217.17
1921,1083.64,1027.75,1032.75,1095.41,1226.87
1922,913.05,774.43,1021.78,830.51,1129.73
1923,1172.04,1071.75,1147.23,1199.34,1330.24
1924,847.54,683.59,872.71,953.85,920.73
1925,1307.03,1228.15,1139.61,1448.28,1439.76
1926,1195.41,1147.96,994.44,1386.55,1241.28
1927,1105.44,980.96,1046.37,1205.47,1234.27
1928,995.04,885.96,1055.44,926.21,1205.11
1929,1085.12,942.67,1004.57,1265.01,1147.71
1930,918.24,798.70,1019.01,857.30,1080.69
1931,1221.22,1105.50,1320.59,1124.82,1434.41
1932,967.97,861.07,1040.30,911.49,1140.65
1933,955.40,861.78,1032.41,861.02,1158.01
1934,1268.81,1236.12,1234.04,1218.85,1450.57
1935,961.37,760.32,1036.42,1023.06,1101.55
1936,1209.05,1101.35,1201.53,1231.91,1363.85
1937,1024.89,1018.22,903.83,1073.69,1120.64
1938,1038.08,1045.89,897.35,1120.99,1083.82
1939,1116.26,1052.12,955.50,1279.08,1183.98
1940,1095.45,1050.80,1018.44,1153.19,1182.60
1941,1011.82,1026.58,1091.42,799.18,1215.16
1942,958.81,884.05,961.84,954.81,1086.67
1943,935.08,819.40,861.14,1090.38,984.05
1944,1114.11,1061.49,1179.07,992.34,1309.23
1945,1189.65,1036.53,1127.52,1275.25,1391.53
1946,1210.49,1144.37,1051.17,1386.74,1258.72
1947,1199.59,1072.65,1156.71,1255.28,1382.91
1948,1145.76,1107.73,1084.15,1134.66,1309.32
1949,762.64,681.15,790.02,751.68,882.23
1950,1314.24,1229.78,1237.67,1357.15,1490.47
1951,1164.50,1050.47,1201.38,1127.50,1366.17
1952,1253.05,1126.58,1230.29,1318.57,1397.34
1953,1004.04,916.31,918.36,1092.19,1127.60
1954,890.21,817.28,843.32,942.11,992.58
1955,1142.80,1082.65,1038.68,1206.02,1281.73
1956,1405.33,1324.80,1445.40,1278.70,1689.47
1957,1126.10,1056.85,1162.56,1026.69,1351.41
1958,908.12,871.08,839.45,945.37,1003.41
1959,996.43,1009.29,946.39,973.68,1079.61
1960,1007.52,867.06,1114.58,933.74,1217.82
1961,1303.79,1155.28,1418.09,1196.19,1571.36
1962,1252.74,1164.81,1252.00,1230.36,1437.38
1963,1326.35,1093.51,1461.33,1294.60,1586.50
1964,899.86,800.34,931.72,909.19,1008.66
1965,1104.99,1028.51,1138.30,1021.54,1319.60
1966,956.54,825.62,994.48,964.15,1113.66
1967,1130.08,965.25,1235.86,1023.74,1433.28
1968,1089.70,1002.24,1154.19,985.41,1314.64
1969,1105.68,1026.39,971.66,1264.36,1170.62
1970,1120.44,1024.32,1200.68,1037.95,1301.85
1971,1062.29,1039.81,1053.05,995.10,1218.73
1972,1039.97,947.11,1062.87,1000.20,1226.18
1973,907.26,774.73,892.22,964.59,1057.13
1974,1349.33,1286.37,1320.01,1295.09,1583.41
1975,968.05,876.75,1035.72,861.99,1196.88
1976,1264.96,1198.56,1180.64,1298.83,1438.07
1977,1046.90,1063.24,1015.35,939.00,1229.45
1978,1356.97,1355.01,1228.13,1394.89,1473.51
1979,1169.53,996.25,1344.68,1011.94,1470.24
1980,1183.93,1148.03,1182.26,1079.10,1412.90
1981,949.68,875.08,940.40,960.38,1072.11
1982,1173.93,1133.54,1153.51,1106.66,1377.08
1983,916.49,863.84,948.13,835.16,1090.80
1984,1135.90,1004.09,1151.08,1176.75,1271.53
1985,1207.77,1131.20,1110.25,1338.76,1264.03
1986,1207.59,1091.93,1244.70,1187.86,1383.53
1987,840.47,804.21,810.27,838.81,942.78
1988,1107.75,1037.38,1097.81,1100.24,1252.52
1989,1373.97,1422.53,1192.17,1402.77,1492.56
1990,817.61,774.18,816.19,790.80,936.80
1991,1054.69,968.81,1029.10,1060.07,1222.17
1992,716.38,708.31,788.22,582.32,844.39
1993,953.04,924.54,877.24,982.09,1057.40
1994,802.58,732.53,896.95,685.41,977.87
1995,920.02,862.65,876.53,952.00,1022.68
1996,1107.15,1025.62,1122.11,1062.97,1293.89
1997,1180.80,1121.81,1099.48,1263.88,1258.99
1998,851.42,791.35,798.35,919.16,915.72
1999,1185.03,1132.93,1114.32,1165.37,1397.58
2000,1123.48,1080.77,1053.48,1158.84,1234.30
2001,1142.12,1088.37,977.74,1312.65,1184.29
2002,969.06,911.17,1025.06,855.31,1170.53
2003,983.98,922.41,988.71,977.95,1092.78
2004,1133.60,1036.37,1126.61,1153.08,1275.64
2005,860.13,819.23,938.18,715.06,1055.80
2006,960.22,816.89,1216.30,674.44,1310.26
2007,1072.38,1004.93,1053.58,1090.97,1182.66
2008,1065.64,1024.62,1035.20,1065.69,1175.18
2009,1086.89,1065.27,1048.89,1067.16,1205.25
2010,910.60,882.82,945.20,803.79,1081.37
2011,1124.85,1016.16,1128.42,1135.57,1285.64
2012,984.89,948.14,883.99,1087.28,1021.76
2013,1035.00,953.39,1010.60,1050.51,1181.05
2014,974.40,891.85,1057.07,876.52,1157.37
2015,909.83,907.15,815.11,978.60,932.61
2016,950.72,932.96,956.59,858.57,1118.05
2017,1136.79,1008.42,1163.57,1112.37,1354.37
2018,1152.75,1116.80,1115.59,1136.22,1289.55
2019,1375.25,1378.71,1228.72,1413.11,1507.25
2020,1002.50,842.08,1178.71,842.41,1287.87
