Variable:,pr
,Nicaragua,"Atlantico Norte","Atlantico Sur",Boaco,Carazo,Chinandega,Chontales,Esteli,Granada,Jinotega,Leon,Madriz,Managua,Masaya,Matagalpa,"Nueva Segovia","Rio San Juan",Rivas
1901,2608.25,2887.89,3667.34,1837.47,1612.80,1652.80,2499.94,1491.79,1798.58,1930.87,1492.28,1452.12,1500.21,1563.93,1728.81,1506.79,3472.70,2107.78
1902,2256.33,2855.54,2865.13,1539.18,1317.70,1640.47,1868.29,1481.16,1429.11,1922.85,1447.14,1450.98,1316.67,1318.32,1614.15,1506.59,2360.92,1526.49
1903,2603.10,2885.24,3715.07,1783.10,1530.10,1648.71,2427.41,1488.50,1723.39,1929.33,1477.50,1451.82,1445.57,1493.24,1706.97,1506.76,3474.56,2013.75
1904,2589.91,2885.43,3798.72,1690.56,1349.70,1641.73,2295.09,1483.97,1552.00,1928.27,1453.13,1451.49,1343.75,1349.86,1684.84,1506.73,3433.71,1798.44
1905,2546.99,2883.49,3555.84,1765.46,1516.40,1648.68,2367.66,1488.55,1698.56,1929.13,1477.59,1451.85,1444.52,1486.59,1703.89,1506.75,3275.88,1954.42
1906,2367.76,2867.16,3096.07,1655.97,1444.40,1645.78,2091.60,1485.75,1566.64,1926.20,1466.77,1451.46,1396.07,1424.15,1661.71,1506.68,2706.50,1732.80
1907,2156.90,2845.70,2581.85,1502.05,1303.80,1639.77,1774.28,1479.17,1365.90,1920.75,1444.16,1450.68,1312.17,1310.03,1589.19,1506.54,2067.37,1411.81
1908,2420.73,2871.26,3184.27,1724.14,1559.00,1650.20,2210.92,1488.75,1680.06,1927.39,1482.11,1451.72,1457.06,1513.02,1681.83,1506.71,2860.16,1890.53
1909,2654.66,2890.54,3864.33,1804.19,1503.60,1648.13,2495.11,1489.08,1731.09,1930.81,1476.26,1451.97,1439.64,1477.70,1721.58,1506.79,3638.56,2043.30
1910,2388.34,2866.50,3194.84,1632.31,1369.40,1642.62,2100.69,1483.11,1509.27,1925.25,1455.47,1451.24,1356.33,1366.45,1647.68,1506.66,2796.74,1672.81
