Variable:,pr
,Liberia,Bomi,Bong,Gbarpolu,"Grand Bassa","Grand Cape Mount","Grand Gedeh","Grand Kru",Lofa,Margibi,Maryland,Montserrado,Nimba,Rivercess,"River Gee",Sinoe
1901,2447.04,2938.17,2489.02,2588.67,2745.05,2871.45,2135.13,2311.49,2348.73,2823.65,2170.21,2876.98,2148.81,2642.20,2130.12,2497.96
1902,2447.04,2938.17,2489.02,2588.67,2745.05,2871.45,2135.13,2311.49,2348.73,2823.65,2170.21,2876.98,2148.81,2642.20,2130.12,2497.96
1903,2533.67,3086.12,2636.49,2766.51,2830.77,3025.55,2146.95,2311.49,2516.86,2954.59,2170.21,3003.58,2234.75,2680.02,2130.13,2500.68
1904,2454.41,2952.49,2502.07,2600.85,2754.01,2884.50,2136.24,2311.49,2362.82,2836.53,2170.21,2888.86,2156.09,2646.06,2130.12,2498.24
1905,2560.98,3109.52,2671.42,2843.78,2836.59,3097.38,2146.80,2311.49,2610.77,2970.53,2170.21,3012.99,2247.09,2680.01,2130.12,2500.40
1906,2755.60,3399.13,2973.72,3267.11,2991.21,3470.97,2167.44,2311.49,3067.88,3218.30,2170.21,3245.75,2430.33,2745.59,2130.15,2504.78
1907,2445.90,2937.31,2489.02,2580.54,2745.05,2847.97,2135.75,2311.49,2343.04,2823.65,2170.21,2876.95,2160.58,2642.20,2130.12,2497.96
1908,2743.04,3455.62,2973.79,3251.61,2993.30,3341.63,2171.29,2311.56,3059.30,3246.68,2171.59,3285.20,2373.30,2736.21,2141.67,2503.93
1909,2452.55,2938.17,2489.02,2588.67,2745.05,2871.45,2151.62,2311.55,2349.30,2823.65,2171.34,2876.98,2174.12,2642.20,2140.02,2498.29
1910,2450.38,2937.83,2489.02,2588.54,2745.05,2867.92,2150.38,2311.54,2349.06,2823.65,2171.10,2876.92,2159.74,2642.20,2138.61,2498.27
1911,2462.90,2938.30,2489.02,2587.42,2745.05,2870.73,2208.40,2311.75,2347.54,2823.65,2175.46,2877.02,2192.39,2642.20,2176.83,2499.72
1912,2454.10,2939.62,2489.02,2595.42,2745.05,2904.77,2156.39,2311.60,2352.29,2823.65,2172.40,2877.08,2155.37,2642.20,2149.38,2498.48
1913,2490.48,3024.14,2571.88,2692.79,2797.43,2963.43,2097.17,2311.10,2452.56,2895.69,2166.67,2944.55,2185.42,2676.37,2099.26,2501.04
1914,2344.59,2757.54,2366.10,2435.39,2613.19,2646.25,2101.19,2309.80,2194.14,2670.37,2170.48,2716.06,2050.21,2540.54,2130.38,2446.52
1915,2725.18,3468.88,2907.64,3121.95,3074.39,3405.49,2205.25,2312.59,2838.47,3278.75,2172.86,3345.04,2354.84,2832.74,2154.02,2542.96
1916,2659.05,3401.84,2827.63,2951.69,3092.26,3291.22,2163.45,2312.38,2624.28,3256.55,2170.12,3331.82,2294.92,2844.25,2129.04,2538.44
1917,2447.74,2937.29,2489.02,2583.14,2745.05,2850.79,2151.84,2311.55,2345.27,2823.65,2171.53,2876.92,2150.09,2642.20,2141.87,2498.35
1918,2440.20,2938.17,2489.02,2588.67,2745.05,2871.45,2095.19,2311.35,2348.99,2823.65,2167.10,2876.98,2142.48,2642.20,2101.76,2497.06
1919,2202.87,2938.10,2334.11,2565.93,2571.73,2871.45,1669.79,1881.31,2296.53,2775.15,1756.98,2863.74,1796.33,2325.94,1670.35,2065.97
1920,2294.07,2938.18,2320.25,2555.11,2656.96,2871.45,1850.54,2167.39,2268.19,2798.39,2026.43,2873.32,1827.57,2490.19,1912.15,2313.42
1921,2623.98,3078.23,2701.22,2743.27,2960.32,3019.15,2300.91,2456.28,2481.58,3000.61,2243.98,3013.53,2371.56,2881.03,2212.65,2720.49
1922,2433.37,2980.07,2587.54,2739.18,2730.10,2952.20,2012.85,2068.74,2546.00,2892.32,1918.02,2924.08,2149.65,2524.75,1954.22,2303.33
1923,2398.15,3174.92,2547.56,2829.54,2697.78,3180.20,1868.33,1955.25,2572.09,2925.61,1922.31,3047.37,2026.68,2458.58,1865.16,2144.26
1924,2714.09,3280.90,2797.23,2871.07,2993.92,3179.95,2389.93,2571.16,2595.48,3132.22,2472.40,3199.41,2423.49,2839.92,2410.37,2720.82
1925,2496.61,3113.27,2642.07,2791.72,2837.53,3091.84,2046.56,2079.45,2574.45,2967.47,1951.07,3036.51,2250.80,2647.61,1956.13,2334.45
1926,2595.42,3141.90,2637.86,2736.51,2906.88,3054.53,2225.93,2584.42,2478.65,2996.39,2481.69,3059.19,2211.45,2787.68,2309.40,2675.94
1927,2896.41,3186.27,2872.26,2818.68,3213.92,3033.36,2716.14,3028.19,2546.50,3182.76,2854.71,3176.20,2578.40,3260.09,2801.52,3214.59
1928,3150.25,3844.27,3278.46,3369.74,3630.46,3677.59,2702.59,2830.20,2968.03,3691.68,2573.17,3742.98,2833.30,3511.27,2568.68,3176.25
1929,2674.89,3363.69,2860.07,2934.09,3125.64,3262.55,2175.99,2263.82,2682.33,3226.37,2149.59,3301.95,2392.90,2905.26,2106.76,2506.64
1930,2551.21,3032.65,2657.34,2686.03,2893.64,2964.35,2234.05,2332.88,2423.66,2960.68,2189.62,2990.65,2318.07,2764.88,2154.06,2555.74
1931,3067.12,3530.00,3176.80,3185.34,3507.78,3401.30,2699.09,2778.94,2914.13,3492.39,2606.07,3485.37,2823.03,3427.90,2609.34,3145.02
1932,2709.85,3349.57,2829.37,3067.39,3058.32,3299.02,2209.47,2349.94,2830.84,3216.26,2163.73,3267.11,2353.34,2874.33,2149.41,2609.79
1933,2931.44,3443.75,2960.05,3065.28,3231.22,3328.20,2638.61,2831.16,2842.55,3334.24,2749.74,3401.43,2597.07,3103.07,2681.91,2949.09
1934,2377.49,2806.71,2434.77,2499.24,2690.48,2724.03,2095.50,2179.62,2290.99,2708.98,1979.73,2725.72,2145.26,2622.72,2018.61,2427.11
