Variable:,pr
,"Republic of Montenegro",Andrijevica,Bar,Berane,"Bijelo Polje",Budva,Cetinje,Danilovgrad,"Herceg Novi",Kolasin,Kotor,Mojkovac,Niksic,Plav,Pljevlja,Pluzine,Podgorica,Rozaj,Savnik,Tivat,Ulcinj,Zabljak
1901,1318.87,1257.30,1571.41,1238.40,1225.95,1106.00,1275.72,1367.50,1230.45,1314.01,1279.29,1285.64,1349.77,1241.08,1268.35,1314.08,1487.91,1168.40,1315.85,1106.00,1308.85,1276.83
1902,1340.90,1270.70,1579.36,1243.18,1227.25,1159.60,1332.71,1397.40,1296.77,1336.44,1346.26,1298.94,1409.46,1243.51,1270.86,1330.25,1499.55,1141.30,1333.22,1159.60,1297.68,1279.75
1903,1109.79,1067.60,1312.34,1045.95,1034.35,961.10,1087.55,1149.89,1051.07,1108.55,1089.33,1082.91,1138.61,1047.20,1062.43,1095.37,1245.16,965.80,1103.85,961.10,1107.18,1067.68
1904,1036.91,974.40,1275.89,957.71,938.19,944.50,1049.38,1072.79,1018.82,1020.99,1043.48,990.23,1072.85,960.97,962.26,1006.69,1185.60,895.90,1013.47,944.50,1091.66,968.28
1905,1202.58,1146.70,1387.26,1130.45,1121.11,1083.60,1216.95,1234.66,1194.29,1186.09,1230.82,1159.54,1269.84,1130.47,1131.18,1181.40,1319.37,1070.30,1178.72,1083.60,1145.80,1137.16
1906,1199.90,1133.20,1414.55,1111.38,1110.09,1049.60,1198.85,1235.57,1170.38,1181.56,1210.13,1158.93,1259.08,1113.99,1147.89,1182.72,1335.92,1030.60,1184.51,1049.60,1195.21,1153.52
1907,1088.23,999.50,1359.64,975.04,963.86,1005.00,1130.02,1129.38,1097.80,1060.96,1130.39,1025.81,1157.07,978.51,997.55,1049.60,1251.89,884.50,1056.44,1005.00,1148.58,1004.93
1908,1074.54,1004.80,1269.23,981.75,968.41,983.90,1108.73,1118.01,1090.87,1061.24,1121.56,1026.34,1154.41,981.57,996.09,1048.13,1196.73,896.40,1054.15,983.90,1048.54,1002.16
1909,1340.97,1264.50,1548.58,1241.53,1231.88,1153.40,1330.11,1391.91,1299.37,1331.74,1350.18,1300.08,1416.42,1243.08,1282.16,1349.54,1478.72,1156.50,1337.07,1153.40,1288.73,1292.72
1910,1531.99,1467.00,1677.96,1427.51,1435.92,1306.90,1504.56,1600.67,1481.39,1545.65,1539.59,1513.70,1625.34,1422.96,1504.18,1565.09,1643.55,1281.30,1556.93,1306.90,1332.71,1514.39
