Variable:,pr
,Morocco,"Meknès - Tafilalet",Oriental,"Chaouia - Ouardigha","Doukkala - Abda","Fès - Boulemane","Gharb - Chrarda - Béni Hssen","Grand Casablanca","Guelmim - Es-Semara","Laâyoune - Boujdour - Sakia El Hamra","Marrakech - Tensift - Al Haouz","Rabat - Salé - Zemmour - Zaer","Souss - Massa - Draâ","Tadla - Azilal","Tanger - Tétouan","Taza - Al Hoceima - Taounate"
1901,425.79,435.17,525.68,546.72,434.14,602.90,807.81,542.35,139.93,108.42,393.05,671.86,292.83,526.23,906.70,700.71
1902,367.51,402.44,443.39,455.03,372.55,541.40,638.89,456.35,129.96,72.49,335.43,576.75,249.86,436.26,763.22,596.92
1903,289.83,360.81,305.67,353.88,285.45,414.14,448.37,345.33,118.15,105.48,266.53,424.84,223.16,373.76,488.31,419.46
1904,417.50,532.04,582.45,447.78,351.84,547.50,557.42,424.71,136.28,89.54,363.74,531.79,320.81,507.54,660.75,583.28
1905,329.73,397.11,416.13,402.31,336.11,474.07,502.40,404.21,123.94,92.58,291.87,478.86,233.81,377.27,546.04,483.87
1906,324.28,368.06,400.96,385.72,324.29,443.72,403.79,362.52,128.07,87.43,326.35,436.93,267.39,442.32,451.26,442.08
1907,355.25,411.64,396.01,446.79,411.81,457.33,436.26,429.14,148.32,79.12,389.19,466.20,309.72,471.71,496.56,440.56
1908,313.42,404.26,429.87,334.43,293.20,476.18,415.59,339.52,118.63,82.90,258.90,394.64,214.83,344.37,487.17,456.12
1909,360.12,357.05,311.82,517.04,426.10,467.42,656.43,509.42,146.96,75.89,393.51,621.07,291.62,482.12,765.58,584.00
1910,284.35,345.43,294.88,344.10,263.36,426.45,487.35,343.29,107.23,79.06,247.36,435.77,209.67,368.66,549.05,462.00
1911,351.73,380.72,400.40,451.65,371.36,481.34,564.59,433.42,134.99,77.98,351.93,531.38,270.64,455.91,640.75,525.33
1912,406.59,507.34,442.57,514.98,439.32,548.83,588.28,484.90,148.61,80.46,421.18,578.79,327.64,562.36,617.14,521.43
1913,245.07,271.36,261.01,285.28,211.03,383.66,450.61,295.29,103.07,78.98,202.65,391.40,172.44,282.89,545.32,431.18
1914,411.42,462.61,383.34,583.52,498.10,533.16,647.99,561.09,167.45,76.95,467.55,646.57,351.11,578.99,653.07,530.02
1915,316.98,338.12,309.83,420.03,348.38,431.13,591.78,415.67,130.71,79.53,318.75,523.29,243.02,412.25,632.44,495.36
1916,342.04,350.63,308.33,489.56,408.26,445.90,620.33,479.26,137.24,77.10,382.99,581.39,272.79,476.27,661.56,521.14
1917,340.88,417.10,389.33,414.67,343.39,501.41,569.00,418.34,126.00,79.30,307.56,511.99,244.22,417.32,613.32,507.63
1918,321.76,352.68,317.51,423.25,337.30,419.91,510.56,399.86,135.81,80.39,331.15,485.05,268.68,440.80,573.50,483.70
1919,308.53,342.74,288.17,397.70,326.94,425.31,564.39,393.76,127.63,77.29,306.45,496.35,238.64,403.56,642.51,484.86
1920,311.31,349.22,289.74,436.94,394.52,398.57,510.49,443.04,130.83,80.64,348.19,483.30,255.52,421.71,529.63,409.98
1921,336.73,398.10,364.28,422.21,343.37,501.58,524.87,409.03,116.34,76.95,323.18,495.90,254.77,446.10,593.75,530.96
1922,308.17,363.47,326.93,419.10,337.33,429.92,492.28,415.15,102.61,75.62,302.26,494.27,235.82,428.41,518.56,457.49
1923,327.09,379.47,354.85,426.84,323.03,472.43,542.00,408.10,106.80,73.46,314.80,516.28,250.38,458.86,575.39,502.31
1924,311.49,332.06,305.64,398.64,316.78,431.21,594.10,399.96,115.83,80.35,300.33,504.89,235.81,408.08,676.28,539.13
1925,287.83,341.76,335.08,347.50,234.69,451.99,552.22,346.99,99.72,76.02,213.18,477.42,181.76,354.77,621.79,513.83
1926,303.26,329.82,258.96,450.53,357.41,427.43,603.79,461.50,115.13,77.64,306.78,555.15,224.33,429.09,602.18,480.63
