Variable:,pr
,Greenland,Nordgronland,Ostgronland,Vestgronland
1901,643.29,257.25,798.11,683.24
1902,593.10,256.51,740.52,607.30
1903,550.54,256.37,694.16,539.35
1904,556.84,255.99,691.94,563.81
1905,592.04,256.66,728.83,622.40
1906,583.06,255.90,727.30,594.46
1907,553.46,256.55,691.58,552.45
1908,623.39,256.03,778.97,646.38
1909,562.27,255.77,704.59,561.56
1910,548.70,255.77,677.62,558.88
1911,597.50,255.87,748.63,607.71
1912,575.78,256.93,706.76,604.08
1913,578.43,256.16,717.99,594.17
1914,564.96,256.66,733.62,523.66
1915,592.35,256.91,703.60,664.30
1916,605.05,257.03,703.48,708.20
1917,612.21,257.81,686.17,759.98
1918,578.23,257.16,700.14,621.61
1919,598.93,257.24,725.62,651.19
1920,580.27,257.25,708.19,616.54
1921,587.36,257.41,707.08,642.23
1922,598.18,257.76,736.20,631.27
1923,602.80,257.26,710.81,687.59
1924,548.33,256.42,662.95,582.25
1925,601.75,257.04,698.58,703.66
1926,559.66,256.79,699.01,561.67
1927,536.76,257.36,674.16,524.79
1928,541.33,257.16,677.16,535.53
1929,557.57,256.92,701.84,549.97
1930,541.01,257.52,651.53,576.13
1931,563.30,256.35,694.99,579.17
1932,610.78,256.30,714.29,709.42
1933,560.46,256.72,713.90,540.57
1934,536.71,256.22,688.98,500.07
1935,524.33,256.04,648.41,524.70
1936,604.14,255.75,720.43,675.82
1937,538.68,256.41,685.56,512.35
1938,574.60,256.66,709.87,593.91
1939,566.00,256.78,719.08,549.90
1940,594.21,256.22,723.89,637.09
1941,565.76,256.61,713.03,559.46
1942,619.47,257.29,740.17,696.03
1943,564.09,256.20,703.37,568.01
1944,611.70,257.04,705.62,726.53
1945,628.45,257.04,756.33,701.01
1946,590.63,242.20,714.43,651.18
1947,570.27,229.53,704.03,609.11
1948,626.90,232.80,715.50,781.16
1949,599.17,233.58,699.16,712.71
1950,555.46,226.63,651.27,646.81
1951,540.27,234.20,645.93,598.27
1952,590.78,253.11,682.11,695.85
1953,609.81,261.50,741.36,657.05
1954,591.77,243.39,707.53,666.70
1955,609.84,242.87,716.75,712.85
1956,592.97,226.82,725.74,654.55
1957,594.66,266.50,714.43,648.27
1958,570.36,263.08,733.18,539.25
1959,605.87,255.91,794.46,563.09
1960,559.70,247.90,710.31,551.21
1961,565.67,235.75,707.65,584.91
1962,543.22,233.96,684.83,547.58
1963,572.23,217.84,732.25,580.84
1964,625.13,271.08,762.43,671.55
1965,552.76,250.11,689.70,559.91
1966,549.59,267.88,654.27,593.57
1967,613.87,259.31,710.84,724.00
1968,559.68,280.87,686.95,564.94
1969,610.58,261.79,720.63,695.61
1970,635.90,277.74,773.91,681.10
1971,576.49,248.04,723.42,585.88
1972,645.89,256.30,824.22,650.45
1973,598.14,270.04,737.60,619.50
1974,589.59,271.55,747.77,573.96
1975,630.68,302.11,733.70,713.03
1976,646.03,266.48,815.36,657.35
1977,595.34,249.23,712.20,668.55
1978,598.82,251.35,736.73,638.82
1979,609.64,259.36,735.06,671.20
1980,589.94,264.45,705.48,649.73
1981,578.73,252.85,679.90,661.41
1982,565.40,247.02,716.44,560.69
1983,642.13,263.23,738.27,770.93
1984,623.36,238.63,810.93,609.25
1985,513.21,230.17,631.60,535.82
1986,589.49,260.80,695.21,666.24
1987,614.75,267.41,722.43,702.66
1988,600.87,259.11,662.78,758.36
1989,603.62,263.96,699.99,704.14
1990,613.30,232.55,720.78,726.23
1991,612.24,254.76,726.23,697.79
1992,605.52,251.97,736.97,658.51
1993,614.26,224.55,737.44,709.22
1994,581.18,270.76,668.90,674.12
1995,574.46,263.50,665.32,662.01
1996,686.80,262.96,788.07,841.43
1997,657.83,269.38,762.29,780.85
1998,605.74,269.06,692.02,720.63
1999,638.97,259.94,729.24,776.74
2000,616.99,246.37,679.63,795.39
2001,611.05,250.19,722.70,703.15
2002,600.70,250.08,753.22,618.88
2003,623.83,248.88,697.01,787.63
2004,623.86,257.01,728.56,731.05
2005,662.20,256.69,756.73,814.65
2006,572.24,257.29,689.72,620.19
2007,612.97,256.74,694.62,749.63
2008,628.44,256.96,759.08,697.11
2009,565.45,257.09,698.55,583.57
2010,547.49,257.32,641.52,614.74
2011,607.35,247.25,728.38,682.58
2012,645.59,241.39,734.15,807.92
2013,655.51,245.43,752.64,808.29
2014,660.34,252.12,764.83,798.80
2015,685.67,255.44,827.09,782.04
2016,637.93,258.64,724.89,782.79
2017,638.87,257.07,739.83,763.14
2018,641.52,257.07,772.57,718.56
2019,603.44,257.07,715.09,684.55
2020,681.82,257.05,812.32,790.52
