Variable:,pr
,Benin,Alibori,Atakora,Atlantique,Borgou,Collines,Couffo,Donga,Littoral,Mono,Oueme,Plateau,Zou
1975,1076.10,989.74,1049.29,1142.22,1118.85,1103.05,1076.59,1186.27,1414.90,1113.05,1131.61,1067.47,1065.80
1976,955.73,909.67,1027.17,831.52,1062.12,834.52,757.11,1108.64,1042.00,796.61,876.51,795.96,739.46
1977,848.68,876.59,877.23,708.71,901.08,780.32,643.49,924.13,875.30,662.14,734.04,733.83,699.91
1978,1094.19,966.39,1074.68,1125.18,1127.15,1157.46,1048.91,1243.74,1321.20,1009.57,1227.38,1230.98,1132.87
1979,1160.55,889.45,1103.89,1472.78,1193.50,1327.24,1318.21,1297.80,1709.50,1300.59,1529.71,1456.32,1344.20
1980,1014.85,867.52,924.13,1168.30,1044.54,1131.65,1132.52,1073.66,1271.00,1118.57,1252.20,1248.74,1188.16
1981,966.55,917.96,973.51,927.32,962.23,979.07,958.98,1020.55,1034.80,956.41,1048.92,1083.92,1017.89
1982,900.18,798.06,946.45,1185.23,964.40,791.85,837.49,969.36,1431.60,966.53,1153.15,947.36,828.57
1983,750.94,697.18,780.66,780.38,777.24,711.44,684.90,840.74,994.70,707.99,881.95,791.01,680.31
1984,931.29,722.87,844.22,956.63,1020.03,1109.89,953.91,1047.91,1171.20,967.62,1047.38,1099.05,1032.43
1985,984.34,850.50,885.54,1005.53,1050.67,1130.37,1015.03,1096.18,1237.50,1004.35,1099.66,1074.52,1012.31
1986,948.73,906.72,1001.37,842.52,973.66,923.63,888.53,1030.55,961.60,856.69,897.81,914.88,899.97
1987,956.61,740.48,893.76,1451.96,899.72,1120.36,1182.89,1007.94,1756.30,1176.67,1560.31,1375.92,1213.60
1988,1160.16,964.45,1068.31,1322.15,1196.08,1316.24,1209.83,1305.36,1495.40,1128.03,1442.01,1434.97,1304.37
1989,1086.59,902.10,1001.02,1184.31,1155.69,1194.96,1144.10,1226.75,1349.60,1137.21,1309.32,1295.30,1191.34
1990,924.07,805.27,873.67,978.91,948.24,1027.32,978.89,983.02,1138.40,909.74,1058.31,1085.05,1047.68
1991,1213.15,1028.27,1280.56,1303.67,1308.39,1188.04,1105.60,1412.31,1582.60,1109.66,1355.69,1185.95,1124.90
1992,943.18,876.04,952.27,926.65,1017.98,935.01,804.81,1040.64,1152.30,814.62,955.62,911.58,849.79
1993,929.89,771.07,899.67,1213.59,949.51,978.21,1054.86,1047.88,1487.50,1107.44,1174.48,1040.37,1001.54
1994,1111.51,1071.52,1162.24,985.32,1194.71,1031.21,974.02,1215.98,1185.00,961.86,1061.40,1030.07,970.55
1995,1120.88,851.07,1130.49,1150.69,1195.91,1260.61,1183.32,1315.45,1290.40,1107.20,1245.07,1233.34,1211.41
1996,1057.39,963.30,1079.13,1099.17,1103.13,1049.21,989.10,1149.57,1309.20,1015.57,1165.31,1132.36,1026.31
1997,1003.38,809.05,933.82,1294.10,1039.84,1063.60,1132.80,1110.21,1562.70,1190.64,1462.17,1333.14,1130.81
1998,1096.07,1068.85,1150.17,956.82,1200.03,1011.50,882.39,1195.88,1114.10,875.60,1009.65,963.45,902.00
1999,1167.38,988.93,1145.10,1261.67,1225.61,1227.28,1179.52,1342.41,1529.60,1152.26,1347.58,1293.04,1209.57
2000,967.39,829.69,984.17,969.42,1027.60,1006.30,915.57,1102.19,1138.30,893.46,1028.42,1015.38,953.32
2001,844.91,789.33,872.75,854.75,875.50,823.27,795.97,910.90,997.20,799.18,902.58,861.48,809.17
2002,1025.32,885.65,985.35,1169.65,1079.05,1071.83,1056.54,1138.61,1437.00,1085.26,1224.64,1131.07,1060.51
2003,1202.65,1066.80,1204.67,1260.94,1266.06,1228.73,1157.68,1326.76,1509.50,1152.43,1356.04,1289.46,1189.81
2004,1042.99,849.42,1005.51,1230.90,1075.78,1141.17,1106.40,1178.51,1456.40,1104.74,1330.53,1258.13,1141.18
2005,991.08,935.09,1035.18,1040.84,1000.70,960.14,961.53,1067.91,1244.30,978.00,1079.12,1005.52,949.43
2006,985.93,855.68,984.77,1097.85,1031.77,1010.36,989.30,1079.85,1297.90,997.59,1175.49,1099.06,1008.62
2007,1130.83,933.37,1078.07,1331.24,1169.73,1232.98,1233.39,1261.69,1576.50,1230.94,1411.99,1337.57,1247.40
2008,1188.43,1002.29,1166.13,1346.88,1242.68,1242.57,1242.63,1338.87,1622.00,1252.97,1419.84,1340.11,1242.87
2009,1101.47,949.56,1136.50,1200.43,1124.34,1128.73,1097.80,1249.59,1414.00,1095.15,1273.06,1196.02,1117.45
2010,1133.98,914.56,1070.42,1402.04,1160.51,1250.23,1281.16,1279.31,1704.40,1295.26,1473.96,1380.66,1284.04
2011,980.17,797.08,972.91,1154.01,1013.10,1041.83,1063.74,1113.65,1387.80,1080.37,1190.32,1118.20,1055.88
2012,1001.70,827.96,981.35,1144.51,1023.49,1096.06,1055.51,1132.83,1332.30,1053.31,1209.46,1170.33,1079.43
2013,945.93,839.47,936.76,1105.47,963.13,971.69,986.17,1007.39,1354.50,1003.38,1173.59,1083.91,995.28
2014,1011.60,826.36,973.09,1256.60,1007.90,1117.25,1154.18,1137.40,1525.60,1165.60,1315.40,1220.24,1146.88
2015,924.14,836.27,974.81,1028.89,927.39,899.80,946.76,993.15,1229.20,963.00,1070.42,990.92,933.50
2016,955.83,854.54,969.56,1040.51,975.24,971.85,970.58,1050.21,1255.70,985.06,1075.23,1016.21,967.93
2017,1034.84,1000.64,1039.48,1100.42,1049.95,1011.34,1008.42,1078.92,1323.00,1020.61,1159.37,1089.17,1012.92
2018,1110.31,936.12,1063.02,1226.44,1173.08,1196.19,1138.13,1247.44,1449.20,1123.80,1297.67,1256.70,1171.30
2019,1188.93,936.13,1100.37,1512.85,1217.98,1338.65,1370.53,1349.84,1831.40,1395.27,1599.08,1480.25,1366.47
2020,1114.86,1125.20,1216.05,1002.73,1163.71,981.49,936.56,1178.81,1163.60,940.28,1049.93,1008.76,944.72
