Variable:,pr
,Benin,Alibori,Atakora,Atlantique,Borgou,Collines,Couffo,Donga,Littoral,Mono,Oueme,Plateau,Zou
1901,1228.86,952.23,1136.67,1450.70,1287.65,1441.63,1315.35,1353.65,1707.10,1286.65,1604.53,1624.73,1399.91
1902,967.22,891.69,1029.34,811.12,1023.94,947.58,852.58,1111.56,943.80,863.96,859.67,899.86,839.35
1903,953.64,873.60,970.01,1050.10,984.81,943.48,920.76,999.10,1263.80,942.05,1108.47,1062.37,954.11
1904,908.09,830.32,870.13,1018.02,944.15,968.79,810.58,926.81,1229.00,847.53,1107.42,1098.49,925.18
1905,1007.57,902.17,1071.75,940.84,1061.96,998.76,871.89,1159.08,1122.00,894.06,1003.81,1004.53,892.57
1906,1008.27,900.56,1034.69,1018.02,1047.93,1039.62,909.01,1114.91,1208.80,944.78,1106.23,1094.97,953.07
1907,948.90,797.85,839.71,1279.63,954.09,1080.98,1122.89,951.11,1515.60,1160.69,1351.67,1264.05,1153.64
1908,1040.21,849.60,1010.29,1238.34,1075.65,1134.49,1083.30,1156.96,1456.20,1101.78,1312.11,1252.96,1136.98
1909,1143.07,1062.89,1157.03,1150.57,1183.68,1161.24,1050.51,1266.20,1439.50,1083.89,1205.00,1140.89,1049.96
1910,1128.71,874.02,1083.20,1282.66,1165.97,1247.24,1343.89,1343.42,1515.40,1311.83,1350.89,1301.68,1284.42
1911,1069.01,970.42,1044.59,1345.27,1042.11,1128.66,1123.62,1095.24,1626.10,1188.66,1398.46,1289.91,1155.81
1912,800.05,745.17,819.12,779.96,847.55,769.84,758.58,901.59,924.50,782.19,818.89,756.32,714.71
1913,975.71,790.89,960.06,1104.21,1037.80,1040.12,1043.43,1078.98,1319.60,1045.99,1208.57,1137.61,1031.88
1914,904.71,777.80,893.70,1090.91,896.41,945.88,971.89,1025.35,1319.20,998.39,1152.23,1052.24,973.92
1915,1020.35,736.51,898.53,1303.71,1086.63,1214.33,1170.07,1194.66,1539.40,1178.94,1416.25,1338.02,1205.16
1916,1033.59,883.15,1026.42,1203.90,1074.47,1044.40,1096.90,1163.17,1422.60,1126.49,1231.07,1139.25,1082.64
1917,1259.34,774.66,1023.24,1695.50,1400.50,1641.36,1599.38,1488.61,2062.90,1558.39,1768.00,1707.35,1630.51
1918,996.85,958.38,1049.26,1117.37,966.60,931.92,1002.40,1073.62,1322.10,1043.34,1169.84,1068.80,986.16
1919,927.17,956.69,955.92,1013.27,897.95,839.55,889.73,963.50,1179.60,919.57,1082.37,954.92,885.80
1920,917.93,881.28,936.43,924.15,962.89,857.88,811.51,1009.49,1051.00,824.18,1009.01,943.61,835.46
1921,1144.19,938.76,1060.10,1338.16,1193.84,1279.34,1263.53,1263.76,1620.80,1242.05,1421.05,1387.26,1293.39
1922,1040.20,950.57,1068.33,946.91,1120.13,1000.32,924.44,1180.39,1091.10,898.32,1191.20,1068.03,938.24
1923,1017.40,967.73,1008.79,1073.08,1068.46,974.04,931.53,1116.30,1310.30,920.20,1207.27,1070.86,942.16
1924,1133.65,1031.85,1152.11,1055.94,1207.78,1118.31,1050.40,1271.41,1258.40,1039.88,1085.05,1117.29,1120.57
1925,1156.02,1010.63,1201.21,1210.30,1236.44,1104.86,1126.95,1318.02,1490.30,1181.12,1321.33,1178.99,1074.95
1926,1016.64,871.98,977.87,1232.68,1113.79,978.35,1086.17,1128.73,1593.70,1137.75,1318.82,1133.25,994.98
1927,1114.04,1135.84,1168.48,867.66,1223.55,964.79,874.72,1220.60,1056.40,830.23,961.28,945.52,930.60
1928,1120.24,1051.97,1179.86,988.63,1216.37,1026.80,996.01,1235.96,1189.50,920.72,1141.61,1048.15,1042.10
1929,1235.08,1171.59,1212.18,1251.29,1346.20,1159.07,1139.64,1344.32,1479.50,1115.69,1363.14,1213.45,1161.57
1930,1085.72,1047.83,1109.88,1091.15,1142.22,994.87,997.27,1175.35,1325.70,1041.26,1195.13,1067.37,1006.09
1931,1164.34,1098.49,1242.45,1129.22,1253.45,1028.31,978.16,1311.39,1328.60,988.08,1276.19,1109.23,1002.62
1932,946.53,882.48,974.53,1030.25,1025.15,834.81,891.53,1037.47,1210.80,939.62,1039.83,928.52,862.64
1933,1239.80,943.86,1115.35,1570.65,1268.40,1464.39,1447.79,1404.02,1852.40,1376.70,1661.30,1584.12,1545.47
1934,1220.01,1037.29,1167.08,1335.66,1275.43,1308.14,1226.59,1395.13,1547.30,1188.12,1464.21,1373.53,1307.04
1935,1223.01,1085.73,1254.41,1366.49,1254.55,1220.33,1156.61,1344.36,1594.70,1121.56,1527.12,1359.96,1251.96
1936,993.75,1020.15,964.78,955.92,1033.10,942.30,872.29,1069.13,1124.40,828.56,1049.59,978.25,899.81
1937,976.06,845.80,984.01,929.25,1035.55,1016.54,927.72,1123.47,1169.10,942.85,1096.71,1037.76,917.51
1938,948.82,929.15,942.87,1040.81,949.49,907.82,977.27,991.17,1175.50,938.30,1122.80,1021.86,956.92
1939,1106.53,1057.54,1098.83,1046.19,1208.84,1030.80,1051.06,1215.89,1275.60,973.36,1104.15,1051.82,1033.46
1940,1107.66,993.64,1058.98,1184.62,1221.53,1092.28,1122.99,1204.28,1392.20,1148.67,1209.08,1142.65,1076.29
1941,1080.82,927.75,1102.94,1156.75,1126.31,1103.95,1061.94,1226.17,1378.90,1073.01,1277.50,1189.16,1065.34
1942,890.25,768.03,876.94,1105.90,931.57,864.37,992.49,986.89,1373.30,1049.43,1188.60,968.00,909.69
1943,1015.96,1018.63,1003.80,1098.85,1032.64,928.28,1081.68,1065.55,1319.30,1062.04,1200.58,1047.28,969.08
1944,1026.95,941.72,985.84,888.43,1112.79,1096.26,933.11,1159.58,1069.30,921.31,957.64,989.60,958.57
1945,982.70,945.62,998.36,944.68,1044.99,928.56,887.73,1096.64,1161.70,899.02,983.70,910.27,871.34
1946,917.67,948.79,943.70,874.05,956.29,825.99,802.43,964.81,1048.40,822.96,900.28,819.86,798.91
1947,1183.71,915.33,1078.12,1413.10,1283.40,1373.92,1280.28,1365.21,1758.90,1260.82,1433.56,1317.92,1288.41
1948,999.09,909.60,1110.57,912.20,1097.71,853.36,925.78,1174.52,1035.70,967.18,916.00,814.57,814.29
1949,1145.82,829.51,1072.85,1125.46,1235.69,1405.89,1233.02,1420.90,1321.80,1200.84,1180.11,1235.40,1265.94
1950,959.19,937.12,962.85,1009.80,980.87,930.19,899.22,998.52,1136.00,928.40,1056.67,990.69,918.73
1951,1250.26,1129.21,1316.65,1224.47,1374.37,1138.13,1138.89,1411.70,1369.10,1131.99,1300.50,1184.16,1129.65
1952,1109.39,974.95,1185.20,1198.73,1075.71,1125.71,1204.72,1231.42,1423.40,1203.78,1252.02,1192.56,1168.65
1953,1249.65,1170.66,1283.83,1080.05,1369.53,1194.31,1073.69,1413.56,1220.20,1061.66,1122.75,1137.87,1100.51
1954,1107.24,1080.04,1074.80,1230.78,1125.58,1073.80,1159.91,1122.96,1502.10,1159.21,1302.03,1211.15,1140.45
1955,1253.77,1102.49,1235.42,1302.80,1348.38,1264.75,1197.08,1421.49,1529.40,1197.93,1370.97,1296.71,1245.64
1956,987.02,964.39,1024.01,1054.78,998.51,887.65,1010.22,1027.19,1261.70,1015.38,1080.45,1020.10,993.03
1957,1339.90,1143.51,1368.65,1407.41,1413.98,1336.87,1360.25,1520.26,1672.30,1272.70,1542.00,1465.68,1390.64
1958,821.39,727.21,894.83,1022.12,834.09,749.63,830.54,850.07,1226.50,882.78,1126.12,955.53,802.83
1959,1152.59,995.25,1130.24,1392.57,1189.55,1183.83,1221.62,1255.84,1672.90,1278.04,1425.12,1309.99,1200.68
1960,1220.48,986.02,1178.56,1387.43,1332.86,1274.03,1360.80,1379.47,1580.20,1348.25,1380.65,1295.49,1299.19
1961,980.19,892.22,974.46,1157.08,1009.32,991.27,1060.61,972.50,1415.70,1086.43,1176.56,1089.50,1014.95
1962,1312.40,1049.89,1272.82,1651.26,1352.70,1454.15,1368.72,1454.36,2042.70,1434.07,1649.75,1569.44,1450.85
1963,1384.02,979.95,1274.08,1709.66,1429.41,1726.91,1581.87,1616.36,2049.80,1492.19,1810.55,1782.38,1647.72
1964,1079.76,1083.41,1170.58,1093.82,1104.11,889.95,1071.59,1184.25,1248.80,1066.11,1137.94,992.05,936.40
1965,1045.10,885.03,1020.73,1302.90,1059.80,1049.57,1171.86,1167.42,1593.90,1190.97,1493.92,1304.23,1129.51
1966,1058.85,933.63,1067.37,1071.98,1105.48,1043.81,1159.07,1171.79,1160.70,1139.91,1183.54,1147.01,1102.70
1967,1125.08,966.88,1129.04,1138.02,1230.76,1127.13,1047.88,1334.71,1406.20,1064.42,1144.88,1083.06,1052.24
1968,1328.88,993.43,1181.14,2114.43,1328.64,1489.43,1787.91,1435.58,2603.50,1794.83,2165.02,1826.68,1698.35
1969,1141.23,1068.02,1244.36,1178.82,1190.62,1056.57,885.15,1294.57,1432.60,930.41,1242.09,1106.51,952.03
1970,1056.26,954.56,1119.24,1149.28,1010.54,1097.07,1081.15,1131.81,1311.20,1117.04,1204.29,1178.17,1090.05
1971,983.60,856.01,1027.46,941.44,1041.16,1009.09,886.54,1166.76,1189.80,932.50,976.34,911.55,884.00
1972,995.77,890.19,1064.07,1072.35,1029.95,940.91,992.03,1100.22,1276.20,962.20,1101.72,1004.31,989.47
1973,952.23,685.14,969.02,925.85,1060.98,1076.00,922.99,1176.75,1186.50,962.27,980.73,969.41,949.07
1974,1070.13,933.99,1121.02,1206.43,1063.61,1097.22,1103.38,1185.16,1439.50,1108.39,1247.15,1148.22,1112.07
