Variable:,pr
,"Virgin Islands","Saint Croix (County Equivalent)","Saint John (County Equivalent)","Saint Thomas (County Equivalent)"
1901,2849.00,2849.00,2885.40,2906.57
1902,2536.10,2536.10,2578.20,2598.18
1903,2244.80,2244.80,2271.10,2288.29
1904,2366.50,2366.50,2393.00,2411.29
1905,2304.70,2304.70,2323.50,2339.02
1906,2113.20,2113.20,2136.90,2150.09
1907,2072.90,2072.90,2098.20,2114.08
1908,2202.40,2202.40,2233.30,2249.65
1909,2326.20,2326.20,2342.00,2355.61
1910,2367.20,2367.20,2404.60,2421.09
1911,2475.50,2475.50,2514.10,2533.83
1912,1978.60,1978.60,1992.80,2008.37
1913,2092.00,2092.00,2118.40,2133.12
1914,2276.00,2276.00,2314.20,2332.89
1915,2207.50,2207.50,2233.10,2247.32
1916,2388.70,2388.70,2400.70,2415.71
1917,1973.30,1973.30,1995.20,2009.92
1918,2030.20,2030.20,2053.10,2068.94
1919,2158.50,2158.50,2174.90,2188.65
1920,2081.30,2081.30,2108.50,2124.41
1921,2163.50,2163.50,2190.40,2206.18
1922,2200.90,2200.90,2234.50,2251.77
1923,1858.60,1858.60,1877.90,1893.23
1924,2212.00,2212.00,2236.70,2252.02
1925,1914.90,1914.90,1933.50,1948.82
1926,2051.40,2051.40,2074.00,2089.47
1927,2317.90,2317.90,2333.40,2348.03
1928,2791.00,2791.00,2823.50,2844.43
1929,1996.30,1996.30,2015.70,2029.72
1930,1871.90,1871.90,1896.00,1910.63
1931,2955.00,2955.00,2988.80,3006.47
1932,2761.90,2761.90,2806.30,2827.36
1933,2508.50,2508.50,2540.20,2556.85
1934,2344.40,2344.40,2387.60,2408.64
1935,2227.10,2227.10,2263.20,2282.04
1936,2583.60,2583.60,2610.30,2626.37
1937,1880.50,1880.50,1897.60,1913.76
1938,2391.70,2391.70,2417.50,2433.52
1939,2114.20,2114.20,2147.60,2165.50
1940,2360.40,2360.40,2402.70,2422.14
1941,2349.30,2349.30,2376.70,2395.06
1942,2597.00,2597.00,2630.50,2649.75
1943,2361.00,2361.00,2376.20,2392.55
1944,2331.70,2331.70,2337.80,2351.87
1945,2046.60,2046.60,2064.40,2080.09
1946,2057.30,2057.30,2082.00,2098.36
1947,1863.20,1863.20,1892.20,1905.87
1948,2372.80,2372.80,2375.00,2390.54
1949,2353.90,2353.90,2386.00,2403.16
1950,2369.80,2369.80,2405.00,2422.73
1951,2239.10,2239.10,2281.30,2305.02
1952,2549.10,2549.10,2574.90,2592.43
1953,2063.30,2063.30,2087.70,2107.44
1954,2324.00,2324.00,2339.50,2349.07
1955,2086.50,2086.50,2099.90,2098.76
1956,2414.20,2414.20,2441.80,2456.01
1957,1814.60,1814.60,1833.40,1845.99
1958,2595.60,2595.60,2616.20,2623.20
1959,2098.50,2098.50,2133.30,2148.51
1960,2732.20,2732.20,2771.20,2792.83
1961,2295.70,2295.70,2322.20,2347.97
1962,2206.60,2206.60,2236.80,2251.17
1963,2168.60,2168.60,2205.70,2230.09
1964,1694.80,1694.80,1717.60,1732.34
1965,2321.20,2321.20,2355.60,2378.33
1966,2054.00,2054.00,2087.00,2103.50
1967,1493.60,1493.60,1516.50,1529.47
1968,1888.50,1888.50,1917.70,1944.49
1969,2670.90,2670.90,2709.40,2726.80
1970,2634.80,2634.80,2666.60,2690.72
1971,2038.60,2038.60,2067.90,2083.79
1972,1852.10,1852.10,1879.40,1895.66
1973,1716.60,1716.60,1732.10,1739.85
1974,2068.30,2068.30,2094.80,2119.43
1975,2225.20,2225.20,2240.60,2253.36
1976,1737.60,1737.60,1756.80,1767.57
1977,2068.50,2068.50,2083.50,2104.12
1978,1931.80,1931.80,1961.00,1983.68
1979,3066.20,3066.20,3095.90,3107.85
1980,1663.40,1663.40,1686.60,1698.91
1981,2657.40,2657.40,2696.00,2716.87
1982,2095.60,2095.60,2108.20,2122.75
1983,2051.20,2051.20,2080.30,2096.29
1984,2359.20,2359.20,2369.80,2385.27
1985,2091.10,2091.10,2088.90,2102.78
1986,2163.70,2163.70,2191.00,2206.14
1987,2547.00,2547.00,2563.40,2565.34
1988,2287.50,2287.50,2306.90,2319.44
1989,2232.60,2232.60,2254.10,2261.34
1990,2066.50,2066.50,2086.30,2097.19
1991,1723.40,1723.40,1740.70,1752.46
1992,2436.00,2436.00,2474.90,2492.63
1993,1882.10,1882.10,1904.10,1918.25
1994,1713.20,1713.20,1727.20,1740.39
1995,1980.60,1980.60,2008.90,2024.45
1996,2008.20,2008.20,2023.90,2033.92
1997,1832.60,1832.60,1839.30,1848.02
1998,2784.40,2784.40,2838.70,2864.52
1999,2509.50,2509.50,2543.30,2562.73
2000,1578.10,1578.10,1579.30,1589.11
2001,2112.00,2112.00,2136.80,2151.37
2002,2021.60,2021.60,2040.10,2051.85
2003,2581.50,2581.50,2622.40,2642.26
2004,2602.50,2602.50,2645.90,2667.01
2005,2909.60,2909.60,2953.40,2975.04
2006,2976.20,2976.20,3031.60,3054.42
2007,2228.80,2228.80,2261.90,2279.75
2008,2650.80,2650.80,2689.50,2708.17
2009,2265.90,2265.90,2294.00,2315.20
2010,3041.30,3041.30,3098.20,3126.41
2011,2969.70,2969.70,3033.10,3059.51
2012,1901.70,1901.70,1923.90,1939.22
2013,2776.80,2776.80,2830.90,2856.28
2014,2568.30,2568.30,2600.50,2619.00
2015,1497.70,1497.70,1504.20,1517.54
2016,2397.80,2397.80,2437.80,2461.36
2017,2489.00,2489.00,2527.30,2548.01
2018,2054.00,2054.00,2079.80,2096.63
2019,2158.60,2158.60,2180.20,2194.45
2020,2360.20,2360.20,2395.10,2412.12
