Variable:,pr
,Portugal,Aveiro,Beja,Braga,Braganca,"Castelo Branco",Coimbra,Evora,Faro,Guarda,Leiria,Lisboa,Portalegre,Porto,Santarem,Setubal,"Viana Do Castelo","Vila Real",Viseu
1901,828.45,951.40,755.90,1062.89,653.31,801.56,918.21,752.98,783.05,768.33,946.72,894.75,761.33,1004.40,862.17,805.32,1124.42,888.39,886.35
1902,940.56,1100.02,786.59,1215.95,764.06,947.72,1073.05,839.75,774.17,902.79,1110.58,1038.27,886.47,1148.49,1006.99,897.73,1274.02,1023.73,1032.91
1903,818.48,1067.57,592.43,1222.81,731.23,815.26,1004.21,650.15,572.23,821.39,979.13,854.80,710.79,1139.28,838.12,689.64,1304.12,1008.42,983.24
1904,754.63,912.21,607.80,1042.62,671.63,748.12,853.48,636.45,608.04,762.62,857.65,798.99,673.40,979.53,768.62,678.59,1107.53,885.55,862.58
1905,679.65,863.80,531.74,1001.75,608.55,655.77,801.08,554.24,545.62,668.40,781.38,693.32,585.20,932.69,679.03,587.28,1075.79,828.11,794.26
1906,698.92,875.25,505.04,1033.76,662.91,709.35,826.54,561.78,483.49,742.70,773.44,695.94,629.23,956.96,691.68,573.09,1098.02,889.61,846.22
1907,954.69,1210.00,741.00,1327.92,779.22,948.10,1154.67,812.87,690.73,925.55,1157.52,1059.98,866.39,1263.98,1018.62,865.92,1396.79,1080.21,1110.58
1908,649.67,788.42,536.78,895.09,574.77,606.69,735.11,560.80,552.48,624.13,736.41,695.16,575.24,851.14,664.31,602.18,944.28,749.27,747.85
1909,850.08,1020.14,729.97,1143.40,710.03,816.28,963.73,745.29,765.60,806.05,964.25,902.66,775.12,1074.02,870.89,791.60,1226.51,943.10,945.36
1910,924.91,1181.88,695.55,1331.84,803.13,912.96,1111.62,776.52,629.92,918.86,1096.47,993.16,840.45,1256.80,959.36,810.20,1427.80,1086.70,1094.69
1911,902.97,1087.86,731.60,1209.32,774.54,893.50,1049.53,792.89,689.34,857.55,1072.34,987.19,847.86,1159.11,960.36,832.10,1264.72,1012.13,1011.27
1912,813.19,1054.55,582.06,1241.46,736.05,798.93,980.64,636.32,591.74,805.69,953.19,846.20,707.30,1145.48,827.42,683.23,1342.80,1017.00,981.14
1913,873.62,1088.60,675.48,1235.32,766.71,863.72,1028.71,736.80,644.85,850.90,1021.75,928.81,794.20,1150.81,911.40,782.09,1322.47,1038.63,1002.08
1914,861.05,1122.12,623.25,1306.08,792.96,844.26,1037.67,679.84,600.55,853.36,1005.08,893.04,746.79,1211.75,872.52,727.66,1408.17,1073.50,1044.46
1915,918.97,1185.50,664.13,1429.18,881.07,896.54,1085.41,707.15,656.35,911.45,1044.05,935.45,795.04,1298.75,913.21,769.84,1564.03,1177.17,1103.18
1916,911.40,1175.63,647.84,1481.32,881.77,865.55,1061.29,707.35,632.65,880.79,1015.47,916.63,792.95,1338.41,893.91,750.35,1627.77,1218.58,1095.06
1917,654.76,814.15,511.98,1015.17,649.72,597.22,699.60,520.48,556.76,636.78,697.41,644.21,552.73,929.46,630.24,565.23,1103.08,849.13,777.24
1918,719.40,913.88,524.62,1162.77,702.56,682.34,822.02,554.49,534.60,695.49,793.71,715.28,619.11,1070.63,702.14,592.56,1260.61,957.73,854.15
1919,891.04,1120.91,631.86,1517.59,973.04,846.74,1010.21,652.52,637.34,911.10,910.64,795.52,727.89,1340.21,803.15,691.06,1673.94,1293.53,1091.31
1920,713.34,893.76,564.07,985.83,609.44,716.95,842.98,599.75,563.96,711.50,811.75,749.70,654.53,932.19,728.60,638.48,1065.17,807.43,832.61
1921,571.47,681.08,452.93,801.57,524.69,573.52,644.08,468.53,473.89,575.98,636.94,582.24,523.51,743.70,576.46,495.45,849.64,694.46,654.84
1922,720.53,948.31,506.52,1217.91,716.07,677.88,829.06,548.06,496.73,716.63,773.59,688.07,609.71,1088.62,675.83,573.87,1344.16,999.07,886.95
1923,691.72,876.31,512.42,1112.26,672.14,655.03,787.59,544.93,508.90,677.03,750.56,672.59,605.72,1006.23,666.55,568.84,1219.95,919.21,823.23
1924,834.21,1045.47,653.26,1247.14,727.87,793.80,962.18,690.91,660.67,793.41,947.76,873.51,743.57,1145.88,841.44,736.15,1356.86,1021.93,966.38
1925,782.90,1022.43,557.59,1288.99,759.76,745.42,906.55,603.53,553.64,773.63,865.35,760.21,665.92,1160.75,752.48,629.93,1421.59,1060.77,947.37
1926,797.47,1024.02,555.42,1271.09,801.08,779.63,935.21,606.61,543.38,832.05,868.61,773.94,687.67,1147.41,763.54,638.94,1391.41,1075.65,982.71
1927,828.09,1051.34,609.54,1352.37,825.35,779.25,938.43,646.17,607.17,826.84,878.69,791.82,708.46,1192.53,780.44,677.03,1491.46,1127.50,995.38
1928,795.24,1014.78,596.94,1235.49,723.19,753.36,913.37,656.99,575.79,758.75,903.88,818.38,709.84,1130.65,793.50,681.73,1352.16,1009.13,929.57
1929,633.98,829.39,420.57,1070.64,691.10,615.48,754.11,456.89,412.86,667.78,681.01,584.43,513.53,939.06,580.37,476.12,1192.56,916.59,794.06
1930,699.54,923.01,521.05,1120.38,646.59,662.28,822.37,558.02,516.41,699.27,774.01,695.53,591.03,993.95,668.74,579.10,1250.22,905.00,838.62
1931,663.14,899.48,478.91,1097.07,633.22,627.15,789.85,504.46,485.96,661.82,719.68,630.29,554.61,977.21,619.75,525.45,1213.01,897.58,816.98
1932,789.54,1025.42,614.85,1246.67,724.60,729.42,919.33,641.40,640.30,749.96,863.15,765.28,679.15,1136.59,757.12,662.20,1364.67,1011.82,931.41
1933,675.91,821.33,574.47,1057.32,644.71,598.82,725.88,559.16,640.86,620.83,690.77,644.00,563.37,934.73,622.65,595.96,1183.66,888.03,761.61
1934,663.30,880.77,451.06,1126.72,657.63,629.73,773.30,494.21,451.49,665.87,732.66,648.79,559.06,991.46,631.72,518.02,1248.65,928.68,809.99
