Variable:,pr
,Canada,Alberta,"British Columbia / Colombie-Britannique",Manitoba,"New Brunswick / Nouveau-Brunswick","Newfoundland and Labrador / Terre-Neuve-et-Labrador","Northwest Territories / Territoires du Nord-Ouest","Nova Scotia / Nouvelle-Écosse",Nunavut,Ontario,"Prince Edward Island / Île-du-Prince-Édouard","Quebec / Québec",Saskatchewan,Yukon
1901,521.09,468.86,869.02,500.75,1124.20,1003.63,233.66,1192.57,226.19,710.78,917.55,817.03,451.78,271.23
1902,531.63,478.57,953.91,479.46,1118.77,1005.72,257.68,1191.58,223.92,713.97,926.89,828.58,422.72,275.74
1903,522.74,475.93,937.80,491.10,1029.25,995.12,247.43,1241.52,221.42,704.13,1000.75,790.24,448.71,273.35
1904,514.83,431.12,872.03,495.37,1056.34,1028.30,253.55,1222.49,222.03,707.62,978.25,792.77,416.15,274.52
1905,514.23,391.50,873.34,498.50,899.30,1011.09,267.28,1101.10,220.52,728.78,891.13,793.10,425.30,277.17
1906,520.07,439.13,932.92,498.95,1110.16,1041.10,261.84,1388.56,222.54,681.07,1114.67,771.48,440.45,272.84
1907,508.96,435.94,860.62,463.48,1145.75,1052.05,248.48,1297.16,219.70,671.48,1031.27,800.56,396.38,268.28
1908,510.04,455.74,913.10,485.57,974.38,998.55,242.32,1173.23,221.80,677.37,926.98,765.64,442.54,261.49
1909,523.82,429.89,874.98,490.87,1263.56,1036.78,252.90,1387.84,221.03,720.45,1163.13,812.30,440.12,283.45
1910,511.90,392.92,938.02,451.82,1017.66,1029.30,254.56,1271.19,222.07,684.04,1055.36,797.12,371.05,287.80
1911,514.75,484.91,853.65,512.69,901.86,1022.97,241.27,1039.11,225.07,727.88,792.74,765.10,459.85,262.63
1912,504.41,414.75,797.98,482.75,1162.06,1028.94,235.76,1311.43,222.31,680.16,1072.61,804.44,430.90,256.10
1913,511.79,431.68,934.78,445.12,1056.17,1013.01,256.41,1258.17,224.98,696.55,1041.70,763.82,409.31,268.03
1914,490.68,461.30,844.66,468.02,948.44,997.01,251.02,1084.02,221.97,638.65,884.00,720.54,404.10,272.76
1915,490.87,428.14,822.56,428.42,1047.70,994.39,239.05,1169.66,225.38,689.07,973.11,754.42,356.36,267.92
1916,504.63,485.18,779.82,481.65,986.14,988.20,234.85,1077.25,226.52,704.80,869.65,763.31,491.21,267.83
1917,496.17,391.89,884.87,409.51,1153.20,1016.57,255.01,1271.45,221.79,653.48,1059.07,784.02,337.50,261.64
1918,506.09,382.36,890.40,468.87,1084.50,1017.64,242.78,1174.78,222.95,680.75,975.32,808.86,372.21,259.33
1919,500.39,443.20,848.15,469.07,995.95,1007.16,247.08,1187.78,220.92,699.99,988.55,752.62,391.53,263.70
1920,496.23,433.22,874.86,461.44,1062.37,982.32,245.40,1103.61,222.28,622.58,881.99,763.49,417.10,258.22
1921,503.28,433.70,865.10,463.28,838.72,989.75,270.53,1030.68,224.54,700.88,843.28,731.34,459.64,260.47
1922,477.44,379.94,741.74,476.94,927.35,1001.66,252.64,1154.42,222.53,653.72,931.40,720.63,401.62,252.66
1923,491.17,420.17,844.37,450.75,968.90,1008.39,251.76,1187.77,223.57,628.70,936.33,738.49,422.46,270.71
1924,490.17,456.99,850.36,461.84,855.04,987.66,245.76,992.49,222.18,621.20,762.98,756.60,383.50,263.99
1925,497.58,445.44,806.26,473.52,1024.77,1032.78,234.15,1086.53,224.92,664.75,865.29,776.14,410.98,253.55
1926,496.06,456.33,846.16,471.02,1061.39,993.98,230.24,1236.12,222.86,688.05,998.19,742.18,398.08,245.08
1927,514.20,471.00,894.65,483.94,1182.62,979.34,222.34,1349.40,224.85,698.15,1122.78,784.99,456.18,236.10
1928,475.11,355.69,762.15,414.18,1031.64,975.34,219.87,1172.49,219.79,717.52,953.18,763.79,320.86,239.35
1929,480.35,415.37,770.66,409.18,989.26,998.94,239.05,1223.54,219.43,649.55,1011.68,767.16,359.21,256.20
1930,493.05,418.80,804.96,470.34,938.30,1008.98,270.60,1027.47,226.04,639.03,866.66,753.20,404.56,277.64
1931,497.53,417.71,854.63,456.50,1028.76,1006.10,246.13,1163.92,222.96,684.07,965.51,760.11,382.18,265.52
1932,538.86,464.10,969.94,463.87,1013.29,1028.78,266.02,1088.72,226.03,743.45,872.26,830.03,448.59,309.96
1933,527.13,512.78,983.14,464.00,1167.87,950.14,260.34,1407.84,223.73,680.19,1162.81,782.49,467.21,251.81
1934,505.56,426.89,906.00,427.12,1022.47,958.82,252.28,1233.62,227.39,703.69,989.01,782.86,367.57,260.71
