Variable:,pr
,"St. Helena",Ascension,"Saint Helena","Tristan Da Cunha"
1901,752.00,296.00,753.45,2220.94
1902,752.00,296.00,753.45,2220.94
1903,752.00,296.00,753.45,2220.94
1904,752.00,296.00,753.45,2220.94
1905,752.00,296.00,753.45,2220.94
1906,752.00,296.00,753.45,2220.94
1907,752.00,296.00,753.45,2220.94
1908,752.00,296.00,753.45,2220.94
1909,752.00,296.00,753.45,2220.94
1910,752.00,296.00,753.45,2220.94
1911,752.00,296.00,753.45,2220.94
1912,752.00,296.00,753.45,2220.94
1913,752.00,296.00,753.45,2220.94
1914,752.00,296.00,753.45,2220.94
1915,752.00,296.00,753.45,2220.94
1916,752.00,296.00,753.45,2220.94
1917,752.00,296.00,753.45,2220.94
1918,752.00,296.00,753.45,2220.94
1919,752.00,296.00,753.45,2220.94
1920,752.00,296.00,753.45,2220.94
1921,752.00,296.00,753.45,2220.94
1922,752.00,296.00,753.45,2220.94
1923,752.00,296.00,753.45,2220.94
1924,752.00,296.00,753.45,2220.94
1925,752.00,296.00,753.45,2220.94
1926,752.00,296.00,753.45,2220.94
1927,752.00,296.00,753.45,2220.94
1928,752.00,296.00,753.45,2220.94
1929,752.00,296.00,753.45,2220.94
1930,752.00,296.00,753.45,2220.94
1931,752.00,296.00,753.45,2220.94
1932,752.00,296.00,753.45,2220.94
1933,752.00,296.00,753.45,2220.94
1934,752.00,296.00,753.45,2220.94
1935,752.00,296.00,753.45,2220.94
1936,752.00,296.00,753.45,2220.94
1937,752.00,296.00,753.45,2220.94
1938,752.00,296.00,753.45,2220.94
1939,752.00,296.00,753.45,2220.94
1940,752.00,296.00,753.45,2220.94
1941,752.00,296.00,753.45,2220.94
1942,752.00,296.00,753.45,2220.94
1943,752.00,296.00,753.45,2220.94
1944,752.00,296.00,753.45,2220.94
1945,752.00,296.00,753.45,2220.94
1946,752.00,296.00,753.45,2220.94
1947,752.00,296.00,753.45,2220.94
1948,752.00,296.00,753.45,2220.94
1949,752.00,296.00,753.45,2220.94
1950,752.00,296.00,753.45,2220.94
1951,752.00,296.00,753.45,2220.94
1952,752.00,296.00,753.45,2220.94
1953,752.00,296.00,753.45,2220.94
1954,752.00,296.00,753.45,2220.94
1955,752.00,296.00,753.45,2199.15
1956,752.00,296.00,753.45,2161.06
1957,752.00,296.00,753.45,2139.46
1958,752.00,296.00,753.45,2354.20
1959,752.00,296.00,753.45,2464.52
1960,752.00,296.00,753.45,2242.24
1961,1171.51,296.00,1173.79,2443.21
1962,886.11,296.00,888.22,2247.32
1963,1182.01,296.00,1184.42,2465.22
1964,892.30,296.00,893.92,2085.47
1965,1009.11,296.00,1011.28,2237.95
1966,1016.21,296.00,1018.26,2115.88
1967,1092.70,296.00,1094.52,2232.63
1968,968.70,296.00,970.58,1962.70
1969,866.70,296.00,868.13,2119.87
1970,755.30,296.00,757.08,2391.73
1971,947.10,296.00,948.75,2148.24
1972,882.50,296.00,884.15,2279.23
1973,636.30,296.00,637.61,2131.65
1974,1180.91,296.00,1182.99,2112.87
1975,831.00,296.00,832.63,2101.41
1976,952.60,296.00,954.39,2212.71
1977,633.40,296.00,634.62,2102.78
1978,500.90,296.00,501.97,2333.18
1979,580.50,296.00,581.66,2273.90
1980,467.30,296.00,467.95,2255.89
1981,479.90,296.00,481.04,1968.23
1982,604.60,296.00,605.75,2418.90
1983,486.90,296.00,487.88,2431.41
1984,345.70,296.00,346.46,2219.96
1985,542.40,296.00,543.25,2369.73
1986,496.80,296.00,497.71,2336.80
1987,528.20,296.00,529.22,2442.70
1988,544.20,296.00,545.24,2138.98
1989,518.90,296.00,519.86,2062.44
1990,559.10,296.00,560.06,1984.91
1991,509.20,296.00,510.22,2261.14
1992,441.30,296.00,442.23,2167.88
1993,460.40,296.00,461.34,2350.47
1994,511.90,296.00,512.82,2393.83
1995,411.60,296.00,412.37,2304.85
1996,697.50,296.00,698.73,2157.24
1997,513.60,296.00,514.83,2380.05
1998,585.00,296.00,586.39,2166.41
1999,464.80,296.00,465.91,1997.01
2000,556.30,296.00,557.39,2139.69
2001,660.00,296.00,661.16,1982.14
2002,519.70,296.00,520.69,2342.67
2003,503.80,296.00,505.10,2238.63
2004,519.80,296.00,520.97,2331.02
2005,490.70,296.00,491.50,2306.84
2006,521.40,296.00,522.66,2127.18
2007,581.00,296.00,582.30,2340.38
2008,824.80,296.00,826.22,2237.59
2009,665.10,296.00,666.44,2300.74
2010,713.60,296.00,714.97,2079.92
2011,761.10,296.00,762.60,2203.56
2012,578.70,296.00,579.78,2270.76
2013,466.50,296.00,467.41,2143.27
2014,739.80,296.00,741.20,2132.08
2015,560.70,296.00,561.73,2210.79
2016,382.30,296.00,383.15,2337.57
2017,654.70,296.00,655.80,2253.25
2018,616.20,296.00,617.54,2164.71
2019,320.90,296.00,321.66,2184.12
2020,616.00,296.00,617.36,2391.95
