Variable:,pr
,Bulgaria,Blagoevgrad,Burgas,Dobrich,Gabrovo,Haskovo,Jambol,Kardzhali,Kustendil,Lovech,Montana,Pazardzhik,Pernik,Pleven,Plovdiv,Razgrad,Ruse,Shumen,Silistra,Sliven,Smoljan,Sofia,Sofia-city,"Stara Zagora",Targovishte,Varna,"Veliko Tarnovo",Vidin,Vratca
1901,711.45,748.98,689.75,682.98,785.31,655.91,674.53,693.12,766.36,721.80,669.21,739.05,735.56,658.50,705.28,730.12,720.87,710.99,698.51,764.11,785.42,750.44,715.50,708.03,737.56,689.08,719.18,690.38,648.42
1902,576.64,635.89,525.01,470.81,634.60,574.81,539.04,632.76,646.39,589.19,579.24,626.83,637.99,536.96,592.70,530.42,541.93,515.22,491.83,597.32,692.45,631.86,605.21,580.65,548.98,486.36,562.87,615.62,544.14
1903,526.27,554.98,532.38,473.77,570.83,548.72,530.61,599.36,549.00,508.94,495.49,526.71,543.03,464.30,522.32,517.62,505.49,515.68,490.82,569.75,616.16,531.17,512.40,535.60,529.02,494.77,514.81,524.85,462.55
1904,501.46,570.62,487.08,432.18,532.90,535.76,493.51,599.11,550.55,484.37,476.62,526.75,521.83,441.34,508.22,469.89,468.57,460.11,447.37,520.12,618.90,515.70,493.21,505.79,475.54,444.07,475.08,505.71,447.01
1905,580.75,675.27,470.56,389.65,656.94,575.85,515.76,644.77,690.18,626.06,615.84,680.06,679.36,557.08,637.28,482.10,512.76,457.84,433.64,575.72,733.02,685.77,659.49,601.88,510.33,411.59,557.91,645.14,580.83
1906,637.78,667.06,620.24,588.73,706.81,612.76,614.48,655.40,667.70,648.43,620.38,646.59,655.13,600.10,629.71,639.60,638.04,622.89,604.32,685.44,711.01,662.98,633.40,640.44,651.12,597.42,645.57,647.80,595.51
1907,462.66,517.76,468.43,446.65,487.10,508.25,462.59,580.76,455.55,433.00,407.62,479.81,431.44,395.64,468.11,457.26,440.84,454.51,447.19,486.89,598.25,442.38,414.01,464.33,454.72,446.05,436.42,424.75,390.41
1908,534.17,543.14,554.09,496.02,579.08,577.28,555.22,634.94,488.15,520.10,493.52,544.73,495.47,481.32,541.81,518.55,507.96,520.46,497.05,585.22,659.98,521.22,493.17,551.31,531.73,509.10,522.11,497.76,479.83
1909,628.81,722.02,568.33,489.85,688.74,619.96,591.72,673.00,744.03,644.69,628.62,703.65,709.94,577.64,656.34,559.80,572.20,545.06,515.10,648.38,758.43,703.51,675.07,638.28,585.75,514.47,606.26,661.06,595.06
1910,594.68,648.27,595.30,556.89,626.26,597.75,581.88,664.95,620.48,566.12,576.10,618.20,630.92,520.76,587.18,574.68,562.12,575.97,550.31,625.31,730.02,606.64,584.54,585.64,584.50,568.81,568.09,618.57,527.97
1911,549.18,676.07,500.67,468.63,585.04,562.48,508.37,656.26,608.85,537.18,502.35,625.70,567.11,484.42,571.52,513.30,513.74,493.83,490.32,554.45,739.62,577.42,541.90,541.27,515.83,469.13,520.09,525.45,482.10
1912,709.89,739.37,646.12,662.88,767.22,647.52,636.97,705.88,764.52,731.93,733.23,756.74,776.59,674.73,706.92,707.69,705.86,679.47,675.98,723.65,805.28,785.54,761.02,686.72,708.42,653.00,702.04,756.03,698.44
1913,560.00,590.14,502.26,456.19,614.22,554.44,515.38,616.58,630.71,583.59,598.70,584.76,644.35,532.70,565.88,519.45,526.68,496.08,491.31,565.56,649.83,629.61,616.52,556.04,525.83,463.66,542.93,623.72,556.58
1914,691.28,731.55,635.97,659.67,750.82,628.60,622.21,690.40,746.61,710.02,694.29,731.93,746.16,647.85,686.89,696.38,687.14,671.50,670.35,708.75,787.50,759.23,733.26,668.97,695.57,645.60,683.68,709.37,664.23
1915,751.38,820.16,659.07,637.24,844.77,673.08,666.90,716.79,888.55,801.38,772.99,821.19,862.13,722.43,773.10,709.73,715.81,688.24,664.52,767.00,836.33,855.07,819.39,748.12,730.81,648.24,748.37,816.99,732.72
1916,571.83,629.08,517.90,483.14,629.78,543.88,519.72,597.46,642.61,594.95,576.89,628.67,636.93,534.77,592.10,530.73,536.01,516.51,500.02,582.64,675.76,642.32,618.44,569.29,544.38,491.41,556.16,598.44,549.21
1917,592.01,625.55,576.91,507.26,655.52,626.35,589.49,690.91,611.40,599.22,544.54,649.06,597.76,526.80,627.31,540.69,539.41,543.98,503.50,634.89,736.89,628.73,596.00,615.38,569.73,527.39,573.78,533.59,531.80
1918,611.56,681.59,577.11,514.30,668.24,645.12,592.62,733.02,642.00,619.36,563.58,672.33,617.30,558.14,642.99,562.35,570.06,551.11,528.70,637.48,778.01,646.83,614.53,624.23,581.27,529.25,592.97,559.62,556.96
1919,776.53,808.04,786.45,763.60,836.97,807.36,795.24,865.97,776.18,748.33,695.77,803.73,764.05,672.23,779.15,767.29,737.87,775.44,740.78,854.26,921.07,781.03,742.65,792.28,784.97,768.13,757.18,716.62,666.72
1920,631.25,735.66,561.47,450.96,703.39,652.75,592.98,762.43,684.54,657.54,608.17,724.66,669.83,585.35,680.98,552.33,573.78,534.70,497.97,648.98,837.91,701.38,669.99,646.45,583.98,492.47,612.93,597.18,595.34
1921,541.63,610.24,495.05,455.27,577.68,549.01,495.83,660.60,578.58,544.94,537.54,603.43,579.78,489.02,567.33,486.00,488.01,480.82,458.99,545.75,715.78,589.05,566.60,535.25,501.29,464.31,508.17,553.42,509.83
1922,610.60,579.02,615.49,593.71,670.31,599.03,611.92,606.67,616.13,613.27,604.57,607.57,629.89,569.55,599.19,611.64,601.58,607.96,590.90,666.17,647.55,636.31,614.47,621.30,621.74,592.36,613.07,637.53,573.76
1923,615.09,687.32,560.31,499.05,697.00,612.74,577.64,683.11,659.12,646.43,577.74,689.62,633.63,577.35,657.65,563.87,578.71,547.28,518.84,646.89,769.28,669.16,631.04,633.64,588.91,516.25,610.53,581.16,572.10
1924,614.90,675.68,545.12,484.21,672.67,587.47,556.32,653.50,701.68,645.33,652.94,682.19,708.53,583.70,636.54,548.31,562.53,534.48,506.66,616.32,735.28,707.42,686.94,608.84,571.42,508.75,590.71,677.16,613.02
1925,670.93,716.10,619.41,553.47,737.77,671.54,639.27,733.17,727.23,688.09,674.43,732.15,735.08,617.52,695.87,615.20,618.54,603.50,571.10,701.70,809.49,741.96,715.08,681.58,639.03,575.22,650.34,695.15,638.72
1926,503.37,545.50,444.73,413.90,545.37,476.20,442.68,541.55,582.51,523.95,542.33,541.15,586.48,481.68,512.96,464.22,470.62,445.54,439.91,500.79,594.38,569.99,552.59,488.89,472.16,416.86,484.08,579.69,504.24
1927,612.88,673.26,539.57,446.81,683.49,619.57,566.22,680.99,699.10,650.15,634.00,697.99,697.25,576.28,661.14,522.09,543.13,509.65,474.00,623.09,752.31,707.91,680.46,627.98,554.41,476.37,587.31,654.60,601.72
1928,570.56,622.54,537.22,460.48,632.88,598.72,551.87,668.97,609.63,588.84,538.31,632.80,587.43,524.35,606.49,511.61,520.60,505.46,473.53,597.87,709.58,620.23,590.36,587.77,536.73,481.72,553.78,532.51,531.25
1929,639.69,751.52,539.51,456.01,699.29,655.56,573.98,744.12,764.07,671.48,647.56,757.14,744.78,586.72,697.90,531.56,552.02,520.10,477.86,632.05,825.02,748.19,717.33,646.64,565.59,486.37,596.58,661.80,616.22
1930,582.20,700.74,500.78,478.92,631.65,585.83,518.35,694.55,638.17,593.93,567.60,659.43,620.07,533.12,611.46,530.53,532.01,512.55,503.07,580.02,770.15,638.10,609.73,578.79,542.44,480.46,553.96,574.08,547.26
1931,682.98,727.44,639.82,576.78,755.19,699.49,659.24,764.54,713.51,700.52,667.36,736.50,715.01,629.12,709.47,636.88,639.11,626.35,589.47,718.05,828.16,735.44,703.97,699.30,658.50,600.04,667.13,668.96,642.29
1932,452.12,439.21,423.56,448.67,483.06,396.13,412.27,421.93,479.85,454.49,505.33,434.19,500.10,439.72,415.98,483.15,472.58,457.91,479.85,462.31,463.98,481.37,471.40,423.25,463.79,435.32,451.08,572.30,456.75
1933,692.88,662.29,695.55,674.83,791.13,680.19,702.60,715.60,653.80,703.49,641.68,692.69,653.77,650.21,694.17,714.81,706.80,694.73,687.51,780.84,770.74,696.17,657.68,722.57,725.56,667.16,719.52,670.87,627.04
1934,486.24,549.43,399.03,389.88,530.37,439.58,403.51,486.56,586.47,518.15,538.78,535.16,591.95,476.41,492.30,451.14,461.34,422.90,429.01,462.19,561.85,571.50,561.16,464.83,453.53,393.02,469.46,579.02,501.43
1935,592.37,597.25,586.95,516.00,655.36,624.71,594.81,680.93,591.91,604.16,567.80,621.15,588.22,550.64,610.94,550.73,555.21,551.29,510.28,640.05,707.92,616.94,586.78,612.48,575.82,538.46,583.29,568.34,553.82
1936,657.23,802.44,595.34,519.50,704.18,673.64,613.38,769.99,755.70,658.97,614.15,772.15,728.94,567.54,708.78,563.48,565.70,565.44,520.28,666.27,884.71,738.91,709.80,664.85,591.60,548.25,605.98,595.51,591.73
1937,752.44,854.19,648.86,606.84,820.24,746.49,673.60,825.19,860.18,784.21,775.23,849.55,853.44,698.00,794.28,664.72,678.85,649.36,616.16,755.19,925.04,857.65,826.43,755.28,687.33,619.38,713.40,797.27,734.37
1938,561.34,619.66,516.95,447.20,611.49,582.29,533.22,641.53,622.92,581.05,564.63,617.51,617.57,519.44,587.14,489.66,500.72,482.87,453.16,574.61,691.40,624.93,601.90,567.46,511.58,466.02,532.42,581.59,539.53
1939,690.33,721.31,641.42,605.19,765.06,671.89,656.37,723.97,736.12,718.01,700.39,733.50,739.82,654.64,705.39,648.97,657.39,632.70,611.49,724.00,793.02,754.51,722.96,697.16,660.51,606.68,678.89,731.46,668.77
1940,804.28,866.63,760.79,701.53,880.78,876.97,792.27,965.62,844.72,806.90,731.00,883.21,829.22,700.00,854.30,730.22,721.36,737.63,691.89,850.85,1014.54,861.97,823.75,838.86,755.38,711.52,761.39,719.74,715.46
1941,689.35,664.22,648.59,664.09,760.36,640.94,648.60,661.43,706.71,717.12,711.75,692.04,731.63,674.22,669.65,716.74,707.35,681.06,697.24,719.23,727.51,745.06,723.42,676.11,702.69,648.79,695.41,740.71,684.09
1942,570.59,608.38,524.86,438.02,632.42,560.77,535.57,600.84,626.78,608.58,604.65,611.59,627.55,562.01,582.28,512.62,536.55,494.41,469.19,589.20,658.30,638.75,615.04,569.74,545.09,468.18,567.09,624.10,579.28
1943,576.27,570.46,602.18,594.09,632.43,578.35,590.73,611.54,564.15,563.92,512.41,577.05,555.13,515.99,564.62,596.89,575.51,594.66,582.82,631.90,644.86,575.99,551.86,580.78,592.75,585.37,575.75,521.90,500.90
1944,724.47,791.17,648.28,561.50,812.14,722.28,674.85,801.53,792.31,762.50,720.74,803.51,785.25,682.29,767.85,659.05,675.91,635.94,598.35,751.88,886.98,808.99,773.38,743.32,692.06,593.23,715.01,730.59,696.43
1945,432.66,492.37,417.36,404.75,432.70,443.67,406.46,516.42,497.34,410.19,428.62,461.74,488.54,373.56,428.22,399.96,387.00,405.11,392.48,423.64,539.15,463.77,456.18,409.54,398.23,406.74,390.65,442.92,393.38
1946,545.47,590.54,513.73,456.00,584.74,598.41,533.10,671.62,568.71,542.23,531.03,588.85,564.93,485.52,569.83,492.12,487.28,493.56,457.91,566.88,698.69,574.78,551.66,560.02,516.19,476.33,518.28,524.57,504.68
1947,554.95,544.40,552.99,502.95,620.54,576.42,561.60,610.34,543.28,562.73,524.45,562.74,534.49,523.49,559.59,549.74,553.69,533.35,519.04,610.57,640.18,563.48,534.01,571.53,566.63,510.81,566.26,532.74,511.56
1948,469.63,513.00,443.93,375.85,507.38,466.22,449.65,500.99,529.72,477.53,485.79,503.78,531.54,431.87,473.16,425.81,432.07,420.68,401.36,481.52,554.59,523.78,510.36,462.82,443.87,398.34,451.76,514.66,451.16
1949,571.54,614.73,538.39,482.27,619.54,563.16,550.63,603.95,636.47,578.46,588.82,605.19,634.81,532.43,572.97,531.34,535.86,517.78,500.11,604.63,658.89,627.34,606.33,568.58,539.02,496.97,551.69,620.87,550.01
1950,464.45,537.25,426.77,373.58,486.73,482.12,435.10,535.62,532.41,467.83,473.46,511.70,513.85,425.58,476.52,406.22,411.25,401.68,381.17,466.61,580.84,510.45,491.80,458.07,421.31,389.01,433.85,494.75,445.18
1951,592.89,713.09,528.50,405.86,636.38,617.54,555.99,715.08,700.78,615.97,608.57,699.20,688.53,542.24,641.15,470.09,494.47,454.81,414.11,571.37,784.94,697.86,669.21,595.69,505.81,436.16,536.92,629.42,569.74
1952,618.21,622.50,596.74,591.64,670.98,654.48,604.10,709.11,599.41,614.21,600.68,650.51,595.46,552.88,645.77,586.82,573.75,593.62,570.19,658.84,742.04,632.22,599.63,645.02,601.26,570.95,592.13,636.54,568.57
1953,537.74,560.71,522.85,420.76,602.82,551.28,538.08,601.19,564.58,562.58,540.49,577.57,565.43,497.55,561.99,474.55,483.27,470.14,431.50,578.12,633.98,592.59,569.83,556.34,518.43,441.39,524.84,566.98,509.80
1954,712.40,726.47,592.92,595.73,824.46,683.90,626.27,745.33,708.60,769.67,771.04,763.83,738.83,709.11,742.90,681.49,693.00,629.67,631.55,763.35,822.67,790.25,764.64,743.64,698.53,582.83,730.02,795.96,733.78
1955,795.83,848.43,731.81,693.87,895.54,794.37,769.50,850.87,845.42,811.73,763.85,861.46,839.30,724.89,832.76,750.27,759.48,732.75,705.65,849.68,954.71,859.74,824.32,828.16,783.84,687.56,790.67,787.69,729.95
