Variable:,pr
,Romania,Alba,Arad,Arges,Bacau,Bihor,Bistrita-nasaud,Botosani,Braila,Brasov,Bucuresti,Buzau,Calarasi,Caras-severin,Cluj,Constanta,Covasna,Dimbovita,Dolj,Galati,Giurgiu,Gorj,Harghita,Hunedoara,Ialomita,Iasi,Maramures,Mehedinti,Mures,Neamt,Olt,Prahova,Salaj,"Satu Mare",Sibiu,Suceava,Teleorman,Timis,Tulcea,Vaslui,Vilcea,Vrancea
1901,754.09,832.65,665.57,851.86,717.89,696.44,913.67,596.62,611.44,818.69,734.16,757.33,678.62,863.17,770.95,619.49,815.03,834.72,643.90,651.50,726.06,866.30,883.07,878.18,651.08,638.25,971.70,740.80,811.74,769.11,664.93,855.19,777.83,767.25,806.46,869.03,686.45,647.26,568.22,708.24,847.36,754.29
1902,651.37,833.06,674.93,731.36,555.54,737.99,845.60,478.40,402.34,691.54,531.97,541.16,471.32,829.23,784.94,416.99,661.58,684.65,563.27,423.51,549.12,808.32,743.96,868.41,442.32,481.23,962.97,677.05,718.22,631.60,565.21,668.68,807.53,788.82,762.02,740.20,552.46,644.80,378.04,473.69,771.38,549.02
1903,550.46,650.12,552.22,588.29,478.22,581.69,679.72,436.13,414.69,551.80,500.08,511.02,468.60,687.13,619.95,423.58,533.66,561.58,467.48,432.52,500.78,647.78,604.60,688.11,444.13,434.53,770.15,563.47,580.25,530.43,474.24,581.34,630.83,621.24,592.22,622.50,473.89,549.61,382.20,467.31,612.89,509.25
1904,535.95,616.82,511.73,587.41,497.05,524.37,674.14,438.46,404.05,564.20,481.16,502.77,437.74,659.87,574.56,397.17,555.25,560.81,458.98,431.56,478.64,623.48,625.64,652.27,425.67,453.20,721.36,546.29,587.64,552.29,461.29,571.30,582.23,562.02,575.83,627.86,458.20,514.56,373.11,476.33,601.42,506.97
1905,624.90,791.59,646.59,729.10,530.40,664.57,784.39,479.78,388.88,679.72,497.04,520.63,421.36,830.78,704.45,362.54,643.08,659.47,587.20,421.60,515.95,809.28,720.10,835.36,411.44,458.45,869.42,695.51,691.56,596.15,578.14,627.42,709.88,698.13,745.26,697.50,544.01,642.42,348.60,462.06,779.11,536.40
1906,708.87,837.59,721.42,783.12,645.47,753.37,870.29,552.25,513.41,744.37,633.09,663.83,582.29,866.37,786.80,528.82,740.76,763.33,602.61,539.16,643.80,823.25,792.18,867.83,554.48,570.46,965.06,707.79,755.23,693.37,617.30,772.58,805.50,782.71,785.02,775.60,626.84,704.75,484.92,586.81,796.96,668.37
1907,500.66,548.61,465.62,531.85,484.45,520.21,619.06,456.50,414.88,518.32,461.53,500.68,436.46,551.58,544.81,411.88,524.84,508.32,399.08,447.26,449.88,534.30,569.17,560.78,429.36,465.23,695.43,461.74,528.75,521.50,415.21,530.30,565.62,560.76,518.72,583.55,415.99,443.90,388.56,501.16,532.29,508.13
1908,605.86,716.63,582.53,660.30,555.87,630.55,790.42,526.69,451.89,672.26,516.53,564.75,481.97,670.09,691.67,456.26,652.06,627.65,489.11,477.06,511.49,682.02,727.77,730.11,471.19,518.71,865.79,560.24,687.64,627.85,508.02,647.38,700.51,680.74,682.04,734.01,499.23,537.45,421.38,515.45,669.54,572.26
1909,640.11,783.39,650.39,718.46,554.47,681.78,754.90,498.09,445.58,653.99,551.22,556.78,494.55,837.68,703.90,448.74,640.21,669.62,595.85,479.51,567.66,806.33,695.61,841.07,472.56,510.47,836.58,702.11,656.91,611.11,589.02,658.47,720.97,690.82,717.26,689.37,575.38,645.79,426.21,526.06,764.81,567.08
1910,648.29,738.79,662.14,681.75,603.73,666.40,783.86,571.51,498.69,658.17,565.37,612.41,529.65,815.65,693.18,511.59,668.81,661.68,540.06,536.17,562.67,739.10,719.74,793.84,516.43,579.88,844.37,653.89,679.12,659.69,539.24,681.67,699.65,671.51,668.86,746.47,539.08,666.44,476.02,594.96,697.45,631.31
