Variable:,pr
,"Korea, Democratic People's Republic of",Chagang-do,Kaesong-si,Kangwon-do,Hamgyong-bukto,Hwanghae-bukto,P'yongan-bukto,P'yongyang-si,Hamgyong-namdo,Hwanghae-namdo,P'yongan-namdo,Yanggang-do
1954,1316.64,1324.76,1499.25,1571.89,1012.99,1381.96,1227.44,1215.30,1483.79,1172.24,1312.44,1351.23
1955,956.12,896.05,1115.10,1132.92,812.53,1031.87,876.89,921.50,1021.55,962.95,973.05,953.19
1956,1301.56,1268.58,1544.92,1565.34,1036.12,1415.38,1175.87,1220.39,1411.32,1240.35,1306.62,1344.66
1957,1117.11,1131.69,1255.19,1265.65,847.34,1167.78,1112.80,1055.21,1223.26,1019.38,1131.83,1163.99
1958,982.05,886.47,1378.24,1307.90,753.48,1154.91,830.47,960.29,1076.36,1015.44,991.65,931.50
1959,1185.08,1145.07,1345.35,1359.80,952.74,1265.93,1162.86,1133.72,1261.68,1205.66,1191.49,1196.65
1960,1306.28,1420.17,1188.50,1290.21,1066.67,1219.66,1305.61,1157.29,1448.54,1117.90,1304.60,1464.63
1961,1166.87,1148.77,1387.69,1342.40,934.28,1246.73,1061.22,1126.38,1252.39,1150.59,1180.51,1219.34
1962,1283.80,1234.17,1277.45,1385.75,1075.89,1250.41,1193.24,1165.10,1496.38,1154.56,1296.85,1392.59
1963,1186.57,1109.49,1498.14,1444.29,860.73,1385.40,1137.50,1220.07,1237.80,1263.62,1265.17,1141.95
1964,1421.55,1407.23,1751.50,1699.42,950.31,1618.77,1471.56,1448.76,1485.72,1476.08,1542.20,1328.28
1965,1037.26,952.43,1250.36,1240.18,891.13,1112.51,807.89,939.46,1188.87,1003.10,989.13,1141.93
1966,1352.30,1287.17,1674.82,1671.55,988.35,1529.90,1201.96,1350.27,1480.42,1361.26,1406.14,1348.44
1967,1113.41,1176.32,1227.03,1216.99,750.09,1142.17,1135.68,1059.01,1245.93,1040.77,1187.45,1131.64
1968,998.30,925.68,1141.31,1170.65,936.73,1032.08,815.52,887.65,1111.49,923.45,926.38,1114.15
1969,1066.94,974.28,1460.75,1379.16,742.92,1289.08,1028.78,1134.89,1074.07,1192.19,1135.73,996.95
1970,1043.52,912.37,1489.13,1495.02,716.53,1311.14,894.14,1087.50,1094.88,1174.77,1074.21,945.31
1971,1161.62,1187.95,1258.03,1292.66,971.14,1159.65,1098.12,1042.86,1254.12,1041.40,1157.34,1262.38
1972,1224.80,1121.88,1503.86,1495.18,997.15,1393.34,1007.40,1199.34,1349.76,1279.58,1219.44,1247.25
1973,1045.81,1096.22,1071.59,1107.45,767.82,1033.73,1068.01,944.01,1189.19,912.97,1086.79,1108.24
1974,992.20,950.12,1173.41,1113.63,902.22,1030.04,925.11,925.82,1027.07,968.34,975.68,1060.36
1975,1047.14,1030.14,1197.78,1272.52,783.60,1117.50,947.26,938.24,1190.46,964.43,1038.70,1099.12
1976,965.99,900.05,1140.94,1199.96,732.79,1068.78,891.52,948.44,1068.06,962.54,997.81,944.43
1977,814.52,871.30,985.37,921.56,600.68,846.57,826.46,775.51,841.82,792.56,828.24,832.04
1978,1045.49,929.33,1316.71,1335.26,747.27,1202.62,935.07,1060.03,1170.14,1075.28,1107.94,1017.37
1979,1159.41,1071.53,1405.08,1410.46,868.69,1300.23,1023.01,1134.80,1308.83,1167.35,1206.23,1152.79
1980,919.50,904.86,1158.53,1138.76,709.60,1015.64,809.07,878.97,982.12,947.75,925.19,914.66
1981,1063.90,955.19,1360.89,1358.91,833.80,1223.12,890.79,1041.75,1177.69,1063.90,1079.98,1079.03
1982,953.48,968.67,964.00,1004.88,781.59,922.98,904.47,874.85,1080.75,819.10,971.53,1054.54
1983,1105.03,1088.98,1203.62,1237.01,895.79,1112.05,1028.12,1037.19,1251.14,990.83,1141.82,1161.02
1984,1064.63,1009.08,1271.77,1291.63,857.16,1133.96,980.36,1018.93,1163.60,1003.09,1078.26,1096.04
1985,1152.20,1249.42,1251.63,1316.12,762.02,1175.78,1216.55,1149.28,1219.02,1122.06,1230.10,1133.93
1986,1214.18,1258.21,1181.90,1210.12,1159.86,1086.98,1032.59,960.19,1402.60,965.28,1096.50,1503.44
1987,1190.62,1092.24,1513.22,1494.64,925.82,1363.64,1059.20,1185.98,1258.31,1260.09,1203.83,1193.61
1988,852.38,838.85,888.14,958.21,774.80,822.66,731.79,723.60,974.00,708.17,807.83,974.11
1989,987.65,929.68,1158.44,1232.10,883.06,1028.65,803.75,872.75,1094.64,925.59,923.79,1065.16
1990,1423.00,1188.09,2036.44,2030.02,1054.71,1824.96,1181.14,1497.49,1469.88,1641.13,1479.35,1276.02
1991,941.74,952.42,1068.25,1076.52,785.05,940.28,814.15,817.35,1052.07,861.67,874.24,1078.22
1992,1030.90,965.01,1168.26,1220.80,912.39,1060.97,872.67,953.74,1163.78,939.73,1024.77,1089.41
