Variable:,pr
,"Tanzania, United Republic of",Arusha,Dar-es-salaam,Dodoma,Geita,Iringa,Kagera,"Kaskazini Pemba","Kaskazini Unguja",Katavi,Kigoma,Kilimanjaro,"Kusini Pemba","Kusini Unguja",Lindi,Manyara,Mara,Mbeya,"Mjini Magharibi",Morogoro,Mtwara,Mwanza,Njombe,Pwani,Rukwa,Ruvuma,Shinyanga,Simiyu,Singida,Tabora,Tanga
1901,913.93,729.92,1287.51,622.85,672.31,847.35,987.52,1408.90,1417.93,714.23,858.18,1037.47,1408.90,1466.77,1428.72,796.39,905.88,784.97,1448.80,1422.17,877.99,771.56,1121.76,1443.89,925.81,1232.27,490.31,626.50,455.33,484.09,1248.66
1902,930.24,797.45,1181.96,709.74,554.40,919.35,1037.95,1258.50,1248.39,649.98,808.44,1125.81,1258.50,1269.09,1350.67,886.91,1004.97,856.47,1257.10,1386.81,953.10,822.76,1397.55,1275.85,934.96,1428.08,426.76,579.57,497.52,405.66,1180.20
1903,1116.72,682.16,1151.72,665.30,1170.41,859.75,1348.24,1097.90,1119.56,1250.56,1276.39,878.07,1097.90,1188.35,1737.30,724.99,1187.61,903.82,1178.90,1407.41,1343.01,1176.03,1167.63,1386.60,1048.62,1338.94,1010.25,807.06,728.38,1085.10,988.93
1904,1150.17,783.99,1428.31,675.51,877.27,978.44,1100.38,1477.40,1430.80,959.79,1042.26,1272.95,1477.40,1463.77,1993.11,877.92,957.85,1068.44,1443.50,1568.18,1625.42,930.26,1695.63,1633.59,1052.32,1688.27,782.72,744.61,660.80,810.38,1264.51
1905,1085.61,894.87,1252.47,812.29,985.72,951.55,1176.11,1381.30,1418.19,1045.73,1120.94,1306.52,1381.30,1407.38,1400.92,1008.60,1037.26,922.27,1392.30,1418.34,973.60,1004.98,1226.54,1393.36,1039.96,1330.34,873.73,800.12,760.93,929.72,1288.44
1906,1169.01,975.97,1526.85,790.16,955.54,927.28,1188.96,1749.90,1734.87,900.67,1069.68,1465.83,1749.90,1778.28,2129.43,1056.03,1247.04,830.14,1752.80,1667.47,1591.02,1066.96,1217.10,1825.05,819.30,1406.15,837.83,843.60,617.43,805.33,1533.24
1907,914.07,585.17,845.17,520.15,879.65,813.32,1192.13,932.20,909.49,825.30,1019.16,840.93,932.20,911.95,1509.52,596.66,945.94,701.83,899.20,1235.93,1365.73,963.28,1042.62,1062.18,713.14,1303.32,731.07,645.45,521.72,706.41,858.47
1908,1000.13,682.17,1075.14,607.90,981.81,843.12,1133.78,1280.20,1215.22,944.37,1097.23,1111.63,1280.20,1219.05,1447.09,804.05,1029.95,845.30,1199.20,1241.43,1231.84,1009.89,1150.34,1218.03,881.85,1343.83,867.42,759.17,626.65,845.89,1116.32
1909,808.74,618.14,1019.95,457.27,746.32,670.68,1141.27,1292.10,1188.60,682.12,884.31,984.55,1292.10,1183.24,1279.22,620.95,975.51,594.71,1159.80,1085.21,1108.87,921.52,844.78,1142.17,635.05,1012.58,584.32,612.24,403.96,498.24,1057.97
1910,902.42,628.74,974.37,527.23,839.65,781.68,1112.38,986.90,964.20,845.99,994.24,949.67,986.90,985.88,1480.43,671.63,860.19,744.70,973.00,1215.27,1201.54,917.09,984.29,1183.28,761.47,1181.42,700.77,605.41,512.64,686.45,907.63
1911,967.04,889.32,1037.82,661.83,869.54,761.14,953.44,1067.50,1083.84,997.09,1102.94,1360.93,1067.50,1091.75,1478.49,922.90,838.79,722.84,1076.70,1194.18,1211.65,836.04,844.35,1245.04,816.02,1045.21,805.93,717.28,694.26,903.99,1085.61
1912,1026.69,852.62,1131.64,598.45,1211.67,691.91,1314.44,1070.00,1121.97,1106.94,1240.92,1133.85,1070.00,1188.32,1514.73,799.17,1097.16,851.09,1175.00,1177.07,1246.42,1190.52,925.19,1324.30,1033.22,1026.17,997.92,811.48,617.68,936.50,1064.06
1913,1052.12,839.09,1144.34,678.36,1088.53,788.63,1065.64,1142.40,1160.42,1051.28,1212.24,1087.97,1142.40,1202.74,1632.90,844.10,974.54,785.97,1193.20,1314.63,1238.98,1049.98,1027.54,1346.92,902.34,1270.62,1047.17,824.08,702.14,1018.37,1053.09
1914,974.54,670.43,847.71,625.72,1035.15,798.89,1166.48,881.50,866.84,1046.98,1152.33,813.52,881.50,893.68,1424.75,679.41,1091.55,805.01,885.10,1182.47,1229.40,1093.47,954.56,1026.92,930.61,1163.57,933.04,777.29,677.91,946.66,787.98
1915,1006.21,692.84,1054.78,618.95,1096.16,836.47,1305.48,1183.30,1138.60,996.68,1157.28,986.47,1183.30,1167.82,1460.57,726.81,1100.84,783.39,1155.20,1240.58,1230.86,1156.48,1020.38,1174.90,870.70,1207.06,939.53,756.18,676.16,938.31,982.77
1916,1041.12,831.86,991.30,622.87,1044.94,837.93,1215.77,1101.30,1102.13,1009.23,1157.79,1118.01,1101.30,1115.13,1520.12,828.88,1168.07,809.66,1104.20,1245.58,1504.65,1132.07,1115.50,1142.10,924.15,1308.54,936.38,828.05,680.09,939.19,1039.22
1917,1039.28,876.35,987.69,642.38,1044.11,841.56,1221.47,1028.20,1049.26,1092.84,1139.87,1057.93,1028.20,1101.13,1477.27,832.94,1162.73,890.56,1088.10,1249.86,1222.63,1107.53,1070.51,1127.11,1058.55,1220.39,939.96,844.88,688.36,951.63,950.51
1918,859.11,494.46,779.79,590.01,774.28,809.16,896.49,910.90,884.18,870.34,1066.58,676.74,910.90,867.36,1444.97,579.80,701.70,684.44,853.80,1155.07,1230.86,717.87,928.43,967.69,692.95,1126.07,622.25,511.34,631.75,801.51,770.59
1919,982.28,688.23,991.70,635.19,863.40,820.90,1123.88,1029.40,1013.04,1164.88,1117.33,870.01,1029.40,1059.88,1463.85,719.26,985.93,934.23,1052.30,1221.22,1230.86,938.97,1028.51,1154.59,1106.68,1178.07,655.28,679.66,645.55,827.26,900.72
1920,968.42,704.97,944.36,593.41,1012.56,814.82,1110.59,1114.90,1064.88,1031.92,1156.91,861.78,1114.90,1097.09,1387.37,679.82,995.56,783.40,1084.30,1143.69,1230.86,975.23,1034.42,972.02,890.92,1248.85,925.09,784.82,683.31,947.11,909.89
1921,890.30,423.61,924.05,514.87,872.41,837.59,949.14,921.00,924.34,909.37,1044.99,619.24,921.00,988.46,1413.92,517.17,791.53,808.58,974.80,1214.82,1228.31,859.15,1069.07,1022.15,895.11,1276.23,742.20,566.25,557.62,773.48,737.21
1922,914.57,706.30,837.15,506.88,891.68,738.04,1106.71,1175.50,1095.66,881.28,859.21,1179.50,1175.50,1064.63,1242.04,707.85,980.89,837.07,1049.60,1134.00,1084.42,927.62,1146.38,958.38,898.01,1286.67,795.07,688.62,548.59,786.48,1043.17
1923,1095.77,839.35,796.56,707.06,1261.63,858.87,1317.70,994.10,921.40,1197.70,1301.30,1011.97,994.10,921.96,1493.22,852.58,1191.16,877.09,906.30,1212.03,1307.23,1235.01,1122.30,1002.07,973.70,1342.69,1126.98,893.70,804.74,1158.51,936.96
1924,795.06,614.69,774.26,447.14,831.48,714.44,1074.17,855.60,810.16,789.67,888.72,948.23,855.60,842.37,987.39,627.82,824.38,819.45,833.90,1042.24,739.73,870.74,1028.30,1014.53,791.18,909.76,662.44,593.04,431.74,619.66,836.52
1925,1073.65,690.89,1025.90,656.01,1098.88,800.40,1240.73,1170.30,1177.97,1154.75,1235.78,951.88,1170.30,1203.46,1605.51,715.40,1152.70,837.55,1195.90,1296.15,1391.35,1173.72,1083.22,1228.26,1090.28,1442.34,1001.41,855.17,682.42,992.34,1044.45
1926,942.23,691.13,898.77,596.03,1074.37,671.37,1291.94,1022.10,959.96,1018.48,1133.66,936.04,1022.10,972.48,1165.85,742.13,1151.69,723.48,962.20,1058.04,884.06,1165.76,916.11,1014.80,912.58,1083.27,949.74,777.94,670.35,958.80,1000.02
1927,982.86,643.54,1095.77,624.87,928.26,835.28,1138.66,1213.60,1246.65,1068.44,1089.91,1005.37,1213.60,1239.19,1376.39,707.64,840.37,921.81,1225.40,1245.52,1122.90,937.38,1106.81,1246.41,1087.15,1209.29,776.30,670.95,660.95,858.17,1072.11
1928,929.88,677.74,942.99,484.69,897.58,662.40,1104.45,1153.70,1079.12,963.86,899.26,1060.43,1153.70,1086.28,1319.06,732.85,935.85,831.51,1071.40,1079.89,1163.30,936.12,1118.18,1090.57,970.74,1263.99,804.96,698.54,571.20,844.12,1121.47
1929,861.89,513.37,863.02,457.53,948.16,705.06,1214.28,1089.00,964.76,845.99,973.83,861.75,1089.00,984.02,1183.74,570.27,900.36,790.44,970.90,1044.39,995.90,1017.48,1042.75,971.75,875.70,1212.19,752.55,627.67,488.97,712.46,897.26
1930,1173.73,937.40,1188.89,788.91,1242.00,1014.82,1410.42,1193.30,1148.95,1091.17,1240.23,1273.74,1193.30,1220.08,1924.64,914.07,1118.97,880.02,1201.40,1631.38,1312.45,1185.68,1137.88,1516.13,955.43,1284.65,1042.77,854.42,736.07,1038.64,1144.68
1931,1076.49,766.86,1138.39,657.05,1004.49,878.57,1239.15,1334.80,1323.80,1028.96,1124.41,1124.35,1334.80,1322.00,1574.90,853.73,986.49,959.97,1304.30,1385.32,1264.74,1036.73,1318.24,1349.44,999.30,1449.51,854.22,729.42,691.39,901.13,1227.49
1932,1015.37,709.27,1070.67,604.34,983.99,801.29,1153.29,1158.50,1124.83,1053.99,1153.70,1077.71,1158.50,1172.16,1573.83,776.45,1007.25,809.16,1159.60,1360.90,1239.73,1029.63,1089.92,1320.19,1028.81,1240.88,851.51,733.16,572.23,838.51,1052.60
1933,923.63,531.65,862.43,580.25,940.39,763.53,1120.40,1090.50,963.00,972.21,1000.17,817.99,1090.50,993.79,1324.86,617.73,864.39,864.13,979.60,1139.49,1171.83,963.63,1103.29,974.46,996.80,1286.55,812.32,630.83,602.59,801.41,921.84
1934,983.30,551.67,1096.83,554.24,935.55,807.23,1081.08,1193.70,1135.64,952.78,1011.04,855.76,1193.70,1158.36,1690.38,626.02,843.41,849.34,1141.20,1275.56,1415.04,918.27,1163.85,1263.15,938.19,1470.60,753.23,587.38,583.13,813.23,987.37
1935,1020.54,767.31,1134.68,605.98,949.79,860.41,1212.45,1277.30,1232.03,933.32,1041.14,1108.15,1277.30,1249.72,1522.53,821.99,1005.27,856.79,1234.10,1397.01,1179.71,1017.33,1093.26,1354.50,958.76,1305.29,824.64,750.04,594.92,792.10,1256.19
1936,1212.08,897.95,1278.35,775.75,1131.39,985.08,1361.95,1431.80,1388.40,1113.13,1174.33,1325.41,1431.80,1446.33,1865.21,990.60,1204.81,977.24,1425.00,1631.88,1466.74,1199.53,1167.54,1657.52,1102.84,1447.41,1009.85,867.53,829.86,1074.04,1360.31
1937,1093.96,944.92,1080.46,666.38,1230.65,727.26,1403.83,1298.40,1180.41,1129.17,1329.29,1361.50,1298.40,1194.22,1517.81,943.01,1199.87,731.22,1181.90,1312.20,1229.53,1248.46,846.94,1368.24,1000.17,1150.49,1084.40,920.48,728.82,1082.44,1184.98
1938,893.70,716.02,1142.63,584.20,881.86,681.73,1105.71,1344.60,1291.48,881.34,966.10,1153.49,1344.60,1279.19,1342.60,789.48,879.41,683.15,1266.00,1110.80,1030.67,909.62,789.75,1299.25,793.91,908.23,704.71,599.36,608.49,779.22,1180.32
1939,908.93,633.43,1069.78,544.16,912.80,679.68,1045.14,1126.10,1103.57,968.95,1089.46,1018.92,1126.10,1147.71,1349.87,696.55,827.10,686.86,1132.70,1179.99,1077.97,856.52,844.82,1255.74,877.80,1105.90,763.17,598.30,557.22,841.50,1044.67
1940,1071.77,795.47,1177.49,724.43,1037.23,938.77,1256.46,1350.50,1322.95,949.41,1103.74,1119.03,1350.50,1351.27,1644.09,869.50,1017.64,869.14,1338.30,1449.44,1286.22,1057.74,1080.46,1468.07,1002.18,1291.74,870.77,732.41,718.88,873.85,1173.39
1941,1124.07,780.09,1023.01,807.39,1229.35,953.46,1385.11,1175.90,1094.20,1118.94,1234.05,1000.15,1175.90,1100.48,1503.31,880.30,1154.44,950.67,1086.40,1364.43,1187.88,1220.98,1114.91,1220.00,1106.50,1285.30,1116.24,946.00,888.48,1086.24,1138.40
1942,1064.04,875.40,1194.72,661.20,1062.39,788.52,1221.14,1215.00,1193.98,1084.25,1124.10,1198.66,1215.00,1237.66,1546.29,920.12,1035.42,850.01,1225.10,1264.71,1229.28,1046.31,1005.76,1412.98,1085.21,1211.23,1001.78,803.81,729.49,1022.13,1152.28
1943,845.51,513.05,1024.39,477.23,866.69,630.05,1004.44,1045.40,1056.28,919.12,994.46,808.36,1045.40,1095.20,1302.89,579.88,847.91,704.39,1080.10,1072.41,977.58,876.92,834.18,1202.61,866.64,957.97,748.30,583.58,493.50,796.27,903.25
1944,1104.82,802.76,1166.82,773.91,1086.21,911.62,1304.22,1286.90,1276.87,1073.37,1130.61,1180.10,1286.90,1299.96,1514.01,987.64,1102.51,879.40,1289.40,1499.78,1082.16,1146.90,1129.60,1425.91,1098.25,1386.47,955.70,782.48,704.23,927.52,1251.45
1945,1040.48,525.43,1028.76,626.46,942.08,875.42,1187.70,1152.10,1081.25,1018.27,1084.26,816.12,1152.10,1109.76,1773.78,605.92,917.50,850.52,1097.60,1500.84,1368.22,1002.51,1175.01,1326.92,916.71,1582.86,828.94,589.08,579.88,876.60,1017.40
1946,860.23,577.60,882.39,424.28,982.98,601.01,1106.08,1077.30,1036.83,1049.53,1211.96,875.23,1077.30,1032.63,1048.57,620.03,856.57,727.75,1020.40,963.24,903.82,907.00,985.97,931.34,919.65,1084.67,824.53,597.74,478.95,868.32,996.09
1947,1154.33,850.26,1283.50,807.39,1119.81,948.72,1403.61,1220.70,1308.10,1082.57,1160.70,1253.58,1220.70,1346.51,1705.60,938.46,1115.14,850.52,1332.50,1553.88,1338.41,1183.61,1099.80,1545.67,1052.58,1484.99,973.82,794.20,775.33,993.70,1225.86
1948,919.63,529.26,1181.01,488.37,905.65,715.63,1093.49,1260.90,1256.01,845.40,1010.46,886.85,1260.90,1289.86,1447.07,616.89,874.91,746.78,1278.50,1259.22,1137.67,942.83,1013.92,1322.23,778.26,1318.64,748.22,586.94,479.06,750.77,1142.85
1949,738.48,552.27,675.45,455.63,807.94,549.27,970.54,813.30,751.56,819.03,1021.00,666.74,813.30,746.86,1057.17,555.69,766.40,595.81,733.30,798.73,912.50,781.00,725.21,815.09,771.93,895.63,645.27,566.26,476.77,645.44,747.07
1950,1020.51,772.56,1054.57,602.61,1025.83,784.06,1154.38,1099.50,1101.30,977.67,1169.39,1018.72,1099.50,1138.91,1481.84,831.35,893.91,862.81,1126.70,1229.92,1291.37,979.94,1183.97,1243.93,876.23,1401.65,891.51,722.61,675.83,941.05,1070.71
1951,1240.01,1027.31,1224.37,810.82,1407.53,925.84,1563.82,1481.20,1444.08,1284.08,1361.60,1446.20,1481.20,1454.37,1513.78,1045.82,1304.41,924.42,1438.10,1431.62,1204.72,1393.08,1174.95,1377.89,1084.72,1433.88,1309.05,1065.97,954.04,1334.88,1339.20
1952,930.83,607.62,772.21,536.70,970.78,731.87,1079.55,793.50,786.13,963.82,1062.86,745.60,793.50,791.65,1467.09,638.57,969.65,760.18,780.90,1171.02,1265.92,983.04,1012.99,931.99,931.85,1334.09,835.92,671.15,538.17,813.92,853.56
1953,900.96,518.19,1153.17,523.01,995.32,685.37,1200.05,1336.60,1302.10,945.04,1153.60,901.45,1336.60,1337.22,1234.34,630.63,857.41,676.29,1321.60,1114.38,1032.93,941.81,903.44,1205.42,812.70,1128.19,817.42,593.82,532.29,856.95,1163.29
1954,857.97,644.43,1001.91,463.11,919.58,635.41,1141.88,941.60,1004.48,899.86,1043.29,866.83,941.60,1026.24,1235.11,620.90,971.00,667.16,1015.10,1020.16,1027.85,939.23,875.98,1149.63,799.70,1047.60,752.61,614.23,505.21,770.81,861.95
1955,987.76,672.80,1104.25,539.99,990.07,734.29,1209.88,1133.20,1189.27,999.13,1115.61,977.13,1133.20,1197.07,1606.76,713.99,990.36,798.88,1180.80,1243.02,1276.90,985.04,1051.75,1271.83,914.96,1283.32,819.89,651.17,566.55,847.88,1039.11
1956,1030.11,552.17,964.18,629.96,924.47,884.66,1166.46,1000.40,968.39,995.10,1027.79,742.97,1000.40,1012.51,1724.47,616.76,967.27,930.63,1002.50,1358.36,1516.42,940.59,1242.78,1205.36,1137.68,1593.74,796.15,639.54,618.58,820.42,913.71
1957,1117.98,912.06,1436.22,765.43,1027.51,918.91,1313.19,1481.50,1523.26,1035.40,1181.25,1295.47,1481.50,1582.75,1599.71,1002.92,1057.35,872.64,1566.00,1469.37,1224.93,1032.18,1095.96,1594.25,1050.62,1339.17,873.99,798.59,724.61,919.34,1413.80
1958,921.05,706.91,868.16,648.35,871.58,837.16,1116.69,1034.80,977.86,911.71,982.32,911.76,1034.80,993.37,1339.66,703.24,956.03,725.44,980.10,1186.97,1154.48,914.41,854.45,1063.65,855.15,1173.56,779.60,667.94,633.67,793.11,948.02
1959,919.18,670.47,856.07,645.28,915.27,759.16,1120.19,1173.80,1050.72,987.66,1087.60,765.28,1173.80,1062.87,1269.68,741.22,923.38,801.40,1047.40,1030.83,1184.87,930.80,913.64,976.16,892.17,1063.26,794.62,734.16,701.15,853.55,1010.81
1960,960.92,636.43,988.20,560.14,921.53,764.47,1135.81,1012.30,999.88,1083.59,1082.46,892.24,1012.30,1044.36,1340.71,691.12,955.93,926.24,1032.00,1154.11,1100.41,929.92,1108.29,1208.60,1000.07,1172.67,825.83,656.74,602.92,920.02,951.76
1961,1295.30,862.78,1575.45,761.60,1375.34,985.91,1518.35,1483.70,1622.24,1269.60,1312.55,1187.15,1483.70,1680.75,1915.75,889.82,1493.97,987.98,1668.30,1676.43,1480.43,1497.94,1287.93,1761.32,1199.59,1573.29,1255.85,1077.07,821.67,1212.93,1420.84
1962,1096.35,715.32,965.53,639.15,1191.13,856.55,1303.69,949.80,951.73,1262.68,1301.07,803.42,949.80,1006.58,1474.12,701.98,1281.75,966.65,991.90,1168.96,1243.37,1306.37,1289.22,1063.22,1166.97,1438.04,1113.53,914.77,752.91,1150.25,859.10
1963,1254.74,1002.93,1374.47,747.96,1285.67,983.56,1563.52,1497.30,1459.21,1166.36,1347.68,1146.68,1497.30,1478.69,1787.57,955.54,1294.59,1062.36,1454.40,1548.97,1415.25,1277.92,1453.23,1578.96,1128.77,1642.15,1147.67,1056.22,818.91,1090.50,1278.32
1964,1009.59,741.66,1003.34,722.01,1111.96,838.99,1306.98,905.20,924.88,1054.42,1151.30,840.24,905.20,955.76,1349.89,773.92,1233.80,894.66,940.90,1178.70,1083.41,1226.03,1000.66,1167.03,898.39,1104.06,939.38,848.66,688.45,975.20,849.73
1965,987.11,552.52,741.49,630.68,1071.76,859.11,1280.17,983.00,893.51,1002.51,1095.71,720.85,983.00,824.14,1446.02,597.17,992.95,842.56,805.70,1297.09,1343.35,1096.24,1183.48,1009.55,1007.59,1385.91,863.09,712.49,608.15,820.71,903.50
1966,934.07,705.90,1080.65,592.14,1037.37,781.74,1278.70,1201.20,1247.89,921.75,1082.60,844.32,1201.20,1258.33,1159.00,702.64,1089.72,781.02,1246.40,1275.89,825.36,1066.14,1027.18,1215.23,887.19,1043.07,813.17,699.12,578.43,816.56,986.01
1967,1226.14,812.40,1367.14,850.39,1146.43,1158.25,1308.61,1392.00,1414.10,1205.69,1262.41,1229.63,1392.00,1488.17,1758.39,927.72,1112.86,999.91,1478.00,1713.58,1472.90,1191.00,1318.66,1635.03,1165.14,1484.00,1045.07,888.27,828.65,1070.62,1344.52
1968,1220.03,1030.19,1177.18,816.74,1254.08,1049.10,1399.08,1464.50,1415.54,1127.21,1251.57,1477.02,1464.50,1394.72,1585.95,1091.28,1402.21,1076.84,1372.80,1573.37,1235.94,1325.20,1204.75,1434.28,1094.96,1486.03,1087.82,1001.94,861.69,1017.43,1262.38
1969,874.93,571.82,1015.81,447.29,1010.63,620.82,1149.53,1061.00,1073.31,917.26,1038.12,783.16,1061.00,1099.72,1278.81,563.46,1115.25,705.60,1091.40,1035.15,1017.16,1034.10,861.94,1169.37,892.29,976.49,816.60,713.43,504.43,812.40,965.51
1970,1067.95,804.18,828.90,679.89,1189.90,892.07,1236.27,865.60,867.30,1149.44,1239.91,948.48,865.60,913.58,1291.48,808.07,1155.47,1037.60,900.50,1278.94,1116.59,1180.39,1279.28,1138.07,1084.17,1285.65,1032.43,878.97,739.67,1035.32,915.51
