Variable:,pr
,Denmark,Aarhus,Bornholm,Frederiksberg,Fyn,Nordjylland,Ribe,Ringkoebing,Soenderjylland,Storstroem,Vejle,Vestsjaelland,Viborg,Frederiksborg,Koebenhavn,Roskilde
1901,624.97,556.93,642.21,596.13,586.91,552.01,733.27,683.76,742.29,566.51,681.23,549.75,637.74,580.21,586.57,563.20
1902,572.24,509.67,547.81,486.38,513.91,558.87,662.76,642.35,657.54,482.47,602.13,470.12,603.64,489.52,482.32,468.57
1903,753.14,653.15,642.53,603.57,657.27,734.75,886.32,873.35,863.15,589.98,790.17,579.65,827.30,608.57,602.68,583.84
1904,598.50,533.43,570.00,516.25,521.19,586.14,685.88,688.43,657.61,495.27,623.46,480.45,651.05,513.72,510.87,493.00
1905,679.96,596.62,662.35,611.51,603.06,633.29,795.71,770.52,778.57,579.09,718.97,568.01,720.30,609.77,611.75,587.70
1906,661.50,574.22,578.45,554.86,585.18,619.99,777.32,770.64,756.83,536.54,702.37,527.56,721.83,549.63,550.09,530.61
1907,642.45,573.47,568.63,541.29,539.91,656.29,713.62,746.43,678.72,503.35,650.46,507.11,726.00,547.65,540.81,519.95
1908,608.81,548.16,592.39,561.19,539.67,594.38,674.51,686.68,657.08,518.41,633.23,514.84,659.43,554.43,553.78,527.45
1909,716.30,633.72,612.28,596.80,610.44,716.28,826.35,824.71,795.50,579.53,738.45,561.20,784.27,598.43,593.40,576.41
1910,724.87,646.86,736.62,696.77,625.47,725.91,788.03,804.35,776.37,640.33,729.35,626.39,788.73,689.37,688.83,658.70
1911,709.49,636.87,570.77,598.98,608.52,690.16,810.11,833.27,757.15,551.99,744.36,568.70,783.34,606.42,598.26,574.55
1912,830.07,749.64,700.26,709.47,718.94,817.66,945.50,951.15,896.81,673.08,866.01,669.15,902.58,716.05,708.58,688.16
1913,577.10,498.83,549.80,511.40,519.82,546.46,679.16,650.12,670.15,503.54,618.25,478.61,606.17,505.97,504.41,487.49
1914,690.47,594.91,597.39,565.03,607.21,662.76,802.06,800.59,790.34,562.17,728.55,542.13,764.53,561.71,559.18,541.31
1915,660.29,593.15,572.33,545.63,578.95,616.35,791.26,752.98,784.33,532.67,708.43,522.95,696.25,547.21,543.18,526.47
1916,845.37,744.88,738.82,703.42,736.51,813.17,975.40,983.03,935.35,683.63,886.87,669.98,935.64,706.85,700.43,681.15
1917,701.82,615.44,553.29,572.61,613.56,668.94,840.06,816.00,806.31,546.28,752.85,545.00,755.52,574.54,569.38,546.35
1918,643.87,551.30,570.91,530.00,573.49,610.03,774.55,738.84,757.40,543.73,693.07,509.40,682.82,530.25,526.60,513.34
1919,623.94,565.22,607.12,545.43,544.11,607.68,720.57,705.22,694.54,525.94,660.09,503.72,663.93,542.19,539.58,523.25
1920,710.96,638.30,587.91,597.07,625.94,707.09,792.49,822.55,758.36,573.17,741.40,569.37,792.10,591.37,589.13,567.96
1921,643.82,583.74,551.50,573.31,590.21,582.55,768.07,728.67,733.96,541.99,707.74,541.23,662.11,573.51,570.14,549.22
1922,662.67,575.92,640.99,572.92,599.48,610.06,775.17,751.87,770.32,575.75,709.56,547.73,710.51,574.00,569.93,556.11
1923,799.16,714.19,659.67,663.87,691.12,775.34,923.18,925.88,880.97,630.30,837.93,637.51,869.25,676.68,666.38,651.85
1924,682.72,593.89,565.78,535.37,578.79,706.50,767.47,800.71,732.50,536.44,693.02,517.85,781.71,535.90,530.89,519.63
1925,702.80,602.03,705.38,604.89,637.35,636.59,846.24,802.28,839.36,599.38,759.29,577.02,744.70,601.25,597.54,578.13
1926,738.50,635.16,660.07,606.81,661.64,697.52,871.05,847.23,854.25,629.27,786.76,591.22,800.19,608.85,603.64,593.56
1927,904.67,796.44,797.10,800.51,795.28,888.46,1023.12,1029.48,988.37,758.91,936.34,746.41,986.06,800.18,797.22,771.09
1928,764.40,669.73,676.15,664.57,694.41,724.18,883.32,865.33,864.19,658.81,810.08,640.10,814.48,672.78,663.43,647.57
1929,657.60,568.85,522.89,568.76,561.64,655.43,743.05,767.50,715.59,519.83,668.64,531.49,733.84,567.50,563.68,540.52
1930,774.29,679.34,725.08,686.25,673.43,761.91,874.28,875.98,863.22,647.61,797.65,636.89,847.79,682.71,677.35,652.52
1931,700.30,622.70,681.98,624.63,642.69,652.92,806.85,776.68,821.54,617.22,741.58,590.85,734.86,620.36,618.66,602.52
1932,690.60,602.08,609.52,598.26,613.53,652.22,807.74,787.54,800.39,559.56,731.56,566.21,742.15,598.22,593.30,569.76
1933,538.16,475.22,589.61,493.35,490.34,515.70,613.78,594.73,611.81,490.80,572.28,457.39,565.13,486.23,484.63,471.55
1934,758.45,671.28,638.65,622.47,628.54,764.47,856.57,900.64,797.69,580.01,773.26,584.38,863.96,629.34,621.33,603.07
1935,774.64,678.07,716.36,654.73,665.15,769.89,889.62,898.59,848.44,628.09,802.72,609.83,858.93,649.40,645.11,622.70
1936,701.16,610.09,619.88,584.83,620.10,675.64,810.29,804.75,798.27,581.29,735.70,563.23,765.72,587.19,582.44,567.30
1937,698.47,599.89,634.96,579.88,637.27,661.40,820.85,788.89,820.02,594.38,756.62,561.55,754.86,573.73,572.11,555.38
1938,724.98,645.05,517.80,561.01,597.90,730.19,823.69,872.66,771.50,518.83,740.68,535.83,839.88,564.26,557.72,539.84
1939,678.14,579.54,634.56,575.76,594.91,665.14,787.81,764.69,788.88,585.19,705.27,544.15,734.66,572.86,570.68,558.05
1940,656.18,587.91,558.61,568.16,581.75,625.77,767.55,742.74,756.09,536.69,696.51,534.71,691.90,567.27,563.14,541.59
1941,597.79,527.49,561.16,530.62,541.23,552.17,711.13,667.88,702.46,516.08,645.22,500.72,619.57,532.04,527.63,507.97
1942,647.48,573.17,582.45,568.29,555.74,635.21,734.50,741.04,709.33,546.38,665.31,526.95,709.06,569.97,564.59,548.30
1943,670.18,608.70,581.06,620.70,584.99,668.88,738.50,750.39,708.12,567.16,686.29,571.00,721.06,628.90,620.70,598.83
1944,744.94,665.02,623.27,615.75,625.77,742.95,853.28,865.95,814.19,592.52,765.09,577.68,827.66,616.05,610.31,595.13
1945,753.08,692.81,701.46,691.85,688.52,700.57,878.01,827.38,859.93,649.93,814.71,649.36,766.15,697.09,690.12,662.97
1946,779.23,696.58,692.37,657.82,675.56,768.69,876.75,910.62,822.27,626.09,809.45,621.33,872.83,658.60,651.61,630.60
1947,498.66,435.03,525.23,465.00,475.10,440.53,595.10,545.57,604.07,463.45,553.73,431.40,504.98,450.54,454.30,438.11
1948,660.99,576.12,570.02,520.42,570.80,657.81,755.02,784.97,713.51,514.41,691.83,499.14,752.79,518.03,514.21,497.24
1949,718.85,637.07,641.51,638.20,633.51,707.52,809.86,818.32,775.78,615.20,744.96,598.97,781.49,634.58,631.21,613.30
1950,912.61,802.21,720.23,732.70,792.06,890.76,1054.74,1071.56,996.13,713.94,964.17,709.63,1015.90,739.91,732.64,711.63
1951,848.91,733.36,583.03,670.63,756.98,808.03,990.07,996.42,952.44,680.69,901.92,663.87,942.18,676.68,671.52,658.97
