Variable:,pr
,"Sri Lanka",Central,Eastern,"North Central","North Western",Northern,Sabaragamuwa,Southern,Uva,Western
1901,1592.74,1673.12,1608.86,1433.45,1542.85,1226.24,2022.72,1708.95,1602.92,2106.23
1902,2180.10,2259.90,2190.44,1958.36,2051.61,1718.24,2792.81,2441.73,2156.67,2912.34
1903,1658.13,1725.42,1527.24,1313.68,1506.65,1208.78,2480.24,2144.03,1635.93,2569.59
1904,1345.46,1418.64,1394.01,1119.24,1158.88,876.05,1853.88,1676.99,1448.64,1898.98
1905,1410.22,1513.69,1312.64,1174.73,1395.74,935.91,2001.56,1750.50,1421.18,2054.18
1906,1536.27,1586.65,1480.31,1359.78,1449.29,1307.61,2019.07,1736.19,1458.54,2113.76
1907,1739.54,1846.42,1653.88,1536.97,1727.72,1339.50,2315.71,1959.13,1684.65,2417.60
1908,1314.26,1365.02,1312.08,1193.96,1267.64,1060.21,1687.16,1404.94,1275.73,1764.27
1909,1654.32,1767.87,1583.94,1351.32,1487.01,1146.02,2401.87,2077.42,1674.83,2480.03
1910,1553.60,1647.89,1570.99,1337.99,1441.88,1181.25,2061.81,1756.15,1555.62,2170.36
1911,1487.17,1540.91,1599.05,1337.57,1285.25,1152.54,1844.92,1671.56,1562.96,1884.65
1912,1757.04,1866.08,1634.58,1398.61,1696.91,1125.55,2597.52,2268.02,1785.38,2679.12
1913,1856.33,1943.09,2017.16,1690.96,1620.19,1415.29,2251.83,2034.48,1983.68,2290.24
1914,1583.40,1650.40,1550.23,1414.82,1528.87,1232.97,2071.17,1782.31,1542.46,2173.12
1915,1496.35,1571.74,1432.40,1203.71,1376.54,1106.15,2136.73,1838.03,1506.51,2242.62
1916,1379.98,1462.69,1207.30,1060.19,1317.41,886.57,2183.43,1872.28,1322.53,2305.47
1917,1744.94,1838.18,1831.55,1440.26,1488.84,1220.74,2377.09,2099.31,1873.15,2447.87
1918,1505.26,1544.92,1577.87,1380.84,1322.37,1231.97,1855.88,1665.61,1531.73,1920.23
1919,1807.34,1848.45,1774.52,1572.84,1711.42,1465.92,2447.00,2031.54,1712.90,2594.56
1920,1582.69,1619.82,1498.73,1430.82,1574.71,1424.11,2013.49,1690.86,1469.43,2132.35
1921,1622.98,1712.31,1716.68,1488.89,1465.24,1304.06,1983.48,1708.93,1666.10,2048.73
1922,1661.87,1736.80,1578.21,1468.37,1646.37,1314.15,2197.09,1895.19,1604.14,2276.47
1923,2017.37,2089.26,2120.16,1761.51,1680.45,1421.28,2634.54,2491.25,2159.33,2704.17
1924,1832.28,1940.77,1704.84,1401.07,1662.28,1036.33,2817.80,2574.31,1931.51,2903.19
1925,2092.62,2198.06,2135.77,1857.02,1948.19,1517.67,2715.85,2380.85,2152.73,2794.15
1926,1700.22,1764.45,1619.18,1360.39,1533.74,1177.01,2473.49,2230.83,1722.35,2571.54
1927,1816.46,1910.94,1720.24,1476.65,1738.44,1141.46,2622.77,2336.46,1894.91,2671.49
1928,1762.23,1850.86,1793.77,1578.50,1579.33,1412.63,2241.70,1995.94,1781.88,2304.58
1929,1825.71,1948.70,1698.81,1522.00,1830.95,1250.51,2602.82,2181.79,1801.19,2714.85
1930,1946.23,2018.67,1712.32,1586.77,1928.69,1385.25,2899.08,2479.51,1865.25,3017.82
1931,2073.71,2175.36,2170.78,1855.83,1737.88,1563.81,2624.60,2438.67,2215.91,2657.98
