Variable:,pr
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govi-Altai,Govisu'mber,O'mnogovi,O'vorxangai,Orxon,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Xentii,Xo'vsgol,Xovd,Zavxan
1901,219.02,305.84,237.05,164.35,410.71,377.60,251.29,156.63,161.42,126.08,220.71,118.72,215.35,444.86,404.23,212.66,285.75,285.57,272.38,277.35,335.49,131.92,238.56
1902,216.45,302.97,255.52,164.35,382.81,351.85,262.30,156.63,161.45,126.08,220.76,118.72,215.42,405.59,378.42,212.60,290.14,294.38,273.90,277.56,295.86,131.92,238.46
1903,210.42,302.50,285.83,164.35,334.27,270.91,265.09,156.63,161.33,126.08,220.50,118.72,215.10,329.49,293.26,212.45,249.40,240.54,275.56,260.02,292.65,132.09,238.50
1904,217.78,305.08,238.22,164.35,383.29,352.88,256.95,156.63,161.45,126.08,220.76,118.72,215.44,405.21,380.74,213.06,294.26,298.77,273.83,292.53,312.97,131.91,238.53
1905,218.20,307.59,234.20,164.35,387.99,333.83,251.70,156.63,161.46,126.08,220.78,118.72,215.46,408.22,362.03,214.74,293.51,301.48,273.26,290.96,332.99,131.87,238.60
1906,230.80,303.78,256.95,164.35,446.84,474.40,308.80,156.63,161.46,126.08,220.78,118.72,215.46,491.75,506.06,215.22,306.82,307.76,274.87,301.28,337.11,132.05,238.50
1907,225.54,308.85,269.09,164.35,408.63,374.25,270.11,156.63,161.46,126.08,220.78,118.72,215.46,434.18,406.40,215.37,296.62,302.60,294.55,296.28,353.36,135.25,238.69
1908,224.52,306.57,244.30,164.35,389.26,343.50,316.26,156.63,161.46,126.08,220.78,118.72,215.46,415.30,372.05,218.32,294.60,301.78,260.67,315.08,330.34,129.42,238.52
1909,217.57,304.91,193.45,164.35,365.22,323.73,291.13,156.63,161.46,126.08,220.78,118.72,215.46,393.99,352.28,216.70,293.67,300.88,269.25,309.76,297.81,130.16,238.54
1910,218.81,306.32,248.95,164.35,372.67,330.43,285.59,156.63,161.38,126.08,220.64,118.72,215.23,384.25,354.70,214.16,271.55,267.42,274.41,285.21,327.40,132.76,238.59
1911,224.80,309.76,260.98,164.35,418.26,364.43,279.69,156.63,161.53,126.08,220.94,118.72,215.64,446.50,392.04,215.10,312.20,333.24,276.73,285.57,344.05,133.77,238.61
