Variable:,pr
,"Costa Rica",Alajuela,Cartago,Guanacaste,Heredia,Limon,Puntarenas,"San Jose"
1901,3527.81,3725.36,4767.60,2440.32,4643.69,4042.63,3403.07,3265.91
1902,2689.71,2555.49,3857.40,1663.65,3463.76,3389.09,2694.61,2499.92
1903,3479.66,3696.49,4845.47,2275.66,4851.72,4312.92,3169.61,3077.23
1904,3499.23,3705.17,5364.29,1874.40,5326.22,4910.90,2963.16,2861.26
1905,3264.67,3449.73,4468.20,2185.05,4406.59,3892.31,3075.64,2977.30
1906,2781.70,2841.28,3798.84,1902.93,3577.28,3245.12,2729.79,2597.51
1907,1963.84,2054.26,2554.42,1445.54,2505.77,2185.36,1943.73,1784.05
1908,3009.67,3037.44,4037.28,2157.20,3744.13,3384.76,3019.41,2877.55
1909,3656.97,3893.38,5097.21,2315.61,5128.57,4561.08,3349.85,3240.84
1910,2721.15,2907.89,3765.30,1781.32,3776.32,3329.52,2511.60,2381.07
1911,2635.30,2540.39,3590.94,1817.08,3239.13,3079.49,2695.53,2529.28
1912,2470.71,2486.89,3228.50,1839.36,2991.23,2679.28,2540.18,2362.67
1913,3093.43,3217.87,4252.03,2033.99,4158.12,3727.86,2952.50,2810.39
1914,2031.08,1974.44,2722.21,1403.26,2538.05,2383.03,2088.50,1863.14
1915,3666.79,3745.38,5183.06,2339.24,4957.66,4528.16,3487.98,3326.22
1916,3983.59,4184.49,5574.78,2455.22,5607.94,5028.49,3686.74,3536.54
1917,3513.25,3648.19,4786.72,2410.86,4605.74,4106.58,3382.68,3269.49
1918,2316.46,2224.73,3132.04,1640.71,2740.78,2608.81,2426.29,2255.78
1919,2793.44,2701.49,3691.80,2053.15,3253.85,3039.13,2952.96,2758.00
1920,2555.51,2542.35,3453.48,1806.00,3142.77,2884.39,2601.39,2442.07
1921,2451.46,2470.61,3333.97,1698.06,3116.17,2843.77,2446.88,2263.94
1922,2385.36,2427.89,3205.46,1761.49,2953.63,2645.96,2380.88,2237.56
1923,1955.94,1954.33,2558.54,1465.20,2346.48,2130.66,2013.93,1864.74
1924,3500.07,3686.19,4773.12,2389.67,4606.93,4034.21,3375.94,3250.91
1925,2579.11,2549.70,3480.81,1788.82,3202.06,2980.43,2620.28,2435.54
1926,2710.07,2854.76,3672.19,1844.70,3725.37,3295.00,2530.46,2355.84
1927,2800.13,2829.38,3769.30,2030.36,3471.41,3132.39,2807.36,2658.47
