Variable:,pr
,Malaysia,Johor,Kedah,Kelantan,"Kuala Lumpur",Melaka,"Negeri Sembilan",Pahang,Perak,Perlis,"Pulau Pinang",Sabah,Sarawak,Selangor,Terengganu,Labuan
1901,2849.71,2119.26,2280.02,2651.33,2036.80,1719.30,1743.10,2392.84,2529.05,2111.62,2303.88,2676.99,3461.10,2099.86,2579.53,2408.00
1902,3330.08,2585.49,2936.49,3563.06,2891.60,2145.14,2366.78,3325.98,3435.02,2569.57,2977.48,3210.18,3562.07,2997.82,3500.46,2623.10
1903,2772.41,2413.02,2201.80,2599.39,2125.80,1824.23,1838.69,2500.54,2547.36,2002.51,2287.74,2242.93,3434.96,2203.57,2550.68,2285.20
1904,2864.63,2337.12,2326.18,2753.37,2159.70,1796.87,1849.95,2581.77,2726.19,2106.77,2440.68,2631.57,3365.21,2259.70,2658.23,2348.50
1905,2839.51,2515.26,2576.91,3119.19,2570.40,2046.50,2192.26,3022.03,3032.56,2312.27,2649.58,1841.86,3388.64,2684.54,3107.55,2115.40
1906,2955.29,2907.51,2533.73,3178.50,2733.00,2284.81,2371.47,3164.63,3033.56,2252.67,2659.83,2071.05,3439.51,2764.66,3108.37,2184.30
1907,2965.67,2255.45,2539.93,3007.10,2377.40,1920.77,2051.66,2771.15,2825.80,2206.14,2615.41,2489.69,3554.94,2439.28,2916.91,2343.00
1908,3093.64,2470.45,2876.85,3181.62,2557.90,2070.95,2189.03,2902.54,3152.13,2604.69,2948.09,2817.66,3489.31,2623.69,2997.91,2632.70
1909,3012.77,2586.94,2448.40,2777.79,2470.50,2068.77,2114.96,2824.36,2870.72,2164.13,2609.36,2588.55,3588.74,2545.72,2754.74,2358.40
1910,3370.56,2547.37,2740.47,3177.41,2503.30,2077.20,2136.90,2978.19,3143.04,2453.63,2855.17,3370.63,3874.58,2606.73,3032.03,2993.70
1911,2939.76,2524.87,2297.39,2945.44,2490.20,1992.23,2144.95,2953.95,2855.97,1954.95,2421.83,2559.72,3351.05,2584.91,3046.98,2149.80
1912,2856.30,2566.94,2588.50,3126.20,2307.70,2012.79,2019.15,2757.52,3023.01,2339.97,2788.67,1937.80,3507.25,2357.19,2911.01,1917.10
