Variable:,pr
,Syria,Al_Qunaytirah,Aleppo,As_Suweida,City_Damascus,Damascus,Dara,Dayr_Az_Zor,Hama,Hassakeh,Homs,Idleb,Lattakia,Raqqa,Tartous
1901,193.74,402.32,235.06,140.38,372.95,183.51,227.85,128.41,257.94,247.95,151.03,413.55,515.19,149.96,390.33
1902,320.28,644.91,432.42,200.44,605.86,285.77,360.43,201.25,428.52,430.76,224.34,615.73,818.76,309.75,703.58
1903,228.33,498.15,284.94,150.23,463.90,213.17,276.60,145.95,321.29,290.41,169.65,477.37,644.76,185.32,543.97
1904,320.49,738.68,419.67,219.59,686.84,313.33,406.32,193.20,432.65,409.58,224.72,641.39,867.87,289.87,750.31
1905,271.45,708.73,330.40,215.57,655.30,296.31,392.35,157.12,377.74,314.95,202.52,555.15,756.32,211.90,667.48
1906,323.68,676.59,419.12,221.30,689.49,318.05,371.67,189.77,455.47,397.93,237.15,674.57,901.11,284.40,774.81
1907,316.43,695.10,412.29,209.23,647.21,296.99,386.33,189.70,445.83,399.33,226.85,647.21,870.60,284.86,750.76
1908,310.86,701.04,403.60,202.05,659.01,295.29,375.97,189.44,430.73,399.56,218.85,632.93,853.16,281.39,739.91
1909,302.70,565.96,401.78,190.33,583.68,274.19,317.02,189.30,418.27,397.46,213.21,629.36,845.95,279.90,702.72
1910,293.01,572.76,391.53,177.41,556.55,253.04,318.28,188.48,400.52,397.32,200.19,609.19,816.76,275.42,676.45
1911,387.27,972.41,476.56,300.10,929.76,422.78,540.90,198.74,581.37,398.19,307.97,806.86,1104.94,313.16,995.42
1912,312.17,628.81,411.93,201.23,615.02,288.70,352.05,191.06,430.39,399.67,227.74,623.47,823.29,288.10,704.62
1913,322.28,678.50,416.50,207.51,668.90,302.32,376.25,194.55,456.73,399.85,235.95,659.62,897.17,290.95,777.50
1914,314.07,618.36,415.63,199.99,604.83,288.79,341.71,190.50,435.94,400.69,231.37,636.50,833.96,288.35,705.00
1915,254.46,375.51,360.69,130.06,359.66,178.37,216.13,189.12,303.25,398.50,172.74,461.48,549.05,275.46,432.85
1916,310.36,632.20,412.29,188.96,604.76,273.41,343.89,189.69,443.19,397.54,221.18,661.37,876.33,282.69,739.48
1917,286.60,563.43,389.26,160.19,517.63,233.28,304.69,189.28,387.75,397.01,195.68,578.70,768.90,279.20,640.68
1918,338.32,762.42,434.79,235.30,734.72,335.55,422.89,189.85,496.95,397.85,246.32,731.71,1010.18,288.25,859.13
1919,296.68,666.79,385.56,205.72,616.02,281.61,372.56,189.35,382.62,398.88,207.01,553.97,736.58,279.88,646.08
1920,286.48,645.27,378.32,189.16,578.74,258.69,350.25,187.89,368.66,399.47,189.35,565.60,757.37,271.30,632.30
1921,302.83,623.33,405.54,184.55,595.91,261.51,335.75,189.43,423.99,399.53,204.28,673.48,900.07,279.02,726.93
1922,282.26,582.38,378.16,167.96,524.33,238.73,316.58,188.64,367.86,399.85,190.41,547.90,728.79,275.50,613.48
