Variable:,pr
,"South Sudan","El Buheyrat",Unity,"Central Equatoria","Eastern Equatoria",Jonglei,"Northern Bahr El Ghazal",Warab,"Western Bahr El Ghazal","Western Equatoria","Upper Nile"
1901,927.89,901.42,758.52,1020.81,767.47,810.86,915.76,911.70,1084.80,1267.92,798.29
1902,1045.61,1121.86,780.94,1430.82,946.93,945.39,915.76,920.43,1084.95,1447.48,825.49
1903,1004.40,1082.61,764.72,1255.95,849.89,911.21,915.76,919.37,1084.93,1385.14,828.02
1904,875.51,857.39,633.39,1186.42,838.74,852.93,668.76,641.92,862.82,1139.09,840.54
1905,915.07,878.23,716.27,1089.28,807.84,852.07,817.99,789.66,970.12,1174.21,908.71
1906,947.80,978.16,720.28,1284.29,893.80,907.15,738.69,758.94,933.47,1261.70,839.81
1907,935.76,920.93,754.88,1075.10,808.68,850.72,909.08,890.97,1072.25,1242.08,774.91
1908,1088.80,1139.81,897.92,1235.80,855.16,928.64,1152.45,1108.03,1263.61,1492.23,901.13
1909,1022.47,1003.49,890.46,1090.64,819.89,945.79,931.35,996.89,1100.93,1359.56,991.01
1910,926.50,941.87,824.46,894.08,654.47,769.05,992.09,1026.12,1102.85,1312.88,824.96
1911,915.10,934.33,822.81,908.01,673.52,777.12,944.62,995.17,1089.57,1265.47,796.49
1912,907.93,937.23,809.19,1061.76,759.09,810.60,867.81,910.31,975.46,1232.75,757.74
1913,723.66,704.64,614.47,745.25,598.16,615.25,734.83,729.10,861.35,1021.69,599.30
1914,1107.63,1196.71,871.84,1314.43,895.19,1011.34,1015.97,1063.75,1226.27,1555.46,879.43
1915,1048.46,1177.15,834.47,1382.17,935.08,1000.25,890.80,952.30,1012.20,1449.35,823.03
1916,1229.99,1434.80,1002.46,1400.76,894.09,1094.97,1113.89,1256.81,1340.71,1808.36,984.00
1917,1072.78,1167.85,921.32,1243.25,867.74,1043.36,937.27,1036.93,1091.92,1388.14,972.12
1918,945.45,978.41,805.65,1022.12,730.39,909.39,928.92,892.41,1095.01,1194.14,823.85
1919,996.77,1063.76,761.34,1254.40,853.85,892.15,868.98,920.71,1053.55,1439.26,804.63
1920,1091.40,1101.69,887.92,1176.31,902.05,947.14,1113.18,1078.80,1331.11,1459.91,893.27
1921,980.40,969.99,836.34,999.86,646.39,902.13,1026.06,983.09,1222.34,1238.12,930.50
1922,1044.23,1042.35,878.74,1130.35,708.76,860.71,1132.82,1038.94,1363.96,1425.85,899.50
1923,1075.39,1054.92,854.67,1209.21,862.03,943.36,1100.33,995.82,1275.16,1419.78,979.62
1924,1012.00,1078.00,766.29,1144.41,742.52,822.83,998.87,989.33,1223.35,1541.67,810.47
1925,880.61,870.85,781.70,913.31,629.42,832.01,825.43,887.30,972.60,1177.29,846.67
1926,1024.51,1032.72,942.55,1041.81,774.52,912.75,1027.01,1089.87,1195.23,1337.17,920.77
1927,864.07,817.17,696.36,881.10,605.80,707.14,960.13,846.98,1168.94,1163.52,771.65
1928,1016.88,1066.46,837.23,1200.23,798.81,911.14,939.70,970.23,1138.31,1402.98,871.26
1929,1021.91,1016.55,857.85,1117.21,756.80,929.40,994.30,970.15,1194.54,1346.78,959.14
1930,912.98,884.26,739.28,994.78,709.59,786.45,947.95,884.32,1144.22,1223.13,780.74
