Variable:,pr
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
1901,266.27,289.09,242.86,351.87,173.32,331.56,243.61,311.66,181.68,199.11,138.43,300.90,289.43,327.56,324.40,251.20,550.73
1902,276.12,318.66,230.34,370.53,159.56,344.12,245.24,285.80,148.81,192.48,131.35,297.09,333.65,415.21,338.42,280.66,519.86
1903,268.25,390.20,220.59,293.94,175.47,239.86,251.78,289.12,105.39,203.98,140.50,359.16,377.01,458.75,243.80,236.58,414.54
1904,235.05,302.63,207.63,273.48,180.63,231.62,229.55,275.62,119.23,222.08,148.53,287.86,299.29,293.48,247.55,240.74,408.08
1905,267.28,375.65,247.91,317.75,216.49,246.19,238.03,295.27,133.51,221.40,151.17,322.66,425.82,351.58,237.52,272.81,456.31
1906,258.30,313.65,248.43,309.68,194.69,230.84,231.42,304.26,163.73,216.02,145.38,263.03,330.24,351.09,257.40,283.34,452.27
1907,277.03,400.22,233.76,332.91,172.24,297.50,250.76,348.72,155.76,193.38,138.80,303.33,388.00,376.21,288.88,261.25,525.80
1908,269.63,356.60,208.52,328.90,183.15,289.20,239.75,286.47,114.28,224.52,152.60,331.19,401.18,421.61,299.89,245.41,465.64
1909,202.67,275.90,156.91,281.38,135.64,206.80,201.67,224.44,110.07,166.35,132.87,219.83,296.52,225.87,206.19,221.30,391.41
1910,221.97,345.51,152.64,257.18,157.94,234.16,233.36,242.33,111.76,168.36,121.78,249.32,335.56,283.83,241.27,222.66,351.50
1911,247.38,338.86,208.36,291.88,167.92,262.32,237.06,269.21,140.93,221.39,145.14,262.20,327.33,352.93,275.30,212.13,405.44
1912,238.73,300.70,206.66,237.03,211.46,227.11,220.98,272.35,99.91,195.29,133.58,250.56,312.20,359.73,231.56,330.62,302.29
1913,256.38,307.36,231.27,261.64,192.39,233.08,234.39,301.11,130.98,192.09,133.48,285.27,325.85,386.57,269.69,328.04,339.05
1914,286.51,398.18,259.06,306.63,214.98,281.91,277.48,300.07,178.06,222.65,145.35,319.11,390.80,379.85,315.89,303.75,383.14
1915,280.23,410.62,285.60,274.69,267.19,222.03,249.94,352.92,109.48,292.61,188.03,312.95,400.47,358.51,173.59,392.43,392.15
1916,215.80,265.95,158.17,267.86,164.81,206.33,222.25,222.56,94.75,233.39,159.64,235.70,283.08,292.93,208.61,261.88,347.86
1917,204.07,263.70,183.42,180.22,162.02,138.86,209.27,241.15,115.75,174.37,127.83,268.27,299.17,292.29,145.25,231.94,215.30
1918,212.69,196.44,252.15,255.72,190.91,223.50,184.22,211.81,99.62,209.04,144.26,223.26,215.86,264.18,227.11,296.01,355.52
1919,259.46,338.16,226.43,257.35,188.99,193.00,234.06,298.59,111.40,185.40,134.86,320.00,391.86,434.59,218.91,315.66,304.65
1920,242.99,259.25,233.92,334.50,182.40,256.66,215.67,268.19,163.03,200.26,140.39,248.65,294.77,306.80,291.50,225.46,446.81
1921,251.60,287.05,215.21,388.08,174.88,308.43,201.03,267.10,156.66,183.63,135.41,247.07,294.92,347.47,329.10,229.84,476.16
1922,254.42,314.46,238.55,232.02,200.56,243.05,229.24,324.46,125.03,219.70,149.45,330.36,371.02,349.14,255.39,280.18,328.38
1923,239.91,286.14,225.38,296.99,183.05,261.92,219.19,245.78,150.72,171.75,128.31,250.82,313.62,293.52,301.44,268.03,398.95
1924,227.60,319.79,178.11,254.52,155.66,247.48,223.39,257.62,132.24,187.33,131.95,251.43,309.13,307.78,271.48,204.67,374.21
1925,244.95,333.99,211.85,221.67,208.02,192.66,217.25,270.85,120.87,200.67,141.51,301.14,382.11,384.67,186.16,325.42,317.65
1926,267.55,342.36,212.33,267.59,231.31,234.08,254.08,285.86,134.85,276.67,185.95,316.81,378.57,373.70,263.14,349.07,349.24
1927,235.39,297.81,186.88,279.99,167.43,186.07,208.52,263.96,119.63,217.00,146.52,312.49,352.97,382.86,187.94,227.48,341.18
1928,289.09,405.36,240.71,364.95,201.17,278.17,273.92,313.09,131.76,205.45,143.50,379.76,399.68,392.26,314.30,297.09,474.21
1929,198.68,238.38,136.93,254.80,134.57,216.23,186.80,182.57,97.23,190.11,133.93,245.76,252.89,315.01,250.13,177.08,336.14
1930,233.96,315.04,156.51,268.72,171.72,234.51,210.21,234.89,110.50,212.70,145.54,323.95,327.26,365.85,255.29,254.97,325.18
1931,229.42,236.22,213.02,304.15,181.45,272.29,196.03,256.71,147.19,192.05,139.56,204.16,271.71,289.91,280.94,260.38,375.88
1932,222.34,266.37,200.26,253.52,176.02,236.34,170.85,264.08,121.82,233.24,148.98,241.59,354.36,292.78,264.88,240.19,380.36
1933,222.08,281.59,165.23,245.09,176.46,248.23,206.43,242.04,128.51,233.10,157.82,263.87,309.13,271.60,289.64,239.90,342.45
1934,256.22,282.76,220.00,385.40,171.27,313.55,226.59,248.60,144.90,169.20,132.56,307.69,284.58,357.64,308.68,238.09,489.21
1935,205.84,233.07,154.73,281.99,150.89,243.36,167.42,232.38,111.42,252.31,163.79,197.61,291.38,278.74,230.05,216.49,430.65
1936,213.30,257.98,184.65,259.62,153.84,198.07,185.94,229.30,109.66,195.31,133.86,291.09,253.39,333.89,197.03,217.08,363.60
1937,208.82,209.66,149.32,285.48,159.33,245.57,168.78,206.00,101.73,202.99,135.38,233.27,256.14,353.58,221.62,234.60,381.77
1938,234.73,322.58,187.55,250.32,146.53,191.67,187.17,292.59,132.49,195.60,138.35,333.30,397.76,377.79,219.53,197.54,355.28
1939,220.04,268.89,165.87,250.17,143.21,219.39,198.33,250.78,153.30,186.88,125.90,266.01,298.69,333.97,239.40,202.21,366.61
1940,238.36,265.32,182.41,328.23,167.52,242.74,190.54,254.97,159.89,201.08,138.06,222.44,318.16,380.18,262.30,254.42,464.38
1941,280.35,312.68,272.19,352.65,260.93,292.08,224.21,339.62,156.76,275.85,174.01,278.59,345.62,349.03,309.79,347.72,510.74
1942,248.24,293.67,229.76,321.44,170.69,263.44,201.33,296.45,126.61,161.58,117.29,260.04,367.63,360.97,271.64,256.44,431.20
1943,208.95,247.29,154.83,245.87,148.04,237.94,175.70,219.46,111.80,193.97,129.09,239.31,310.08,315.71,283.91,201.33,280.32
1944,181.82,240.30,122.07,184.29,147.37,165.66,139.45,198.51,91.55,178.55,121.96,273.53,298.48,297.11,172.40,211.27,326.69
1945,238.96,300.86,255.07,259.44,211.70,260.95,163.58,297.34,138.84,201.17,142.24,250.80,372.91,244.07,300.07,348.56,402.92
1946,287.12,354.41,279.60,354.71,218.33,240.30,218.77,320.28,114.79,213.83,136.67,384.35,425.32,489.03,217.60,310.78,483.74
1947,278.38,344.71,245.04,351.94,186.34,285.73,246.43,320.34,145.80,191.50,133.19,331.64,374.07,405.01,262.43,303.53,529.11
1948,223.74,275.34,178.40,241.62,167.66,230.96,210.56,226.80,124.02,203.74,132.95,299.21,294.69,308.96,254.41,261.86,334.54
1949,245.94,256.64,206.39,328.93,148.73,289.91,234.05,246.29,164.93,157.98,119.90,274.96,296.15,371.38,310.63,181.98,419.06
1950,223.00,250.18,203.23,271.74,201.86,223.14,170.40,272.70,106.99,203.97,133.45,257.74,364.93,309.19,197.79,256.53,393.95
1951,193.73,167.32,146.89,313.39,139.08,286.81,139.30,212.57,107.47,182.93,118.94,150.56,242.83,279.52,275.03,199.33,479.85
1952,235.67,215.10,202.48,316.87,216.94,262.88,192.43,227.12,141.67,220.46,154.87,227.33,234.31,355.67,305.24,280.87,422.32
1953,280.42,305.24,276.66,326.53,226.36,312.56,254.48,300.22,166.01,211.27,163.49,309.68,330.23,366.31,366.12,276.56,455.36
1954,255.20,301.76,199.34,327.02,203.73,248.91,235.30,255.65,138.55,196.65,130.49,338.96,333.26,381.23,261.28,268.73,466.76
1955,198.19,189.02,153.99,276.97,148.41,248.84,169.64,212.13,106.67,200.17,119.87,189.39,250.77,278.48,262.49,216.02,423.98
1956,250.10,270.91,252.17,284.37,233.94,247.76,188.98,294.33,121.51,230.99,161.38,270.67,352.82,334.21,258.12,335.82,429.44
1957,241.93,295.35,196.28,272.96,157.97,238.99,227.48,256.00,121.94,172.47,118.69,308.04,331.07,407.41,247.14,217.43,392.49
1958,322.90,344.49,268.35,423.83,229.84,380.64,331.24,309.41,187.74,234.17,167.17,330.04,324.06,468.75,397.80,321.48,540.10
1959,257.99,298.34,228.82,337.75,164.87,277.37,228.88,298.17,129.17,233.42,146.63,300.33,323.56,374.65,294.00,233.62,450.63
1960,291.65,369.45,250.83,361.70,206.91,268.55,262.07,316.00,128.51,206.26,127.85,348.93,413.60,484.66,287.85,276.25,415.76
1961,250.90,312.96,204.31,287.94,214.22,214.09,224.34,282.31,115.26,230.39,143.63,280.78,340.43,389.97,228.92,316.70,389.73
1962,231.66,265.32,211.98,275.48,164.50,273.82,227.49,265.27,143.19,170.67,121.12,225.02,304.43,264.65,290.30,258.25,357.07
1963,270.39,336.40,260.84,310.86,235.02,282.12,219.49,321.87,150.38,258.11,171.00,249.02,366.11,322.15,315.77,365.20,498.39
1964,274.07,353.77,244.09,322.82,213.24,261.40,269.89,329.33,147.71,193.31,137.70,301.24,401.34,314.29,284.07,333.56,429.76
1965,239.97,248.66,241.43,281.58,221.79,245.11,217.87,257.37,128.16,253.87,154.62,247.09,259.03,338.39,236.93,272.86,439.12
1966,268.31,308.84,213.74,376.09,211.70,310.26,218.20,288.89,110.19,218.82,143.44,275.11,384.05,456.68,254.26,242.96,540.28
1967,238.19,292.24,187.06,248.21,192.28,269.89,217.68,265.08,144.65,227.60,153.59,244.38,304.30,323.41,289.65,284.44,332.11
1968,237.16,254.84,195.14,271.62,154.53,279.19,205.38,253.40,127.12,164.04,116.02,291.30,310.82,361.33,310.71,261.58,385.48
1969,301.80,358.37,231.22,399.04,192.88,361.53,253.32,342.80,174.52,232.25,160.60,295.08,402.00,426.00,467.50,283.52,571.89
1970,243.38,269.88,241.28,285.63,191.98,252.08,188.06,267.95,123.00,167.05,109.37,294.75,363.94,352.55,243.10,310.65,399.17
1971,242.69,312.06,215.66,290.21,191.70,221.01,211.16,278.13,106.48,186.00,121.35,302.70,371.14,370.81,211.05,248.17,350.49
1972,250.35,311.23,164.59,357.15,108.06,298.71,250.25,245.32,131.40,139.71,94.34,296.87,321.18,434.30,310.53,162.04,456.59
1973,265.37,289.84,264.69,300.92,241.14,235.91,228.88,310.13,161.14,251.76,179.73,256.78,334.62,350.56,246.60,341.77,421.83
1974,193.94,245.60,182.02,231.78,182.96,203.56,142.06,247.27,99.56,183.61,124.60,219.68,285.29,213.40,218.91,263.41,383.77
1975,183.41,230.59,138.40,219.27,134.49,194.87,157.98,179.16,87.75,154.69,91.05,252.94,263.31,296.00,209.62,181.04,290.10
1976,234.26,242.74,177.88,318.05,157.28,269.24,193.28,255.40,128.07,162.26,117.98,253.54,285.01,373.86,289.03,264.35,456.25
1977,235.47,286.05,206.55,272.05,173.58,252.82,178.41,287.31,113.96,169.66,103.72,267.51,376.51,342.10,272.47,288.76,399.98
1978,262.41,275.09,228.79,286.20,194.71,335.90,255.45,258.98,194.44,176.96,140.51,276.06,289.28,326.71,360.32,306.22,359.86
1979,272.15,329.59,232.36,352.53,179.72,277.88,226.29,292.15,136.45,240.24,149.82,357.58,411.97,403.08,305.99,241.44,404.51
1980,251.74,267.78,226.78,305.94,186.87,263.68,208.34,265.64,175.53,207.17,175.74,279.35,311.17,339.89,286.47,291.07,411.32
1981,272.37,272.42,281.02,340.83,179.81,296.22,268.98,292.90,222.39,237.21,179.18,231.22,271.76,320.15,325.65,269.23,520.64
1982,243.01,277.93,252.07,257.41,198.23,219.97,208.26,302.91,145.36,208.86,167.22,289.93,330.15,281.79,262.16,288.51,335.50
