Variable:,pr
1901,2946.30
1902,3187.73
1903,2901.97
1904,2968.55
1905,2982.34
1906,2784.98
1907,3454.50
1908,2931.25
1909,2760.17
1910,2741.86
1911,3116.72
1912,2645.32
1913,2760.34
1914,2882.77
1915,3110.14
1916,3002.16
1917,2875.03
1918,3139.49
1919,3092.16
1920,2653.18
1921,2740.07
1922,2946.90
1923,2901.59
1924,2606.02
1925,2573.82
1926,2553.61
1927,3127.38
1928,3062.17
1929,2748.04
1930,2721.89
1931,2765.59
1932,3023.23
1933,2889.45
1934,2539.44
1935,2521.16
1936,3046.61
1937,2738.57
1938,3101.23
1939,3039.71
1940,2561.00
1941,2793.69
1942,2763.44
1943,3021.88
1944,2805.73
1945,2884.64
1946,2941.20
1947,2531.20
1948,3180.79
1949,3234.95
1950,2820.07
1951,2858.18
1952,2688.91
1953,3060.84
1954,3127.74
1955,2992.75
1956,3111.53
1957,2443.86
1958,2817.57
1959,2653.40
1960,2845.06
1961,2229.11
1962,2281.27
1963,2927.53
1964,1788.09
1965,2413.63
1966,2644.25
1967,3015.79
1968,3066.50
1969,2604.11
1970,3498.59
1971,3419.42
1972,3073.03
1973,2938.78
1974,2716.23
1975,2910.45
1976,3547.47
1977,2867.87
1978,2924.37
1979,2957.10
1980,2742.65
1981,2813.35
1982,2780.34
1983,2576.34
1984,2874.64
1985,2341.68
1986,2357.65
1987,2384.01
1988,2546.62
1989,3434.50
1990,3429.37
1991,2665.53
1992,2504.27
1993,2962.63
1994,3037.53
1995,2248.71
1996,3147.73
1997,2569.80
1998,2433.22
1999,2706.14
2000,3115.48
2001,2452.03
2002,2681.29
2003,2253.70
2004,2725.23
2005,3111.34
2006,2590.76
2007,2883.47
2008,2759.79
2009,2531.57
2010,2832.61
2011,2750.62
2012,2644.07
2013,3075.64
2014,2320.46
2015,2886.22
2016,2498.08
2017,2874.15
2018,2973.82
2019,2107.00
2020,2245.41
