Variable:,pr
,Fiji,Central,Eastern,Northern,Western
1901,2962.83,2964.51,2413.44,2944.74,3014.00
1902,2478.55,2447.54,2100.75,2494.01,2494.35
1903,2073.58,2030.37,1771.73,2108.38,2067.34
1904,2849.87,2836.75,2363.41,2837.34,2886.55
1905,1906.14,1850.47,1643.24,1972.51,1878.66
1906,3367.02,3392.30,2712.01,3305.50,3445.88
1907,2344.27,2301.53,1995.98,2372.99,2348.35
1908,2393.52,2353.75,2056.08,2416.61,2398.64
1909,2466.10,2425.43,2055.32,2504.78,2474.51
1910,2819.90,2794.74,2353.02,2820.41,2848.56
1911,3016.95,3019.61,2424.22,3000.72,3068.41
1912,2807.02,2792.66,2334.55,2814.10,2836.12
1913,2954.60,2954.52,2407.46,2942.40,2992.79
1914,3140.75,3138.33,2631.84,3094.65,3198.94
1915,2457.61,2431.11,1997.64,2477.06,2467.48
1916,3492.81,3509.33,2905.86,3424.13,3576.41
1917,3672.06,3702.25,2955.77,3591.80,3761.83
1918,2440.75,2400.70,2109.34,2464.62,2448.37
1919,3208.87,3214.29,2675.75,3160.51,3274.10
1920,2598.93,2572.29,2189.62,2606.40,2621.18
1921,4150.19,4212.50,3291.49,4043.29,4279.84
1922,3961.14,4018.50,3127.15,3875.03,4077.68
1923,2621.81,2592.63,2179.90,2639.95,2641.19
1924,2918.21,2903.25,2473.21,2903.05,2956.72
1925,2445.71,2405.79,2140.00,2470.04,2450.80
1926,2393.75,2350.73,2097.00,2411.09,2401.89
1927,3597.82,3620.20,2865.27,3558.28,3676.72
1928,2778.05,2765.96,2292.29,2775.21,2811.92
1929,3578.04,3599.17,2879.49,3530.89,3659.26
1930,2603.81,2580.46,2136.90,2628.31,2623.61
1931,2941.30,2933.28,2360.05,2943.82,2981.86
1932,2882.92,2867.70,2406.36,2889.71,2913.58
1933,3673.09,3713.30,2892.04,3581.82,3781.54
1934,3110.95,3110.28,2550.50,3089.00,3162.80
1935,3778.69,3813.55,3024.48,3716.49,3867.06
1936,2870.30,2845.65,2396.28,2870.50,2902.18
1937,2488.42,2459.63,2126.90,2497.03,2503.20
1938,3606.57,3621.38,2897.22,3577.98,3671.53
1939,3516.45,3553.66,2776.77,3448.95,3603.02
1940,2587.27,2564.29,2183.90,2590.63,2606.80
1941,2693.46,2670.25,2238.51,2695.62,2718.89
1942,2272.23,2210.27,1981.72,2321.07,2249.86
1943,2628.40,2594.32,2210.44,2628.22,2650.23
1944,2502.28,2459.41,2067.67,2533.86,2508.03
1945,2850.92,2836.51,2255.25,2832.86,2895.01
1946,2885.67,2876.62,2311.56,2893.46,2920.68
1947,2810.01,2793.93,2326.70,2796.25,2845.52
1948,3117.56,3127.25,2615.65,3082.10,3177.43
1949,3256.48,3251.13,2657.01,3246.80,3297.77
1950,3373.46,3396.38,2778.29,3326.17,3446.49
1951,2588.48,2558.54,2189.45,2594.09,2609.36
1952,2879.07,2872.87,2481.30,2866.06,2914.42
1953,2816.22,2814.61,2366.39,2814.42,2845.48
1954,3775.17,3803.14,3004.70,3688.01,3880.93
1955,4014.41,4073.17,3228.04,3872.66,4150.19
1956,3508.78,3540.87,2819.90,3446.52,3600.61
1957,2824.29,2823.18,2363.52,2794.05,2876.17
1958,2049.36,1993.20,1830.89,2119.77,2020.18
1959,3158.27,3163.30,2573.66,3112.60,3217.09
1960,3426.92,3457.83,2802.53,3347.73,3521.76
1961,3062.13,3054.76,2529.85,3046.91,3111.78
