Variable:,pr
,Brunei,Belait,"Brunei and Muara",Temburong,Tutong
1901,3080.11,3120.34,3023.58,3583.84,3091.21
1902,3131.00,3154.25,3139.06,3862.03,3173.14
1903,3035.63,3090.77,2929.48,3363.31,3019.35
1904,3081.95,3121.28,3021.10,3570.11,3094.68
1905,3015.19,3077.49,2875.06,3244.00,2986.16
1906,3031.20,3088.38,2910.30,3324.10,3011.63
1907,3066.59,3111.51,2991.78,3510.12,3069.19
1908,3461.93,3489.47,3411.09,3865.29,3485.48
1909,3110.46,3144.91,3058.82,3550.13,3134.79
1910,3828.11,3836.99,3847.97,4570.68,3918.96
1911,2725.44,2777.98,2657.79,3258.23,2725.91
1912,2499.64,2573.88,2346.96,2707.23,2419.56
1913,3108.12,3153.52,3038.49,3606.40,3110.88
1914,2369.70,2450.66,2205.25,2575.68,2293.79
1915,2983.94,3023.83,2927.54,3494.52,2994.41
1916,3411.20,3480.05,3288.35,3926.55,3389.71
1917,3546.85,3610.23,3433.31,4064.66,3532.65
1918,3378.60,3383.85,3415.60,4066.67,3474.56
1919,2942.86,2969.60,2901.15,3368.86,2970.79
1920,2980.52,3008.28,2963.56,3560.93,3024.26
1921,3236.02,3278.41,3193.66,3941.40,3260.02
1922,3097.07,3113.33,3121.98,3870.74,3160.68
1923,3082.82,3106.33,3080.47,3736.28,3140.65
1924,3534.18,3574.06,3507.72,4291.96,3563.19
1925,3730.61,3785.64,3633.76,4190.88,3740.21
1926,3115.90,3145.27,3088.68,3673.42,3143.66
1927,3680.26,3723.79,3621.49,4278.56,3695.63
1928,3525.45,3558.50,3497.33,4174.04,3557.44
1929,3337.85,3392.23,3262.57,3981.89,3332.30
1930,2937.69,2980.53,2875.76,3436.55,2937.70
1931,3130.49,3180.81,3059.42,3700.61,3123.82
1932,4216.10,4260.42,4153.15,4868.37,4239.92
1933,3940.69,3988.47,3851.07,4432.07,3946.05
1934,4085.77,4109.43,4068.52,4712.56,4149.24
1935,3491.16,3557.95,3372.31,4005.33,3462.54
1936,3506.07,3548.03,3447.12,4082.80,3530.00
1937,3854.68,3893.96,3775.64,4297.31,3886.84
1938,3720.46,3769.51,3648.51,4348.81,3728.42
1939,3642.90,3670.22,3596.82,4091.29,3685.22
1940,2823.76,2872.04,2758.25,3376.71,2822.28
1941,2685.30,2719.20,2648.53,3232.53,2703.03
1942,3200.73,3245.63,3138.79,3733.07,3205.23
1943,3005.37,3056.37,2920.81,3453.30,3004.35
1944,2934.33,2976.89,2871.87,3432.34,2942.52
1945,3762.21,3809.50,3695.62,4348.60,3778.54
1946,2671.82,2695.21,2650.11,3118.20,2704.39
1947,3312.34,3380.42,3201.75,3895.70,3275.26
1948,2924.78,2972.39,2861.40,3489.13,2923.69
1949,3565.06,3624.37,3474.60,4192.74,3550.39
1950,2950.62,3009.87,2864.76,3514.88,2930.56
1951,3068.39,3116.45,2997.30,3593.97,3066.45
1952,3410.22,3459.84,3349.86,4088.78,3415.48
1953,3070.53,3106.60,3029.71,3629.87,3084.18
1954,3625.20,3693.18,3523.75,4279.79,3599.70
1955,3544.53,3589.36,3493.12,4252.29,3559.69
1956,3629.85,3678.82,3568.77,4307.88,3640.21
1957,2979.45,3013.58,2928.97,3479.02,2995.17
1958,2870.39,2912.21,2812.33,3393.09,2861.17
1959,3227.92,3276.90,3154.47,3795.32,3218.26
1960,3095.96,3126.45,3064.76,3640.67,3125.41
1961,2633.17,2675.25,2585.30,3161.20,2632.18
1962,3475.24,3505.50,3439.52,4039.94,3512.58
1963,3118.79,3130.89,3115.94,3576.03,3188.20
1964,2832.13,2900.97,2707.52,3214.27,2787.44
1965,3446.37,3479.92,3388.09,3949.08,3486.52
1966,3330.40,3399.69,3227.43,3943.46,3294.84
1967,3096.69,3141.98,3037.73,3641.59,3104.88
1968,2824.42,2872.67,2743.59,3267.72,2812.26
1969,2916.88,2985.41,2816.24,3480.59,2869.38
1970,3033.20,3089.31,2936.31,3466.65,3013.73
1971,3074.61,3119.98,3012.35,3574.47,3077.63
1972,2601.78,2630.89,2553.36,2951.76,2626.78
1973,3309.93,3374.73,3213.76,3911.63,3277.01
1974,3297.58,3323.23,3272.10,3870.89,3339.66
1975,3085.07,3113.84,3061.26,3653.54,3108.76
1976,2803.50,2830.00,2781.71,3292.36,2838.43
1977,3217.69,3256.69,3163.92,3722.74,3244.65
1978,2420.16,2463.95,2336.50,2733.27,2404.25
1979,3236.21,3278.86,3193.74,3886.31,3235.47
1980,3299.37,3333.25,3271.10,3891.91,3322.34
1981,3560.33,3591.42,3500.84,3977.42,3606.50
1982,2759.83,2797.89,2693.53,3163.43,2775.92
1983,3059.90,3094.45,2996.59,3448.26,3066.97
1984,3665.25,3688.32,3684.76,4505.13,3727.99
1985,3039.18,3053.00,3023.64,3488.51,3098.05
1986,3138.61,3170.74,3099.38,3665.37,3162.51
1987,2629.37,2671.58,2566.47,3080.19,2614.49
1988,3899.54,3940.91,3836.24,4495.08,3921.31
1989,2832.16,2877.42,2776.99,3420.45,2839.19
1990,2518.97,2545.63,2492.58,3001.32,2543.49
1991,2546.47,2580.51,2511.36,3061.66,2553.92
1992,2452.93,2493.26,2401.01,2946.61,2441.99
1993,2618.16,2654.30,2573.95,3124.02,2625.83
1994,2746.25,2797.03,2681.10,3304.88,2737.99
1995,3305.12,3355.10,3227.50,3855.83,3302.04
1996,3465.85,3499.17,3428.33,4029.68,3504.28
1997,2717.66,2762.03,2647.95,3163.85,2713.14
1998,2820.24,2858.08,2762.64,3292.40,2811.26
1999,3801.70,3853.92,3732.50,4480.56,3824.40
2000,3575.13,3632.96,3494.15,4233.33,3574.86
2001,3357.20,3389.93,3319.16,3880.17,3395.06
2002,2738.35,2791.27,2648.06,3154.88,2719.88
2003,3068.05,3120.79,2981.50,3520.54,3058.45
2004,2760.35,2813.41,2671.43,3207.93,2749.23
2005,3194.04,3231.08,3167.02,3850.42,3207.91
2006,3465.76,3501.84,3443.32,4215.14,3501.72
2007,3539.40,3589.61,3471.33,4128.21,3551.55
2008,3997.29,4074.79,3872.66,4645.52,3970.99
2009,3566.40,3593.18,3534.93,4033.86,3631.15
2010,3885.87,3940.10,3798.12,4457.89,3880.01
2011,3701.10,3733.26,3695.15,4542.29,3761.67
2012,3272.94,3314.47,3233.77,3963.33,3300.72
2013,3419.15,3450.20,3391.50,4074.35,3464.73
2014,3158.19,3182.16,3144.40,3700.33,3207.07
2015,2842.32,2869.41,2799.24,3194.78,2872.79
2016,2525.20,2574.71,2458.23,3016.07,2509.35
2017,3723.22,3778.43,3662.00,4470.56,3725.49
