Variable:,pr
,"Antigua and Barbuda",Barbuda,"Name Unknown","St. George","St. John","St. Mary","St. Paul","St. Peter","St. Philip"
1901,2418.40,2181.90,2418.40,2418.40,2418.40,2418.40,2418.40,2418.40,2418.40
1902,2543.40,2224.30,2543.40,2543.40,2543.40,2543.40,2543.40,2543.40,2543.40
1903,2467.70,2191.20,2467.70,2467.70,2467.70,2467.70,2467.70,2467.70,2467.70
1904,2312.70,2137.80,2312.70,2312.70,2312.70,2312.70,2312.70,2312.70,2312.70
1905,2327.60,2143.90,2327.60,2327.60,2327.60,2327.60,2327.60,2327.60,2327.60
1906,2392.60,2165.30,2392.60,2392.60,2392.60,2392.60,2392.60,2392.60,2392.60
1907,2236.80,2101.90,2236.80,2236.80,2236.80,2236.80,2236.80,2236.80,2236.80
1908,2175.10,2079.70,2175.10,2175.10,2175.10,2175.10,2175.10,2175.10,2175.10
1909,2417.70,2180.20,2417.70,2417.70,2417.70,2417.70,2417.70,2417.70,2417.70
1910,2380.60,2163.70,2380.60,2380.60,2380.60,2380.60,2380.60,2380.60,2380.60
1911,2416.10,2176.10,2416.10,2416.10,2416.10,2416.10,2416.10,2416.10,2416.10
1912,2411.80,2164.20,2411.80,2411.80,2411.80,2411.80,2411.80,2411.80,2411.80
1913,2414.50,2171.20,2414.50,2414.50,2414.50,2414.50,2414.50,2414.50,2414.50
1914,2414.60,2172.10,2414.60,2414.60,2414.60,2414.60,2414.60,2414.60,2414.60
1915,2416.00,2176.00,2416.00,2416.00,2416.00,2416.00,2416.00,2416.00,2416.00
1916,2418.10,2181.00,2418.10,2418.10,2418.10,2418.10,2418.10,2418.10,2418.10
1917,2414.40,2171.30,2414.40,2414.40,2414.40,2414.40,2414.40,2414.40,2414.40
1918,2411.50,2163.70,2411.50,2411.50,2411.50,2411.50,2411.50,2411.50,2411.50
1919,2416.90,2178.20,2416.90,2416.90,2416.90,2416.90,2416.90,2416.90,2416.90
1920,2413.00,2166.90,2413.00,2413.00,2413.00,2413.00,2413.00,2413.00,2413.00
1921,2416.10,2175.80,2416.10,2416.10,2416.10,2416.10,2416.10,2416.10,2416.10
1922,2413.30,2168.40,2413.30,2413.30,2413.30,2413.30,2413.30,2413.30,2413.30
1923,2411.80,2164.30,2411.80,2411.80,2411.80,2411.80,2411.80,2411.80,2411.80
1924,2412.50,2166.20,2412.50,2412.50,2412.50,2412.50,2412.50,2412.50,2412.50
1925,2412.60,2166.40,2412.60,2412.60,2412.60,2412.60,2412.60,2412.60,2412.60
1926,2411.30,2162.40,2411.30,2411.30,2411.30,2411.30,2411.30,2411.30,2411.30
1927,2417.30,2178.90,2417.30,2417.30,2417.30,2417.30,2417.30,2417.30,2417.30
1928,2417.10,2179.10,2417.10,2417.10,2417.10,2417.10,2417.10,2417.10,2417.10
1929,2414.20,2170.60,2414.20,2414.20,2414.20,2414.20,2414.20,2414.20,2414.20
1930,2414.00,2170.40,2414.00,2414.00,2414.00,2414.00,2414.00,2414.00,2414.00
1931,2423.60,2196.40,2423.60,2423.60,2423.60,2423.60,2423.60,2423.60,2423.60
1932,2446.90,2194.90,2446.90,2446.90,2446.90,2446.90,2446.90,2446.90,2446.90
1933,2543.50,2228.30,2543.50,2543.50,2543.50,2543.50,2543.50,2543.50,2543.50
1934,2102.10,2049.60,2102.10,2102.10,2102.10,2102.10,2102.10,2102.10,2102.10
1935,2300.40,2130.20,2300.40,2300.40,2300.40,2300.40,2300.40,2300.40,2300.40
1936,2527.50,2224.40,2527.50,2527.50,2527.50,2527.50,2527.50,2527.50,2527.50
1937,2117.10,2048.40,2117.10,2117.10,2117.10,2117.10,2117.10,2117.10,2117.10
1938,2465.00,2191.20,2465.00,2465.00,2465.00,2465.00,2465.00,2465.00,2465.00
1939,2155.60,2066.80,2155.60,2155.60,2155.60,2155.60,2155.60,2155.60,2155.60
1940,2095.40,2055.10,2095.40,2095.40,2095.40,2095.40,2095.40,2095.40,2095.40
