Variable:,pr
,"Antigua and Barbuda",Barbuda,"Name Unknown","St. George","St. John","St. Mary","St. Paul","St. Peter","St. Philip"
1941,2279.70,2097.80,2279.70,2279.70,2279.70,2279.70,2279.70,2279.70,2279.70
1942,2523.80,2211.70,2523.80,2523.80,2523.80,2523.80,2523.80,2523.80,2523.80
1943,2258.20,2068.80,2258.20,2258.20,2258.20,2258.20,2258.20,2258.20,2258.20
1944,2382.10,2152.50,2382.10,2382.10,2382.10,2382.10,2382.10,2382.10,2382.10
1945,2279.30,2050.70,2279.30,2279.30,2279.30,2279.30,2279.30,2279.30,2279.30
1946,2172.60,2067.60,2172.60,2172.60,2172.60,2172.60,2172.60,2172.60,2172.60
1947,2100.40,1998.60,2100.40,2100.40,2100.40,2100.40,2100.40,2100.40,2100.40
1948,2446.10,2154.20,2446.10,2446.10,2446.10,2446.10,2446.10,2446.10,2446.10
1949,2385.40,2188.20,2385.40,2385.40,2385.40,2385.40,2385.40,2385.40,2385.40
1950,2466.20,2215.20,2466.20,2466.20,2466.20,2466.20,2466.20,2466.20,2466.20
1951,2368.50,2039.40,2368.50,2368.50,2368.50,2368.50,2368.50,2368.50,2368.50
1952,2841.70,2601.00,2841.70,2841.70,2841.70,2841.70,2841.70,2841.70,2841.70
1953,2450.40,2212.90,2450.40,2450.40,2450.40,2450.40,2450.40,2450.40,2450.40
1954,2880.00,2641.10,2880.00,2880.00,2880.00,2880.00,2880.00,2880.00,2880.00
1955,2834.20,2572.80,2834.20,2834.20,2834.20,2834.20,2834.20,2834.20,2834.20
1956,2682.00,2371.10,2682.00,2682.00,2682.00,2682.00,2682.00,2682.00,2682.00
1957,2256.40,1968.40,2256.40,2256.40,2256.40,2256.40,2256.40,2256.40,2256.40
1958,3037.90,2719.40,3037.90,3037.90,3037.90,3037.90,3037.90,3037.90,3037.90
1959,2304.90,2061.80,2304.90,2304.90,2304.90,2304.90,2304.90,2304.90,2304.90
1960,2709.20,2485.70,2709.20,2709.20,2709.20,2709.20,2709.20,2709.20,2709.20
1961,2259.60,2039.00,2259.60,2259.60,2259.60,2259.60,2259.60,2259.60,2259.60
1962,2404.30,2192.20,2404.30,2404.30,2404.30,2404.30,2404.30,2404.30,2404.30
1963,2297.80,2093.10,2297.80,2297.80,2297.80,2297.80,2297.80,2297.80,2297.80
1964,2116.90,1856.20,2116.90,2116.90,2116.90,2116.90,2116.90,2116.90,2116.90
1965,2355.00,2182.70,2355.00,2355.00,2355.00,2355.00,2355.00,2355.00,2355.00
1966,2585.70,2243.00,2585.70,2585.70,2585.70,2585.70,2585.70,2585.70,2585.70
1967,2266.00,1917.20,2266.00,2266.00,2266.00,2266.00,2266.00,2266.00,2266.00
1968,2115.10,1849.50,2115.10,2115.10,2115.10,2115.10,2115.10,2115.10,2115.10
1969,2711.40,2498.60,2711.40,2711.40,2711.40,2711.40,2711.40,2711.40,2711.40
1970,2706.20,2403.70,2706.20,2706.20,2706.20,2706.20,2706.20,2706.20,2706.20
1971,2321.90,2127.90,2321.90,2321.90,2321.90,2321.90,2321.90,2321.90,2321.90
1972,2328.70,2025.40,2328.70,2328.70,2328.70,2328.70,2328.70,2328.70,2328.70
1973,1811.30,1670.90,1811.30,1811.30,1811.30,1811.30,1811.30,1811.30,1811.30
1974,2214.00,1980.50,2214.00,2214.00,2214.00,2214.00,2214.00,2214.00,2214.00
1975,2457.50,2228.70,2457.50,2457.50,2457.50,2457.50,2457.50,2457.50,2457.50
1976,2147.70,1887.00,2147.70,2147.70,2147.70,2147.70,2147.70,2147.70,2147.70
1977,2265.30,2024.50,2265.30,2265.30,2265.30,2265.30,2265.30,2265.30,2265.30
1978,2196.80,1941.20,2196.80,2196.80,2196.80,2196.80,2196.80,2196.80,2196.80
1979,3075.40,2934.60,3075.40,3075.40,3075.40,3075.40,3075.40,3075.40,3075.40
1980,2291.30,1987.40,2291.30,2291.30,2291.30,2291.30,2291.30,2291.30,2291.30
1981,2575.90,2259.50,2575.90,2575.90,2575.90,2575.90,2575.90,2575.90,2575.90
1982,2468.50,2166.50,2468.50,2468.50,2468.50,2468.50,2468.50,2468.50,2468.50
1983,2351.70,2150.00,2351.70,2351.70,2351.70,2351.70,2351.70,2351.70,2351.70
1984,2534.50,2244.60,2534.50,2534.50,2534.50,2534.50,2534.50,2534.50,2534.50
1985,2328.10,2089.80,2328.10,2328.10,2328.10,2328.10,2328.10,2328.10,2328.10
1986,2667.90,2394.90,2667.90,2667.90,2667.90,2667.90,2667.90,2667.90,2667.90
1987,2978.90,2799.70,2978.90,2978.90,2978.90,2978.90,2978.90,2978.90,2978.90
1988,2767.40,2491.10,2767.40,2767.40,2767.40,2767.40,2767.40,2767.40,2767.40
1989,2831.70,2578.70,2831.70,2831.70,2831.70,2831.70,2831.70,2831.70,2831.70
1990,2561.80,2275.50,2561.80,2561.80,2561.80,2561.80,2561.80,2561.80,2561.80
1991,2291.30,1973.80,2291.30,2291.30,2291.30,2291.30,2291.30,2291.30,2291.30
1992,2999.40,2712.20,2999.40,2999.40,2999.40,2999.40,2999.40,2999.40,2999.40
1993,2232.80,1916.10,2232.80,2232.80,2232.80,2232.80,2232.80,2232.80,2232.80
1994,1964.90,1695.40,1964.90,1964.90,1964.90,1964.90,1964.90,1964.90,1964.90
1995,2296.30,2003.80,2296.30,2296.30,2296.30,2296.30,2296.30,2296.30,2296.30
1996,2636.90,2312.10,2636.90,2636.90,2636.90,2636.90,2636.90,2636.90,2636.90
1997,2279.90,2109.10,2279.90,2279.90,2279.90,2279.90,2279.90,2279.90,2279.90
1998,2938.70,2653.20,2938.70,2938.70,2938.70,2938.70,2938.70,2938.70,2938.70
1999,2544.80,2348.00,2544.80,2544.80,2544.80,2544.80,2544.80,2544.80,2544.80
2000,2019.80,1731.20,2019.80,2019.80,2019.80,2019.80,2019.80,2019.80,2019.80
2001,2454.30,2307.10,2454.30,2454.30,2454.30,2454.30,2454.30,2454.30,2454.30
2002,2508.10,2312.90,2508.10,2508.10,2508.10,2508.10,2508.10,2508.10,2508.10
2003,2496.90,2318.20,2496.90,2496.90,2496.90,2496.90,2496.90,2496.90,2496.90
2004,3059.60,2670.60,3059.60,3059.60,3059.60,3059.60,3059.60,3059.60,3059.60
2005,3138.30,2848.80,3138.30,3138.30,3138.30,3138.30,3138.30,3138.30,3138.30
2006,3037.60,2921.50,3037.60,3037.60,3037.60,3037.60,3037.60,3037.60,3037.60
2007,2384.10,2179.20,2384.10,2384.10,2384.10,2384.10,2384.10,2384.10,2384.10
2008,3059.00,2875.10,3059.00,3059.00,3059.00,3059.00,3059.00,3059.00,3059.00
2009,2072.00,1807.70,2072.00,2072.00,2072.00,2072.00,2072.00,2072.00,2072.00
2010,2881.00,2544.40,2881.00,2881.00,2881.00,2881.00,2881.00,2881.00,2881.00
2011,2697.20,2284.50,2697.20,2697.20,2697.20,2697.20,2697.20,2697.20,2697.20
2012,2324.60,1926.10,2324.60,2324.60,2324.60,2324.60,2324.60,2324.60,2324.60
2013,2365.30,2140.10,2365.30,2365.30,2365.30,2365.30,2365.30,2365.30,2365.30
2014,2474.40,2286.50,2474.40,2474.40,2474.40,2474.40,2474.40,2474.40,2474.40
2015,1570.10,1272.70,1570.10,1570.10,1570.10,1570.10,1570.10,1570.10,1570.10
2016,2551.50,2169.30,2551.50,2551.50,2551.50,2551.50,2551.50,2551.50,2551.50
2017,2703.10,2414.20,2703.10,2703.10,2703.10,2703.10,2703.10,2703.10,2703.10
2018,2359.00,2065.70,2359.00,2359.00,2359.00,2359.00,2359.00,2359.00,2359.00
2019,2362.70,2167.20,2362.70,2362.70,2362.70,2362.70,2362.70,2362.70,2362.70
2020,2325.40,2069.30,2325.40,2325.40,2325.40,2325.40,2325.40,2325.40,2325.40
