Variable:,pr
,Austria,Burgenland,Karnten,Niederosterreich,Oberosterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien
1901,1131.62,666.77,1546.30,684.93,937.52,1355.12,1193.87,1519.04,1601.93,585.94
1902,1137.18,770.70,1427.42,735.42,997.13,1441.62,1207.88,1433.98,1494.67,636.48
1903,1273.92,931.19,1648.56,931.93,1086.99,1583.34,1341.32,1498.60,1430.99,872.82
1904,1224.16,836.00,1673.57,756.86,971.12,1559.67,1401.67,1485.76,1489.26,680.10
1905,1212.56,795.25,1551.04,757.16,1006.79,1571.68,1259.95,1614.11,1658.33,678.94
1906,1287.19,860.46,1592.98,921.61,1184.13,1591.97,1387.71,1501.79,1514.20,782.27
1907,1174.57,731.66,1542.28,742.13,1034.66,1558.73,1265.58,1440.60,1448.95,627.13
1908,945.77,568.96,1160.92,593.32,813.93,1217.71,956.97,1279.82,1457.94,494.58
1909,1218.74,779.09,1548.68,868.18,1081.22,1506.02,1293.31,1453.31,1508.86,755.90
1910,1472.51,947.10,1813.14,1015.29,1299.89,1804.67,1506.04,1885.33,2027.59,887.98
1911,1041.11,695.78,1392.44,703.81,832.58,1307.71,1089.99,1338.26,1233.80,631.10
1912,1305.31,809.29,1578.37,858.47,1214.63,1696.78,1298.56,1702.61,1785.82,751.38
1913,1269.72,803.09,1515.95,807.47,1156.15,1651.21,1309.04,1675.90,1717.66,683.82
1914,1232.86,753.42,1619.50,744.84,1054.35,1587.14,1287.82,1626.43,1717.53,626.95
1915,1291.48,910.74,1611.83,934.31,1177.21,1513.44,1365.39,1530.65,1611.71,815.33
1916,1435.41,910.19,1877.94,913.58,1178.67,1785.03,1510.13,1903.46,1917.81,806.63
1917,1090.08,675.48,1477.43,637.01,839.95,1390.98,1190.67,1473.42,1487.75,532.51
1918,1244.05,858.62,1535.79,872.94,1074.43,1541.87,1349.84,1515.94,1485.95,765.67
1919,1280.85,803.21,1643.01,876.28,1110.84,1582.39,1322.08,1626.60,1674.20,772.87
1920,1149.41,739.59,1393.07,798.35,1015.15,1443.78,1203.90,1462.59,1400.29,705.47
1921,943.02,634.61,1037.14,678.31,886.64,1213.62,948.11,1207.89,1200.26,611.74
1922,1318.53,766.32,1559.00,824.78,1218.73,1681.27,1294.79,1814.03,2053.57,681.03
1923,1261.55,803.12,1656.70,798.28,1051.33,1568.67,1408.45,1584.28,1597.95,686.53
1924,1069.06,624.75,1411.16,641.68,947.24,1415.00,1088.31,1400.90,1503.84,562.52
1925,1243.68,833.28,1678.86,854.81,1102.07,1575.64,1356.42,1415.47,1384.45,762.95
