Variable:,pr
,Israel,"Central District",Haifa,Jerusalem,Northern,"Southern District","Tel Aviv"
1901,226.23,452.08,425.64,403.37,426.55,133.89,469.75
1902,325.04,629.77,650.22,563.89,672.42,178.85,674.77
1903,229.05,431.20,485.52,383.38,511.17,117.75,472.58
1904,444.50,895.88,820.69,816.27,803.29,269.57,929.31
1905,368.21,705.19,729.00,639.51,743.48,208.12,751.17
1906,265.97,471.21,593.59,399.98,656.41,126.60,524.84
1907,383.34,747.07,708.04,692.02,719.69,229.75,773.03
1908,362.06,671.92,712.52,606.98,732.28,208.03,708.80
1909,245.46,441.95,531.51,385.41,573.93,123.36,492.45
1910,243.66,438.68,526.36,384.34,568.50,122.60,484.67
1911,453.82,859.66,940.45,770.64,991.27,238.72,927.11
1912,356.18,710.07,643.30,648.92,650.80,216.71,736.53
1913,297.72,565.41,656.97,495.15,696.71,143.82,628.52
1914,297.27,587.76,631.33,504.25,647.41,153.27,646.94
1915,171.19,301.58,352.17,283.73,376.45,92.36,323.83
1916,384.44,740.22,689.74,702.57,677.42,242.15,755.26
1917,365.27,729.33,644.09,688.13,620.68,232.15,740.18
1918,401.55,782.41,799.81,702.51,808.96,225.61,835.35
1919,306.36,575.21,632.27,508.82,672.94,161.61,622.36
1920,395.21,752.38,703.54,711.31,691.11,251.92,766.46
1921,343.32,644.14,638.14,579.03,649.66,209.10,672.72
1922,285.09,549.61,592.86,490.81,610.65,150.98,595.77
1923,243.62,466.70,507.63,416.10,529.62,127.91,505.99
1924,323.66,618.78,652.53,555.37,682.98,175.92,664.17
1925,197.09,370.99,390.84,328.87,398.71,112.57,396.43
1926,283.20,529.54,590.81,477.61,627.60,147.57,569.68
1927,279.27,508.73,546.44,480.70,571.43,159.28,533.43
1928,263.70,531.50,562.45,470.90,574.88,133.01,577.97
1929,309.80,583.50,622.84,519.98,644.34,172.16,618.00
1930,252.14,482.97,463.13,443.83,474.60,152.71,488.39
1931,305.27,611.58,627.59,546.05,632.21,163.78,659.76
1932,172.65,328.58,306.14,313.46,325.18,105.02,321.82
1933,173.63,331.16,320.96,306.12,316.10,107.50,345.56
1934,295.26,589.22,601.59,531.66,601.49,160.80,641.25
1935,273.80,529.22,596.42,460.59,629.35,133.88,593.22
1936,299.25,587.47,623.86,517.47,646.88,156.36,633.18
