Variable:,pr
,Panama,Coclé,Colón,"Kuna Yala",Herrera,"Los Santos",Panamá,"Bocas del Toro",Chiriquí,Darién,Emberá,"Ngöbe Buglé",Veraguas
1901,2537.59,2366.17,2762.76,2240.26,2000.19,2309.44,2262.95,3459.41,3167.47,2477.92,2265.35,2921.16,2296.47
1902,2437.37,2352.40,2751.20,2240.26,1996.26,2309.36,2262.93,3055.80,2733.80,2477.92,2265.35,2666.25,2227.41
1903,2530.03,2367.60,2765.03,2240.26,1999.86,2309.46,2262.95,3492.46,3069.38,2477.92,2265.35,2929.07,2293.23
1904,2518.91,2359.59,2758.95,2240.26,1996.89,2309.36,2262.93,3615.54,2971.11,2477.92,2265.35,2902.07,2264.12
1905,2489.30,2361.58,2759.21,2240.26,1998.77,2309.41,2262.93,3253.12,2946.50,2477.92,2265.35,2807.47,2268.64
1906,2425.17,2353.62,2751.95,2240.26,1997.10,2309.40,2262.93,2914.90,2711.33,2477.92,2265.35,2634.29,2230.49
1907,2285.56,2343.92,2742.99,2240.26,1994.84,2309.33,2262.93,2093.55,2180.87,2477.92,2265.35,2284.89,2170.12
1908,2474.10,2360.09,2757.30,2240.26,1998.83,2309.43,2262.94,3127.10,2916.04,2477.92,2265.35,2759.44,2262.55
1909,2555.79,2367.43,2765.05,2240.26,1999.92,2309.47,2262.95,3652.81,3179.65,2477.92,2265.35,2984.98,2299.65
1910,2396.93,2352.58,2751.35,2240.26,1996.52,2309.37,2262.93,2767.54,2581.48,2477.92,2265.35,2574.00,2220.09
1911,2430.19,2355.27,2753.33,2240.26,1997.31,2309.39,2262.94,2935.96,2724.84,2477.92,2265.35,2651.49,2235.27
1912,2384.95,2352.64,2750.57,2240.26,1997.30,2309.41,2262.93,2623.25,2577.97,2477.92,2265.35,2531.12,2219.81
1913,2477.45,2360.08,2758.00,2240.26,1998.53,2309.44,2262.93,3186.76,2903.82,2477.92,2265.35,2777.26,2261.52
1914,2326.50,2346.59,2745.45,2240.26,1995.34,2309.34,2262.93,2332.74,2338.02,2477.92,2265.35,2388.03,2187.10
1915,2581.66,2369.47,2766.43,2240.26,2000.41,2309.46,2262.94,3772.06,3298.01,2477.92,2265.35,3045.96,2312.80
1916,2632.73,2375.88,2772.51,2240.26,2001.84,2309.50,2262.95,4046.28,3479.27,2477.92,2265.35,3188.10,2342.44
1917,2544.30,2366.57,2763.47,2240.26,2000.09,2309.44,2262.93,3537.10,3168.25,2477.92,2265.35,2944.42,2297.16
1918,2362.99,2346.61,2745.62,2240.26,1995.36,2309.34,2262.92,2584.66,2480.92,2477.92,2265.35,2466.62,2195.23
1919,2449.62,2355.96,2753.52,2240.26,1997.96,2309.41,2262.93,3009.31,2833.79,2477.92,2265.35,2683.95,2244.49
1920,2397.86,2351.47,2749.72,2240.26,1996.75,2309.39,2262.93,2732.03,2624.48,2477.92,2265.35,2559.95,2219.20
1921,2377.09,2349.78,2748.32,2240.26,1996.21,2309.37,2262.93,2631.00,2533.31,2477.92,2265.35,2510.78,2208.98
1922,2359.97,2349.16,2747.47,2240.26,1996.28,2309.37,2262.93,2514.30,2472.19,2477.92,2265.35,2467.65,2204.09
1923,2294.11,2343.14,2742.20,2240.26,1994.92,2309.36,2262.92,2155.94,2218.58,2477.92,2265.35,2300.03,2170.12
1924,2531.47,2364.04,2761.01,2240.26,1999.65,2309.43,2262.94,3459.30,3137.33,2477.92,2265.35,2902.73,2288.29
1925,2405.08,2351.89,2750.36,2240.26,1996.65,2309.39,2262.93,2799.71,2638.66,2477.92,2265.35,2580.09,2220.24
1926,2364.72,2288.27,2691.90,2240.26,1947.92,2302.41,2258.82,2740.72,2571.69,2477.92,2265.35,2485.18,2136.17
1927,2404.44,2317.73,2718.14,2240.26,1972.71,2305.84,2260.75,2880.19,2702.32,2477.92,2265.35,2567.76,2183.90
1928,2327.19,2278.11,2685.26,2240.26,1939.77,2301.37,2258.63,2609.16,2422.14,2477.92,2265.35,2389.34,2101.35
1929,2191.47,2245.59,2655.31,2240.26,1924.88,2299.73,2257.71,1958.53,1945.92,2477.92,2265.35,2017.71,1999.64
1930,2170.51,2251.64,2661.01,2240.26,1932.75,2301.11,2258.47,1848.13,1849.84,2477.92,2265.35,1959.16,1992.24
1931,2302.91,2268.76,2675.56,2240.26,1934.84,2300.73,2258.27,2504.33,2348.20,2477.92,2265.35,2315.29,2078.46
1932,2369.68,2282.53,2688.51,2240.26,1943.23,2301.73,2258.60,2826.65,2588.55,2477.92,2265.35,2495.29,2126.76
1933,2480.71,2348.45,2748.34,2240.26,1990.09,2308.03,2262.07,3222.00,2944.13,2477.92,2265.35,2777.00,2253.70
1934,2470.00,2371.22,2767.19,2240.26,2009.30,2310.98,2263.70,3101.42,2862.54,2477.92,2265.35,2754.54,2273.44
1935,2508.98,2357.21,2757.74,2240.26,1992.24,2308.21,2262.35,3374.35,3025.03,2477.92,2265.35,2863.79,2274.59
1936,2425.72,2324.74,2726.48,2240.26,1975.25,2305.93,2260.85,2981.42,2765.35,2477.92,2265.35,2632.34,2203.05
1937,2592.39,2408.68,2795.39,2240.26,2038.08,2320.31,2265.52,3720.25,3253.83,2477.92,2265.35,3080.52,2371.64
1938,2608.24,2423.23,2796.60,2240.26,2066.70,2339.57,2267.15,3722.61,3324.45,2477.92,2265.35,3104.86,2395.84
1939,2428.93,2358.83,2757.05,2240.26,2004.90,2311.89,2263.00,2902.76,2711.99,2477.92,2265.35,2649.57,2243.06
1940,2280.80,2262.55,2675.15,2239.94,1944.04,2306.15,2257.46,2421.44,2281.99,2477.92,2265.35,2234.27,2050.52
1941,2234.46,2246.13,2699.72,2192.42,1851.68,2196.19,2253.01,2711.74,2440.85,2091.71,1975.63,2375.73,2025.05
1942,2574.30,2495.98,2823.66,2200.96,2172.18,2430.32,2270.16,3513.82,3383.48,2195.09,2052.58,3079.00,2506.90
1943,2454.79,2365.15,2779.26,2229.92,1974.43,2261.82,2264.46,3249.59,2874.13,2388.11,2192.16,2753.60,2250.52
1944,2418.87,2377.71,2767.70,2168.00,2009.87,2274.79,2247.44,3567.16,2957.01,1931.73,1854.61,2967.06,2321.67
