Variable:,pr
,Laos,Attapu,Bokeo,Champasak,Houaphan,Khammouan,Louangphabang,Louang-Namtha,Oudomxai,Phongsali,Salavan,Savannakhet,Xaignabouli,Xekong,"Vientiane capital",Bolikhamxai,Vientiane,Xiangkhouang
1901,1761.56,2065.20,1468.94,1983.90,1619.10,2208.43,1557.11,1413.56,1465.04,1439.69,2155.38,2062.54,1392.97,2191.91,1601.13,1969.66,1563.50,1763.13
1902,1750.25,2065.65,1468.94,1984.20,1560.70,2210.26,1541.22,1413.55,1463.43,1439.69,2155.38,2062.70,1392.94,2191.91,1600.67,1943.63,1556.09,1714.34
1903,1758.86,2065.28,1468.94,1983.89,1661.08,2198.70,1544.98,1413.64,1463.02,1452.59,2155.38,2062.47,1392.95,2191.91,1600.81,1936.80,1558.51,1728.13
1904,1855.80,2065.71,1468.94,1984.60,2140.58,2279.41,1671.27,1414.61,1483.40,1528.95,2155.38,2063.29,1392.99,2191.91,1602.35,2173.09,1589.05,2010.96
1905,1700.44,2065.77,1468.94,1984.65,1430.66,2147.84,1453.88,1412.86,1447.82,1394.41,2155.38,2061.99,1392.96,2191.91,1599.90,1783.06,1538.76,1537.88
1906,1708.59,2066.32,1464.41,1984.22,1528.78,2170.42,1486.44,1353.85,1410.69,1193.16,2155.38,2062.12,1392.81,2191.91,1600.75,1871.74,1552.64,1648.30
1907,1738.10,2065.93,1469.22,1984.82,1584.16,2182.03,1527.27,1414.79,1460.71,1443.69,2155.38,2062.50,1392.96,2191.91,1600.20,1861.86,1548.27,1641.78
1908,1808.73,2067.89,1469.85,1986.34,1939.97,2244.39,1592.32,1423.30,1476.75,1496.27,2155.38,2063.13,1393.01,2191.91,1601.56,2048.06,1571.48,1850.31
1909,1873.31,2067.60,1478.73,1986.41,2111.31,2265.78,1681.28,1527.15,1562.48,1772.45,2155.38,2063.12,1393.19,2191.91,1602.10,2135.11,1583.02,1960.42
1910,1807.95,2067.70,1473.37,1987.42,1864.16,2225.73,1603.25,1465.43,1508.33,1618.30,2155.38,2062.89,1393.08,2191.91,1601.25,2000.93,1566.37,1806.51
1911,1479.67,1612.19,1229.78,1522.95,1760.39,1590.36,1423.14,1274.18,1305.55,1611.27,1640.64,1566.50,1156.52,1706.73,1316.75,1473.58,1286.67,1502.62
1912,1633.47,2088.75,1504.87,1824.08,1689.15,1848.60,1511.94,1424.17,1457.69,1397.95,1945.08,1775.55,1300.84,2128.32,1375.22,1642.13,1401.04,1611.96
1913,1667.82,1886.96,1308.50,1740.50,1803.05,1924.20,1525.81,1344.96,1397.70,1599.38,1967.27,1847.42,1323.94,2027.42,1576.63,1773.53,1525.27,1666.92
1914,1661.89,1937.08,1393.78,1765.87,1725.53,1981.02,1514.75,1334.39,1417.39,1364.41,2034.52,1927.03,1388.32,2081.69,1446.71,1719.29,1475.25,1647.75
1915,1810.53,2231.60,1511.42,2027.15,1773.31,2133.23,1598.27,1484.87,1508.60,1490.58,2327.14,2158.26,1387.32,2423.63,1601.87,1842.10,1599.36,1773.83
1916,1661.34,1712.97,1704.04,1690.64,1704.34,1773.93,1647.64,1600.17,1636.19,1520.38,1663.95,1598.98,1612.40,1717.99,1605.57,1730.60,1645.99,1699.01
1917,1664.26,2318.29,1345.84,2078.18,1657.99,1930.89,1441.74,1274.41,1347.34,1380.23,2069.73,1883.24,1313.51,2273.53,1463.97,1702.90,1433.55,1565.93
1918,1692.96,1959.13,1464.76,1749.30,1815.51,1969.27,1550.04,1437.09,1459.75,1659.86,1887.44,1807.31,1386.54,2035.63,1509.04,1827.97,1507.65,1688.87
1919,1514.91,1625.55,1339.01,1638.29,1686.79,1822.66,1415.25,1290.82,1317.80,1353.22,1630.70,1578.53,1207.50,1667.23,1363.19,1709.77,1343.31,1591.38
1920,1770.88,2247.32,1252.56,2069.37,1797.44,2289.77,1457.66,1240.41,1305.50,1404.00,2342.91,2203.48,1256.56,2417.74,1589.91,1958.34,1499.41,1710.17
1921,1581.75,1650.59,1439.83,1563.85,1776.18,1794.47,1496.61,1383.91,1416.51,1548.90,1717.75,1667.62,1358.19,1765.46,1487.15,1670.31,1450.94,1588.08
1922,1447.84,1555.14,1252.80,1484.70,1727.58,1594.53,1378.08,1227.44,1260.51,1462.36,1519.06,1442.08,1198.83,1605.26,1406.55,1543.43,1336.63,1512.09
