Variable:,pr
,"Dominican Republic",Azua,Baoruco,Barahona,Dajabon,"Santo Domingo",Duarte,"El Seibo",Espaillat,Independencia,"La Altagracia","Elias Pina","La Romana","La Vega","Maria Trinidad Sanches","Monte Cristi",Pedernales,Peravia,"Puerto Plata",Salcedo,Samana,"San Cristobal","San Juan","San Pedro de Macoris","Sanchez Ramirez",Santiago,"Santiago Rodriguez",Valverde,"Hato Mayor","Monsenor Nouel","Monte Plata","San José de Ocoa","Distrito Nacional"
1901,1513.64,1330.90,1311.89,1293.10,1271.67,1654.44,1838.81,1907.21,1697.39,1520.32,1620.28,1457.59,1573.38,1403.32,1915.88,1031.33,1408.32,1249.91,1421.63,1719.24,1959.37,1433.19,1309.19,1845.48,1705.87,1419.61,1395.29,1245.88,1966.84,1559.38,1743.95,1429.33,1625.88
1902,1454.55,1309.68,1310.92,1291.65,1271.64,1540.82,1768.83,1689.27,1663.18,1520.06,1427.50,1457.49,1388.20,1380.80,1831.13,1031.33,1408.14,1170.54,1409.63,1671.77,1835.73,1353.72,1307.36,1662.74,1635.71,1410.26,1394.77,1241.67,1766.28,1497.43,1618.39,1376.57,1513.87
1903,1429.74,1307.66,1311.30,1291.49,1271.66,1505.05,1718.68,1596.44,1631.04,1520.08,1318.91,1457.58,1301.21,1372.70,1770.83,1031.33,1408.08,1181.31,1402.35,1637.52,1740.20,1351.59,1307.92,1588.45,1604.05,1405.92,1395.21,1239.90,1688.19,1483.06,1578.64,1371.31,1460.11
1904,1437.55,1304.06,1311.04,1291.55,1271.65,1505.45,1736.54,1639.84,1655.81,1520.06,1358.52,1457.54,1334.10,1372.54,1796.25,1031.33,1408.14,1167.43,1409.74,1653.77,1771.49,1342.05,1307.30,1615.84,1610.81,1408.03,1395.03,1241.57,1723.26,1480.43,1579.78,1363.93,1472.82
1905,1404.33,1294.29,1310.90,1291.15,1271.64,1440.15,1658.51,1544.93,1602.39,1520.06,1288.70,1457.51,1262.47,1354.48,1704.24,1031.33,1408.14,1149.82,1395.76,1594.07,1655.32,1311.68,1306.68,1519.68,1552.10,1399.43,1394.86,1237.72,1618.65,1442.85,1508.80,1339.63,1392.19
1906,1372.01,1283.33,1310.54,1290.02,1271.64,1377.96,1596.62,1448.18,1557.96,1519.87,1194.45,1457.51,1171.20,1336.88,1629.92,1031.33,1407.91,1130.89,1381.94,1546.96,1555.73,1283.57,1306.13,1428.76,1503.89,1389.13,1394.86,1233.31,1524.57,1410.45,1443.73,1317.54,1312.31
1907,1399.53,1294.43,1311.11,1291.10,1271.66,1444.95,1677.03,1494.57,1614.53,1520.06,1215.13,1457.58,1208.64,1357.21,1718.84,1031.33,1408.14,1157.77,1398.10,1611.91,1649.75,1320.99,1307.10,1496.42,1566.82,1399.11,1395.21,1238.00,1593.42,1452.32,1515.12,1345.50,1389.91
1908,1408.35,1294.47,1309.91,1289.68,1271.62,1453.43,1690.76,1537.92,1627.04,1519.63,1260.51,1457.44,1242.47,1360.78,1740.20,1031.33,1407.64,1144.59,1402.63,1621.47,1688.78,1313.99,1306.09,1526.42,1573.45,1402.41,1394.51,1239.46,1628.19,1453.01,1524.81,1343.59,1407.50
1909,1386.18,1284.69,1310.78,1290.33,1271.65,1394.82,1612.37,1515.07,1571.61,1519.92,1264.25,1457.54,1233.82,1339.27,1651.82,1031.33,1408.00,1135.21,1385.86,1557.73,1590.98,1287.60,1306.43,1477.58,1513.63,1390.95,1395.03,1234.31,1579.65,1414.35,1462.68,1319.47,1337.81
1910,1407.35,1290.99,1309.80,1289.91,1271.65,1441.34,1698.12,1530.45,1642.99,1519.68,1268.55,1457.54,1245.64,1357.36,1757.54,1031.33,1407.88,1129.16,1411.86,1624.75,1711.71,1298.92,1305.77,1525.49,1568.99,1402.63,1395.03,1241.81,1626.22,1442.62,1512.70,1333.48,1405.72
1911,1454.08,1313.48,1312.22,1293.26,1271.70,1540.36,1766.75,1678.40,1673.05,1520.46,1396.54,1457.71,1372.38,1383.16,1829.87,1031.33,1408.69,1189.67,1418.31,1675.40,1818.79,1365.04,1308.78,1662.02,1636.65,1413.87,1395.91,1244.73,1767.40,1500.74,1616.64,1380.95,1512.05
1912,1392.13,1297.80,1312.04,1292.36,1271.67,1433.58,1621.12,1500.83,1570.08,1520.43,1221.87,1457.61,1213.20,1349.82,1655.83,1031.33,1408.45,1180.14,1384.69,1567.29,1589.46,1329.51,1307.82,1487.06,1535.86,1394.45,1395.38,1234.67,1581.38,1443.69,1497.63,1347.52,1373.22
