Variable:,pr
,"Dominican Republic",Azua,Baoruco,Barahona,Dajabon,"Santo Domingo",Duarte,"El Seibo",Espaillat,Independencia,"La Altagracia","Elias Pina","La Romana","La Vega","Maria Trinidad Sanches","Monte Cristi",Pedernales,Peravia,"Puerto Plata",Salcedo,Samana,"San Cristobal","San Juan","San Pedro de Macoris","Sanchez Ramirez",Santiago,"Santiago Rodriguez",Valverde,"Hato Mayor","Monsenor Nouel","Monte Plata","San José de Ocoa","Distrito Nacional"
1913,1375.47,1282.35,1309.97,1289.37,1271.60,1390.75,1610.18,1454.75,1564.59,1519.68,1195.97,1457.39,1176.37,1336.20,1649.48,1031.33,1407.66,1130.29,1381.51,1553.52,1585.74,1285.17,1305.46,1442.71,1511.63,1387.66,1394.25,1232.61,1537.44,1413.30,1456.61,1318.27,1332.93
1914,1455.75,1322.11,1313.57,1294.75,1271.76,1558.67,1760.81,1670.66,1656.59,1520.89,1375.27,1457.90,1353.32,1389.62,1813.63,1031.33,1409.05,1218.48,1411.14,1673.16,1795.11,1393.48,1310.52,1653.26,1646.89,1414.60,1396.87,1243.32,1758.43,1520.92,1636.16,1401.71,1510.39
1915,1376.82,1279.17,1310.04,1289.47,1271.62,1382.43,1615.46,1462.84,1578.47,1519.71,1211.39,1457.46,1187.20,1335.85,1657.32,1031.33,1407.73,1121.54,1389.77,1560.65,1591.27,1278.57,1305.45,1444.42,1512.11,1390.19,1394.59,1235.15,1541.87,1410.35,1448.61,1313.12,1327.36
1916,1416.73,1296.65,1310.96,1290.76,1271.65,1463.67,1667.44,1599.44,1596.59,1519.97,1341.64,1457.52,1309.83,1357.54,1707.20,1031.33,1407.95,1171.17,1392.00,1599.95,1661.29,1334.66,1307.13,1556.01,1567.66,1398.39,1394.94,1236.65,1660.75,1460.29,1537.90,1354.71,1401.21
1917,1391.16,1292.27,1310.14,1289.92,1271.63,1426.44,1661.08,1468.89,1609.02,1519.73,1193.09,1457.47,1184.18,1355.25,1703.06,1031.33,1407.77,1147.72,1398.27,1601.56,1625.72,1311.26,1306.18,1464.98,1554.27,1399.58,1394.68,1238.30,1563.32,1444.38,1494.79,1339.59,1368.63
1918,1395.09,1293.56,1310.58,1290.64,1271.65,1436.10,1660.16,1490.88,1601.04,1519.92,1212.72,1457.52,1202.00,1354.53,1701.76,1031.33,1408.00,1149.42,1394.10,1597.50,1637.89,1314.40,1306.50,1485.76,1555.50,1398.41,1394.94,1237.11,1582.35,1446.99,1503.49,1342.04,1383.12
1919,1358.07,1272.98,1309.68,1288.78,1271.61,1343.22,1575.39,1413.38,1555.38,1519.55,1174.57,1457.40,1150.96,1325.36,1612.67,1031.33,1407.68,1100.17,1380.99,1530.97,1535.82,1251.84,1304.92,1397.26,1477.87,1384.78,1394.33,1232.25,1488.06,1384.42,1403.33,1294.26,1292.56
1920,1393.34,1289.21,1310.09,1290.01,1271.63,1426.69,1663.08,1490.49,1609.66,1519.76,1209.91,1457.47,1199.43,1351.20,1708.06,1031.33,1407.85,1141.24,1397.55,1599.85,1638.98,1304.26,1305.86,1483.16,1551.60,1397.27,1394.68,1237.64,1583.50,1438.39,1496.21,1333.55,1374.43
1921,1401.15,1295.45,1310.99,1290.97,1271.65,1444.83,1669.19,1509.59,1603.73,1520.03,1238.42,1457.54,1220.04,1356.62,1712.05,1031.33,1408.10,1158.90,1394.39,1602.29,1651.67,1325.41,1307.02,1497.20,1564.47,1398.33,1395.03,1237.10,1597.37,1456.06,1516.15,1350.09,1383.17
1922,1414.17,1300.21,1310.58,1290.89,1271.64,1471.74,1698.71,1548.15,1629.18,1519.95,1262.81,1457.51,1249.10,1364.48,1749.00,1031.33,1407.94,1163.73,1402.58,1626.57,1705.02,1329.75,1306.72,1546.44,1583.00,1402.97,1394.86,1239.49,1646.26,1462.95,1542.52,1353.84,1428.25
1923,1377.48,1289.24,1310.79,1290.66,1271.67,1400.06,1644.85,1415.07,1605.74,1519.92,1136.48,1457.59,1135.37,1350.74,1685.59,1031.33,1408.16,1131.80,1398.19,1592.58,1599.15,1296.97,1306.68,1424.05,1539.75,1398.91,1395.29,1238.28,1517.83,1433.96,1461.41,1330.08,1350.96
1924,1393.64,1288.58,1310.67,1290.33,1271.66,1418.73,1644.85,1511.07,1594.83,1519.87,1250.17,1457.56,1229.05,1349.63,1687.08,1031.33,1408.01,1135.10,1393.82,1584.89,1631.20,1297.09,1306.61,1491.30,1538.97,1397.46,1395.12,1237.07,1589.96,1431.22,1486.80,1329.55,1367.56
1925,1394.86,1299.10,1312.20,1292.62,1271.67,1439.94,1648.96,1491.21,1587.65,1520.48,1197.68,1457.61,1190.87,1353.88,1687.27,1031.33,1408.47,1179.24,1388.75,1588.28,1610.76,1336.77,1307.96,1478.77,1555.45,1395.79,1395.38,1235.52,1580.21,1456.42,1507.64,1354.27,1374.67
1926,1402.13,1296.13,1310.77,1290.29,1271.62,1457.49,1655.65,1522.95,1578.06,1519.87,1243.03,1457.44,1227.92,1354.16,1691.51,1031.33,1407.82,1174.99,1383.58,1588.23,1634.26,1342.08,1306.95,1506.49,1564.56,1394.13,1394.51,1233.98,1606.09,1465.59,1529.09,1360.38,1385.84
1927,1392.80,1286.28,1310.48,1290.31,1271.62,1414.22,1615.55,1540.94,1563.47,1519.92,1290.12,1457.44,1256.35,1338.79,1657.01,1031.33,1407.90,1146.79,1381.95,1554.59,1609.89,1301.37,1305.92,1500.03,1520.92,1388.92,1394.51,1233.05,1601.82,1424.34,1483.77,1328.55,1354.09
1928,1531.40,1348.12,1314.63,1297.09,1271.75,1702.66,1862.09,1947.51,1703.37,1521.37,1644.69,1457.87,1608.76,1418.30,1937.27,1031.33,1409.31,1288.77,1422.42,1736.63,1989.52,1466.79,1312.04,1897.56,1732.44,1425.93,1396.69,1247.07,2017.38,1584.29,1793.55,1453.94,1675.23
1929,1363.92,1277.94,1309.06,1288.49,1271.59,1373.77,1600.96,1402.65,1564.37,1519.44,1146.23,1457.33,1134.00,1333.63,1637.36,1031.33,1407.48,1116.37,1381.99,1550.17,1559.38,1271.79,1304.42,1405.10,1502.18,1387.61,1393.98,1232.73,1495.07,1403.71,1437.43,1308.97,1315.54
1930,1361.47,1283.36,1309.93,1289.33,1271.63,1370.07,1612.35,1367.66,1583.89,1519.65,1096.77,1457.47,1095.84,1340.75,1650.45,1031.33,1407.62,1124.61,1390.50,1565.34,1552.57,1282.49,1305.65,1379.18,1512.82,1392.56,1394.68,1235.54,1470.15,1415.10,1430.86,1318.22,1312.01
1931,1481.45,1314.04,1312.24,1292.64,1271.69,1573.68,1738.34,1861.19,1627.05,1520.40,1618.76,1457.68,1547.52,1381.76,1790.46,1031.33,1408.35,1205.89,1401.07,1646.02,1828.27,1379.06,1309.11,1768.86,1629.61,1410.29,1395.73,1240.49,1883.91,1505.60,1659.85,1390.81,1524.68
1932,1530.25,1349.63,1314.98,1296.33,1271.74,1705.35,1851.12,1939.05,1678.46,1521.23,1640.52,1457.83,1592.95,1419.05,1915.51,1031.33,1408.98,1309.36,1413.17,1727.11,1964.73,1494.97,1312.97,1875.81,1740.02,1423.06,1396.52,1244.71,1998.26,1606.50,1799.38,1474.48,1647.73
1933,1436.72,1302.13,1310.78,1290.54,1271.62,1505.47,1688.39,1677.94,1601.00,1519.89,1424.87,1457.46,1380.32,1362.56,1739.98,1031.33,1407.76,1180.31,1391.72,1607.03,1734.68,1345.43,1307.19,1630.70,1583.50,1399.50,1394.59,1236.56,1735.06,1470.46,1583.35,1364.27,1452.95
1934,1495.05,1339.09,1313.48,1295.12,1271.76,1639.64,1868.97,1754.14,1733.78,1520.83,1424.28,1457.89,1411.89,1420.15,1934.39,1031.33,1408.88,1249.33,1434.00,1762.05,1923.09,1442.44,1311.20,1746.71,1732.13,1429.99,1396.78,1250.26,1863.10,1579.66,1724.82,1441.41,1600.43
1935,1451.90,1318.34,1311.99,1292.82,1271.70,1550.76,1777.72,1643.86,1670.77,1520.38,1343.30,1457.70,1325.94,1391.64,1826.70,1031.33,1408.37,1207.66,1412.76,1690.92,1786.14,1390.14,1308.93,1627.51,1657.65,1414.64,1395.82,1243.25,1736.34,1525.31,1630.90,1400.95,1494.96
1936,1437.39,1304.45,1311.42,1291.20,1271.64,1508.57,1672.24,1693.80,1575.89,1520.14,1441.30,1457.51,1395.19,1360.48,1716.29,1031.33,1407.84,1197.77,1381.91,1590.62,1714.68,1356.03,1307.83,1640.00,1577.05,1395.66,1394.86,1233.82,1745.21,1471.72,1588.29,1370.03,1445.26
1937,1383.00,1292.16,1310.83,1290.54,1271.64,1422.80,1642.95,1435.99,1582.06,1519.95,1154.96,1457.49,1154.76,1348.70,1680.98,1031.33,1407.91,1160.42,1386.86,1580.87,1600.48,1320.39,1306.71,1444.15,1545.38,1393.19,1394.77,1234.67,1538.49,1445.06,1489.74,1343.60,1357.97
1938,1418.49,1291.97,1310.06,1289.80,1271.62,1468.18,1672.71,1619.47,1595.92,1519.73,1354.47,1457.44,1322.96,1352.44,1723.73,1031.33,1407.65,1151.09,1390.36,1594.14,1700.96,1315.78,1306.00,1582.20,1561.49,1395.58,1394.51,1235.61,1686.55,1446.97,1543.60,1342.70,1421.32
1939,1446.55,1318.36,1312.41,1293.00,1271.69,1545.28,1754.92,1631.66,1654.39,1520.43,1326.09,1457.66,1316.97,1385.37,1812.24,1031.33,1408.33,1214.36,1410.84,1666.78,1778.81,1389.07,1309.31,1623.25,1640.18,1412.57,1395.64,1242.89,1731.42,1515.91,1622.44,1397.14,1494.52
1940,1467.58,1327.83,1313.18,1293.63,1271.72,1585.96,1786.60,1692.98,1660.49,1520.59,1410.61,1457.77,1381.26,1401.70,1835.35,1031.33,1408.54,1227.58,1409.71,1691.84,1824.70,1415.51,1310.82,1671.43,1674.66,1419.11,1396.17,1243.51,1775.49,1547.77,1667.07,1422.53,1527.35
1941,1464.34,1320.51,1312.89,1294.01,1271.74,1562.62,1780.83,1709.93,1680.92,1520.62,1418.20,1457.83,1395.34,1389.20,1850.42,1031.33,1408.87,1203.98,1421.83,1684.00,1843.84,1379.40,1309.84,1689.27,1649.81,1416.92,1396.52,1246.10,1799.41,1512.60,1640.95,1392.11,1535.04
1942,1475.44,1323.49,1312.83,1293.52,1271.69,1582.72,1768.73,1776.13,1652.86,1520.56,1495.31,1457.66,1454.26,1389.85,1828.21,1031.33,1408.47,1230.51,1408.76,1671.28,1834.34,1406.05,1309.88,1723.14,1655.02,1413.11,1395.64,1242.40,1837.60,1529.23,1665.36,1409.76,1534.98
1943,1445.92,1307.34,1311.76,1291.83,1271.68,1523.06,1712.64,1696.75,1624.93,1520.19,1425.61,1457.65,1386.97,1372.42,1765.63,1031.33,1408.18,1186.94,1401.11,1631.78,1762.40,1357.64,1308.44,1651.92,1604.50,1406.70,1395.56,1239.89,1758.98,1486.26,1599.89,1374.41,1476.78
1944,1396.75,1280.90,1309.77,1288.87,1271.60,1418.70,1605.31,1583.66,1554.45,1519.57,1333.63,1457.37,1295.25,1333.57,1649.07,1031.33,1407.53,1139.38,1379.66,1543.04,1612.91,1291.48,1305.37,1531.93,1511.07,1386.15,1394.16,1232.18,1636.52,1413.82,1492.15,1320.68,1357.48
1945,1441.15,1315.19,1312.32,1292.85,1271.69,1538.20,1737.17,1620.99,1632.10,1520.43,1329.95,1457.66,1314.92,1381.55,1784.82,1031.33,1408.39,1205.86,1401.26,1651.69,1758.80,1382.99,1309.11,1611.17,1629.97,1409.30,1395.64,1240.18,1713.43,1511.24,1614.36,1394.07,1482.33
1946,1410.44,1302.81,1311.98,1292.12,1271.68,1470.26,1666.52,1549.45,1594.14,1520.35,1268.50,1457.63,1253.92,1360.86,1707.28,1031.33,1408.27,1183.94,1389.72,1599.25,1655.52,1343.46,1308.21,1534.25,1569.56,1398.75,1395.47,1236.09,1632.83,1464.81,1541.24,1361.58,1409.42
1947,1352.13,1279.61,1309.62,1288.57,1271.62,1351.26,1584.70,1346.70,1558.81,1519.49,1090.95,1457.46,1083.42,1336.18,1612.95,1031.33,1407.53,1117.30,1382.66,1544.88,1513.05,1273.31,1305.45,1352.90,1494.84,1389.64,1394.59,1233.56,1440.81,1405.03,1411.85,1312.22,1281.72
1948,1442.06,1308.43,1317.47,1294.47,1262.64,1522.83,1737.20,1674.62,1633.96,1526.89,1402.47,1466.66,1373.13,1372.70,1789.92,983.99,1409.30,1180.82,1377.50,1647.28,1772.29,1355.83,1311.77,1639.56,1617.10,1398.37,1381.96,1205.94,1747.07,1490.02,1601.57,1374.79,1479.19
1949,1410.79,1297.51,1284.31,1283.83,1189.85,1505.33,1705.65,1632.97,1610.74,1471.98,1353.89,1379.55,1329.02,1355.67,1758.39,945.16,1384.19,1190.30,1353.61,1621.85,1730.54,1357.96,1268.39,1604.88,1597.20,1366.12,1323.75,1170.05,1711.96,1480.59,1582.38,1368.93,1451.21
1950,1385.98,1285.42,1292.88,1283.43,1186.14,1439.75,1659.34,1564.84,1594.40,1492.12,1297.81,1392.16,1270.89,1340.90,1707.57,941.27,1394.30,1145.28,1348.27,1591.46,1667.93,1306.61,1275.00,1536.36,1549.77,1358.64,1318.95,1167.11,1640.56,1436.73,1511.07,1333.10,1391.86
1951,1619.60,1512.14,1538.07,1480.49,1503.76,1676.67,1936.73,1715.85,1818.18,1793.56,1370.91,1744.82,1368.10,1561.69,1980.07,1188.32,1620.35,1353.06,1565.65,1843.41,1932.25,1543.81,1542.71,1733.36,1814.00,1598.12,1624.76,1409.91,1851.22,1691.37,1756.01,1574.48,1615.10
1952,1385.35,1300.52,1341.94,1297.94,1201.21,1443.07,1627.92,1523.32,1478.24,1526.74,1279.10,1457.99,1238.81,1350.25,1642.62,907.72,1379.93,1172.77,1238.85,1543.70,1620.63,1354.68,1344.15,1475.90,1556.72,1363.94,1387.74,1122.68,1583.73,1480.06,1516.32,1382.08,1346.15
1953,1545.34,1452.75,1424.93,1410.45,1361.50,1624.23,1870.62,1671.05,1761.13,1634.61,1362.56,1565.35,1352.29,1514.75,1901.53,1088.47,1524.80,1302.04,1502.86,1786.64,1846.01,1497.23,1428.12,1665.88,1759.66,1538.25,1536.25,1330.90,1776.19,1645.26,1703.04,1529.35,1550.30
1954,1573.75,1480.11,1507.68,1479.13,1489.08,1592.41,1817.49,1660.02,1741.28,1727.22,1357.18,1672.29,1336.11,1545.51,1834.04,1202.81,1595.96,1325.92,1538.98,1755.37,1752.46,1491.38,1512.22,1635.25,1723.08,1600.95,1630.28,1405.37,1741.76,1625.85,1667.50,1527.53,1507.56
1955,1761.80,1676.37,1716.46,1672.60,1667.59,1807.89,2096.26,1766.34,1986.91,1975.92,1302.69,1912.38,1356.39,1733.09,2115.26,1312.70,1813.35,1497.45,1726.70,2014.75,2020.20,1705.60,1713.26,1827.24,1982.47,1779.97,1801.64,1560.10,1954.11,1865.43,1895.52,1738.54,1703.38
1956,1434.75,1333.91,1318.62,1299.61,1305.37,1467.70,1715.97,1544.31,1671.21,1514.34,1281.34,1471.12,1251.78,1407.83,1748.24,1085.15,1409.20,1170.71,1468.04,1664.53,1674.34,1339.50,1331.23,1519.32,1603.20,1459.63,1463.68,1300.19,1619.48,1485.44,1536.28,1380.39,1414.95
1957,1153.33,1021.83,1027.99,1029.09,1040.37,1195.05,1416.58,1319.42,1368.18,1186.77,1099.64,1150.39,1072.50,1083.21,1469.49,887.21,1104.37,923.71,1215.60,1356.06,1435.97,1060.18,1022.35,1281.25,1298.23,1126.40,1125.90,1055.48,1382.83,1173.52,1265.27,1075.91,1153.48
1958,1712.96,1674.58,1640.02,1623.42,1505.98,1810.87,2043.97,1810.84,1828.97,1835.61,1463.23,1759.34,1446.56,1704.00,2035.22,1143.96,1701.59,1513.58,1533.60,1937.01,1984.11,1713.29,1645.24,1808.37,1953.03,1693.30,1740.93,1401.88,1924.30,1859.34,1900.07,1759.01,1686.10
1959,1138.62,1030.51,1027.04,1020.01,975.39,1201.80,1361.44,1348.03,1299.35,1190.45,1180.70,1107.14,1132.31,1061.95,1415.99,827.14,1118.00,954.01,1102.34,1296.06,1405.63,1082.47,1013.32,1296.07,1270.71,1076.14,1057.28,965.87,1380.48,1173.90,1255.69,1082.16,1183.75
1960,1608.03,1463.09,1486.42,1463.96,1489.21,1633.92,1910.27,1741.93,1882.43,1750.54,1452.15,1690.49,1416.40,1567.63,1977.76,1210.08,1618.65,1275.71,1639.85,1843.46,1903.47,1467.95,1483.70,1710.72,1772.80,1632.84,1614.46,1450.05,1830.75,1635.12,1719.66,1514.65,1572.38
1961,1455.15,1312.31,1337.15,1327.47,1311.27,1521.58,1758.39,1634.45,1702.32,1541.77,1358.16,1473.14,1313.84,1376.85,1823.75,1078.71,1435.80,1194.66,1451.39,1683.05,1768.38,1361.99,1324.16,1592.10,1630.42,1416.41,1403.48,1266.10,1714.82,1492.65,1614.05,1374.05,1440.03
1962,1241.07,1148.49,1147.85,1128.88,1095.80,1274.75,1472.50,1345.74,1445.51,1343.28,1086.35,1275.11,1072.82,1217.53,1519.54,915.63,1247.55,1007.85,1262.79,1422.94,1476.74,1162.65,1147.76,1337.51,1380.80,1256.62,1237.71,1115.66,1432.43,1288.71,1335.28,1197.16,1228.65
1963,1409.78,1254.93,1281.95,1279.42,1289.53,1479.00,1622.79,1630.81,1603.93,1503.65,1387.86,1432.24,1340.54,1327.08,1718.15,1061.71,1415.00,1162.19,1407.37,1549.99,1683.67,1310.38,1265.66,1580.65,1523.12,1381.53,1355.80,1238.99,1692.98,1417.23,1563.73,1316.69,1411.01
1964,1199.63,1107.76,1157.20,1121.03,1077.85,1255.63,1386.34,1340.34,1294.79,1347.48,1058.04,1285.28,1059.29,1142.37,1429.85,822.54,1225.47,1037.34,1100.14,1314.45,1419.20,1160.45,1149.25,1336.98,1315.79,1164.10,1186.21,995.52,1429.92,1242.87,1314.73,1166.83,1206.41
1965,1512.89,1400.57,1391.84,1370.85,1328.60,1555.97,1822.15,1651.40,1739.67,1596.36,1409.78,1538.48,1361.79,1493.78,1858.17,1080.99,1467.08,1235.60,1490.01,1749.81,1795.06,1428.43,1402.63,1609.17,1704.60,1529.38,1530.44,1325.64,1723.31,1586.21,1641.82,1476.37,1466.44
1966,1443.59,1312.92,1375.80,1340.03,1384.53,1430.55,1633.20,1532.09,1686.25,1607.64,1293.84,1557.50,1264.54,1384.44,1715.23,1148.55,1477.66,1153.08,1542.48,1588.72,1647.07,1300.30,1377.27,1505.76,1524.40,1478.51,1484.81,1356.77,1592.50,1427.45,1489.64,1340.82,1409.12
1967,910.87,830.90,857.54,843.51,842.98,934.56,1075.84,1023.99,1023.00,989.67,883.40,957.75,845.83,865.87,1111.55,651.14,907.52,751.42,862.82,1024.93,1082.92,852.93,850.43,982.54,1004.13,884.93,897.14,770.96,1058.98,932.08,988.64,869.20,883.99
1968,1264.34,1104.75,1065.33,1081.20,1073.57,1277.90,1595.02,1387.55,1679.45,1224.53,1190.42,1167.75,1150.38,1223.83,1679.28,1060.26,1179.64,948.60,1539.71,1570.12,1549.91,1113.34,1078.85,1344.73,1436.38,1323.18,1262.39,1295.87,1450.17,1270.92,1351.77,1140.24,1250.09
1969,1573.49,1482.08,1534.74,1490.05,1491.00,1598.86,1798.12,1683.62,1702.12,1776.79,1361.36,1724.89,1354.70,1534.31,1838.50,1146.54,1602.70,1299.88,1467.19,1721.73,1789.67,1476.46,1535.05,1674.65,1705.89,1577.52,1631.61,1353.13,1780.52,1618.87,1667.69,1530.60,1542.02
1970,1709.22,1589.63,1614.91,1607.51,1504.20,1795.92,2085.42,1842.24,1947.28,1850.52,1435.99,1747.66,1449.05,1665.96,2102.31,1189.16,1723.46,1426.89,1616.51,2005.86,2014.93,1666.19,1597.41,1857.17,1972.39,1678.72,1681.60,1442.76,1986.68,1840.86,1888.99,1694.65,1686.81
1971,1366.15,1264.07,1327.10,1283.11,1287.50,1375.26,1623.87,1417.94,1564.77,1541.09,1145.22,1493.25,1128.90,1332.35,1650.58,997.57,1399.66,1131.73,1324.69,1571.62,1576.61,1294.30,1323.61,1408.58,1525.76,1370.72,1380.61,1184.81,1516.47,1423.34,1447.94,1320.17,1288.78
1972,1400.21,1330.97,1349.76,1321.52,1398.46,1383.71,1643.24,1382.67,1629.44,1563.57,1127.19,1552.12,1120.52,1398.61,1656.25,1080.18,1442.86,1134.65,1433.47,1611.05,1555.80,1310.48,1350.79,1394.88,1551.10,1445.59,1440.59,1270.15,1480.81,1462.75,1441.67,1368.41,1318.31
1973,1133.83,1017.04,1039.62,1032.27,1012.70,1163.30,1358.81,1270.89,1367.47,1193.77,1033.74,1141.94,1016.17,1082.22,1438.15,852.95,1114.60,912.23,1194.57,1307.54,1390.51,1036.63,1033.31,1242.61,1249.17,1128.82,1108.27,1030.60,1343.10,1141.89,1235.10,1057.85,1111.63
1974,1385.40,1283.15,1312.92,1277.79,1264.99,1349.79,1606.76,1454.60,1630.14,1523.12,1223.60,1459.29,1194.26,1363.62,1654.88,1073.41,1402.11,1119.72,1483.67,1575.85,1558.59,1279.56,1320.22,1415.72,1507.96,1439.81,1426.90,1308.72,1513.50,1416.26,1405.40,1319.52,1305.67
1975,1209.50,1089.06,1043.17,1073.35,1014.53,1259.80,1487.09,1379.28,1514.51,1201.42,1191.44,1125.30,1157.44,1144.84,1566.78,924.12,1171.81,966.59,1354.04,1432.56,1508.96,1095.11,1033.56,1348.99,1349.53,1203.65,1154.98,1144.59,1445.41,1211.96,1327.61,1109.29,1248.17
1976,1048.51,967.52,979.45,967.23,924.96,1104.90,1255.81,1194.33,1166.29,1123.30,985.49,1073.76,965.44,993.53,1280.39,720.81,1038.59,900.12,987.88,1201.20,1254.32,1015.12,968.68,1170.81,1182.84,1003.81,1007.56,877.14,1249.21,1097.84,1155.85,1015.68,1066.09
1977,1335.35,1236.15,1184.43,1174.02,1153.29,1414.72,1633.14,1483.97,1533.01,1385.46,1239.28,1314.24,1231.13,1297.61,1663.23,991.42,1311.72,1095.22,1352.66,1557.08,1624.40,1261.89,1191.00,1481.05,1520.02,1332.20,1296.29,1185.82,1557.37,1397.42,1469.99,1281.64,1406.72
1978,1415.27,1292.55,1323.32,1286.26,1247.85,1483.85,1601.62,1662.68,1521.77,1543.90,1392.14,1465.46,1364.85,1326.48,1669.45,1019.91,1415.54,1165.78,1375.45,1516.77,1678.81,1309.73,1319.45,1620.05,1511.01,1381.39,1385.38,1228.01,1702.69,1417.76,1534.88,1326.44,1498.49
1979,2119.09,2019.60,2121.87,2065.88,1938.69,2249.42,2432.10,2313.33,2153.63,2459.77,1798.11,2331.01,1821.60,1998.19,2439.99,1368.09,2218.87,1951.52,1780.67,2299.54,2404.94,2165.03,2077.18,2325.79,2363.77,1983.25,2066.54,1644.05,2465.07,2274.57,2343.99,2141.78,2116.93
1980,1390.81,1309.46,1363.81,1304.43,1380.48,1357.19,1568.51,1361.21,1619.13,1586.65,1131.57,1565.54,1122.98,1391.12,1603.08,1115.54,1437.20,1095.93,1450.24,1553.96,1505.43,1262.07,1381.73,1377.87,1486.49,1469.68,1487.18,1303.28,1444.46,1413.10,1400.23,1333.71,1328.43
