Variable:,pr
,"Republic of North Macedonia",Berovo,Bitola,Brod,Debar,Delcevo,"Demir Hisar",Gevgelija,Gostivar,Kavadarci,Kicevo,Kocani,Kratovo,"Kriva Palanka",Krusevo,Kumanovo,Negotino,Ohrid,Prilep,Probistip,Radovic,Resen,Skopje,Stip,Struga,Strumica,"Sveti Nikole",Tetovo,Valandovo,Veles,Vinica
1901,769.30,724.00,796.59,822.39,1009.49,729.22,835.80,637.14,987.97,689.56,942.90,688.41,755.84,759.56,813.90,717.19,655.14,993.41,749.95,681.83,666.89,932.86,758.56,628.90,988.65,627.66,639.13,887.14,627.31,666.18,710.60
1902,655.10,601.32,634.50,726.71,895.89,607.21,695.50,532.58,895.75,562.66,834.01,579.56,651.19,652.81,673.30,633.10,541.57,846.72,613.59,577.09,555.13,749.22,676.59,526.01,850.54,533.41,549.10,809.07,527.23,578.45,590.43
1903,598.91,536.87,599.91,667.97,797.38,536.75,633.80,512.34,806.56,537.83,750.90,516.12,567.70,568.28,616.70,560.45,513.84,754.03,575.02,517.17,506.42,695.53,616.67,482.91,753.18,499.02,505.18,732.67,506.53,534.31,529.08
1904,617.39,559.92,638.00,678.30,814.73,555.52,666.99,534.27,808.40,564.35,765.25,528.07,567.43,568.40,649.90,556.90,535.95,789.86,604.67,528.19,527.13,742.61,618.31,501.28,786.32,518.89,519.69,726.72,527.77,547.94,551.60
1905,644.09,631.34,616.42,703.58,821.08,639.20,655.47,545.02,837.58,569.82,778.47,602.92,670.45,673.88,639.00,634.75,557.07,767.32,602.77,595.77,576.72,699.00,662.77,542.62,770.51,548.43,553.38,775.11,538.97,574.62,618.63
1906,710.37,646.72,747.49,766.56,936.04,647.57,776.52,602.37,915.80,647.24,875.54,615.77,674.54,676.81,756.20,650.35,610.14,924.27,699.72,613.79,603.73,876.45,701.00,571.19,918.35,583.54,588.11,820.53,593.34,618.07,636.01
1907,556.13,487.87,574.46,622.80,769.01,476.74,606.86,489.63,761.68,506.60,714.51,447.20,467.57,466.62,588.50,477.21,478.47,738.37,542.92,448.06,460.58,682.33,560.55,436.23,735.07,474.82,460.15,677.72,485.58,491.85,480.27
1908,527.37,481.01,529.99,589.86,696.99,476.24,553.96,478.24,703.77,482.45,656.30,444.82,468.81,468.49,539.40,472.48,462.62,657.09,506.23,440.89,449.29,612.27,540.57,422.83,655.68,470.61,444.64,647.21,475.92,472.35,472.21
1909,740.97,698.01,750.14,798.51,971.03,705.13,791.61,611.67,965.01,657.83,909.99,671.16,746.72,750.72,771.00,704.73,629.00,936.57,713.50,666.80,644.22,871.21,741.17,609.67,935.48,606.87,621.85,868.58,603.23,647.98,685.54
1910,654.96,590.92,666.19,715.98,873.14,592.10,696.73,564.56,874.38,587.90,815.65,563.76,626.45,626.80,678.20,621.14,558.89,829.06,629.30,562.61,550.53,776.86,668.97,519.38,826.18,553.70,541.42,805.77,559.37,571.67,580.25
1911,633.66,627.06,654.41,682.77,793.59,617.31,663.86,575.24,794.83,597.15,753.07,558.64,579.71,580.95,649.90,567.89,571.44,764.60,622.91,549.14,569.99,738.48,625.30,527.65,761.33,567.27,535.10,728.75,568.78,558.74,612.81
1912,686.79,677.61,672.95,736.83,857.45,690.34,702.01,587.12,867.82,614.13,813.86,649.67,719.20,723.15,686.10,678.67,597.31,812.66,649.51,637.85,617.67,760.21,699.45,579.65,813.01,591.65,586.64,814.10,581.07,606.58,663.51
1913,638.60,571.32,631.91,714.96,846.98,582.02,667.00,528.92,866.55,563.87,801.44,566.72,649.96,652.46,648.60,622.47,536.55,793.76,607.43,567.05,535.22,730.28,662.87,509.42,795.36,516.78,535.38,786.80,521.97,566.85,562.56
1914,701.26,679.98,707.70,751.43,893.11,688.75,731.29,600.41,891.03,630.42,841.52,644.94,708.55,712.44,713.20,668.96,607.84,861.37,669.79,634.10,620.57,816.30,702.44,580.74,857.61,598.98,589.51,820.98,593.53,612.61,665.82
1915,889.75,811.76,911.66,956.50,1204.17,825.85,973.93,693.48,1175.55,774.74,1116.10,798.70,910.37,914.54,944.80,864.73,731.64,1177.42,860.75,797.27,752.99,1078.96,889.53,717.34,1177.28,679.69,732.72,1047.57,679.78,765.02,798.55
1916,651.73,596.01,659.34,709.11,875.42,601.69,698.91,547.04,864.18,579.42,814.33,571.86,634.78,636.85,678.30,612.81,551.56,844.68,625.58,567.62,552.17,777.34,657.87,520.80,842.79,537.71,538.38,784.54,540.38,566.28,585.26
1917,579.31,556.20,560.80,637.53,737.10,562.46,585.65,510.72,757.54,522.32,700.05,531.32,580.49,583.42,571.70,551.15,508.90,682.79,545.04,523.86,513.28,633.73,596.96,483.65,683.06,509.97,499.39,702.84,506.87,522.23,545.37
1918,652.00,629.72,675.90,700.16,816.18,626.59,694.95,582.90,809.66,604.15,774.76,581.86,616.90,620.11,680.60,585.04,577.92,801.40,640.44,574.74,579.99,773.59,640.08,543.98,795.12,580.65,552.41,738.15,578.50,575.72,617.41
1919,772.96,738.95,807.37,812.40,997.58,740.14,839.51,672.46,966.70,697.86,931.24,688.53,752.60,756.18,818.30,715.41,665.12,995.93,752.20,680.39,674.13,950.84,751.09,628.59,987.56,676.57,633.66,875.82,668.30,658.32,723.08
