Variable:,pr
,"Republic of North Macedonia",Berovo,Bitola,Brod,Debar,Delcevo,"Demir Hisar",Gevgelija,Gostivar,Kavadarci,Kicevo,Kocani,Kratovo,"Kriva Palanka",Krusevo,Kumanovo,Negotino,Ohrid,Prilep,Probistip,Radovic,Resen,Skopje,Stip,Struga,Strumica,"Sveti Nikole",Tetovo,Valandovo,Veles,Vinica
1920,637.62,656.58,652.90,665.15,746.72,654.94,644.68,610.40,748.65,611.26,716.25,596.27,628.04,632.70,633.80,582.13,595.11,728.86,620.02,582.97,595.00,728.25,618.55,548.79,720.69,610.95,545.13,703.43,606.90,560.36,641.04
1921,558.73,539.83,551.48,610.22,676.50,542.92,553.94,520.30,701.76,523.15,651.80,510.84,556.80,558.90,543.50,535.41,508.60,630.22,532.23,504.76,499.78,611.39,575.23,468.21,626.88,513.11,482.84,671.17,516.74,504.64,529.18
1922,602.09,539.61,581.45,669.76,809.97,551.95,627.75,492.48,821.69,520.92,758.73,540.37,611.70,612.92,609.20,597.57,503.81,755.41,561.77,538.44,508.41,678.66,633.09,488.16,757.22,484.72,510.13,759.62,486.42,536.53,531.94
1923,687.11,632.48,702.76,743.09,938.98,631.97,748.39,580.37,913.86,609.00,866.72,590.78,643.99,646.06,724.60,622.59,578.38,918.02,661.18,585.49,581.09,841.81,681.86,544.62,914.48,576.61,562.17,815.15,575.10,592.02,619.71
1924,645.75,626.80,625.37,705.49,825.18,638.11,659.30,547.54,839.70,569.74,781.37,602.32,675.35,679.40,642.70,633.64,554.20,774.59,604.39,593.85,571.33,715.50,662.13,535.73,775.20,552.00,549.39,776.95,542.37,572.48,613.81
1925,658.63,646.55,623.50,717.35,838.88,657.75,658.80,562.22,867.86,580.59,795.73,619.59,699.19,702.59,642.50,663.54,567.42,767.69,610.52,611.06,586.81,699.15,685.25,548.82,772.57,569.42,562.72,810.43,557.47,585.11,632.32
1926,609.19,530.65,585.15,695.80,834.17,539.91,636.11,487.38,861.63,526.01,785.62,534.73,614.43,615.32,617.20,602.79,502.91,762.86,572.57,538.56,504.22,675.93,648.22,486.96,768.15,474.14,516.30,782.19,480.03,548.43,524.24
1927,662.80,620.69,640.18,729.66,882.81,632.38,695.28,539.94,887.54,568.92,827.21,605.19,680.63,683.46,675.00,650.72,552.28,834.79,617.33,599.32,571.76,749.45,684.23,542.32,836.84,544.10,560.90,810.12,534.58,586.79,609.21
1928,630.99,576.69,648.84,686.16,839.92,578.59,686.94,536.95,824.35,564.79,783.83,549.75,591.70,594.18,668.30,566.86,537.76,822.37,612.63,545.22,538.96,767.18,627.52,512.29,817.03,531.86,528.44,738.87,532.29,555.10,567.24
1929,703.54,693.41,676.14,761.65,885.11,703.61,719.56,594.88,902.44,618.67,842.39,665.09,750.14,754.45,702.70,704.72,602.99,832.38,659.95,658.27,630.75,760.58,721.77,592.64,837.24,608.18,602.15,839.22,590.70,623.39,678.94
1930,669.19,645.98,704.14,711.37,840.16,637.79,703.47,624.38,825.78,636.65,791.47,583.68,612.18,614.51,686.90,589.14,608.33,829.45,658.52,575.91,593.19,815.50,649.47,549.72,819.24,611.36,556.55,756.84,618.97,581.32,632.20
1931,687.15,664.45,690.44,727.41,874.01,668.59,720.02,610.43,866.17,624.80,820.60,628.07,679.87,683.81,702.40,640.13,607.73,846.55,656.15,619.68,612.63,797.36,681.25,576.01,843.03,609.18,583.45,792.13,605.73,604.08,651.60
1932,488.63,422.98,466.67,555.08,685.93,433.41,506.60,379.36,709.64,406.38,639.88,425.58,496.52,495.79,489.70,501.34,389.70,622.58,446.58,426.14,396.04,555.20,528.90,379.34,624.58,374.85,405.83,654.01,374.49,432.19,416.65
1933,644.96,601.54,652.19,700.52,855.37,606.74,684.50,553.53,851.30,577.70,798.57,570.34,622.48,624.71,665.60,599.81,552.61,817.41,618.05,562.37,554.10,759.24,648.66,520.23,816.49,548.35,535.67,772.88,548.18,562.34,589.65
1934,609.69,532.97,605.96,682.98,825.10,542.55,646.76,493.61,831.56,530.53,773.60,534.29,607.82,608.96,627.60,594.13,505.90,781.12,577.90,535.96,505.56,712.97,635.08,486.87,780.54,480.69,513.88,756.32,486.67,544.11,526.25
1935,598.31,538.41,605.70,655.23,824.50,545.21,657.61,492.19,805.37,515.05,762.37,520.52,569.92,572.00,637.10,548.86,493.53,803.91,567.88,514.77,500.87,732.48,601.04,476.17,800.78,493.20,492.49,721.49,488.77,518.41,529.05
1936,762.08,738.20,802.61,798.38,945.30,734.47,805.44,709.05,930.50,735.05,892.84,679.44,723.90,728.90,788.20,673.98,699.14,934.62,759.88,670.90,679.78,911.69,730.70,631.35,925.83,686.38,636.67,839.66,700.25,662.20,722.81
1937,871.05,818.31,873.16,950.88,1121.17,821.21,926.72,748.04,1110.43,788.47,1057.51,783.96,852.16,856.61,903.90,806.61,757.53,1086.63,843.98,780.41,765.06,1000.74,874.05,728.97,1086.09,740.99,750.51,1003.23,740.29,784.17,805.57
1938,616.85,572.71,621.31,668.03,799.21,579.80,645.80,532.21,802.62,552.58,752.70,553.74,610.92,613.47,629.00,584.50,531.42,766.33,588.18,548.79,533.12,722.35,624.46,505.01,763.05,528.40,520.11,734.72,527.86,544.01,562.84
1939,752.32,683.60,791.73,807.89,976.47,689.53,819.95,651.01,953.03,696.34,914.49,658.63,717.92,720.97,800.30,686.77,656.51,964.16,745.57,653.38,641.67,919.55,742.49,607.83,957.20,625.23,628.25,864.21,640.96,660.04,672.68
1940,820.58,789.08,838.12,881.57,1027.46,792.65,866.90,733.48,1019.11,761.96,974.33,747.01,808.81,814.58,847.90,750.49,732.83,1004.82,801.81,738.97,730.61,955.58,806.51,687.30,999.54,722.25,692.01,925.64,725.80,718.91,774.18
1941,632.56,614.21,582.57,701.11,825.92,628.90,634.03,522.97,851.54,535.81,780.00,598.96,674.67,678.00,615.90,639.93,532.94,756.25,570.32,590.32,561.28,672.76,665.97,530.70,760.64,537.23,543.92,790.93,519.64,565.18,602.26
1942,622.32,575.79,625.48,677.05,821.26,583.35,657.68,527.46,820.44,553.02,768.70,556.29,614.74,617.27,639.80,588.41,530.66,784.46,593.66,551.05,534.75,730.61,629.84,506.18,782.53,523.07,520.52,747.74,522.27,545.17,565.87
1943,579.04,522.74,579.26,632.14,783.59,527.39,618.92,488.74,782.11,510.73,729.50,505.31,560.61,561.64,600.70,549.06,490.01,746.92,549.85,502.81,488.15,682.63,590.30,463.09,746.11,480.66,480.01,710.35,483.70,504.87,513.85
1944,752.50,736.10,735.58,818.87,962.04,741.29,782.98,650.71,965.51,672.77,909.52,692.79,754.92,759.32,763.40,710.44,655.95,919.44,712.28,682.78,672.56,844.73,758.65,630.74,919.67,654.28,641.73,882.13,644.81,667.30,721.05
1945,545.25,469.65,558.10,602.37,752.98,474.33,593.60,442.39,747.98,472.67,699.25,464.65,521.09,521.48,575.40,515.37,448.35,724.31,520.52,466.51,446.19,670.88,558.77,429.52,720.57,432.55,449.64,674.97,437.35,475.86,463.64
1946,569.51,527.71,566.12,617.44,750.80,531.85,599.17,492.31,752.83,499.86,703.21,507.76,556.54,558.37,582.70,537.52,486.61,716.68,533.91,503.96,491.73,665.63,578.88,467.16,714.13,496.14,480.51,686.56,490.61,501.76,518.57
1947,551.79,500.30,557.66,604.17,745.83,506.09,594.33,459.74,743.16,484.68,695.69,481.85,537.63,539.35,577.20,519.30,460.89,714.11,527.32,478.13,462.97,656.59,560.21,436.82,713.85,455.40,454.54,672.82,455.22,479.60,491.04
1948,506.76,475.87,487.73,553.83,663.05,484.27,508.16,426.77,688.07,444.90,625.47,462.81,529.18,530.63,493.90,512.64,431.62,606.52,468.76,459.76,437.55,560.31,531.49,411.67,607.69,423.62,426.20,641.24,421.89,446.05,466.57
1949,661.00,593.64,682.11,725.15,876.79,599.86,714.59,552.74,868.68,593.40,822.18,575.34,643.71,646.20,695.50,617.24,556.77,851.19,645.75,573.52,553.80,795.48,666.46,524.56,847.84,540.75,548.46,785.10,545.96,580.19,583.87
1950,599.17,512.85,628.70,656.24,828.33,514.85,670.53,500.74,805.47,536.39,765.78,499.34,545.73,546.11,650.70,540.98,503.85,812.97,587.45,499.60,488.94,751.52,599.52,468.55,808.96,479.57,491.40,718.13,493.70,521.58,506.21
1951,692.77,652.50,690.78,754.60,908.12,655.28,723.98,610.73,899.12,627.51,850.85,619.52,668.49,672.89,701.90,624.60,608.74,879.67,659.28,613.36,606.75,805.72,691.95,572.99,878.09,602.86,584.31,808.08,605.12,610.62,640.89
1952,612.41,572.35,601.29,675.11,794.23,571.44,618.88,542.32,807.40,555.89,749.49,538.79,587.66,588.94,600.80,574.40,534.18,747.88,580.27,535.93,531.08,690.82,635.32,500.45,745.13,538.56,523.49,750.50,538.86,551.76,561.87
1953,577.45,549.75,595.35,613.78,740.51,548.13,608.37,518.60,736.55,548.31,695.24,514.21,545.29,548.19,593.50,516.19,519.94,713.34,575.08,509.61,512.83,668.99,562.80,483.25,712.19,504.15,485.80,647.76,511.87,505.28,540.92
1954,691.52,661.70,690.37,734.49,924.47,662.70,732.35,588.11,911.55,605.86,855.29,617.36,676.58,679.57,710.20,645.88,587.06,890.64,649.67,610.68,602.73,821.12,690.98,563.93,887.10,595.90,577.16,820.47,584.41,600.86,647.60
1955,797.52,802.76,775.81,873.55,991.37,806.00,818.84,719.53,1001.20,722.12,945.53,736.76,794.53,799.48,801.20,745.36,706.41,942.10,754.29,721.33,723.35,878.11,804.80,668.20,942.02,733.52,678.14,936.93,716.77,706.11,784.48
1956,708.80,686.56,703.85,746.56,902.65,690.05,723.81,625.91,902.70,644.48,847.18,656.94,719.09,724.52,703.60,663.20,628.10,872.73,674.04,653.60,638.08,824.64,698.23,604.72,864.90,626.79,600.09,812.63,621.24,616.77,675.04
1957,673.18,681.00,640.16,722.73,831.93,693.66,672.54,573.35,845.81,592.36,791.93,649.46,735.07,739.11,656.10,692.32,584.83,787.31,620.15,638.77,612.44,730.60,688.65,570.28,787.30,583.21,578.72,795.92,567.46,596.72,664.85
1958,593.17,441.33,627.06,680.98,893.30,444.97,678.63,475.99,887.19,532.35,821.01,450.98,504.72,502.33,653.20,526.85,481.92,850.30,592.59,457.50,438.88,750.23,602.86,428.31,856.12,427.46,470.50,739.03,464.93,515.18,438.40
1959,743.37,637.83,777.99,821.14,1029.79,642.57,813.64,628.75,1034.18,686.95,961.16,619.88,689.82,692.57,788.90,660.80,632.44,984.29,743.29,619.92,603.24,902.88,735.26,571.11,986.29,590.53,598.72,877.98,617.03,640.21,628.26
1960,736.49,712.93,732.54,788.10,959.50,719.78,773.17,646.11,951.22,660.99,896.19,669.14,732.49,737.04,752.10,686.55,640.27,922.73,699.17,657.75,648.96,854.72,731.71,603.67,920.37,648.92,610.75,860.83,641.50,635.30,697.73
1961,570.22,556.91,546.23,611.91,724.87,567.41,572.11,497.45,734.08,506.69,685.37,545.36,590.60,595.04,555.10,545.57,499.90,690.70,534.14,537.59,519.88,629.52,573.07,497.54,690.84,510.29,480.82,678.60,496.35,490.47,548.16
1962,720.85,629.03,773.45,780.61,977.95,633.42,817.43,625.60,943.42,660.33,905.89,609.46,662.50,665.94,796.60,627.42,616.62,968.45,722.74,606.57,595.97,909.32,699.08,566.18,962.90,605.14,575.02,837.27,619.51,606.64,619.78
1963,760.27,675.22,773.11,847.26,1018.94,673.04,818.49,651.40,1021.78,687.05,956.88,651.76,705.46,706.46,796.80,693.91,655.56,972.64,739.14,653.94,643.63,901.24,768.95,618.52,969.91,631.33,636.10,917.73,643.76,670.52,666.46
1964,672.65,589.67,686.21,748.20,876.53,598.41,716.17,580.14,889.43,628.72,831.86,586.82,641.41,642.45,699.70,630.01,594.03,833.50,665.60,584.68,567.45,779.94,685.86,545.91,831.20,539.55,568.21,807.87,567.72,600.77,582.83
1965,541.10,490.71,542.74,603.42,729.04,491.91,581.67,455.33,737.51,479.59,685.88,463.85,511.60,512.15,566.00,505.28,455.83,691.62,518.44,460.67,453.36,633.69,553.86,426.29,691.08,446.83,450.37,664.19,450.05,478.64,481.20
1966,693.49,661.27,661.13,756.93,951.94,672.02,713.93,535.71,931.10,562.14,879.41,634.48,704.66,706.12,682.80,689.00,556.22,925.27,615.90,624.95,600.94,811.18,723.56,570.19,931.02,558.71,593.21,855.30,532.07,618.29,648.17
1967,646.11,628.01,623.98,722.29,825.67,624.63,649.21,557.75,858.53,584.84,789.67,586.62,664.78,669.69,632.70,613.26,565.75,758.19,610.62,589.10,572.66,697.08,664.44,534.51,764.45,550.68,554.54,778.62,549.98,582.98,614.93
1968,664.07,615.80,642.31,743.30,895.66,614.97,687.80,541.32,898.31,569.47,837.64,585.03,659.10,659.82,664.70,649.30,552.49,845.08,613.32,587.04,567.89,757.26,694.12,538.23,848.91,542.37,569.27,821.63,535.53,600.81,604.78
1969,687.31,623.30,654.57,781.47,970.59,623.03,715.21,545.37,964.48,569.90,897.99,594.72,657.10,656.09,685.10,665.25,557.97,919.42,621.37,594.22,578.37,798.50,722.29,552.84,925.21,551.22,581.38,866.99,540.75,614.86,612.58
1970,652.56,594.61,628.36,733.55,876.99,604.99,670.66,513.80,887.50,560.27,824.43,581.23,638.05,636.32,647.80,654.55,543.76,828.03,601.68,573.79,555.19,743.51,695.64,532.40,830.14,499.16,570.02,819.16,502.99,602.46,585.14
1971,657.30,669.45,631.14,697.23,830.07,675.69,654.74,567.31,840.60,575.94,783.31,635.71,698.11,706.88,635.60,609.97,572.96,791.17,605.06,628.36,609.07,735.81,651.38,574.17,788.32,591.12,565.49,760.00,565.87,577.51,655.73
1972,732.59,665.94,758.59,791.66,931.40,666.52,776.22,658.15,933.72,700.21,880.15,640.77,712.97,715.03,760.40,689.58,659.36,893.47,732.18,642.77,628.64,857.49,731.82,593.71,886.70,619.45,609.18,852.62,646.43,640.02,655.38
1973,697.06,648.57,713.81,759.52,889.31,662.14,743.49,613.04,907.73,641.35,845.40,632.00,689.98,696.36,730.40,626.99,611.15,842.66,683.20,621.44,604.31,812.21,690.78,570.65,835.04,600.36,583.76,812.93,606.58,612.00,636.92
1974,676.27,611.31,685.54,744.59,900.52,615.50,728.22,569.88,894.57,604.07,842.02,592.53,648.38,650.13,709.40,629.89,577.68,862.44,652.26,590.30,575.58,800.02,685.32,550.04,859.65,556.86,570.76,809.63,562.79,600.42,602.22
1975,544.03,595.54,522.71,538.78,613.84,615.25,533.46,494.30,627.38,500.08,587.65,569.42,645.12,654.31,527.70,552.48,494.35,578.36,513.81,553.10,526.61,568.33,534.70,483.05,573.76,516.26,464.97,614.19,492.36,465.28,580.14
1976,745.82,691.24,728.26,820.78,984.38,709.73,758.15,634.31,1001.54,677.01,926.81,675.35,750.37,752.88,733.70,724.53,647.58,925.86,708.64,662.39,639.90,839.46,763.61,601.23,928.73,609.01,622.94,903.66,622.38,655.89,678.48
1977,492.16,504.61,426.61,537.44,634.84,516.18,461.77,396.92,659.08,404.57,599.57,486.01,542.92,544.95,444.10,521.56,410.22,576.43,426.39,476.21,453.97,494.10,528.32,429.33,585.03,425.25,435.30,633.87,396.31,446.63,493.56
1978,659.92,628.96,634.43,735.10,860.70,640.20,685.17,555.22,894.99,566.31,818.69,607.74,662.58,666.16,669.90,627.11,558.10,791.00,609.43,597.18,579.85,729.24,682.53,550.56,791.85,568.34,566.80,814.57,553.06,592.06,617.24
1979,773.69,699.57,779.98,859.22,1071.34,711.54,836.87,628.99,1045.75,662.77,991.01,675.72,740.91,743.04,807.50,719.26,635.48,1038.84,727.73,665.11,647.00,935.48,784.68,612.65,1041.77,628.42,636.71,933.08,623.11,672.73,686.90
1980,723.18,664.04,711.33,802.91,942.80,671.22,752.50,602.73,963.80,644.32,893.68,642.23,711.68,712.04,733.60,706.77,617.47,885.38,687.45,637.77,618.91,818.40,755.44,588.26,884.44,587.31,625.02,885.15,593.30,660.17,652.92
1981,650.90,601.12,640.50,723.22,849.19,612.81,684.77,535.13,858.65,568.83,802.26,585.17,659.00,660.07,668.20,646.81,545.15,799.75,615.56,578.89,554.61,737.68,683.20,524.34,800.54,530.97,553.56,806.78,528.55,584.06,590.11
1982,636.76,609.20,682.04,652.22,776.15,606.52,698.33,603.54,768.69,616.07,732.95,553.83,635.27,640.74,691.70,579.16,569.23,753.53,646.61,551.91,546.05,756.13,616.98,492.47,744.92,593.71,531.55,701.26,600.32,562.93,593.26
1983,641.44,631.70,639.65,678.43,798.87,638.95,652.52,569.21,819.74,596.47,759.58,604.41,677.45,685.12,638.50,599.26,575.05,753.21,619.82,599.89,579.07,717.86,628.73,541.43,750.43,560.72,542.16,730.99,561.69,560.02,618.96
1984,519.15,474.63,534.84,562.54,685.47,488.74,576.71,448.48,681.04,461.98,640.54,457.45,504.82,506.63,566.20,487.48,436.10,651.44,504.55,443.93,432.93,614.09,523.21,401.88,650.20,447.54,423.64,627.79,446.18,448.76,463.80
1985,515.44,443.10,530.84,569.77,722.26,448.37,572.76,418.01,703.82,449.43,665.62,433.18,479.09,479.05,554.50,478.64,422.90,701.52,497.22,431.31,418.11,637.44,525.16,399.41,700.19,405.93,421.53,634.53,412.49,448.38,436.85
1986,593.53,541.02,606.42,649.57,789.83,544.72,646.95,511.26,800.19,540.07,742.00,508.57,565.20,565.58,633.40,560.41,507.55,741.92,580.59,502.61,496.08,692.49,599.96,460.52,741.61,495.05,488.38,716.65,504.19,519.37,529.71
1987,679.97,648.77,681.05,751.10,875.52,652.61,714.74,590.12,901.18,612.66,833.76,605.60,658.32,661.23,700.10,629.38,585.88,820.29,653.85,595.48,591.48,776.49,689.21,551.28,817.02,590.05,572.94,805.77,585.37,603.86,634.86
1988,524.66,514.07,492.81,578.38,668.73,520.93,536.92,427.70,681.54,439.83,635.15,492.83,543.29,544.71,523.90,528.58,437.40,625.92,475.84,486.05,469.48,568.60,557.21,446.55,627.82,447.58,464.86,656.59,426.41,482.92,504.06
1989,541.85,522.27,516.03,601.47,697.93,530.16,534.47,448.14,722.95,479.81,663.48,503.18,566.46,568.96,518.40,540.09,462.88,641.91,506.24,498.41,478.00,583.40,566.44,450.70,646.62,446.74,468.26,670.43,441.68,490.65,512.02
1990,503.98,489.26,519.00,524.54,629.89,486.27,533.27,448.42,623.70,472.43,591.16,458.61,493.44,495.83,523.20,468.40,453.54,609.29,498.02,457.49,455.65,587.98,495.59,430.94,603.67,441.34,425.79,579.64,443.02,437.18,481.50
1991,632.16,640.64,611.00,674.10,763.61,645.91,635.01,556.30,777.22,576.39,729.57,601.03,659.06,662.11,623.10,627.54,563.97,721.14,598.80,591.87,582.20,681.30,647.38,544.06,718.28,560.52,553.00,748.74,550.60,570.31,627.46
1992,566.94,546.72,571.00,617.89,712.19,546.67,592.12,499.21,727.41,529.87,679.31,512.10,547.08,549.50,581.00,522.89,508.53,669.12,555.54,506.16,506.39,633.18,572.68,476.83,669.84,484.05,486.48,663.12,490.98,507.79,536.76
1993,470.97,399.09,492.75,518.77,665.54,401.93,533.38,379.46,648.39,415.63,611.74,390.52,428.27,428.44,517.70,425.94,384.25,643.16,466.20,390.21,379.38,584.92,475.39,364.74,642.92,368.24,384.57,568.58,374.66,409.72,393.87
1994,599.07,578.20,612.52,637.36,784.25,575.92,628.24,531.69,783.76,553.16,734.01,529.67,569.36,572.01,610.30,542.50,528.88,755.03,580.36,522.19,526.79,705.68,585.76,488.20,753.49,523.17,492.49,692.07,525.49,513.69,565.47
1995,707.32,683.00,686.98,765.29,926.78,690.28,714.49,616.61,958.72,640.64,871.66,643.56,720.99,724.58,695.00,683.44,615.36,849.57,669.76,634.90,619.41,778.76,715.81,573.85,850.64,611.57,585.89,858.64,609.80,612.72,667.47
1996,639.97,551.18,651.78,708.34,891.54,560.23,705.47,517.91,880.63,558.38,822.97,544.45,614.64,615.31,685.30,606.37,521.89,845.97,619.29,543.21,518.43,768.14,656.60,495.06,846.35,506.89,529.09,784.76,512.07,563.97,542.79
1997,529.50,528.24,507.72,578.27,667.84,527.63,529.34,467.24,682.88,476.15,635.05,490.44,534.76,537.47,515.30,506.79,468.95,627.38,494.01,485.44,481.16,576.73,542.09,449.79,627.37,471.18,451.49,640.29,463.43,467.53,517.04
1998,637.70,618.96,611.57,694.95,803.55,625.03,645.60,549.20,818.46,567.32,764.37,589.98,655.94,658.96,629.30,624.71,550.38,758.67,599.05,584.26,566.94,692.35,661.60,533.82,759.35,557.61,554.27,772.96,545.96,578.35,606.72
1999,652.48,608.06,643.47,715.51,870.71,616.39,678.91,548.30,874.95,576.26,812.85,590.58,650.54,652.88,658.70,625.60,559.72,821.31,614.82,585.04,566.55,752.36,661.42,538.66,819.99,540.81,542.78,797.45,541.31,565.25,597.81
2000,426.21,365.03,419.11,483.83,600.49,373.26,460.17,328.22,599.08,359.22,556.60,367.12,409.52,409.07,444.80,413.27,341.25,566.03,400.94,365.23,346.50,504.62,450.49,336.07,567.47,322.09,359.63,545.32,323.47,383.07,360.44
2001,495.17,457.01,478.05,552.56,639.26,462.09,501.49,421.28,658.64,432.40,606.91,446.42,512.95,513.67,488.70,503.18,419.83,590.75,459.56,447.55,424.65,546.25,528.94,402.61,590.81,422.33,415.73,641.38,418.72,436.21,449.01
2002,727.74,715.85,724.55,781.26,923.29,720.01,751.62,660.20,938.55,658.97,874.93,661.97,712.45,716.09,734.10,676.23,636.27,874.39,693.80,647.67,648.50,820.61,719.19,601.23,873.83,678.98,611.82,842.04,661.17,637.35,699.58
2003,644.34,606.49,634.93,704.72,835.97,611.48,677.65,556.05,842.04,579.70,789.43,582.88,637.18,639.47,660.60,613.34,561.37,791.73,615.61,578.00,565.01,713.66,654.50,536.42,796.66,549.71,551.55,758.87,550.16,575.95,596.16
2004,649.46,569.81,654.90,728.23,874.34,572.75,696.28,530.97,884.58,582.76,821.57,564.28,635.94,637.29,678.30,619.56,554.56,820.18,629.31,570.48,544.69,756.60,668.74,525.39,821.82,500.43,547.51,799.61,518.97,578.48,563.46
2005,671.16,674.35,628.16,723.49,852.71,689.27,668.60,578.09,864.74,582.09,803.71,642.99,724.66,729.45,649.80,675.43,577.14,796.82,609.49,629.55,604.85,722.00,691.33,561.42,799.85,596.61,570.44,820.47,575.64,589.82,657.96
2006,680.73,655.17,668.04,740.02,876.46,663.95,698.94,583.63,898.03,609.35,829.56,628.34,697.50,701.98,681.70,651.52,591.07,818.83,644.03,621.14,601.84,762.46,689.35,566.04,819.30,581.17,574.86,809.66,577.12,598.17,642.39
