Variable:,pr
,Lebanon,Beirut,Bekaa,"Mount Lebanon",Nabatiye,North,South
1901,448.29,440.09,434.00,459.65,479.83,441.99,484.82
1902,774.75,760.91,736.51,813.07,794.51,805.86,814.77
1903,598.26,587.15,567.47,631.92,607.32,626.32,622.00
1904,871.71,864.36,827.31,917.82,912.38,886.49,936.09
1905,815.18,820.71,778.48,864.80,855.66,810.32,871.12
1906,860.55,848.31,837.86,907.23,827.69,898.44,849.57
1907,830.73,814.17,790.33,875.24,846.14,866.10,864.27
1908,847.24,845.32,805.42,898.12,870.84,867.96,895.30
1909,741.84,716.71,712.22,783.69,707.40,800.04,731.00
1910,716.90,697.94,688.61,758.10,691.89,766.70,708.22
1911,1146.26,1130.35,1100.48,1199.77,1177.66,1168.23,1197.67
1912,776.26,762.95,744.95,818.85,773.97,808.88,793.84
1913,849.02,825.66,810.24,894.60,842.23,897.22,865.95
1914,769.80,755.63,739.68,806.96,769.73,802.32,793.55
1915,448.04,433.56,433.50,464.60,444.30,471.86,451.05
1916,781.45,762.08,751.49,819.75,770.39,824.34,791.52
1917,681.32,663.48,642.83,715.25,699.45,717.72,720.32
1918,935.08,913.06,892.26,981.41,941.16,979.93,967.60
1919,768.49,777.63,733.96,817.36,802.02,767.42,815.21
1920,734.13,722.36,694.26,766.62,789.28,740.50,802.52
1921,768.70,745.76,733.03,803.94,768.96,813.43,790.53
1922,685.13,679.42,645.66,724.46,718.92,704.28,736.24
1923,652.41,637.46,627.29,688.42,631.21,694.58,652.00
1924,825.97,802.45,780.79,873.54,826.04,881.10,851.19
1925,477.64,458.21,462.80,491.57,472.80,501.86,486.60
1926,757.94,750.14,722.58,805.12,753.07,797.64,772.19
1927,660.02,655.28,637.79,693.51,680.70,660.65,690.55
1928,657.51,654.53,616.93,702.83,672.03,689.43,692.48
1929,741.50,722.65,710.05,782.71,747.19,768.54,765.86
1930,561.86,541.76,532.48,593.00,573.05,588.73,587.99
1931,691.70,675.00,653.75,716.43,743.40,708.08,751.63
1932,442.67,437.30,427.64,470.47,422.80,466.91,436.68
1933,400.82,385.69,393.32,419.39,369.59,430.76,382.57
1934,667.30,710.18,634.70,723.95,704.95,640.67,729.69
1935,819.42,791.90,788.66,872.37,764.61,896.44,792.93
1936,698.80,689.12,650.83,729.96,784.74,697.35,795.72
1937,576.40,566.24,550.04,615.25,575.62,600.35,594.17
1938,891.01,870.25,833.32,916.35,1041.92,860.19,1035.23
1939,724.63,715.38,700.73,762.93,739.74,730.33,752.05
1940,863.63,855.15,822.22,919.70,869.23,897.12,897.54
1941,645.05,673.06,601.90,687.16,731.70,614.80,742.29
1942,778.88,766.61,746.26,823.15,777.15,807.82,796.63
1943,739.01,742.94,715.47,778.74,773.19,725.90,778.33
1944,1069.67,1103.52,1013.77,1145.32,1169.72,1015.89,1198.46
1945,704.18,708.29,678.04,736.72,741.30,694.29,756.83
1946,520.20,492.46,497.79,542.80,504.93,568.59,513.48
1947,563.35,501.93,539.82,575.53,524.43,646.36,538.89
1948,823.27,798.18,797.90,856.23,815.08,860.87,833.52
1949,843.58,925.19,794.94,924.37,944.87,763.96,957.99
1950,662.77,648.98,646.77,701.63,603.39,717.22,627.02
1951,686.37,671.94,651.08,716.42,708.63,716.25,731.89
1952,632.41,617.21,613.03,674.83,588.55,678.13,605.12
1953,969.90,962.66,936.53,1023.54,983.85,980.38,1001.57
1954,808.44,800.30,789.00,850.68,797.73,822.91,815.84
1955,532.26,547.28,501.81,559.60,581.23,523.08,597.36
1956,562.68,527.66,547.44,581.77,530.24,611.85,542.96
1957,613.75,633.70,576.76,648.04,679.08,599.54,691.94
1958,389.13,392.40,370.35,416.31,373.32,414.88,389.75
1959,490.41,483.13,472.62,516.09,492.27,505.29,500.49
1960,404.10,423.23,380.53,434.06,425.58,405.18,439.40
1961,688.44,716.42,651.28,738.00,732.56,676.48,757.96
1962,528.97,518.45,503.69,559.90,512.40,572.99,534.75
1963,744.49,720.36,729.34,786.68,651.10,823.47,686.90
1964,716.34,725.77,677.72,753.37,778.02,707.24,793.20
1965,737.44,713.76,710.36,779.46,709.97,785.63,732.43
1966,620.19,619.98,581.33,659.57,657.77,633.65,672.89
1967,930.92,884.63,904.25,977.47,869.33,1007.91,894.43
1968,847.96,843.19,812.74,910.74,793.86,909.10,835.70
1969,928.98,922.50,901.10,994.85,899.32,956.23,925.65
1970,657.24,650.21,625.36,697.27,678.54,671.88,692.45
1971,815.07,799.97,785.10,849.50,828.16,840.51,844.74
1972,470.79,445.77,453.81,475.86,498.84,484.58,499.73
1973,492.84,477.67,470.75,510.92,505.22,513.87,515.01
1974,711.93,708.59,663.83,742.85,804.31,703.22,809.27
1975,631.98,619.37,602.34,663.04,637.41,660.99,654.86
1976,696.46,702.98,672.34,748.16,651.92,741.86,679.66
1977,764.89,770.26,729.85,813.75,768.89,788.99,799.16
1978,670.67,668.84,646.43,726.17,599.81,734.92,630.16
1979,669.69,642.34,631.29,695.18,702.45,699.40,722.75
1980,787.52,782.84,758.95,838.93,784.65,804.42,804.46
1981,742.61,728.66,721.17,791.65,685.49,796.22,710.78
1982,618.61,609.28,590.56,647.30,654.56,621.87,663.65
1983,675.78,652.04,646.30,694.00,715.20,693.70,719.00
1984,652.95,646.52,625.57,682.51,677.29,669.04,684.74
1985,507.58,508.55,470.42,539.02,543.26,530.07,555.07
1986,659.40,656.90,602.24,683.57,781.76,650.53,793.30
1987,731.58,730.56,701.44,785.19,697.48,775.55,724.38
