Variable:,pr
,"Congo (Republic of the)",Bouenza,Brazzaville,Cuvette,Cuvette-Ouest,Kouilou,Lekoumou,Likouala,Niari,Plateaux,Point-Noire,Pool,Sangha
1901,1599.60,1259.76,1434.00,1659.68,1720.53,1001.04,1526.29,1663.89,1272.54,1827.84,905.77,1576.45,1659.01
1902,1619.74,1343.78,1434.00,1659.68,1713.29,1176.88,1578.94,1663.89,1404.28,1823.20,1118.10,1579.46,1647.61
1903,1671.21,1474.72,1434.00,1659.68,1719.10,1563.36,1724.51,1663.89,1690.24,1827.63,1522.17,1584.89,1646.37
1904,1587.72,1306.68,1381.00,1649.23,1699.04,1164.53,1528.20,1663.89,1381.93,1703.59,1101.50,1496.13,1646.05
1905,1617.24,1341.41,1434.00,1659.68,1714.60,1203.63,1549.27,1663.89,1397.48,1823.11,1158.63,1578.70,1641.25
1906,1624.04,1401.55,1559.70,1654.89,1709.57,1154.14,1591.85,1663.89,1364.07,1803.29,1090.40,1666.67,1645.49
1907,1629.85,1203.02,1275.80,1767.78,1789.56,1053.70,1468.56,1788.37,1306.76,1753.77,984.95,1424.69,1733.12
1908,1525.27,1362.15,1369.70,1416.03,1659.59,1313.38,1618.34,1476.62,1525.75,1695.41,1235.72,1506.52,1536.25
1909,1797.78,1721.38,1691.20,1668.91,1772.90,1762.24,1911.37,1817.77,1879.93,1958.18,1693.66,1845.35,1696.94
1910,1617.37,1366.67,1477.20,1699.77,1712.73,1183.91,1565.60,1630.99,1325.29,1858.46,1159.29,1605.95,1630.93
1911,1656.50,1345.67,1413.90,1833.56,1746.04,1279.88,1607.61,1635.22,1506.72,1842.62,1170.96,1543.12,1674.02
1912,1736.97,1604.65,1652.20,1684.60,1752.54,1575.48,1815.71,1703.50,1696.27,1933.16,1498.79,1793.56,1690.55
1913,1413.31,993.33,1094.40,1520.74,1688.23,834.49,1289.28,1417.56,1116.16,1592.06,764.82,1218.66,1576.52
1914,1637.06,1123.53,1235.40,1919.89,1726.03,964.01,1396.15,1877.61,1215.70,1720.82,892.17,1361.47,1760.26
1915,1536.94,1176.07,1326.00,1578.43,1711.77,1074.13,1443.32,1550.75,1329.42,1785.52,990.50,1461.11,1584.13
1916,1732.34,1718.19,1656.20,1659.68,1724.81,1630.51,1967.97,1646.32,1830.06,1871.65,1526.66,1797.56,1646.23
1917,1598.01,1043.11,1052.20,1905.08,1709.89,1079.68,1325.89,1860.28,1267.04,1597.60,1014.74,1172.08,1761.59
1918,1521.30,1076.46,1256.60,1606.15,1711.54,953.76,1290.70,1640.99,1179.46,1750.92,900.53,1375.01,1619.76
1919,1537.21,993.35,1196.10,1708.55,1708.62,930.49,1257.99,1713.35,1170.69,1709.56,833.44,1308.01,1666.74
1920,1583.55,1508.56,1514.00,1452.88,1703.57,1383.23,1719.21,1500.45,1578.97,1782.36,1306.14,1642.29,1554.21
1921,1577.07,1171.95,1314.00,1593.62,1716.87,1141.84,1535.96,1611.31,1428.40,1809.12,1033.53,1482.28,1619.65
1922,1615.06,1220.75,1320.20,1680.99,1725.70,1153.27,1549.39,1676.41,1449.66,1829.56,1045.36,1487.39,1657.25
1923,1624.28,1692.57,1495.90,1480.74,1706.36,1667.01,1836.37,1477.71,1756.55,1799.48,1611.17,1663.08,1546.45
1924,1587.38,1150.53,1396.00,1653.50,1721.08,996.04,1534.46,1644.61,1363.67,1828.81,885.12,1531.80,1619.97
1925,1702.04,1406.19,1512.90,1771.02,1749.62,1303.46,1715.22,1692.91,1545.22,1966.36,1211.38,1686.89,1680.02
1926,1680.45,1371.74,1434.00,1708.71,1724.83,1299.91,1653.32,1792.47,1529.94,1830.21,1208.33,1581.27,1700.47
1927,1555.66,1322.79,1396.80,1599.95,1695.75,1208.25,1604.76,1445.89,1475.75,1737.53,1112.21,1520.20,1610.93
1928,1607.62,1251.99,1327.80,1753.45,1718.43,1123.55,1499.43,1687.92,1374.28,1744.75,1039.79,1443.50,1685.96
1929,1642.98,1573.14,1590.60,1584.07,1679.10,1473.41,1756.90,1631.84,1613.05,1746.85,1391.33,1676.98,1614.69
1930,1457.75,1139.12,1186.30,1394.87,1644.14,1087.74,1419.63,1584.16,1330.63,1525.24,999.74,1286.69,1553.21
1931,1533.98,1325.51,1316.50,1547.09,1744.81,1341.89,1567.06,1497.52,1487.33,1601.94,1268.67,1393.14,1590.19
1932,1559.48,1280.26,1265.90,1628.87,1700.91,1268.50,1495.91,1677.77,1436.50,1545.06,1174.83,1360.21,1640.72
1933,1706.27,1317.21,1314.60,1778.10,1932.18,1327.40,1565.57,1835.34,1502.82,1680.11,1259.48,1435.09,1889.47
1934,1559.68,1307.47,1382.50,1528.05,1714.21,1175.84,1605.52,1565.64,1475.66,1730.49,1098.27,1496.72,1579.92
1935,1600.52,1328.48,1399.40,1604.84,1693.83,1200.69,1586.07,1653.61,1462.54,1764.90,1119.67,1520.30,1642.91
