Variable:,pr
,Armenia,Aragatsotn,Ararat,Armavir,Gergharkunik,Kotayk,Lori,Shirak,Syunik,Tavush,"Vayots Dzor",Yerevan
1901,595.57,522.09,414.44,446.45,632.40,567.13,704.83,647.68,635.98,640.88,516.14,481.99
1902,509.83,435.13,332.50,368.32,535.57,460.43,602.88,588.31,565.06,546.85,440.77,385.02
1903,491.95,420.60,314.91,341.99,514.67,443.36,626.62,562.44,522.81,543.38,408.64,366.57
1904,639.79,553.00,439.07,470.63,682.12,589.52,742.25,674.23,730.73,658.56,571.46,504.54
1905,528.16,437.06,336.21,354.14,555.87,468.43,641.05,557.14,619.26,573.05,458.18,388.91
1906,537.37,464.51,338.33,375.43,556.37,491.53,688.33,614.17,566.54,596.88,447.29,406.21
1907,487.29,423.83,315.24,349.01,501.90,448.27,611.93,556.01,520.86,531.47,411.40,371.82
1908,515.05,433.37,350.34,370.63,547.00,469.22,592.69,536.48,597.49,553.76,461.11,394.31
1909,550.10,466.13,364.26,385.65,597.88,515.61,665.86,585.58,583.23,617.64,471.37,424.29
1910,483.85,415.43,325.65,341.23,524.48,455.20,598.41,517.33,495.31,543.41,418.72,381.27
1911,490.60,394.07,335.55,329.07,536.51,444.52,556.79,487.60,591.52,512.08,451.41,369.55
1912,565.84,522.28,384.41,443.10,584.31,541.38,703.20,644.14,560.53,627.57,472.54,462.88
1913,424.35,375.75,291.69,317.77,436.94,385.91,507.46,485.77,466.88,443.09,367.53,331.80
1914,602.96,511.76,413.06,430.72,651.82,577.54,702.20,628.80,660.66,668.21,521.45,486.87
1915,656.32,583.74,441.55,489.78,693.22,621.63,815.72,733.76,655.59,745.58,553.19,526.91
1916,490.78,416.85,327.45,348.56,534.94,462.99,583.34,503.85,528.50,559.37,418.05,388.07
1917,407.13,365.00,270.61,308.56,431.67,383.03,508.91,483.42,393.39,450.77,339.76,322.59
1918,519.37,422.68,340.74,351.36,570.65,476.11,603.49,523.99,595.27,577.70,457.84,393.79
1919,596.22,526.41,405.79,444.51,630.05,556.46,723.04,663.43,623.95,649.17,512.05,472.41
1920,771.58,652.65,518.80,549.59,820.29,716.53,887.16,794.06,902.89,819.50,686.62,605.66
1921,523.43,439.61,348.61,367.84,566.29,478.54,614.05,548.88,585.76,574.65,460.81,399.91
1922,651.16,579.12,430.83,482.00,711.74,638.14,808.65,723.99,625.34,746.60,522.93,532.72
1923,526.53,441.42,340.18,368.79,565.31,478.25,622.04,557.80,595.26,585.01,454.15,400.27
1924,434.88,363.96,288.18,307.09,458.19,392.87,507.54,462.83,508.00,466.35,382.04,330.88
1925,408.46,358.29,282.43,300.30,444.01,384.94,493.83,448.11,412.29,453.54,350.47,326.73
1926,514.87,442.39,336.29,366.78,550.09,482.50,637.87,559.92,532.45,592.50,432.10,399.21
1927,543.04,463.64,363.68,389.50,575.38,498.31,639.24,595.85,603.10,591.07,473.28,421.40
1928,553.82,505.36,374.10,424.37,576.95,536.43,686.16,629.91,557.97,606.75,450.48,449.36
1929,515.28,457.11,346.72,386.45,547.56,492.76,619.54,554.06,541.77,564.74,441.71,414.82
1930,508.76,449.77,335.03,372.83,523.80,458.03,641.76,595.04,536.48,541.25,431.24,384.31
1931,660.00,553.96,437.65,465.39,711.22,606.30,788.49,693.84,726.64,720.89,593.40,508.48
1932,501.66,428.94,340.87,357.58,512.94,462.65,603.92,543.75,567.24,529.21,458.47,384.56
