Variable:,pr
,"Marshall Islands","Administrative unit not available"
1901,2970.00,2805.69
1902,2970.00,2805.69
1903,2970.00,2805.69
1904,2970.00,2805.69
1905,2970.00,2805.69
1906,2970.00,2805.69
1907,2970.00,2805.69
1908,2970.00,2805.69
1909,2970.00,2805.69
1910,2970.00,2805.69
1911,2970.00,2805.69
1912,2970.00,2805.69
1913,2970.00,2805.69
1914,2970.00,2805.69
1915,2970.00,2805.69
1916,2970.00,2805.69
1917,2970.00,2805.69
1918,2970.00,2805.69
1919,2970.00,2805.69
1920,2970.00,2805.69
1921,2970.00,2805.69
1922,2970.00,2805.69
1923,2970.00,2805.69
1924,2970.00,2805.69
1925,2970.00,2805.69
1926,2970.00,2805.69
1927,2970.00,2805.69
1928,2970.00,2805.69
1929,2970.00,2805.69
1930,2970.00,2805.69
1931,2970.00,2777.05
1932,2970.00,2768.44
1933,2970.00,2814.99
1934,2970.00,2778.91
1935,2970.00,2787.79
1936,2970.00,2811.80
1937,2970.00,2743.62
1938,2970.00,2757.60
1939,2970.00,2805.69
1940,2970.00,2805.69
1941,2970.00,2805.69
1942,2970.00,2805.69
1943,2970.00,2805.69
1944,2970.00,2805.69
1945,2960.80,2616.72
1946,2961.40,2600.38
1947,2970.20,2779.98
1948,2970.20,2775.08
1949,2964.10,2680.82
1950,2988.30,3089.34
1951,2974.90,2969.94
1952,2967.60,2766.48
1953,2963.40,2671.66
1954,3634.30,3206.79
1955,3629.60,3215.73
1956,3893.40,3322.77
1957,2841.20,2741.56
1958,2716.80,2651.69
1959,2956.80,2743.03
1960,3455.00,3041.99
1961,3158.40,2893.37
1962,3420.20,3022.65
1963,2968.90,2971.70
1964,3684.20,3286.91
1965,2593.40,2505.84
1966,2916.90,2851.24
1967,2848.60,2800.31
1968,3086.70,2927.94
1969,3017.60,2767.43
1970,2024.30,2056.46
1971,3654.20,3287.77
1972,3564.10,3396.20
1973,2801.50,2488.07
1974,3368.30,3139.11
1975,3430.00,3000.97
1976,3262.60,3065.87
1977,2762.60,2629.03
1978,3230.70,2973.76
1979,2482.70,2589.38
1980,2469.80,2650.78
1981,2685.40,2574.60
1982,3268.40,2954.30
1983,1967.10,2033.39
1984,2610.90,2363.91
1985,3386.00,2987.60
1986,3369.00,3249.66
1987,2763.40,2701.77
1988,2761.80,2574.88
1989,3011.00,2749.27
1990,2531.90,2692.00
1991,3743.70,3502.64
1992,1976.60,2060.08
1993,3436.40,3071.19
1994,2887.30,2752.14
1995,2906.70,2815.30
1996,3229.40,2970.84
1997,2825.90,2836.45
1998,2239.80,2106.59
1999,2706.00,2516.86
2000,2659.30,2634.65
2001,2721.60,2469.50
2002,3240.30,2934.86
2003,2921.80,2743.35
2004,2739.30,2679.51
2005,2928.70,2621.37
2006,2330.40,2368.10
2007,2608.40,2456.23
2008,2616.30,2506.86
2009,2459.00,2328.87
2010,3224.20,2858.41
2011,3271.60,3137.40
2012,2432.70,2387.94
2013,2248.00,2132.15
2014,3274.40,3070.19
2015,3170.30,3021.53
2016,2348.60,2288.58
2017,3681.40,3228.41
2018,3865.00,3682.72
2019,2914.00,2661.57
2020,3472.30,3070.98
