Variable:,pr
,Namibia,Caprivi,Erongo,Hardap,Karas,Kavango,Khomas,Kunene,Ohangwena,Omaheke,Omusati,Oshana,Oshikoto,Otjozondjupa
1901,259.91,625.60,91.19,108.87,85.57,610.43,208.32,203.78,605.72,351.43,334.22,399.68,514.03,419.23
1902,258.52,625.33,109.32,77.05,70.66,605.37,152.24,229.13,697.82,302.55,423.47,488.66,585.68,421.35
1903,216.67,619.24,111.50,102.31,77.33,464.18,191.08,164.44,515.58,268.26,285.79,359.11,426.46,329.63
1904,295.29,604.34,127.65,229.33,176.06,532.10,285.19,216.72,533.75,350.39,345.60,397.17,488.67,423.28
1905,252.83,455.13,144.14,125.38,99.86,480.01,256.74,244.03,431.97,318.45,357.98,372.72,387.44,402.42
1906,280.47,635.70,129.39,94.67,81.94,618.85,232.23,217.43,700.05,371.05,402.46,477.72,604.58,466.63
1907,338.09,707.06,148.58,149.82,121.63,693.60,333.21,248.54,766.93,465.64,429.11,507.28,659.91,561.89
1908,211.07,792.24,92.36,91.54,70.21,479.85,206.66,144.74,498.50,269.09,256.72,316.68,401.19,325.69
1909,460.60,676.49,234.57,258.02,151.73,822.38,515.41,374.55,1022.25,614.62,650.87,771.92,895.26,742.30
1910,281.57,735.85,142.54,126.17,97.22,494.68,260.34,304.23,530.99,370.87,474.46,455.77,451.42,406.09
1911,187.79,687.61,64.56,93.93,109.22,383.22,147.36,146.05,398.11,222.78,257.68,287.26,325.67,253.61
1912,341.92,498.27,177.03,154.21,105.27,698.76,333.30,277.22,752.09,454.34,458.06,554.18,675.18,583.71
1913,235.30,483.58,105.74,108.71,96.38,450.27,170.94,220.66,594.14,284.24,388.49,445.93,485.55,337.63
1914,244.34,742.43,139.22,148.98,111.03,491.35,255.88,161.95,478.44,332.83,244.92,297.88,393.00,359.57
1915,258.77,689.05,114.85,158.36,101.07,552.71,234.51,174.03,533.15,344.54,272.99,351.57,468.01,412.15
1916,279.04,509.47,139.59,138.64,89.70,529.36,263.82,250.71,646.10,356.40,461.02,505.18,548.71,423.54
1917,349.57,560.22,199.93,252.52,170.86,554.08,341.44,298.04,739.40,434.26,527.68,557.46,609.68,482.87
1918,332.04,711.85,196.54,229.80,162.29,563.35,380.65,260.43,568.29,447.62,398.67,428.08,491.73,480.64
1919,215.85,813.48,83.26,109.11,90.18,448.49,192.33,177.59,402.92,297.70,256.88,278.07,338.76,313.05
1920,238.63,707.00,94.75,120.09,95.75,464.84,240.88,184.84,447.83,358.78,282.47,323.88,381.61,366.95
1921,317.26,769.26,115.39,190.51,153.96,609.61,259.06,278.71,737.24,369.31,528.36,538.79,599.56,424.44
1922,150.49,522.46,55.91,62.32,50.46,322.06,116.52,147.97,310.92,182.80,221.53,237.42,260.09,228.31
1923,390.51,749.17,214.22,274.32,165.05,686.98,426.59,295.64,696.81,518.20,469.08,531.20,645.43,607.29
1924,201.81,612.51,88.50,102.25,58.93,394.33,157.99,202.05,472.89,239.48,335.01,343.80,391.00,287.78
1925,381.70,970.75,220.28,233.94,200.13,737.56,359.62,265.96,699.17,457.62,420.41,478.25,644.55,591.60
1926,225.93,719.12,117.00,121.25,70.13,491.37,220.37,156.95,466.56,293.61,251.84,301.14,406.07,367.79
1927,217.56,498.02,106.37,112.24,78.23,460.25,216.26,152.68,405.56,320.89,238.03,272.88,375.08,357.90
1928,224.99,516.72,110.04,152.16,101.98,443.62,278.47,144.33,363.22,333.39,204.99,229.95,331.64,350.48
1929,196.06,671.47,107.26,107.15,93.81,397.98,202.21,136.07,298.73,251.77,174.46,203.13,302.89,313.71
1930,163.24,608.25,44.49,68.46,54.45,379.21,118.75,97.05,312.59,259.86,147.32,197.64,297.01,286.17
1931,255.45,509.72,139.49,132.56,101.27,490.00,243.14,202.49,535.33,319.67,329.41,376.64,487.75,413.08
1932,174.88,653.48,72.46,85.40,81.50,334.00,182.26,113.77,252.26,283.37,140.37,167.46,264.00,278.75
1933,170.04,431.74,73.90,92.30,66.97,317.36,168.27,148.49,351.57,238.07,197.86,230.93,290.73,255.56
1934,553.15,725.20,369.79,408.49,238.80,831.93,676.59,429.61,1015.42,788.25,745.44,830.35,871.49,808.30
1935,224.65,450.68,106.34,138.39,94.64,394.30,203.68,179.42,403.15,345.92,269.00,305.64,356.31,349.13
1936,251.78,693.01,96.18,150.96,91.77,453.09,257.23,207.32,525.74,362.00,360.70,393.45,419.13,369.90
1937,328.07,671.71,183.68,220.49,119.84,494.86,343.29,296.57,846.11,421.78,574.88,641.12,597.38,432.70
1938,321.40,697.78,147.21,194.20,127.67,544.61,324.18,259.31,669.21,454.73,474.53,536.30,576.24,473.57
1939,302.77,718.31,137.79,210.98,120.22,543.68,315.72,216.26,538.13,435.44,357.14,409.09,502.04,471.98
1940,278.27,689.21,148.85,137.76,110.34,548.79,257.71,234.34,666.72,354.21,412.60,452.99,503.54,399.93
1941,158.04,668.82,67.59,72.77,68.50,316.13,112.70,134.34,311.39,188.95,212.93,240.69,264.76,235.88
1942,343.59,488.24,198.46,223.81,139.37,479.69,388.62,319.11,831.17,434.46,577.05,649.05,630.36,482.38
1943,248.10,614.52,104.48,155.67,105.27,453.72,204.50,200.29,508.44,377.36,355.39,413.74,406.34,341.32
1944,311.84,739.10,125.44,101.76,65.50,680.49,206.12,308.58,796.89,332.67,544.20,603.49,730.06,526.75
1945,255.66,570.87,123.17,95.37,65.62,507.05,164.41,277.50,676.79,278.12,507.05,564.27,519.13,393.34
1946,140.95,582.42,52.50,54.17,46.55,319.25,89.12,120.67,322.52,202.24,192.16,223.71,230.24,205.06
1947,294.74,579.32,185.40,111.48,76.15,509.86,255.21,329.83,770.89,287.56,558.94,619.31,627.13,462.36
1948,231.89,786.14,85.70,140.98,93.78,547.24,198.83,163.08,478.66,287.35,296.62,343.54,400.20,333.06
1949,254.07,581.05,155.67,139.88,80.72,367.34,299.44,251.73,458.28,371.04,392.70,401.85,386.96,374.34
