Variable:,pr
,Chad,Biltine,Guera,Lac,"Logone Occidental",Salamat,"Batha Est","Batha Ouest",Borkou,Ennedi,Tibesti,Baguirmi,Daraba,"Hadjer Lamis","Barl El Gazal",Kanem,"Logone Oriental","Mont De Lam",Kabia,Mayo-Boneye,Mayo-Dala,"Barh Koh","Lac Iro",Mandoul,Assongha,Ouaddai,Sila,"Tandjile Est","Tandjile Ouest"
1901,338.29,288.46,708.37,298.31,1054.57,789.95,366.50,328.07,67.39,77.59,47.54,699.39,506.29,452.12,237.78,174.58,1088.89,1190.98,895.94,799.12,947.43,955.97,938.63,1005.77,473.27,491.01,619.79,929.03,964.04
1902,338.29,288.46,708.37,298.31,1054.57,789.95,366.50,328.07,67.39,77.59,47.54,699.39,506.29,452.12,237.78,174.58,1088.89,1190.98,895.94,799.12,947.43,955.97,938.63,1005.77,473.27,491.01,619.79,929.03,964.04
1903,338.29,288.46,708.37,298.31,1054.57,789.95,366.50,328.07,67.39,77.59,47.54,699.39,506.29,452.12,237.78,174.58,1088.89,1190.98,895.94,799.12,947.43,955.97,938.63,1005.77,473.27,491.01,619.79,929.03,964.04
1904,329.88,288.46,692.69,295.08,1026.47,789.91,366.50,325.04,67.39,77.59,47.54,614.27,469.23,414.13,238.62,178.06,1085.47,1190.39,779.80,678.11,854.30,949.65,938.61,1003.39,473.27,491.01,619.79,870.02,887.46
1905,336.98,288.46,709.40,277.86,1059.74,789.95,366.49,325.00,67.39,77.59,47.54,699.34,492.12,431.03,227.97,163.80,1089.47,1191.10,918.57,811.72,966.04,956.87,938.63,1006.13,473.27,491.01,619.79,937.87,977.92
1906,349.71,288.46,730.51,353.91,1044.77,790.00,366.57,341.64,67.39,77.59,47.54,803.67,597.65,536.99,258.53,190.92,1083.95,1170.65,926.46,865.70,957.54,963.03,938.65,1007.67,473.27,491.01,619.79,963.43,984.93
1907,344.24,288.46,728.96,375.46,892.25,789.99,366.59,344.89,67.39,77.59,47.54,790.28,613.52,545.17,268.58,201.67,1038.70,1017.61,787.50,781.60,762.47,961.90,938.64,1006.40,473.27,491.01,619.78,925.88,869.35
1908,345.12,288.46,728.25,309.85,1082.75,790.01,366.57,332.17,67.35,77.59,47.54,748.34,534.82,466.14,240.44,178.86,1083.00,1185.40,985.62,854.94,1068.64,964.29,938.65,1008.02,473.27,491.01,619.79,969.28,1014.42
1909,372.30,288.46,765.03,385.96,1222.46,790.08,366.62,352.19,67.39,77.59,47.54,985.78,693.50,632.50,265.11,192.93,1126.27,1291.66,1172.89,1094.79,1243.06,977.50,938.69,1014.42,473.27,491.01,619.75,1082.90,1182.19
1910,344.18,288.46,721.60,314.98,1031.35,789.98,366.57,339.60,67.39,77.59,47.54,753.71,571.12,482.00,257.92,186.89,1077.50,1153.07,899.27,823.67,934.11,959.70,938.64,1006.08,473.27,491.01,619.76,945.54,963.03
1911,352.78,288.46,733.64,370.69,1061.96,790.01,366.57,341.98,67.39,77.59,47.54,823.59,607.17,561.15,257.96,193.08,1082.30,1182.97,968.92,892.21,1025.45,964.10,938.65,1006.77,473.27,491.01,619.76,971.32,1003.56
1912,325.01,288.46,688.00,239.87,1047.35,789.90,366.45,317.27,67.39,77.59,47.54,577.50,424.16,350.97,221.48,160.20,1091.18,1193.70,824.03,680.04,892.63,948.56,938.61,1003.51,473.27,491.01,619.80,877.42,918.35
1913,300.74,288.46,667.33,134.64,996.63,789.87,366.36,292.63,67.13,77.59,47.53,436.27,290.47,211.80,151.29,86.14,1077.43,1163.56,723.65,525.19,769.82,942.83,938.59,999.34,473.27,491.01,619.73,816.90,847.28
1914,325.33,288.46,697.57,225.26,1012.50,789.92,366.47,321.97,67.38,77.59,47.54,620.11,459.64,352.11,223.27,154.14,1086.02,1175.85,762.46,682.51,759.94,952.13,938.62,1004.36,473.27,491.01,619.82,893.87,900.51
1915,331.35,288.46,704.57,292.55,1010.92,789.95,366.49,318.84,67.36,77.59,47.53,662.26,451.79,420.31,218.19,163.81,1085.74,1161.02,839.19,765.93,834.56,955.65,938.63,1004.75,473.27,491.01,619.79,927.25,934.59
1916,337.21,288.46,705.03,310.30,1073.31,789.95,366.48,316.24,67.29,77.59,47.53,700.19,456.36,475.82,206.19,151.21,1088.34,1206.34,978.51,845.48,1087.12,955.68,938.63,1004.79,473.27,491.01,619.80,931.07,988.63
1917,332.95,286.91,707.52,260.79,1032.40,789.90,366.49,322.18,67.31,77.35,47.53,693.15,481.55,423.11,214.95,146.70,1087.66,1174.01,882.24,800.98,906.31,955.89,938.63,1005.52,469.75,490.91,616.63,928.87,952.90
1918,331.62,296.04,701.83,282.60,1090.89,790.06,366.46,304.88,67.22,78.92,47.53,658.12,395.59,420.99,174.86,125.64,1089.03,1220.52,991.27,833.16,1119.64,955.65,938.63,1004.71,492.66,491.56,629.43,930.91,999.90
1919,332.16,284.09,705.93,243.17,1078.85,789.79,366.49,320.87,67.36,77.13,47.54,659.44,459.18,383.48,218.27,152.93,1090.39,1207.94,910.27,782.76,991.31,956.07,938.63,1006.15,460.71,490.64,608.37,928.76,976.63
1920,349.31,305.77,708.37,381.36,1043.84,805.97,366.50,328.07,67.39,80.12,47.54,744.09,516.35,553.98,239.95,185.65,1088.36,1182.47,933.18,870.18,986.63,955.97,938.63,1005.77,534.01,496.91,764.48,931.01,966.64
1921,340.00,291.56,708.37,307.57,1052.88,784.27,366.50,328.07,67.38,78.53,47.54,728.86,510.85,492.91,235.61,165.29,1088.74,1188.11,936.67,855.65,999.72,955.97,938.63,1005.77,470.73,489.77,582.53,930.82,971.50
1922,346.62,308.56,708.37,371.90,1058.53,803.18,366.50,328.07,66.90,80.92,46.15,685.11,506.40,465.03,250.24,233.36,1089.17,1202.02,864.04,759.22,921.26,955.97,938.63,1005.77,538.09,496.59,747.87,927.76,955.29
1923,338.66,296.89,708.37,228.72,1054.55,805.55,366.50,328.07,67.25,78.53,47.10,700.60,503.50,411.96,229.56,142.85,1088.88,1194.24,905.65,807.88,968.49,955.97,938.63,1005.77,513.25,496.05,744.16,929.38,963.67
1924,347.80,289.24,708.37,377.49,1062.09,799.98,366.50,328.07,67.42,77.46,47.23,745.77,516.19,541.08,241.88,198.13,1089.14,1194.62,952.58,878.46,1025.27,955.97,938.63,1005.77,495.58,494.24,696.31,931.51,978.56
1925,336.45,286.55,708.37,246.51,1071.69,790.15,366.50,328.07,67.81,77.30,48.46,690.71,502.70,410.14,233.08,161.89,1089.66,1208.05,908.10,792.76,987.27,955.97,938.63,1005.77,475.26,491.91,620.02,929.15,972.20
1926,334.36,280.94,708.74,283.14,1000.29,791.30,366.50,328.14,66.86,76.33,46.15,687.65,506.12,438.67,238.16,168.66,1043.41,1061.95,893.86,782.75,951.69,956.25,938.63,1004.80,462.04,490.96,615.56,926.81,942.80
1927,356.12,296.50,712.67,386.69,1128.29,800.19,366.50,328.47,68.40,78.84,49.99,798.46,537.58,543.14,246.12,213.74,1117.25,1245.16,1023.10,928.55,1079.22,961.94,938.63,1017.59,500.66,494.04,699.42,1007.57,1061.40
1928,359.78,383.45,728.20,198.29,1149.72,848.65,427.71,333.20,68.74,84.03,49.84,743.55,515.78,433.23,223.55,113.94,1137.62,1300.63,1044.66,910.64,1104.50,979.55,991.66,1021.19,630.07,613.81,756.00,975.82,1075.82
1929,338.51,344.54,708.47,241.91,993.23,823.45,394.42,329.28,67.56,81.30,47.65,622.52,481.26,411.73,229.30,140.17,1016.07,1139.84,852.21,746.88,918.34,935.23,926.75,959.58,609.01,586.15,782.35,837.45,882.95
1930,345.34,380.55,718.32,328.70,922.47,836.44,422.49,331.88,68.27,85.39,48.20,660.29,494.65,470.05,238.38,180.26,891.11,997.69,814.49,751.78,858.86,900.41,919.60,876.98,662.28,623.65,826.61,836.51,845.40
1931,355.09,305.79,743.73,366.15,1125.27,816.81,389.70,333.21,67.27,78.24,46.56,741.38,536.08,529.06,247.65,194.57,1095.44,1249.86,987.92,869.02,1052.91,959.88,960.38,991.83,519.40,533.12,705.67,960.89,1033.00
1932,350.23,306.72,700.80,373.91,1113.10,716.78,376.11,346.13,68.33,80.65,48.01,802.29,594.67,544.19,271.46,225.53,1142.03,1249.86,980.68,897.11,1015.80,905.45,806.59,1007.57,501.94,498.81,629.41,1012.62,1043.47
1933,389.34,314.58,842.24,358.26,1312.83,902.46,422.45,354.11,45.44,71.44,44.18,868.28,603.30,543.97,259.58,204.62,1335.03,1443.97,1136.03,1007.43,1170.82,1180.75,1145.41,1234.19,523.77,557.57,682.50,1192.13,1234.37
1934,412.68,369.63,886.16,304.85,1226.67,978.76,473.64,374.01,95.41,97.98,48.07,830.31,554.25,471.74,256.43,174.28,1310.71,1296.50,1040.76,939.06,1070.08,1262.67,1213.34,1298.96,609.27,634.59,784.80,1208.93,1164.76
1935,351.76,318.64,775.91,294.06,1158.47,851.61,436.39,334.57,37.39,63.98,43.80,705.61,474.72,433.54,215.38,170.29,1185.76,1295.18,953.62,815.60,1020.34,1036.29,994.38,1095.75,585.77,591.24,738.08,1006.84,1042.11
